FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg,n_align,C_align
660,674,(5#)22,661,21.037,660,62.281,673,2.688043,660,7.95488109,667,32.492867,4.124742212,661,1.327533
675,689,(5#)45/2,677,21.387,675,56.838,677,2.687974,675,7.15816029,682,32.034230,4.004523697,677,1.340744
690,704,(5#)23,691,21.694,690,60.545,701,2.687574,690,7.49849551,697,33.394013,4.111388412,691,1.352030
705,719,(5#)47/2,709,22.081,705,59.872,709,2.687445,705,7.31554422,712,33.397762,4.051852812,709,1.365680
720,734,(5#)24,727,22.471,720,59.526,733,2.687072,720,7.15748556,727,33.445660,3.998691886,727,1.379040
735,749,(7#)7/2,739,22.727,735,72.355,743,2.687181,735,8.58765606,742,35.161498,4.145268160,739,1.387556
750,764,(5#)25,751,22.983,750,61.231,761,2.686660,750,7.15592908,757,34.710622,4.033997189,751,1.395844
765,779,(5#)51/2,766,23.362,765,66.126,773,2.686490,765,7.63188974,772,35.488002,4.068906047,769,1.407742
780,794,(5#)26,787,23.745,780,68.652,787,2.686539,780,7.80631466,787,35.890778,4.059579880,787,1.419438
795,809,(5#)53/2,797,23.953,795,64.936,809,2.686005,795,7.29507791,802,36.364722,4.059653300,797,1.425547
810,824,(5#)27,811,24.248,810,64.604,821,2.685851,810,7.15438185,817,36.749421,4.048885834,811,1.434186
825,839,(5#)55/2,827,24.581,825,72.615,829,2.685750,825,7.94826955,832,37.174321,4.044527629,827,1.443618
840,854,(7#)4,842,24.952,840,79.529,853,2.685456,840,8.58511659,847,38.059649,4.088393083,842,1.456852
855,869,(5#)57/2,857,25.200,855,70.960,857,2.685408,855,7.57413677,862,38.651694,4.101316227,857,1.460378
870,884,(5#)29,877,25.611,870,70.435,881,2.685129,870,7.41790809,877,38.729454,4.059020599,877,1.471089
885,899,(5#)59/2,887,25.818,885,69.861,887,2.685271,885,7.27759819,892,38.942113,4.033369846,887,1.476405
900,914,(5#)30,907,26.226,900,69.562,911,2.684999,900,7.15288295,907,39.713407,4.064719308,907,1.486512
915,929,(5#)61/2,919,26.470,915,71.485,929,2.684603,915,7.27326643,922,40.061062,4.053426510,919,1.492395
930,944,(5#)31,934,26.831,930,73.635,941,2.684478,930,7.39831910,937,40.215734,4.022636778,937,1.500868
945,959,(7#)9/2,947,27.036,945,86.289,953,2.684356,945,8.58109858,952,41.695368,4.124469801,947,1.505626
960,974,(5#)32,967,27.438,960,72.798,971,2.684365,960,7.15162342,967,41.366425,4.045912070,967,1.514673
975,989,(5#)65/2,977,27.636,975,80.203,977,2.684117,975,7.80092733,982,42.245884,4.087412392,977,1.518970
990,1004,(5#)33,991,27.918,990,82.659,997,2.683925,990,7.94504485,997,42.091808,4.028613152,991,1.525113
1005,1019,(5#)67/2,1006,28.272,1005,76.265,1013,2.683776,1005,7.25980273,1012,42.613060,4.035898745,1009,1.532558
1020,1034,(5#)34,1021,28.512,1020,81.054,1024,2.681398,1020,7.62716538,1027,43.656177,4.091250859,1024,1.537366
1035,1049,(5#)69/2,1039,28.869,1035,80.352,1049,2.683453,1035,7.49021419,1042,43.266909,4.013598589,1039,1.544735
1050,1064,(7#)5,1051,29.105,1050,93.074,1061,2.683349,1050,8.57935646,1057,44.736856,4.107396728,1051,1.549397
1065,1079,(5#)71/2,1069,29.457,1065,79.403,1069,2.683280,1065,7.25238546,1072,44.797699,4.071963117,1069,1.556120
1080,1094,(5#)36,1082,29.768,1080,79.135,1093,2.683080,1080,7.14940108,1087,45.253322,4.072109181,1087,1.562842
1095,1109,(5#)73/2,1097,30.003,1095,80.962,1109,2.682949,1095,7.24941857,1102,45.035831,4.013635567,1097,1.566343
1110,1124,(5#)37,1114,30.390,1110,82.993,1117,2.682885,1110,7.35270840,1117,46.382600,4.093479721,1117,1.573369
1125,1139,(5#)75/2,1126,30.623,1125,81.386,1129,2.682791,1125,7.14782748,1132,46.089782,4.029459685,1129,1.577479
1140,1154,(5#)38,1142,30.931,1140,87.079,1153,2.682606,1140,7.56890728,1147,46.037707,3.986942748,1151,1.584910
1155,1259,(11#)/2,1163,31.282,1155,110.581,1249,2.681920,1155,9.53038205,1206,48.693040,4.066117473,1163,1.588808
1260,1364,(7#)6,1262,33.218,1260,106.014,1361,2.681212,1260,8.57595834,1311,51.585798,4.056144589,1262,1.621404
1365,1469,(7#)13/2,1367,35.128,1365,122.402,1453,2.680692,1365,9.35292259,1416,54.573164,4.058636108,1367,1.645591
1470,1574,(7#)7,1471,37.038,1470,118.461,1553,2.680179,1470,8.57243747,1521,57.460433,4.057006183,1471,1.668963
1575,1679,(7#)15/2,1579,38.989,1575,124.457,1669,2.679642,1575,8.57112807,1626,60.329182,4.057390150,1579,1.690171
1680,1784,(7#)8,1684,40.958,1680,130.526,1777,2.679188,1680,8.57021334,1731,63.105511,4.054345223,1693,1.709682
1785,1889,(7#)17/2,1787,42.668,1785,145.433,1889,2.678757,1785,9.13972566,1836,65.979242,4.059892163,1787,1.724050
1890,1994,(7#)9,1894,44.570,1890,142.251,1993,2.678389,1890,8.56773754,1941,68.572987,4.050418463,1901,1.739448
1995,2099,(7#)19/2,1997,46.285,1995,156.636,2048,2.677052,1995,9.07071581,2046,71.352318,4.054277661,1997,1.751068
2100,2204,(7#)10,2102,48.111,2145,157.619,2203,2.677797,2145,8.65179570,2151,74.049559,4.054771139,2111,1.763485
2205,2309,(7#)21/2,2207,49.824,2205,159.254,2309,2.677421,2205,8.56480956,2256,76.604592,4.049349702,2207,1.772835
2310,2414,(11#),2311,51.549,2310,183.225,2393,2.677195,2310,9.51581951,2361,79.420558,4.058842391,2311,1.782001
2415,2519,(7#)23/2,2417,53.288,2415,178.463,2503,2.676978,2415,8.97128706,2466,81.913114,4.052963721,2417,1.790382
2520,2624,(7#)12,2521,54.980,2520,175.893,2621,2.676634,2520,8.56298394,2571,84.541642,4.055027184,2521,1.797848
2625,2729,(7#)25/2,2633,56.786,2625,181.236,2729,2.676391,2625,8.56193437,2676,86.920837,4.046571358,2633,1.805097
2730,2834,(7#)13,2731,58.354,2730,203.653,2833,2.676170,2730,9.33979580,2782,89.667105,4.056082049,2731,1.810871
2835,2939,(7#)27/2,2837,60.034,2835,191.945,2917,2.676000,2835,8.56088385,2887,92.109022,4.052529885,2837,1.816461
2940,3044,(7#)14,2942,61.730,2940,197.305,3041,2.675760,2940,8.56046571,2992,94.593493,4.051767510,2953,1.822001
3045,3149,(7#)29/2,3046,63.354,3045,209.980,3137,2.675584,3045,8.87661741,3097,97.083455,4.052130311,3049,1.826140
3150,3254,(7#)15,3158,65.091,3150,207.762,3253,2.675380,3150,8.55922100,3202,99.489514,4.049707988,3163,1.830611
3255,3359,(7#)31/2,3257,66.573,3255,220.213,3359,2.675248,3255,8.85385247,3307,101.972872,4.051205955,3257,1.833880
3360,3464,(7#)16,3361,68.164,3360,218.083,3461,2.675040,3360,8.55837584,3412,104.200332,4.043323502,3361,1.837186
3465,3569,(11#)3/2,3467,69.776,3465,247.910,3557,2.674892,3465,9.50848395,3517,106.999051,4.058045804,3467,1.840240
3570,3674,(7#)17,3571,71.347,3570,243.480,3673,2.674720,3570,9.12780750,3622,109.283410,4.053413518,3571,1.842891
3675,3779,(7#)35/2,3677,72.938,3675,233.245,3769,2.674584,3675,8.55689525,3727,111.439944,4.045017434,3677,1.845270
3780,3884,(7#)18,3793,74.669,3780,238.328,3881,2.674430,3780,8.55659865,3832,113.930900,4.049356715,3793,1.847588
3885,3989,(7#)37/2,3889,76.093,3885,250.195,3989,2.674288,3885,8.80041258,3937,116.198169,4.046211376,3889,1.849272
3990,4094,(7#)19,3994,77.683,3990,262.876,4093,2.674156,3990,9.05896018,4042,118.891876,4.058057303,4001,1.850990
4095,4199,(7#)39/2,4096,79.142,4095,276.156,4096,2.673569,4095,9.33307183,4147,120.993091,4.050036762,4096,1.851846
4200,4304,(7#)20,4201,80.674,4290,264.949,4297,2.673910,4290,8.64105615,4252,123.323086,4.050215464,4201,1.853446
4305,4409,(7#)41/2,4306,82.239,4305,269.673,4409,2.673781,4305,8.77383941,4357,125.545331,4.047385215,4327,1.854650
4410,4514,(7#)21,4414,83.800,4410,267.854,4513,2.673666,4410,8.55425555,4462,127.841076,4.047298223,4421,1.855338
4515,4619,(7#)43/2,4517,85.243,4515,279.279,4597,2.673575,4515,8.76256286,4567,130.060499,4.045244123,4517,1.855923
4620,4724,(11#)2,4621,86.733,4620,308.340,4721,2.673445,4620,9.50411589,4672,132.535942,4.051356480,4621,1.856405
4725,4829,(7#)45/2,4729,88.273,4725,282.230,4817,2.673348,4725,8.55320038,4777,134.729206,4.049036664,4729,1.856747
4830,4934,(7#)23,4831,89.721,4830,300.732,4933,2.673233,4830,8.96027496,4882,136.951502,4.047985768,4831,1.856950
4935,5039,(7#)47/2,4937,91.218,4935,298.236,5021,2.673149,4935,8.74275971,4987,139.312540,4.051278501,5039,1.856929
5040,5144,(7#)24,5042,92.734,5040,296.543,5113,2.673063,5040,8.55249855,5092,141.267069,4.043097273,5113,1.856783
5145,5249,(7#)49/2,5147,94.168,5145,301.188,5237,2.672950,5145,8.55204475,5197,143.864722,4.053566936,5237,1.856439
5250,5354,(7#)25,5261,95.758,5250,305.939,5333,2.672865,5250,8.55185626,5302,145.599366,4.040010637,5351,1.856004
5355,5459,(7#)51/2,5366,97.255,5355,331.256,5449,2.672766,5355,9.12170137,5407,148.310803,4.053816309,5449,1.855494
