FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg,n_align,C_align
14280,14384,(7#)68,14281,208.214,14280,710.670,14369,2.668898,14280,9.10933335,14332,316.359713,4.043708496,14281,2.132915
14385,14489,(7#)137/2,14387,209.435,14385,675.032,14489,2.668870,14385,8.60312715,14437,318.086811,4.042368630,14387,2.135393
14490,14594,(7#)69,14494,210.693,14490,706.073,14593,2.668845,14490,8.94647716,14542,319.904406,4.042222316,14503,2.138061
14595,14699,(7#)139/2,14614,212.070,14595,682.735,14669,2.668827,14595,8.60207893,14647,321.771168,4.042725142,14621,2.140731
14700,14804,(7#)70,14702,213.079,14700,681.687,14797,2.668798,14700,8.53969598,14752,323.252008,4.038433775,14702,2.142770
14805,14909,(7#)141/2,14813,214.319,14805,700.716,14897,2.668774,14805,8.72933744,14857,325.560979,4.044515023,14813,2.145007
14910,15014,(7#)71,14914,215.503,14910,699.363,15013,2.668748,14910,8.66328246,14962,326.698019,4.036065694,14923,2.147420
15015,16169,(13#)/2,15017,216.650,15015,840.196,16141,2.668503,15015,10.35084820,15581,338.082134,4.042543992,15017,2.149446
16170,17324,(11#)7,16174,229.790,16170,816.769,17321,2.668269,16170,9.48742929,16737,357.717041,4.041455023,16183,2.172954
17325,18479,(11#)15/2,17327,242.660,17745,863.241,18461,2.668062,17325,9.48663001,17893,377.201091,4.041472689,17327,2.193325
18480,19634,(11#)8,18481,255.415,19110,915.694,19609,2.667869,18480,9.48596264,19048,396.387484,4.040727117,18481,2.211633
19635,20789,(11#)17/2,19636,268.097,19635,1016.479,20789,2.667684,19635,10.11763061,20204,415.484156,4.041175790,19661,2.228415
20790,21944,(11#)9,20798,280.638,21840,1018.571,21937,2.667517,20790,9.48466191,21359,434.292576,4.040669292,20807,2.243124
21945,23099,(11#)19/2,21946,292.935,21945,1102.620,23081,2.667361,21945,10.04195477,22515,452.918257,4.040177100,21946,2.256545
23100,24254,(11#)10,23102,305.203,23205,1140.368,24229,2.667214,23205,9.93179281,23670,471.448738,4.040332988,23102,2.268844
24255,25409,(11#)21/2,24268,317.496,24255,1128.158,25409,2.667071,24255,9.48304072,24825,489.736749,4.039768700,24281,2.280200
25410,26564,(11#)11,25411,329.369,25935,1237.476,26561,2.666940,25935,9.85759040,25981,507.959345,4.039896938,25411,2.290342
26565,27719,(11#)23/2,26573,341.397,26565,1271.302,27701,2.666816,26565,9.93362153,27136,525.975653,4.039502135,26573,2.299973
27720,28874,(11#)12,27733,353.314,28665,1266.549,28837,2.666700,27720,9.48169328,28291,543.908346,4.039489941,27733,2.308884
28875,30029,(11#)25/2,28879,365.003,28875,1297.600,30029,2.666583,28875,9.48127073,29446,561.594345,4.038614153,28879,2.317074
30030,31184,(13#),30034,376.729,30030,1460.997,31181,2.666476,30030,10.34277928,30602,579.421855,4.039601784,30047,2.324852
31185,32339,(11#)27/2,31189,388.327,31395,1427.676,32321,2.666374,31395,9.75131451,31757,596.929642,4.039122686,31189,2.331957
32340,33494,(11#)14,32341,399.847,32340,1421.647,32768,2.666261,32340,9.48016730,32912,614.258868,4.038223925,32341,2.338681
33495,34649,(11#)29/2,33503,411.397,33495,1516.584,34649,2.666180,33495,9.83091975,34067,631.716922,4.038860789,33503,2.345052
34650,35804,(11#)15,34651,422.741,35490,1504.552,35801,2.666090,34650,9.47948889,35222,648.927914,4.038534397,34651,2.350974
35805,36959,(11#)31/2,35806,434.114,35805,1596.571,36929,2.666005,35805,9.80603294,36377,666.047406,4.038252493,35809,2.356605
36960,38114,(11#)16,36962,445.411,36960,1583.531,38113,2.665919,36960,9.47888549,37533,683.129259,4.038301054,36973,2.361954
38115,39269,(11#)33/2,38119,456.635,38115,1623.409,39241,2.665841,38115,9.47858528,38688,699.990659,4.037587885,38119,2.366940
39270,40424,(11#)17,39272,467.882,39270,1774.048,40423,2.665764,39270,10.11019228,39843,716.996548,4.038197172,39293,2.371776
40425,41579,(11#)35/2,40427,478.902,41055,1733.982,41549,2.665688,41055,9.53205214,40998,733.779178,4.037991359,40427,2.376215
41580,42734,(11#)18,41593,490.069,42315,1794.618,42709,2.665615,42315,9.62616600,42153,750.465159,4.037701019,41593,2.380551
42735,43889,(11#)37/2,42737,500.976,42735,1832.030,43889,2.665543,42735,9.74830976,43308,767.137208,4.037750646,42737,2.384604
43890,45044,(11#)19,43891,511.929,43890,1927.227,45013,2.665477,43890,10.03476601,44463,783.614998,4.037179291,43891,2.388504
45045,46199,(13#)3/2,45053,522.909,45045,2027.915,46181,2.665410,45045,10.33858306,45618,800.222924,4.037646425,45053,2.392247
46200,47354,(11#)20,46204,533.786,46410,1994.652,47353,2.665346,46410,9.92476559,46773,816.607626,4.037327593,46219,2.395838
47355,48509,(11#)41/2,47356,544.581,47355,1985.691,48497,2.665284,47355,9.71958124,47929,833.126689,4.037991437,47363,2.399207
48510,49664,(11#)21,48523,555.426,48510,1974.417,49633,2.665225,48510,9.47637543,49084,849.176529,4.036711067,48523,2.402478
49665,50819,(11#)43/2,49667,566.061,49665,2061.639,50789,2.665166,49665,9.70728407,50239,865.518269,4.037140726,49667,2.405570
50820,51974,(11#)22,50821,576.747,51870,2167.587,51973,2.665108,51870,9.85075845,51394,881.642361,4.036834370,50821,2.408561
51975,53129,(11#)45/2,51977,587.413,51975,2088.475,53129,2.665052,51975,9.47576355,52549,897.764069,4.036797392,51977,2.411439
53130,54284,(11#)23,53147,598.168,53130,2227.517,54277,2.664999,53130,9.92678756,53704,913.925960,4.037189635,53147,2.414241
54285,55439,(11#)47/2,54287,608.611,54285,2211.928,55439,2.664948,54285,9.68593885,54859,929.830244,4.036694395,54287,2.416864
55440,56594,(11#)24,55441,619.144,55965,2233.839,56569,2.664896,55965,9.54136928,56014,945.770329,4.036605032,55441,2.419419
56595,57749,(11#)49/2,56597,629.661,56595,2238.691,57737,2.664845,56595,9.47501951,57169,961.665153,4.036553487,56597,2.421886
57750,58904,(11#)25,57751,640.124,58695,2319.597,58901,2.664796,58695,9.52932641,58324,977.514122,4.036527957,57751,2.424262
58905,60059,(11#)51/2,58907,650.572,58905,2467.242,60041,2.664749,58905,10.10631242,59479,993.220771,4.036134087,58907,2.426556
60060,61214,(13#)2,60068,661.075,60060,2563.721,61169,2.664703,60060,10.33583324,60634,1009.054294,4.036457130,60077,2.428795
61215,62369,(11#)53/2,61223,671.403,61215,2433.720,62351,2.664658,61215,9.66011652,61789,1024.757395,4.036444015,61223,2.430917
62370,63524,(11#)27,62378,681.766,62790,2506.699,63521,2.664611,62790,9.74481805,62944,1040.401609,4.036385480,62383,2.432991
63525,64679,(11#)55/2,63527,692.001,64155,2489.315,64661,2.664568,64155,9.50839758,64099,1056.018938,4.036401984,63527,2.434968
64680,65834,(11#)28,64682,702.302,64680,2496.936,65536,2.664499,64680,9.47388359,65254,1071.457848,4.035918381,64693,2.436918
65835,66989,(11#)57/2,65837,712.531,65835,2682.362,66977,2.664484,65835,10.03100720,66409,1086.981033,4.035928362,65837,2.438770
66990,68144,(11#)29,67003,722.850,66990,2664.899,68141,2.664443,66990,9.82445624,67565,1102.509009,4.036111221,67003,2.440601
68145,69299,(11#)59/2,68147,732.946,68145,2651.644,69257,2.664404,68145,9.63963523,68720,1117.906057,4.035968421,68147,2.442340
69300,70454,(11#)30,69302,743.132,69615,2777.275,70429,2.664364,69615,9.92108925,69875,1133.316187,4.036022889,69313,2.444057
70455,71609,(11#)61/2,70457,753.249,70455,2723.511,71597,2.664325,70455,9.63372479,71030,1148.600644,4.035777855,70457,2.445693
71610,72764,(11#)31,71612,763.404,71610,2807.699,72733,2.664288,71610,9.79968393,72185,1163.938622,4.035863098,71633,2.447324
72765,73919,(11#)63/2,72767,773.446,72765,2749.930,73897,2.664251,72765,9.47289086,73340,1179.136714,4.035601025,72767,2.448853
73920,75074,(11#)32,73924,783.567,73920,2785.740,75041,2.664215,73920,9.47277115,74495,1194.384007,4.035641780,73939,2.450386
75075,76229,(13#)5/2,75079,793.559,75075,3077.870,76213,2.664179,75075,10.33378818,75650,1209.511926,4.035409152,75079,2.451836
76230,77384,(11#)33,76231,803.543,76230,2857.011,77377,2.664143,76230,9.47251405,76805,1224.781834,4.035769474,76231,2.453259
77385,78539,(11#)67/2,77386,813.550,77805,3020.341,78517,2.664110,77805,9.84718421,77960,1239.680875,4.035033488,77417,2.454683
78540,79694,(11#)34,78541,823.491,78540,3123.137,79693,2.664075,78540,10.10376068,79115,1254.963701,4.035663120,78541,2.455997
79695,80849,(11#)69/2,79697,833.439,79695,3104.349,80849,2.664042,79695,9.92320768,80270,1270.103724,4.035929201,79697,2.457313
80850,82004,(11#)35,80854,843.394,80850,2998.538,81973,2.664010,80850,9.47203621,81425,1284.855388,4.035078896,80863,2.458605
82005,83159,(11#)71/2,82007,853.250,82005,3077.644,83137,2.663978,82005,9.60919174,82580,1299.860238,4.035143165,82007,2.459839
83160,84314,(11#)36,83177,863.249,83160,3068.818,84313,2.663946,83160,9.47181378,83735,1314.777678,4.035038311,83177,2.461068
84315,85469,(11#)73/2,84317,872.972,84630,3162.178,85469,2.663915,84630,9.62012764,84890,1329.850955,4.035504907,84317,2.462235
85470,86624,(11#)37,85474,882.839,85470,3228.467,86573,2.663886,85470,9.74220677,86045,1344.721303,4.035445143,85487,2.463404
86625,87779,(11#)75/2,86627,892.609,86625,3173.622,87767,2.663856,86625,9.47147881,87200,1359.305332,4.034634028,86627,2.464513
87780,88934,(11#)38,87782,902.417,87780,3397.194,88897,2.663826,87780,10.02852167,88355,1374.432858,4.035526288,87793,2.465619
88935,90089,(11#)77/2,88937,912.163,88935,3243.151,90089,2.663795,88935,9.47127386,89510,1388.809614,4.034307805,88937,2.466678
90090,91244,(13#)3,90107,922.037,90090,3575.830,91237,2.663767,90090,10.33218708,90665,1404.007305,4.035560161,90107,2.467737
91245,92399,(11#)79/2,91249,931.654,91245,3355.411,92381,2.663739,91245,9.59406795,91820,1418.636202,4.035246925,91249,2.468743
92400,93554,(11#)40,92401,941.337,92820,3518.298,93553,2.663711,92820,9.91865716,92975,1433.106243,4.034578941,92401,2.469735
93555,94709,(11#)81/2,93557,951.035,94185,3497.271,94709,2.663683,94185,9.74141259,94130,1447.907571,4.034928473,93557,2.470708
94710,95864,(11#)41,94712,960.787,94710,3503.367,95857,2.663657,94710,9.71361835,95285,1462.486367,4.034733444,94723,2.471667
95865,97019,(11#)83/2,95866,970.370,95865,3492.657,97001,2.663630,95865,9.58760143,96440,1477.376873,4.035466159,95869,2.472586
97020,98174,(11#)42,97021,979.983,97020,3484.356,98129,2.663605,97020,9.47059330,97595,1491.387272,4.033881779,97021,2.473491
98175,99329,(11#)85/2,98179,989.624,98175,3753.076,99317,2.663578,98175,10.10186409,98750,1506.208434,4.034575606,98179,2.474380
99330,100484,(11#)43,99334,999.242,99330,3639.322,100469,2.663553,99330,9.70139204,99905,1520.765545,4.034621791,99347,2.475256
100485,101639,(11#)87/2,100493,1008.835,100485,3719.540,101581,2.663528,100485,9.82106581,101060,1535.411772,4.034968056,100493,2.476096
101640,102794,(11#)44,101641,1018.341,101745,3683.477,102793,2.663502,101745,9.62619716,102215,1549.779275,4.034648330,101641,2.476920
102795,103949,(11#)89/2,102797,1027.896,103740,3828.134,103913,2.663478,103740,9.84482577,103370,1564.263703,4.034702935,102797,2.477732
103950,105104,(11#)45,103951,1037.418,103950,3688.568,105097,2.663454,103950,9.47005514,104525,1578.406015,4.033948599,103951,2.478526
105105,106259,(13#)7/2,105107,1046.940,105105,4060.753,106217,2.663431,105105,10.33087303,105680,1593.027947,4.034486225,105107,2.479304
106260,107414,(11#)46,106261,1056.428,106260,3935.028,107377,2.663407,106260,9.92083685,106835,1607.476883,4.034637487,106261,2.480063
107415,108569,(11#)93/2,107434,1066.078,107415,3920.522,108557,2.663383,107415,9.79634870,107990,1621.793187,4.034515674,107441,2.480824
108570,109724,(11#)47,108571,1075.376,108570,3908.495,109721,2.663360,108570,9.68016013,109145,1636.086693,4.034398712,108571,2.481538
109725,110879,(11#)95/2,109738,1084.943,109725,4083.979,110849,2.663338,109725,10.02667561,110300,1650.478275,4.034580816,109741,2.482261
110880,112034,(11#)48,110881,1094.259,111930,3948.541,111997,2.663316,111930,9.53571011,111456,1664.539596,4.034016054,110881,2.482951
112035,113189,(11#)97/2,112061,1103.882,112035,3965.434,113189,2.663293,112035,9.56916170,112611,1679.027526,4.034541294,112061,2.483652
113190,114344,(11#)49,113194,1113.127,113190,3957.600,114329,2.663271,113190,9.46940503,113766,1693.135960,4.034205754,113209,2.484320
114345,115499,(11#)99/2,114346,1122.492,114345,3990.948,115469,2.663250,114345,9.46932526,114921,1707.310248,4.034085764,114371,2.484983
115500,116654,(11#)50,115502,1131.875,116025,4230.369,116593,2.663229,116025,9.91685083,116076,1721.622352,4.034341274,115513,2.485621
116655,117809,(11#)101/2,116657,1141.215,117390,4102.264,117809,2.663207,116655,9.56482572,117231,1735.577210,4.033813697,116657,2.486248
117810,118964,(11#)51,117811,1150.553,117810,4363.550,118913,2.663187,117810,10.10037674,118386,1750.067231,4.034576840,117811,2.486869
118965,120119,(11#)103/2,118967,1159.893,118965,4164.803,120097,2.663166,118965,9.56277983,119541,1763.745645,4.033520809,118967,2.487479
120120,121274,(13#)4,120121,1169.203,120120,4535.061,121229,2.663146,120120,10.32977503,120696,1778.120738,4.034111334,120121,2.488075
121275,122429,(11#)105/2,121276,1178.547,121275,4190.185,122401,2.663126,121275,9.46888603,121851,1792.303881,4.034303782,121283,2.488665
122430,123584,(11#)53,122443,1187.894,122430,4306.061,123581,2.663105,122430,9.65447813,123006,1806.226860,4.033958253,122443,2.489242
123585,124739,(11#)107/2,123593,1197.131,123585,4296.737,124721,2.663086,123585,9.55892085,124161,1820.228434,4.033838659,123593,2.489803
124740,125894,(11#)54,124753,1206.434,125580,4436.333,125887,2.663067,125580,9.73916100,125316,1834.415278,4.034171089,124753,2.490360
125895,127049,(11#)109/2,125897,1215.597,126945,4420.103,127037,2.663047,126945,9.61695285,126471,1848.283671,4.033846497,125897,2.490898
127050,128204,(11#)55,127051,1224.827,127050,4354.911,128201,2.663028,127050,9.46853959,127626,1862.145402,4.033556668,127051,2.491432
128205,129359,(11#)111/2,128213,1234.107,128205,4513.037,129341,2.663009,128205,9.73899767,128781,1876.244422,4.033823000,128213,2.491958
129360,130514,(11#)56,129361,1243.263,129675,4604.634,130513,2.662991,129675,9.84307332,129936,1890.388187,4.034218685,129361,2.492469
130515,131669,(11#)113/2,130517,1252.470,130515,4493.257,131072,2.662963,130515,9.55364115,131091,1904.040112,4.033607498,130517,2.492975
131670,132824,(11#)57,131671,1261.650,131670,4749.710,132817,2.662954,131670,10.02523313,132246,1918.048287,4.033794857,131671,2.493471
132825,133979,(11#)115/2,132826,1270.843,132825,4733.586,133949,2.662936,132825,9.91907606,133401,1932.060539,4.034025323,132833,2.493961
133980,135134,(11#)58,133981,1279.986,133980,4719.594,135101,2.662918,133980,9.81882274,134556,1945.510183,4.033126012,133981,2.494436
135135,136289,(13#)9/2,135151,1289.256,135135,5000.221,136277,2.662900,135135,10.32882006,135711,1959.866467,4.034142433,135151,2.494913
136290,137444,(11#)59,136294,1298.318,136290,4697.046,137437,2.662883,136290,9.63412827,136866,1973.182621,4.033055199,136303,2.495374
137445,138599,(11#)119/2,137447,1307.410,137445,4958.376,138581,2.662866,137445,10.09915573,138021,1987.483625,4.034018678,137447,2.495824
138600,139754,(11#)60,138604,1316.579,139230,4920.696,139753,2.662848,139230,9.91543866,139176,2001.267618,4.033958302,138617,2.496275
139755,140909,(11#)121/2,139759,1325.644,139755,4713.256,140909,2.662831,139755,9.46783948,140331,2014.823000,4.033477824,139759,2.496709
140910,142064,(11#)61,140914,1334.755,140910,4826.050,142061,2.662814,140910,9.62825030,141486,2028.427367,4.033138175,140929,2.497145
142065,143219,(11#)123/2,142067,1343.801,142065,4900.377,143197,2.662798,142065,9.71047981,142641,2042.390680,4.033545160,142067,2.497563
143220,144374,(11#)62,143224,1352.962,143220,4976.018,144349,2.662782,143220,9.79413500,143796,2056.149745,4.033577377,143239,2.497986
144375,145529,(11#)125/2,144379,1361.944,144690,4856.322,145517,2.662765,144690,9.47771320,144951,2070.046561,4.033908754,144379,2.498390
145530,146684,(11#)63,145531,1370.968,145530,4874.525,146681,2.662749,145530,9.46754557,146106,2083.473603,4.033359090,145531,2.498792
146685,147839,(11#)127/2,146701,1380.121,146685,4945.873,147793,2.662733,146685,9.54322610,147261,2097.177471,4.033381971,146701,2.499192
147840,148994,(11#)64,147853,1389.123,147840,4938.747,148961,2.662717,147840,9.46743424,148416,2111.021411,4.033701787,147853,2.499581
148995,150149,(11#)129/2,148997,1398.052,148995,5092.003,150097,2.662702,148995,9.69828756,149571,2124.145541,4.032683790,148997,2.499960
150150,151304,(13#)5,150151,1407.049,150150,5457.615,151289,2.662686,150150,10.32798578,150726,2138.271283,4.033598285,150151,2.500337
151305,152459,(11#)131/2,151306,1416.062,151515,5090.320,152441,2.662670,151515,9.56069846,151881,2151.836640,4.033477611,151337,2.500717
152460,153614,(11#)66,152461,1425.026,152460,5066.734,153589,2.662655,152460,9.46721299,153036,2165.218125,4.033046502,152461,2.501072
153615,154769,(11#)133/2,153623,1434.054,153615,5398.523,154769,2.662639,153615,10.02404835,154191,2179.027463,4.033441737,153623,2.501433
154770,155924,(11#)67,154772,1443.008,155610,5357.602,155921,2.662624,155610,9.84169691,155346,2192.619464,4.033458734,154787,2.501789
155925,157079,(11#)135/2,155938,1452.027,156975,5339.534,157061,2.662610,156975,9.73748798,156501,2206.077005,4.033257989,155938,2.502153
157080,158234,(11#)68,157081,1460.858,157080,5540.413,158233,2.662595,157080,10.09813284,157656,2219.423758,4.032887409,157081,2.502472
158235,159389,(11#)137/2,158243,1469.845,158340,5323.853,159389,2.662580,158340,9.63906883,158811,2233.074043,4.033096713,158243,2.502811
159390,160544,(11#)69,159394,1478.756,159390,5507.987,160541,2.662565,159390,9.91769785,159966,2246.772027,4.033413988,159403,2.503143
160545,161699,(11#)139/2,160546,1487.646,160545,5327.890,161641,2.662552,160545,9.53594108,161121,2260.141835,4.033167693,160553,2.503467
161700,162854,(11#)70,161708,1496.623,162435,5593.555,162853,2.662537,162435,9.91427872,162276,2273.797835,4.033457372,161717,2.503790
162855,164009,(11#)141/2,162859,1505.449,162855,5471.510,163997,2.662523,162855,9.67711292,163431,2287.028792,4.033020032,162859,2.504102
164010,165164,(11#)71,164011,1514.310,164010,5462.219,165161,2.662508,164010,9.60388920,164586,2300.189486,4.032492180,164011,2.504412
165165,166319,(13#)11/2,165173,1523.239,165165,5908.046,166301,2.662495,165165,10.32724276,165741,2314.213876,4.033499118,165173,2.504719
166320,167474,(11#)72,166349,1532.266,166320,5447.268,167449,2.662481,166320,9.46659405,166896,2327.338285,4.032957524,166349,2.505025
167475,168629,(11#)145/2,167483,1540.962,167475,5681.640,168629,2.662467,167475,9.81715601,168051,2340.776699,4.032988654,167483,2.505317
168630,169784,(11#)73,168631,1549.755,169575,5627.075,169777,2.662453,169575,9.62237368,169206,2354.395034,4.033350020,168631,2.505607
169785,170939,(11#)147/2,169789,1558.616,169785,5541.606,170921,2.662440,169785,9.46644487,170361,2367.566612,4.032969395,169789,2.505894
170940,172094,(11#)74,170948,1567.514,170940,5732.264,172093,2.662426,170940,9.73686978,171516,2381.064715,4.033169766,170953,2.506179
172095,173249,(11#)149/2,172097,1576.251,172095,5642.487,173249,2.662413,172095,9.53074897,172671,2394.205925,4.032789581,172097,2.506455
173250,174404,(11#)75,173254,1585.096,173250,5635.724,174389,2.662400,173250,9.46630505,173826,2407.397744,4.032522472,173263,2.506733
174405,175559,(11#)151/2,174407,1593.865,174405,5705.023,175543,2.662388,174405,9.52978860,174981,2421.021022,4.032998480,174407,2.507000
175560,176714,(11#)76,175564,1602.712,175560,6033.485,176713,2.662374,175560,10.02305049,176136,2434.410782,4.033102413,175573,2.507268
176715,177869,(11#)153/2,176716,1611.474,176715,6111.461,177841,2.662361,176715,10.09724449,177291,2447.461649,4.032669223,176741,2.507533
177870,179024,(11#)77,177874,1620.255,177870,5760.734,179021,2.662348,177870,9.46612118,178446,2460.920980,4.032931400,177883,2.507789
179025,180179,(11#)155/2,179026,1629.000,179025,5991.596,180161,2.662336,179025,9.79249063,179601,2473.915942,4.032455332,179029,2.508041
180180,181334,(13#)6,180181,1637.742,180180,6352.425,181301,2.662323,180180,10.32658172,180756,2487.576846,4.033084153,180181,2.508290
181335,182489,(11#)157/2,181348,1646.621,181545,6091.677,182489,2.662311,181545,9.84056658,181911,2500.663022,4.032798823,181361,2.508542
182490,183644,(11#)79,182498,1655.307,182490,5961.690,183637,2.662298,182490,9.58887719,183066,2513.896414,4.032773350,182503,2.508783
183645,184799,(11#)159/2,183646,1663.989,183645,6032.287,184777,2.662286,183645,9.65150318,184221,2527.377821,4.033162867,183661,2.509022
184800,185954,(11#)80,184802,1672.723,185640,6252.105,185917,2.662274,185640,9.91330156,185376,2540.319563,4.032711121,184823,2.509260
185955,187109,(11#)161/2,185957,1681.423,185955,6262.991,187081,2.662262,185955,9.91656566,186531,2553.542653,4.032728912,185957,2.509488
187110,188264,(11#)81,187111,1690.127,187110,6009.312,188261,2.662250,187110,9.46576979,187686,2566.576959,4.032469226,187111,2.509717
188265,189419,(11#)163/2,188273,1698.881,188370,6215.725,189401,2.662238,188370,9.73617271,188841,2579.995599,4.032831671,188273,2.509943
189420,190574,(11#)82,189421,1707.523,189420,6226.840,190573,2.662226,189420,9.70839685,189996,2593.021547,4.032597941,189421,2.510164
190575,191729,(11#)165/2,190577,1716.217,190575,6102.021,191717,2.662214,190575,9.46564335,191151,2606.222780,4.032656457,190577,2.510383
191730,192884,(11#)83,191732,1724.933,191730,6208.626,192877,2.662202,191730,9.58246097,192306,2619.451770,4.032774592,191749,2.510602
192885,194039,(11#)167/2,192887,1733.567,192885,6201.064,194017,2.662191,192885,9.52292576,193461,2632.648754,4.032860077,192889,2.510812
194040,195194,(11#)84,194042,1742.248,194040,6194.545,195193,2.662179,194040,9.46552117,194616,2645.018445,4.031703875,194057,2.511024
195195,196349,(13#)13/2,195197,1750.886,195195,6791.222,196337,2.662168,195195,10.32597687,195771,2658.668772,4.032519735,195197,2.511227
196350,197504,(11#)85,196358,1759.597,196350,6673.138,197453,2.662157,196350,10.09646752,196926,2672.081984,4.032983763,196379,2.511436
197505,198659,(11#)171/2,197507,1768.174,197505,6656.565,198641,2.662145,197505,10.02218456,198081,2685.066922,4.032816300,197507,2.511632
198660,199814,(11#)86,198668,1776.888,198660,6471.569,199813,2.662134,198660,9.69622243,199236,2697.894211,4.032432999,198673,2.511831
199815,200969,(11#)173/2,199819,1785.448,199815,6385.243,200929,2.662123,199815,9.52067152,200391,2710.799814,4.032187883,199819,2.512024
200970,202124,(11#)87,200971,1794.043,200970,6615.045,202121,2.662112,200970,9.81584527,201546,2724.382951,4.032963251,200971,2.512215
202125,203279,(11#)175/2,202127,1802.661,202125,6409.377,203249,2.662101,202125,9.46523872,202701,2736.945774,4.032244164,202129,2.512405
203280,204434,(11#)88,203282,1811.283,203490,6551.721,204397,2.662090,203490,9.62109181,203856,2750.065463,4.032365731,203293,2.512592
204435,205589,(11#)177/2,204437,1819.861,204435,6584.050,205589,2.662079,204435,9.63121855,205011,2763.311126,4.032684920,204437,2.512774
205590,206744,(11#)89,205594,1828.483,205590,6575.828,206699,2.662069,205590,9.57391923,206166,2776.281169,4.032615780,205603,2.512957
206745,207899,(11#)179/2,206749,1837.046,207480,6810.259,207877,2.662058,207480,9.83961755,207321,2788.992125,4.032189276,206749,2.513134
207900,209054,(11#)90,207902,1845.624,208845,6898.382,209029,2.662047,208845,9.91245377,208476,2802.018531,4.032236869,207923,2.513313
209055,210209,(11#)181/2,209063,1854.219,209055,6629.365,210209,2.662036,209055,9.51788858,209631,2814.903000,4.032096036,209063,2.513484
210210,211364,(13#)7,210214,1862.767,210210,7225.096,211349,2.662026,210210,10.32542624,210786,2828.342916,4.032762293,210229,2.513656
211365,212519,(11#)183/2,211366,1871.299,211365,6766.155,212501,2.662015,211365,9.62535812,211941,2841.052881,4.032400469,211369,2.513822
212520,213674,(11#)92,212522,1879.853,212520,7002.085,213649,2.662005,212520,9.91561138,213096,2853.991448,4.032380316,212557,2.513992
213675,214829,(11#)185/2,213676,1888.404,213675,6905.973,214817,2.661995,213675,9.73528836,214251,2866.747135,4.032118292,213713,2.514156
214830,215984,(11#)93,214831,1896.901,214830,6977.081,215981,2.661984,214830,9.79120061,215406,2879.798866,4.032287611,214831,2.514312
215985,217139,(11#)187/2,215998,1905.534,215985,7226.448,217121,2.661974,215985,10.09577564,216561,2892.723763,4.032292415,216023,2.514476
217140,218294,(11#)94,217142,1913.972,217140,6956.346,218249,2.661965,217140,9.67508472,217716,2905.739204,4.032436477,217157,2.514629
218295,219449,(11#)189/2,218308,1922.584,218295,6835.357,219437,2.661954,218295,9.46471966,218871,2918.350198,4.032034764,218357,2.514789
219450,220604,(11#)95,219451,1930.967,219450,7269.494,220589,2.661944,219450,10.02143026,220026,2931.655327,4.032604850,219451,2.514933
220605,221759,(11#)191/2,220613,1939.518,220605,6932.308,221737,2.661934,220605,9.51472497,221181,2944.092668,4.031995084,220613,2.515084
221760,222914,(11#)96,221762,1947.985,221760,6926.054,222913,2.661924,221760,9.46461541,222336,2957.164597,4.032269919,221773,2.515232
222915,224069,(11#)193/2,222919,1956.469,223860,7029.718,224069,2.661915,223860,9.53073796,223491,2970.177838,4.032474999,222919,2.515377
224070,225224,(11#)97,224071,1964.927,224070,7059.921,225221,2.661905,224070,9.56417130,224646,2982.493995,4.031750265,224071,2.515520
225225,226379,(13#)15/2,225227,1973.408,225225,7654.338,226357,2.661895,225225,10.32491861,225801,2995.653629,4.032180662,225227,2.515661
226380,227534,(11#)98,226381,1981.868,226380,7046.617,227533,2.661886,226380,9.46447745,226956,3008.620183,4.032359955,226381,2.515800
227535,228689,(11#)197/2,227537,1990.336,227535,7112.959,228677,2.661876,227535,9.51297768,228111,3021.341239,4.032222973,227537,2.515938
228690,229844,(11#)99,228692,1998.826,229425,7113.871,229841,2.661867,228690,9.46440824,229266,3034.161957,4.032232208,228707,2.516075
229845,230999,(11#)199/2,229847,2007.240,229845,7172.995,230977,2.661857,229845,9.51241580,230421,3046.870360,4.032105620,229849,2.516206
231000,232154,(11#)100,231001,2015.674,232050,7534.170,232153,2.661848,232050,9.91171495,231576,3059.503208,4.031893318,231001,2.516338
232155,233309,(11#)201/2,232171,2024.220,232155,7307.500,233297,2.661839,232155,9.60991296,232731,3072.398514,4.032039772,232171,2.516469
233310,234464,(11#)101,233314,2032.580,233415,7515.564,234461,2.661829,233415,9.83879425,233886,3085.146254,4.032003884,233323,2.516596
234465,235619,(11#)203/2,234467,2040.972,234465,7525.471,235601,2.661820,234465,9.81476848,235041,3097.834415,4.031902884,234467,2.516721
235620,236774,(11#)102,235621,2049.382,235620,7772.444,236773,2.661811,235620,10.09515861,236196,3110.695496,4.032038762,235621,2.516844
236775,237929,(11#)205/2,236779,2057.815,236775,7504.146,237929,2.661802,236775,9.70684866,237351,3123.727732,4.032405032,236779,2.516967
237930,239084,(11#)103,237934,2066.238,237930,7419.197,239081,2.661793,237930,9.55784957,238506,3136.018839,4.031827540,237959,2.517090
239085,240239,(11#)207/2,239087,2074.606,239085,7727.546,240209,2.661784,239085,9.91478378,239661,3148.630741,4.031678419,239087,2.517206
240240,241394,(13#)8,240242,2083.017,240240,8079.459,241393,2.661775,240240,10.32445379,240816,3161.652693,4.032064327,240257,2.517324
