START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio
(7#)125/2,13142,2.381559,13229,1.282536,6.189159e-01,0.680286,1.615531e+00
(7#)63,13241,2.313245,13331,1.287487,5.859590e-01,0.677136,1.514848e+00
(7#)127/2,13339,2.408045,13421,1.291589,6.229420e-01,0.674520,1.655186e+00
(7#)64,13451,2.365320,13537,1.295972,6.016523e-01,0.671722,1.591950e+00
(7#)129/2,13646,2.418129,13649,1.300624,6.201500e-01,0.668750,1.671036e+00
(7#)65,13729,2.380300,13751,1.305017,6.010105e-01,0.666071,1.614367e+00
(7#)131/2,13807,2.343338,13859,1.308919,5.823748e-01,0.663446,1.559161e+00
(11#)6,13943,2.508139,13963,1.313537,6.468175e-01,0.660490,1.808660e+00
(7#)133/2,14051,2.389016,14057,1.317218,5.953596e-01,0.658126,1.628560e+00
(7#)67,14096,2.408715,14173,1.321249,6.005159e-01,0.655542,1.658881e+00
(7#)135/2,14243,2.286441,14251,1.325310,5.453501e-01,0.652943,1.471998e+00
(7#)68,14332,2.428418,14369,1.329232,6.026387e-01,0.650425,1.689950e+00
(7#)137/2,14411,2.316236,14489,1.333167,5.523861e-01,0.647891,1.517337e+00
(7#)69,14528,2.225437,14593,1.337344,5.092677e-01,0.645333,1.376178e+00
(7#)139/2,14699,2.430591,14699,1.341683,5.942096e-01,0.642540,1.694693e+00
(7#)70,14779,2.470069,14797,1.344823,6.079837e-01,0.640517,1.756778e+00
(7#)141/2,14831,2.313924,14897,1.348501,5.399512e-01,0.638027,1.513138e+00
(7#)71,14951,2.398094,15013,1.352249,5.729051e-01,0.635729,1.645111e+00
(13#)/2,15784,2.297078,16141,1.355556,5.274262e-01,0.633476,1.486279e+00
(11#)7,17218,2.342733,16384,1.392644,5.201141e-01,0.609540,1.558698e+00
(11#)15/2,18322,2.313856,18461,1.424565,4.850489e-01,0.588536,1.511022e+00
(11#)8,18637,2.262025,19609,1.452917,4.426872e-01,0.569806,1.419971e+00
(11#)17/2,20509,2.288028,20789,1.478502,4.366609e-01,0.552990,1.463907e+00
(11#)9,20816,2.279925,21943,1.500770,4.181642e-01,0.537763,1.448882e+00
(11#)19/2,22354,2.333078,23099,1.520704,4.280150e-01,0.524130,1.549948e+00
(11#)10,23201,2.282149,24251,1.538755,3.941439e-01,0.511623,1.453011e+00
(11#)21/2,24256,2.336632,25409,1.555215,4.070968e-01,0.499981,1.562893e+00
(11#)11,25496,2.309603,26561,1.569609,3.862491e-01,0.489721,1.511052e+00
(11#)23/2,27182,2.331847,27701,1.583059,3.873016e-01,0.479992,1.560001e+00
(11#)12,27904,2.328254,28871,1.595259,3.780825e-01,0.471016,1.556200e+00
(11#)25/2,29738,2.340355,30029,1.606239,3.764072e-01,0.462793,1.586273e+00
(13#),30332,2.331433,31183,1.616453,3.662489e-01,0.455075,1.571126e+00
(11#)27/2,31294,2.341935,32327,1.625583,3.651110e-01,0.447901,1.599353e+00
(11#)14,32972,2.389670,32768,1.634009,3.801188e-01,0.441206,1.712717e+00
(11#)29/2,34274,2.354215,34649,1.641786,3.604227e-01,0.434886,1.638197e+00
(11#)15,35792,2.297694,35803,1.648825,3.318431e-01,0.429029,1.512413e+00
(11#)31/2,36436,2.373766,36947,1.655335,3.604743e-01,0.423476,1.696509e+00
(11#)16,37201,2.393769,38113,1.661324,3.652542e-01,0.418225,1.751318e+00
(11#)33/2,38188,2.401751,39251,1.666722,3.653392e-01,0.413350,1.778224e+00
(11#)17,39992,2.425829,40423,1.671787,3.722802e-01,0.408637,1.845261e+00
(11#)35/2,40597,2.307754,41579,1.676257,3.197114e-01,0.404332,1.561828e+00
(11#)18,41851,2.392174,42727,1.680463,3.531332e-01,0.400142,1.778646e+00
(11#)37/2,43531,2.348344,43889,1.684224,3.324055e-01,0.396245,1.676034e+00
(11#)19,44533,2.418503,45013,1.687678,3.597951e-01,0.392514,1.861908e+00
(13#)3/2,45259,2.407217,46199,1.690840,3.532459e-01,0.388947,1.841837e+00
(11#)20,46369,2.380141,47353,1.693708,3.402395e-01,0.385545,1.780423e+00
(11#)41/2,47834,2.378831,48497,1.696249,3.381898e-01,0.382368,1.785144e+00
(11#)21,48931,2.430664,49663,1.698565,3.583807e-01,0.379300,1.930132e+00
(11#)43/2,50461,2.416903,50789,1.700609,3.515005e-01,0.376415,1.902937e+00
(11#)22,51826,2.346624,51973,1.702444,3.209128e-01,0.373639,1.724071e+00
(11#)45/2,52876,2.469593,53129,1.704064,3.710374e-01,0.370983,2.063515e+00
(11#)23,53624,2.388364,54277,1.705493,3.367544e-01,0.368417,1.853527e+00
(11#)47/2,54421,2.447211,55439,1.706698,3.603885e-01,0.366026,2.023116e+00
(11#)24,56176,2.444148,56591,1.707738,3.585269e-01,0.363711,2.024712e+00
(11#)49/2,57172,2.426083,57737,1.708604,3.506014e-01,0.361492,1.984771e+00
(11#)25,58789,2.355012,58901,1.709304,3.204596e-01,0.359370,1.796778e+00
