FIRST,LAST,START,minAt,G(minAt),maxAt,G(maxAt),n_0,C_min(n_0),n_1,C_max(n_1),n_geom,<COUNT>,C_avg
3723720,3738734,(13#)124,3730109,21252,3723720,87012,3735406,2.608630,3723720,10.69851262,3731219,32779.169497,4.023308752
3738735,3753749,(13#)249/2,3744226,21264,3738735,85456,3753443,2.600434,3738735,10.47056816,3746234,32891.605328,4.023062701
3753750,3768764,(13#)125,3760034,21272,3753750,84844,3760034,2.593551,3753750,10.35948210,3761250,33003.431369,4.022751086
3768765,3783779,(13#)251/2,3774767,21460,3768765,85112,3783313,2.604192,3768765,10.35626435,3776265,33110.923210,4.021921762
3783780,3798794,(13#)126,3797879,21498,3783780,85002,3797879,2.598422,3783780,10.30724480,3791280,33221.004329,4.021418099
3798795,3813809,(13#)253/2,3801443,21580,3798795,89098,3801443,2.606210,3798795,10.76684901,3806295,33347.591608,4.022916147
3813810,3828824,(13#)127,3818569,21736,3813810,86346,3822034,2.613491,3813810,10.39862013,3821310,33463.442158,4.023120153
3828825,3843839,(17#)15/2,3834151,21676,3828825,91428,3834151,2.598408,3828825,10.97315576,3836325,33571.186147,4.022357090
3843840,3858854,(13#)128,3844187,21808,3843840,86450,3853924,2.606403,3843840,10.34050310,3851340,33679.740393,4.021703285
3858855,3873869,(13#)257/2,3858931,21790,3858855,86330,3858931,2.597507,3858855,10.29126309,3866355,33786.770563,4.020878111
3873870,3888884,(13#)129,3883478,21886,3873870,88820,3883478,2.594628,3873870,10.55245243,3881370,33903.507026,4.021217126
3888885,3903899,(13#)259/2,3891541,22024,3888885,88852,3891541,2.606291,3888885,10.52086308,3896385,34011.670330,4.020545431
3903900,3918914,(13#)130,3912628,22092,3903900,87358,3912628,2.602100,3903900,10.30940760,3911400,34125.126074,4.020509227
3918915,3933929,(13#)261/2,3927556,22150,3918915,90814,3927556,2.600320,3918915,10.68160331,3926415,34246.242557,4.021378411
3933930,3948944,(13#)131,3936293,22188,3933930,88736,3936293,2.599760,3933930,10.40258705,3941430,34373.558442,4.022973597
3948945,3963959,(13#)263/2,3951764,22354,3948945,88378,3961283,2.606488,3948945,10.32640634,3956445,34497.220380,4.024138896
3963960,3978974,(13#)132,3964463,22408,3968055,90202,3974746,2.609044,3968055,10.49543961,3971460,34606.700233,4.023653427
3978975,3993989,(13#)265/2,3986531,22532,3978975,90406,3992123,2.608902,3978975,10.49410214,3986475,34715.890376,4.023143571
3993990,4009004,(13#)133,3996758,22538,3993990,94150,3996758,2.606043,3993990,10.89300591,4001490,34824.745788,4.022604117
4009005,4024019,(13#)267/2,4015034,22544,4009005,90308,4015034,2.596429,4009005,10.41450221,4016505,34942.065668,4.023048883
4024020,4039034,(13#)134,4034477,22758,4037880,91582,4034477,2.610102,4037880,10.49579641,4031520,35046.939594,4.022068500
4039035,4054049,(13#)269/2,4041242,22790,4039035,90076,4047991,2.608708,4039035,10.32063922,4046535,35158.204329,4.021831044
4054050,4069064,(13#)135,4060838,22844,4064445,92644,4060838,2.605187,4064445,10.55721084,4061550,35268.731269,4.021517114
4069065,4084079,(13#)271/2,4069376,22904,4081770,90932,4069376,2.607269,4069065,10.35030705,4076565,35384.400266,4.021795132
4084080,4099094,(17#)8,4087942,22994,4084080,96428,4087942,2.607185,4084080,10.94251090,4091580,35496.819447,4.021709117
4099095,4114109,(13#)273/2,4099112,23084,4103715,94364,4099112,2.611193,4103715,10.66377437,4106595,35615.693773,4.022358141
4114110,4129124,(13#)137,4115572,23088,4114110,92194,4115572,2.602570,4114110,10.39567622,4121610,35726.860073,4.022141590
4129125,4144139,(13#)275/2,4131313,23148,4129125,91766,4131313,2.600695,4129125,10.31472381,4136625,35837.305361,4.021850158
