START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio,Status
(7#)35,7351,2.199762,7451,0.875120,9.217434e-01,0.371588,3.564814e+00,EXPECTED
(7#)71/2,7522,2.372402,7559,0.873580,9.990585e-01,0.370281,4.047796e+00,EXPECTED
(7#)36,7561,2.321013,7649,0.872221,9.787162e-01,0.369037,3.925872e+00,EXPECTED
(7#)73/2,7727,2.199214,7759,0.870408,9.268932e-01,0.367786,3.612987e+00,EXPECTED
(7#)37,7846,2.336977,7873,0.868439,9.899161e-01,0.366442,4.007559e+00,EXPECTED
(7#)75/2,7951,2.232082,7963,0.866765,9.459222e-01,0.365486,3.735621e+00,EXPECTED
(7#)38,8062,2.328303,8081,0.864497,9.907471e-01,0.364262,4.018553e+00,EXPECTED
(11#)7/2,8116,2.236375,8179,0.862486,9.527926e-01,0.363301,3.781682e+00,EXPECTED
(7#)39,8224,2.292547,8192,0.860078,9.803956e-01,0.362238,3.954497e+00,EXPECTED
(7#)79/2,8311,2.234912,8389,0.857950,9.574113e-01,0.361246,3.811702e+00,EXPECTED
(7#)40,8429,2.249292,8501,0.855371,9.668355e-01,0.360108,3.870842e+00,EXPECTED
(7#)81/2,8599,2.329117,8609,0.852789,1.004732e+00,0.359258,4.109381e+00,EXPECTED
(7#)41,8614,2.287560,8713,0.850216,9.897506e-01,0.358291,4.011666e+00,EXPECTED
(7#)83/2,8777,2.179478,8819,0.847494,9.445569e-01,0.357473,3.726111e+00,EXPECTED
(7#)42,8839,2.279660,8923,0.844757,9.927326e-01,0.356627,4.023540e+00,EXPECTED
(7#)85/2,9014,2.281605,9029,0.841902,9.969708e-01,0.355758,4.046861e+00,EXPECTED
(7#)43,9091,2.412999,9133,0.839009,1.056404e+00,0.354884,4.435224e+00,EXPECTED
(7#)87/2,9173,2.323530,9239,0.835969,1.022251e+00,0.354157,4.200287e+00,EXPECTED
(11#)4,9283,2.301998,9343,0.832927,1.016587e+00,0.353392,4.157058e+00,EXPECTED
(7#)89/2,9349,2.396602,9439,0.830057,1.060313e+00,0.352621,4.442574e+00,EXPECTED
(7#)45,9511,2.294051,9551,0.826633,1.020714e+00,0.351845,4.170638e+00,EXPECTED
(7#)91/2,9649,2.163663,9649,0.823586,9.658899e-01,0.351002,3.817861e+00,EXPECTED
(7#)46,9748,2.284701,9749,0.820402,1.024196e+00,0.350521,4.177493e+00,EXPECTED
(7#)93/2,9817,2.375649,9859,0.816817,1.067611e+00,0.349849,4.455728e+00,EXPECTED
(7#)47,9941,2.284239,9973,0.813053,1.032992e+00,0.349209,4.212910e+00,EXPECTED
(7#)95/2,10078,2.360845,10079,0.809462,1.070405e+00,0.348400,4.452879e+00,EXPECTED
(7#)48,10174,2.343381,10181,0.805971,1.067302e+00,0.347916,4.418911e+00,EXPECTED
(7#)97/2,10273,2.292671,10289,0.802199,1.050116e+00,0.347344,4.291054e+00,EXPECTED
(7#)49,10369,2.243034,10391,0.798566,1.032767e+00,0.346756,4.165661e+00,EXPECTED
(11#)9/2,10462,2.194423,10499,0.794672,1.015745e+00,0.346238,4.042742e+00,EXPECTED
(7#)50,10501,2.449522,10601,0.790951,1.130412e+00,0.345715,4.797510e+00,EXPECTED
(7#)101/2,10687,2.319381,10709,0.786940,1.080904e+00,0.345187,4.439452e+00,EXPECTED
(7#)51,10786,2.430362,10799,0.783232,1.132367e+00,0.344684,4.778667e+00,EXPECTED
(7#)103/2,10883,2.318296,10909,0.779359,1.090116e+00,0.344124,4.472042e+00,EXPECTED
(7#)52,11023,2.452351,11003,0.775542,1.151240e+00,0.343644,4.879494e+00,EXPECTED
(7#)105/2,11054,2.258518,11119,0.774937,1.069682e+00,0.343249,4.322171e+00,EXPECTED
(7#)53,11197,2.391314,11213,0.786802,1.111622e+00,0.342806,4.680525e+00,EXPECTED
(7#)107/2,11272,2.131467,11329,0.798923,9.813012e-01,0.342360,3.892230e+00,EXPECTED
(7#)54,11353,2.334737,11443,0.811282,1.057039e+00,0.341912,4.455693e+00,EXPECTED
(7#)109/2,11461,2.347919,11549,0.821710,1.049897e+00,0.341541,4.468597e+00,EXPECTED
(11#)5,11593,2.296655,11633,0.832838,1.014370e+00,0.341150,4.290831e+00,EXPECTED
(7#)111/2,11749,2.392249,11743,0.844014,1.041820e+00,0.340765,4.543410e+00,EXPECTED
(7#)56,11839,2.348206,11863,0.855267,1.009993e+00,0.340345,4.386546e+00,EXPECTED
(7#)113/2,11932,2.392674,11969,0.865615,1.016727e+00,0.340039,4.490835e+00,EXPECTED
(7#)57,11971,2.386736,12073,0.876075,1.002230e+00,0.339697,4.447084e+00,EXPECTED
