START,n_1,C_max,Npred_1,CpredAlign,Lambda_max,Jitter,JitterRatio,Status
(13#)251/2,3768765,10.35626435,3768765,10.35404656,2.141725e-04,0.092071,0.024088,OUTLIER
(13#)126,3783780,10.30724480,3783780,10.31263115,-5.224425e-04,0.091956,-0.058575,EXPECTED
(13#)253/2,3798795,10.76684901,3798795,10.80348605,-3.396987e-03,0.091807,-0.399066,EXPECTED
(13#)127,3813810,10.39862013,3813810,10.39504917,3.434661e-04,0.091683,0.038949,OUTLIER
(17#)15/2,3828825,10.97315576,3828825,10.99972951,-2.418778e-03,0.091578,-0.290176,EXPECTED
(13#)128,3843840,10.34050310,3843840,10.31250042,2.711731e-03,0.091442,0.306234,OUTLIER
(13#)257/2,3858855,10.29126309,3858855,10.35290441,-5.971808e-03,0.091307,-0.675100,EXPECTED
(13#)129,3873870,10.55245243,3873870,10.56387471,-1.081844e-03,0.091190,-0.125258,EXPECTED
(13#)259/2,3888885,10.52086308,3888885,10.60690130,-8.144610e-03,0.091089,-0.944551,EXPECTED
(13#)130,3903900,10.30940760,3903900,10.31237209,-2.875106e-04,0.090942,-0.032598,EXPECTED
(13#)261/2,3918915,10.68160331,3918915,10.69414135,-1.173109e-03,0.090818,-0.138057,EXPECTED
(13#)131,3933930,10.40258705,3933930,10.39223657,9.954863e-04,0.090720,0.114093,OUTLIER
(13#)263/2,3948945,10.32640634,3948945,10.35173290,-2.449599e-03,0.090594,-0.279561,EXPECTED
(13#)132,3968055,10.49543961,3968055,10.48997706,5.206044e-04,0.090491,0.060366,OUTLIER
(13#)265/2,3978975,10.49410214,3978975,10.51435081,-1.927669e-03,0.090364,-0.224079,EXPECTED
(13#)133,3993990,10.89300591,3993990,10.91856931,-2.344023e-03,0.090221,-0.283342,EXPECTED
(13#)267/2,4009005,10.41450221,4009005,10.43066460,-1.550709e-03,0.090122,-0.179339,EXPECTED
(13#)134,4037880,10.49579641,4037880,10.48571503,9.609776e-04,0.090024,0.111985,OUTLIER
(13#)269/2,4039035,10.32063922,4039035,10.35071471,-2.909873e-03,0.089873,-0.334644,EXPECTED
(13#)135,4064445,10.55721084,4064445,10.56359880,-6.048973e-04,0.089776,-0.071154,EXPECTED
(13#)271/2,4069065,10.35030705,4081770,10.35432520,-3.881402e-04,0.089685,-0.044803,EXPECTED
(17#)8,4084080,10.94251090,4084080,10.99919540,-5.166838e-03,0.089589,-0.632717,EXPECTED
(13#)273/2,4103715,10.66377437,4103715,10.67631205,-1.175036e-03,0.089408,-0.140230,EXPECTED
(13#)137,4114110,10.39567622,4114110,10.38832380,7.075077e-04,0.089347,0.082291,OUTLIER
(13#)275/2,4129125,10.31472381,4129125,10.31194679,2.692650e-04,0.089255,0.031113,OUTLIER
(13#)138,4144140,10.79117189,4144140,10.80273297,-1.070773e-03,0.089161,-0.129665,EXPECTED
(13#)277/2,4159155,10.32058642,4159155,10.34935080,-2.783211e-03,0.089049,-0.323017,EXPECTED
(13#)139,4174170,10.38252337,4174170,10.38709322,-4.400515e-04,0.088949,-0.051376,EXPECTED
(13#)279/2,4189185,10.68496585,4189185,10.66727982,1.656597e-03,0.088823,0.199115,OUTLIER
(13#)140,4204200,10.30876436,4204200,10.31174439,-2.890355e-04,0.088723,-0.033588,EXPECTED
(13#)281/2,4219215,10.32718690,4219215,10.34869835,-2.080826e-03,0.088625,-0.242724,EXPECTED
(13#)141,4234230,10.54917717,4234230,10.54080395,7.940472e-04,0.088513,0.094599,OUTLIER
(13#)283/2,4260795,10.42528304,4260795,10.43073209,-5.225399e-04,0.088405,-0.061637,EXPECTED
(13#)142,4264260,10.43824882,4264260,10.46108607,-2.185453e-03,0.088326,-0.258556,EXPECTED
(13#)285/2,4279275,10.94166570,4279275,10.91798376,2.166727e-03,0.088233,0.268402,OUTLIER
(13#)143,4294290,10.30134765,4294290,10.31162762,-9.974272e-04,0.088138,-0.116635,EXPECTED
(13#)287/2,4309305,10.56712859,4309305,10.57591372,-8.310186e-04,0.088003,-0.099828,EXPECTED
(13#)144,4324320,10.26549522,4324320,10.31158820,-4.480038e-03,0.087918,-0.524272,EXPECTED
(17#)17/2,4339335,10.96883103,4339335,10.99870425,-2.719762e-03,0.087824,-0.340149,EXPECTED
(13#)145,4354350,10.69680869,4354350,10.69328833,3.291579e-04,0.087748,0.040119,OUTLIER
(13#)291/2,4369365,10.36607529,4369365,10.42000486,-5.189020e-03,0.087638,-0.615367,EXPECTED
(13#)146,4384380,10.45790658,4384380,10.45666225,1.189917e-04,0.087527,0.014217,OUTLIER
