START,n_0,C_min,Npred_0,Cbound,Lambda_min,Jitter,JitterRatio
(17#)421/2,107655619,2.638636,107717609,2.535847,3.973441e-02,0.000358,2.871201e+02
(17#)211,107972233,2.639745,107972863,2.536026,4.008403e-02,0.000357,2.905294e+02
(17#)423/2,108107212,2.638805,108228083,2.536199,3.965966e-02,0.000356,2.882191e+02
(17#)212,108237937,2.639201,108483373,2.536376,3.973993e-02,0.000356,2.888343e+02
(17#)425/2,108679906,2.639922,108738611,2.536552,3.994369e-02,0.000357,2.895518e+02
(17#)213,108743017,2.638278,108993883,2.536727,3.925176e-02,0.000356,2.852556e+02
(17#)427/2,109080151,2.639030,109249139,2.536897,3.946974e-02,0.000356,2.868904e+02
(17#)214,109485668,2.640213,109504363,2.537071,3.984933e-02,0.000355,2.905408e+02
(17#)429/2,109695448,2.639208,109759627,2.537243,3.940081e-02,0.000354,2.880367e+02
(17#)215,109966684,2.640010,110014873,2.537415,3.963686e-02,0.000353,2.906374e+02
(17#)431/2,110067109,2.640378,110270117,2.537586,3.970885e-02,0.000353,2.911955e+02
(17#)216,110442529,2.636421,110525407,2.537754,3.814288e-02,0.000352,2.803040e+02
(17#)433/2,110725558,2.639394,110780641,2.537923,3.920332e-02,0.000351,2.890912e+02
(17#)217,110996521,2.639285,111035923,2.538091,3.909582e-02,0.000350,2.891257e+02
(17#)435/2,111052807,2.640713,111291161,2.538259,3.957054e-02,0.000350,2.927257e+02
(17#)218,111443336,2.639024,111546433,2.538427,3.886455e-02,0.000349,2.882436e+02
