n,C(n),Cminus(n),C(n)-Cminus(n),CminusAsym(n),C(n)-CminusAsym(n),preMertens,preMertensAsymp,alpha(n)
1034134,2.571303,2.120257,0.451046,2.135626,0.435677,5416,7219,0.500000000000
1050706,2.556321,2.119259,0.437062,2.135696,0.420626,5416,7219,0.500000000000
1053142,2.560025,2.119967,0.440058,2.135706,0.424319,5416,7219,0.500000000000
1067611,2.564956,2.118337,0.446619,2.135765,0.429191,5416,7219,0.500000000000
1093418,2.575284,2.120261,0.455023,2.135869,0.439415,5416,7219,0.500000000000
1101119,2.571810,2.118723,0.453087,2.135900,0.435910,5416,7219,0.500000000000
1116337,2.566773,2.117594,0.449179,2.135960,0.430814,5416,7219,0.500000000000
1138519,2.571708,2.114691,0.457016,2.136045,0.435663,5416,7219,0.500000000000
1154584,2.576126,2.115338,0.460788,2.136105,0.440020,5416,7219,0.500000000000
1166306,2.582036,2.115190,0.466846,2.136149,0.445887,5416,7219,0.500000000000
1171721,2.577143,2.116593,0.460550,2.136169,0.440974,5416,7219,0.500000000000
1190542,2.575724,2.115928,0.459796,2.136238,0.439486,5416,7219,0.500000000000
1201553,2.553525,2.116773,0.436751,2.136277,0.417247,5416,7219,0.500000000000
1227416,2.574592,2.119356,0.455235,2.136369,0.438223,5416,7219,0.500000000000
1239109,2.571541,2.118749,0.452791,2.136409,0.435131,5416,7219,0.500000000000
1246537,2.571671,2.119003,0.452668,2.136435,0.435236,5416,7219,0.500000000000
1271308,2.567174,2.119606,0.447569,2.136519,0.430656,5416,7219,0.500000000000
1287808,2.580738,2.120077,0.460661,2.136574,0.444165,5416,7219,0.500000000000
1303117,2.581485,2.123640,0.457844,2.136624,0.444861,5416,7219,0.500000000000
1305097,2.580555,2.122579,0.457976,2.136630,0.443925,5416,7219,0.500000000000
1308529,2.570502,2.123371,0.447132,2.136641,0.433861,5416,7219,0.500000000000
1327552,2.567012,2.124365,0.442647,2.136703,0.430309,5416,7219,0.500000000000
1347289,2.580835,2.126966,0.453869,2.136765,0.444070,5416,7219,0.500000000000
1352977,2.568573,2.124909,0.443664,2.136783,0.431790,5416,7219,0.500000000000
1367291,2.578175,2.125097,0.453078,2.136827,0.441348,5416,7219,0.500000000000
1392068,2.581279,2.125716,0.455563,2.136903,0.444376,5416,7219,0.500000000000
1403569,2.576241,2.124916,0.451325,2.136938,0.439303,5416,7219,0.500000000000
1421554,2.574203,2.122558,0.451645,2.136991,0.437212,5416,7219,0.500000000000
1427329,2.563568,2.121991,0.441577,2.137008,0.426560,5416,7219,0.500000000000
1446013,2.577389,2.122671,0.454718,2.137063,0.440326,5416,7219,0.500000000000
1460213,2.583438,2.125597,0.457841,2.137104,0.446334,5416,7219,0.500000000000
1485139,2.569529,2.121433,0.448096,2.137174,0.432355,5416,7219,0.500000000000
1498438,2.572049,2.119519,0.452530,2.137211,0.434838,5416,7219,0.500000000000
1508933,2.579741,2.121600,0.458141,2.137240,0.442501,5416,7219,0.500000000000
1525204,2.588498,2.119939,0.468559,2.137285,0.451213,5416,7219,0.500000000000
1538384,2.572062,2.120785,0.451277,2.137321,0.434741,5416,7219,0.500000000000
1552613,2.581629,2.122132,0.459498,2.137359,0.444270,5416,7219,0.500000000000
1568978,2.579733,2.122164,0.457569,2.137402,0.442330,5416,7219,0.500000000000
1588283,2.576881,2.122736,0.454145,2.137453,0.439428,5416,7219,0.500000000000
