START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
(5#)32,967,1.761041,971,0.963707,6.028731e-01,3.524117,2.262507e-01,EXPECTED
(5#)65/2,982,1.933461,977,0.886103,7.802337e-01,3.538234,2.960115e-01,EXPECTED
(5#)33,997,2.106150,997,0.842782,9.159086e-01,3.549164,3.559621e-01,EXPECTED
(5#)67/2,1009,1.898450,1019,1.140895,5.092247e-01,3.562579,2.126423e-01,EXPECTED
(5#)34,1024,2.252124,1024,0.853691,9.700597e-01,3.573901,3.912904e-01,EXPECTED
(5#)69/2,1048,2.030676,1039,0.944136,7.658538e-01,3.584902,3.030878e-01,EXPECTED
(7#)5,1063,2.195023,1063,0.868913,9.267048e-01,3.596550,3.687172e-01,EXPECTED
(5#)71/2,1072,2.361462,1069,1.160701,7.102568e-01,3.604853,3.330957e-01,EXPECTED
(5#)36,1094,2.506504,1093,0.895408,1.029365e+00,3.612671,4.459570e-01,EXPECTED
(5#)73/2,1109,1.952088,1097,0.883886,7.923268e-01,3.623747,2.947783e-01,EXPECTED
(5#)37,1123,2.110511,1123,0.879879,8.749010e-01,3.640760,3.380151e-01,EXPECTED
(5#)75/2,1126,2.104611,1129,0.952705,7.925806e-01,3.656211,3.150546e-01,EXPECTED
(5#)38,1147,2.252003,1153,0.870875,9.500769e-01,3.668755,3.764569e-01,EXPECTED
(11#)/2,1244,2.122683,1259,0.888189,8.712516e-01,3.686419,3.348762e-01,EXPECTED
(7#)6,1319,1.723241,1361,0.889702,6.610755e-01,2.920744,2.853858e-01,EXPECTED
(7#)13/2,1402,1.647631,1459,0.896015,6.091366e-01,2.895153,2.596118e-01,EXPECTED
(7#)7,1489,1.865276,1571,0.896381,7.327988e-01,2.750790,3.522243e-01,EXPECTED
(7#)15/2,1676,2.104753,1669,0.906925,8.418936e-01,2.656459,4.509115e-01,EXPECTED
(7#)8,1774,2.019039,1783,0.913802,7.927630e-01,2.543533,4.345283e-01,EXPECTED
(7#)17/2,1849,2.204669,1889,0.887891,9.094837e-01,2.469054,5.333128e-01,EXPECTED
(7#)9,1966,1.989272,1993,0.882130,8.131846e-01,2.359864,4.691550e-01,EXPECTED
(7#)19/2,2029,1.715762,2048,0.872370,6.763989e-01,2.322172,3.631910e-01,EXPECTED
(7#)10,2104,2.003507,2203,0.865237,8.396510e-01,2.200676,5.172365e-01,EXPECTED
(7#)21/2,2287,1.989104,2309,0.846146,8.547476e-01,2.132765,5.359043e-01,EXPECTED
(11#),2347,2.156625,2411,0.836850,9.466549e-01,2.103047,6.275537e-01,EXPECTED
(7#)23/2,2447,2.190317,2503,0.827222,9.737285e-01,2.070485,6.583457e-01,EXPECTED
(7#)12,2623,2.363446,2621,0.884012,9.834054e-01,2.017737,7.332145e-01,EXPECTED
(7#)25/2,2633,2.168203,2729,0.910591,8.675602e-01,1.972986,6.374156e-01,EXPECTED
(7#)13,2809,2.065835,2833,0.960422,7.659170e-01,1.926921,5.736680e-01,EXPECTED
(7#)27/2,2909,2.274897,2939,1.000851,8.210841e-01,1.880057,6.776635e-01,EXPECTED
(7#)14,2974,2.064698,3041,1.038318,6.873819e-01,1.847008,5.556987e-01,EXPECTED
