START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound
(7#)2,433,1.364958,433,2.694622,420,7.99188162,420,8.60223889,427,3.810424367,4.120178197,433,0.000000,420,13.110187,434,0.000000
(5#)29/2,439,2.366648,439,2.693917,435,7.48402071,435,7.43306573,442,4.104867342,4.047667906,449,0.000000,435,11.470325,449,0.000000
(5#)15,463,1.956971,463,2.693116,462,7.49643810,450,7.16810384,457,3.989477522,4.110324866,464,0.000000,450,11.184391,464,0.000000
(5#)31/2,466,1.944258,479,2.692619,465,7.47988224,465,7.41434850,472,3.818291722,4.023960004,479,0.000000,465,11.419258,479,0.000000
(5#)16,481,1.907067,491,2.692264,483,6.65597280,480,7.16531086,487,3.612001363,4.068711841,493,0.000000,480,11.152772,494,0.000000
(5#)33/2,496,1.863948,499,2.692035,495,7.79282126,495,7.96058969,502,3.868766908,4.065199066,509,0.000000,495,11.963377,509,0.000000
(5#)17,524,2.394277,512,2.686429,510,7.01146018,510,7.64264747,517,3.912216892,4.029710347,524,0.000000,510,11.606794,524,0.000000
(7#)5/2,526,2.089567,538,2.696448,525,7.78613819,525,8.59706998,532,3.817656994,4.135844334,538,0.000000,525,13.055451,539,0.000000
(5#)18,548,2.031998,541,2.691301,540,7.03712751,540,7.16260023,547,3.840467645,4.056302241,554,0.000000,540,11.107987,554,0.000000
(5#)37/2,569,1.983900,557,2.690900,555,6.91916673,555,7.36656045,562,3.620022540,4.068752720,569,0.000000,555,11.306900,569,0.000000
(5#)19,577,2.245675,577,2.690424,570,7.91213209,570,7.58365556,577,3.703510300,4.031847798,584,0.000000,570,11.514429,584,0.000000
(5#)39/2,599,2.188595,599,2.689596,585,7.50774530,585,7.81275465,592,3.860057601,4.099204601,599,0.000000,585,11.741713,599,0.000000
(5#)20,601,1.910627,601,2.689887,609,7.03221547,600,7.16027293,607,3.829507820,4.044980684,614,0.000000,600,11.079998,614,0.000000
(5#)41/2,617,1.876316,619,2.689185,615,7.25345459,615,7.34327566,622,3.819726676,4.073582934,628,0.000000,615,11.260934,629,0.000000
(7#)3,631,2.111378,643,2.688718,630,7.91377219,630,8.59207809,637,3.791617010,4.065267061,643,0.000000,630,13.050325,644,0.000000
(5#)43/2,649,2.329513,659,2.688423,645,6.23868815,645,7.33412050,652,3.782369936,4.041705932,659,0.000000,645,11.245124,659,0.000000
(5#)22,661,1.788981,661,2.688684,660,7.91893649,660,7.95360276,667,3.875933936,4.124831282,674,0.000000,660,11.887907,674,0.000000
(5#)45/2,677,2.010889,677,2.688393,675,7.30446862,675,7.15773218,682,3.849406531,4.004487421,688,0.000000,675,11.064748,689,0.000000
(5#)23,697,2.216917,701,2.687975,693,7.17206434,690,7.49893355,697,3.939479803,4.111263752,703,0.000000,690,11.403086,704,0.000000
(5#)47/2,706,1.706515,719,2.687407,714,7.25655511,705,7.31662958,712,3.962780321,4.051920760,719,0.000000,705,11.222048,719,0.000000
(5#)24,734,2.135493,733,2.687452,720,6.73346279,720,7.15644784,727,3.841887122,3.998774912,734,0.000000,720,11.060261,734,0.000000
(7#)7/2,743,2.355865,739,2.687098,735,8.54549570,735,8.58719170,742,4.196812727,4.145238905,746,0.000000,735,13.085210,749,0.000000
(5#)25,751,2.338294,761,2.687024,750,7.24579438,750,7.15630777,757,3.951470508,4.033867907,764,0.000000,750,11.061816,764,0.000000
