START,n_geom,C_avg,Cpred_avg,Lambda_avg
7PR43D2,4567,3.997206,4.045219,-1.194014e-02
11PR2,4672,4.016742,4.051332,-8.574533e-03
7PR45D2,4777,3.959576,4.049058,-2.234750e-02
7PR23,4882,3.940226,4.048008,-2.698668e-02
7PR47D2,4987,3.928459,4.051256,-3.077969e-02
7PR24,5092,3.991574,4.043075,-1.281996e-02
7PR49D2,5197,4.029584,4.053586,-5.938896e-03
7PR25,5302,3.987333,4.040031,-1.312968e-02
7PR51D2,5407,3.958874,4.053796,-2.369392e-02
7PR26,5512,3.932998,4.046601,-2.847530e-02
7PR53D2,5617,3.935196,4.050200,-2.880555e-02
7PR27,5722,3.886062,4.043198,-3.963971e-02
11PR5D2,5827,3.949550,4.049514,-2.499519e-02
7PR28,5932,3.965007,4.048089,-2.073749e-02
7PR57D2,6037,3.969178,4.043897,-1.864976e-02
7PR29,6142,3.971519,4.048602,-1.922292e-02
7PR59D2,6247,4.002366,4.046140,-1.087751e-02
7PR30,6352,4.044700,4.049586,-1.207331e-03
7PR61D2,6457,4.017797,4.042123,-6.036200e-03
7PR31,6562,4.059555,4.051098,2.085399e-03
7PR63D2,6667,4.043818,4.043672,3.595380e-05
7PR32,6772,3.992505,4.044167,-1.285683e-02
7PR65D2,6877,4.055639,4.046042,2.369184e-03
11PR3,6982,4.034484,4.051003,-4.086017e-03
7PR67D2,7087,4.008336,4.048551,-9.982869e-03
7PR34,7192,4.006742,4.043665,-9.172983e-03
7PR69D2,7297,3.982325,4.047307,-1.618591e-02
7PR35,7402,3.981201,4.045304,-1.597312e-02
7PR71D2,7507,3.968242,4.043553,-1.880051e-02
7PR36,7612,3.972123,4.048792,-1.911779e-02
7PR73D2,7717,3.945572,4.044706,-2.481509e-02
7PR37,7822,3.939594,4.045143,-2.643921e-02
7PR75D2,7927,3.925289,4.041299,-2.912620e-02
7PR38,8032,3.952136,4.044502,-2.310234e-02
11PR7D2,8137,3.953393,4.049993,-2.414101e-02
7PR39,8242,3.956252,4.047966,-2.291752e-02
7PR79D2,8347,3.967198,4.046723,-1.984732e-02
7PR40,8452,4.005788,4.043474,-9.364020e-03
7PR81D2,8557,3.959131,4.040918,-2.044719e-02
7PR41,8662,4.000405,4.047363,-1.166995e-02
7PR83D2,8767,4.001009,4.045432,-1.104180e-02
7PR42,8872,4.004901,4.041985,-9.217183e-03
7PR85D2,8977,4.002710,4.049626,-1.165277e-02
7PR43,9082,3.981217,4.041709,-1.507995e-02
