n,ratio,c_pred,baseline,c_meas,lambda,status
2122224,0.98102320,6.38323667,0.20727166,6.26210328,-0.01915917,EXPECTED
2137434,0.98179714,6.11024793,0.20647946,5.99902392,-0.01837057,EXPECTED
2158626,0.98055164,5.87680942,0.20539266,5.76251510,-0.01963997,EXPECTED
2171118,0.97799900,5.64030268,0.20476110,5.51621037,-0.02224663,EXPECTED
2186652,0.97891269,6.10461418,0.20398493,5.97588432,-0.02131282,EXPECTED
2203149,0.98077101,6.39168028,0.20317166,6.26877471,-0.01941627,EXPECTED
2211339,0.97877161,6.00284404,0.20277199,5.87541334,-0.02145695,EXPECTED
2228991,0.98572717,5.81586700,0.20191971,5.73285812,-0.01437567,EXPECTED
2250606,0.98010398,5.51750007,0.20089267,5.40772377,-0.02009661,EXPECTED
2253822,0.97894828,5.71466737,0.20074141,5.59436379,-0.02127647,EXPECTED
2278314,0.98065364,5.70354046,0.19960227,5.59319774,-0.01953595,EXPECTED
2287962,0.97962170,5.87090554,0.19915967,5.75126649,-0.02058880,EXPECTED
2311452,0.97963215,6.67879511,0.22010688,6.54276239,-0.02057814,EXPECTED
2320908,0.97886546,6.08024383,0.19767365,5.95174069,-0.02136107,EXPECTED
2334048,0.97815819,5.65913745,0.19709170,5.53553163,-0.02208388,EXPECTED
2342826,0.98083476,5.76734619,0.19670627,5.65681361,-0.01935128,EXPECTED
2357511,0.97790158,5.99595208,0.19606740,5.86345101,-0.02234625,EXPECTED
2372838,0.97955312,6.21572970,0.19540822,6.08863739,-0.02065882,EXPECTED
2395107,0.98098411,6.66369831,0.21607155,6.53698215,-0.01919902,EXPECTED
2414532,0.98017154,5.51009194,0.19365407,5.40083531,-0.02002768,EXPECTED
2430588,0.97992595,5.50941396,0.19299329,5.39881774,-0.02027827,EXPECTED
2438118,0.97873962,5.82259115,0.19268615,5.69880062,-0.02148964,EXPECTED
2457648,0.97946190,5.50919844,0.19189761,5.39604996,-0.02075194,EXPECTED
2475567,0.98200024,6.02688687,0.19118421,5.91840437,-0.01816372,EXPECTED
2486457,0.98297485,5.50726465,0.19075525,5.41350262,-0.01717175,EXPECTED
2496624,0.98315929,5.99143612,0.19035782,5.89053608,-0.01698413,EXPECTED
2513277,0.97961681,5.98959293,0.18971337,5.86750591,-0.02059380,EXPECTED
2525430,0.97969229,7.34081000,0.25233055,7.19173494,-0.02051675,EXPECTED
2552232,0.98031021,6.05627093,0.18823594,5.93702423,-0.01988622,EXPECTED
