Dec.,max |lambda|,2nd max |lambda|,min |lambda|,2nd min |lambda|,median |lambda|,trimmed < |lambda| >,Spread_raw^IQR (of |lambda|),% positive
0,1.067e+00,4.989e-01,1.870e-01,2.638e-01,4.011e-01,3.879e-01,2.351e-01,0.0
1,5.977e-01,5.329e-01,2.494e-02,7.738e-02,2.875e-01,2.631e-01,2.135e-01,0.0
2,2.966e-01,2.117e-01,4.368e-03,4.867e-03,5.057e-02,6.363e-02,5.749e-02,15.0
3,9.248e-02,8.888e-02,2.046e-04,2.988e-04,2.107e-02,2.862e-02,3.326e-02,29.5
4,5.070e-02,4.264e-02,3.488e-04,3.594e-04,1.046e-02,1.272e-02,1.283e-02,30.6
5,2.434e-02,2.320e-02,7.570e-06,1.399e-04,5.158e-03,6.036e-03,5.724e-03,41.3
6,8.164e-03,7.762e-03,1.666e-05,3.811e-05,1.802e-03,2.152e-03,2.317e-03,44.9
7,3.496e-03,2.571e-03,6.580e-06,1.096e-05,5.267e-04,6.515e-04,6.340e-04,44.8
