alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
1.0,993627,0.01720635,873171,0.02127298
1.0,789321,0.01738615,698724,0.0246305
1.0,593541,0.02065123,491439,0.03221527
1.0,444639,0.03184282,332196,0.04176896
1.0,296283,0.04765735,245310,0.06274013
1.0,235296,0.05445877,236529,0.06383053
1.0,228462,0.05309855,223977,0.06819122
1.0,213486,0.0591646,209643,0.0697109
1.0,203034,0.06700439,192270,0.07673924
1.0,188955,0.07360972,176172,0.08312285
1.0,162486,0.07559856,167571,0.08875064
1.0,156774,0.08124297,161322,0.09123753
1.0,147186,0.0813685,134901,0.10210938
1.0,132639,0.09177209,122889,0.10948287
1.0,106392,0.09257655,116883,0.1158336
1.0,94809,0.08436742,98787,0.10405524
1.0,82269,0.08600119,92184,0.09854738
1.0,69333,0.07740796,78441,0.09396334
1.0,60489,0.06741761,63648,0.08479987
1.0,39666,0.06820135,46464,0.08523502
1.0,35061,0.06560764,23244,0.08719359
1.0,21639,0.07475314,14685,0.11610158
1.0,13299,0.0989093,13365,0.12624982
1.0,12876,0.0843228,12081,0.13741092
1.0,11856,0.11765317,11220,0.14182316
1.0,10374,0.11455471,9867,0.13968924
1.0,8721,0.09964377,9174,0.15918112
1.0,8151,0.11607232,7656,0.16328855
1.0,6324,0.15091042,5757,0.18291629
1.0,5343,0.17367877,4794,0.2247003
1.0,4290,0.20100204,3168,0.27886812
1.0,3036,0.2550934,1989,0.39743972
1.0,1716,0.41647177,1140,0.71224369
1.0,924,0.46093583,1035,0.68840073
1.0,819,0.46352007,780,0.64241589
1.0,693,0.46258215,678,0.67212348
