Dec.,max |lambda|,2nd max |lambda|,min |lambda|,2nd min |lambda|,median |lambda|,trimmed < |lambda| >,Spread_raw^IQR (of |lambda|),% positive
0,5.226e-01,4.989e-01,1.870e-01,2.638e-01,2.921e-01,3.516e-01,2.351e-01,20.0
1,5.977e-01,5.329e-01,1.541e-01,1.673e-01,3.223e-01,3.228e-01,2.183e-01,0.0
2,1.893e-01,1.720e-01,1.582e-03,1.236e-02,6.533e-02,7.280e-02,5.414e-02,3.3
3,6.675e-02,5.460e-02,3.265e-05,1.211e-03,1.943e-02,2.047e-02,1.507e-02,5.3
4,2.726e-02,2.472e-02,2.755e-04,4.132e-04,6.141e-03,7.746e-03,6.710e-03,4.1
5,8.046e-03,7.493e-03,1.576e-05,6.581e-05,2.245e-03,2.392e-03,2.370e-03,7.1
