START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign
(7#)5/2,526,2.089567,538,2.696448,525,7.78613819,525,8.59706998,532,3.817656994,4.135506996,13.722616,0.679521
(5#)18,548,2.031998,547,2.690775,540,7.03712751,540,7.16260023,547,3.840467645,4.055842310,13.797345,0.685692
(5#)37/2,569,1.983900,569,2.690611,555,6.91916673,555,7.36656045,562,3.620022540,4.069070894,13.977247,0.713417
(5#)19,577,2.245675,577,2.690424,570,7.91213209,570,7.58365556,577,3.703510300,4.032218448,14.041725,0.723017
(5#)39/2,599,2.188595,599,2.689596,585,7.50774530,585,7.81275465,592,3.860057601,4.098917188,14.216564,0.748199
(5#)20,601,1.910627,613,2.689631,609,7.03221547,600,7.16027293,607,3.829507820,4.044577586,14.326005,0.764131
(5#)41/2,617,1.876316,619,2.689185,615,7.25345459,615,7.34327566,622,3.819726676,4.073861594,14.372490,0.770351
(7#)3,631,2.111378,643,2.688718,630,7.91377219,630,8.59207809,637,3.791617010,4.065595706,14.556006,0.795712
(5#)43/2,649,2.329513,659,2.688423,645,6.23868815,645,7.33412050,652,3.782369936,4.041449716,14.676273,0.811932
(5#)22,661,1.788981,673,2.688464,660,7.91893649,660,7.95360276,667,3.875933936,4.124465824,14.780199,0.825991
(5#)45/2,677,2.010889,683,2.688000,675,7.30446862,675,7.15773218,682,3.849406531,4.004734156,14.853707,0.835304
(5#)23,697,2.216917,701,2.687975,693,7.17206434,690,7.49893355,697,3.939479803,4.111568089,14.984546,0.852406
(5#)47/2,706,1.706515,719,2.687407,714,7.25655511,705,7.31662958,712,3.962780321,4.051697486,15.113551,0.868389
(5#)24,734,2.135493,733,2.687452,720,6.73346279,720,7.15644784,727,3.841887122,3.998454277,15.212663,0.880929
(7#)7/2,743,2.355865,743,2.687037,735,8.54549570,735,8.58719170,742,4.196812727,4.145472077,15.282821,0.889246
(5#)25,751,2.338294,761,2.687024,750,7.24579438,750,7.15630777,757,3.951470508,4.034144733,15.407805,0.904563
(5#)51/2,766,2.072834,773,2.686848,765,7.15563604,765,7.63291811,772,3.867464214,4.068772757,15.490225,0.914341
(5#)26,788,1.806384,787,2.686405,780,7.04990800,780,7.80528485,787,3.860158173,4.059355288,15.585493,0.925254
(5#)53/2,802,1.784236,809,2.686344,795,6.51590604,795,7.29471835,802,3.869580025,4.059836635,15.733328,0.942503
(5#)27,821,1.976976,823,2.685928,810,6.64448411,810,7.15472752,817,3.804628348,4.049022950,15.826251,0.952779
(5#)55/2,839,2.379710,839,2.685726,825,7.66200530,825,7.94924953,832,3.989216972,4.044399745,15.931384,0.964504
(7#)4,841,2.159749,853,2.685775,840,8.20414590,840,8.58407866,847,3.938706151,4.088185602,16.022470,0.974742
(5#)57/2,859,1.914982,863,2.685434,855,7.47170017,855,7.57379415,862,3.918842651,4.101486567,16.087025,0.981544
(5#)29,883,2.295458,883,2.685200,870,7.79339087,870,7.41823750,877,4.052500582,4.059148530,16.214904,0.995269
(5#)59/2,886,2.287381,887,2.685154,885,7.91710221,885,7.27842450,892,3.949772972,4.033255374,16.240287,0.997964
(5#)30,904,2.050129,911,2.684886,900,6.78664426,900,7.15208551,907,3.780000887,4.064536940,16.391267,1.013805
(5#)61/2,919,1.825774,929,2.684891,915,6.91869875,915,7.27296264,922,3.763694936,4.053571313,16.503061,1.025524
(5#)31,943,1.991920,941,2.684762,930,6.63119009,930,7.39862282,937,3.707657468,4.022753430,16.576923,1.033037
(7#)9/2,958,2.164457,953,2.684635,945,7.55793189,945,8.58200080,952,3.745684025,4.124362418,16.650265,1.040423
(5#)32,967,1.761041,971,2.684260,960,7.07321591,960,7.15088425,967,3.873249109,4.045747866,16.759322,1.051085
(5#)65/2,982,1.933461,983,2.684142,975,7.58665247,975,7.80062493,982,3.779939666,4.087550162,16.831405,1.058174
(5#)33,997,2.106150,997,2.684190,990,7.49719194,990,7.94534790,997,3.802745832,4.028730270,16.914886,1.066483
(5#)67/2,1009,1.898450,1019,2.683801,1005,6.85377083,1005,7.26051298,1012,3.775321640,4.035788696,17.044764,1.078767
(5#)34,1024,2.252124,1024,2.681141,1020,7.33980895,1020,7.62643108,1027,3.986142026,4.091093088,17.074063,1.078937
(5#)69/2,1048,2.030676,1049,2.683702,1035,7.08454356,1035,7.48994347,1042,3.809637589,4.013726424,17.219382,1.095373
(7#)5,1063,2.195023,1063,2.683407,1050,8.66474534,1050,8.57966186,1057,4.027402448,4.107501863,17.299920,1.102657
(5#)71/2,1072,2.361462,1069,2.683525,1071,6.91378853,1065,7.25304850,1072,4.035681771,4.071866120,17.334255,1.105983
(5#)36,1094,2.506504,1093,2.683318,1092,7.70861537,1080,7.14875727,1087,4.127242638,4.071960832,17.470535,1.118369
(5#)73/2,1109,1.952088,1109,2.683183,1095,6.98422798,1095,7.24917329,1102,3.945217175,4.013757310,17.560464,1.126426
(5#)37,1123,2.110511,1123,2.682909,1110,7.44190976,1110,7.35295362,1117,4.106924269,4.093582232,17.638561,1.133191
(5#)75/2,1126,2.104611,1129,2.683020,1125,6.85042475,1125,7.14844049,1132,4.009979435,4.029369546,17.671865,1.136283
(5#)38,1147,2.252003,1153,2.682829,1140,7.12745061,1140,7.56826738,1147,3.914327530,3.986801137,17.804105,1.147809
(11#)/2,1244,2.122683,1259,2.681915,1155,9.13559580,1155,9.53007910,1206,3.934787166,4.066233708,18.370544,1.194993
(7#)6,1319,1.723241,1361,2.681396,1260,8.73658664,1260,8.57531312,1311,3.861564000,4.056036092,18.890980,1.235902
(7#)13/2,1402,1.647631,1459,2.680712,1365,8.55809036,1365,9.35356312,1416,3.893629533,4.058719755,19.370846,1.271284
(7#)7,1489,1.865276,1571,2.680140,1470,7.81539530,1470,8.57264344,1521,3.844801073,4.057088001,19.897679,1.308156
(7#)15/2,1676,2.104753,1669,2.679787,1575,8.53964513,1575,8.57093822,1626,3.994843238,4.057305507,20.341656,1.337747
(7#)8,1774,2.019039,1783,2.679205,1680,8.40436284,1680,8.56975153,1731,3.840675899,4.054267089,20.840117,1.369165
(7#)17/2,1849,2.204669,1889,2.678883,1785,8.79830470,1785,9.14018451,1836,4.002058697,4.059955479,21.287808,1.396229
(7#)9,1966,1.989272,1993,2.678508,1890,8.43214029,1890,8.56789132,1941,4.008652265,4.050480577,21.713559,1.420790
(7#)19/2,2029,1.715762,2048,2.676937,1995,8.57059128,1995,9.07056300,2046,3.923622191,4.054213030,21.933686,1.431712
(7#)10,2104,2.003507,2203,2.677756,2145,8.12379559,2145,8.65214719,2151,3.871466541,4.054710953,22.536761,1.465443
(7#)21/2,2287,1.989104,2309,2.677521,2205,8.06714663,2205,8.56514666,2256,3.834198965,4.049399195,22.935579,1.485976
(11#),2347,2.156625,2411,2.677177,2310,9.14058186,2310,9.51595498,2361,3.941891684,4.058892352,23.309756,1.504442
(7#)23/2,2447,2.190317,2503,2.676943,2415,8.64639902,2415,8.97116580,2466,3.949622247,4.052911581,23.639697,1.520280
(7#)12,2623,2.363446,2621,2.676720,2520,7.98399457,2520,8.56269466,2571,3.967331880,4.054978605,24.053067,1.539544
(7#)25/2,2633,2.168203,2729,2.676474,2625,8.59805030,2625,8.56221025,2676,3.944871856,4.046612392,24.422340,1.556128
(7#)13,2809,2.065835,2833,2.676249,2730,9.53914578,2730,9.33990552,2782,4.016695881,4.056123556,24.770258,1.571283
(7#)27/2,2909,2.274897,2939,2.675980,2835,8.56334577,2835,8.56078760,2887,4.011163743,4.052486884,25.117561,1.585927
(7#)14,2974,2.064698,3041,2.675833,2940,8.67739172,2940,8.56022332,2992,3.961016497,4.051726445,25.445177,1.599463
(7#)29/2,3076,1.845344,3137,2.675654,3135,8.85070812,3045,8.87685877,3097,3.958834679,4.052165383,25.747930,1.611609
(7#)15,3221,2.107297,3253,2.675448,3150,8.07464822,3150,8.55930633,3202,3.902500735,4.049743583,26.106894,1.625635
(7#)31/2,3334,2.210551,3359,2.675223,3255,9.08651900,3255,8.85376750,3307,3.906135426,4.051169086,26.428677,1.637830
(7#)16,3386,2.340982,3463,2.675056,3360,8.55513325,3360,8.55816779,3412,3.934966538,4.043288130,26.738892,1.649346
(11#)3/2,3559,2.029695,3559,2.674908,3465,9.20509845,3465,9.50870704,3517,3.925535040,4.058076155,27.020633,1.659570
(7#)17,3571,2.249487,3673,2.674779,3570,8.47248673,3570,9.12788635,3622,3.909336161,4.053444261,27.349712,1.671279
(7#)35/2,3769,1.943543,3779,2.674587,3675,8.65796828,3675,8.55682377,3727,3.952743740,4.044985701,27.650589,1.681658
(7#)18,3799,2.075010,3881,2.674486,3795,8.16344904,3780,8.55641678,3832,3.956935876,4.049325703,27.935669,1.691358
(7#)37/2,3964,2.216472,3989,2.674342,3885,8.65284260,3885,8.80059383,3937,4.031398137,4.046237925,28.232970,1.701220
(7#)19,4051,2.044491,4093,2.674208,3990,8.61525608,3990,9.05902910,4042,3.955871380,4.058084449,28.515016,1.710382
(7#)39/2,4153,2.340594,4096,2.673517,4095,9.26020575,4095,9.33300293,4147,3.964584714,4.050008651,28.523092,1.709954
(7#)20,4282,2.220909,4297,2.673959,4200,8.21978002,4290,8.64111668,4252,4.026057242,4.050188288,29.056797,1.727473
(7#)41/2,4393,2.306710,4409,2.673829,4305,8.45913368,4305,8.77400021,4357,3.961866554,4.047409195,29.348116,1.736398
(7#)21,4486,2.143577,4513,2.673712,4410,8.62279023,4410,8.55431361,4462,3.990033304,4.047322597,29.614929,1.744415
(7#)43/2,4603,2.102361,4603,2.673583,4515,8.78519237,4515,8.76250498,4567,3.997205638,4.045218897,29.843052,1.751124
(11#)2,4651,2.085780,4723,2.673457,4620,9.43200294,4620,9.50395507,4672,4.016741935,4.051331703,30.143354,1.759839
(7#)45/2,4801,1.856187,4817,2.673391,4725,8.48560494,4725,8.55334142,4777,3.959575554,4.049058310,30.375612,1.766489
(7#)23,4909,2.178086,4933,2.673275,4830,9.23639960,4830,8.96032980,4882,3.940226253,4.048007681,30.658748,1.774420
(7#)47/2,4987,2.151973,5039,2.673145,4935,8.55995006,4935,8.74270751,4987,3.928458773,4.051255638,30.914225,1.781424
(7#)24,5086,2.176695,5119,2.673070,5040,8.47914389,5040,8.55236744,5092,3.991573907,4.043075146,31.105048,1.786600
(7#)49/2,5242,2.126897,5237,2.672990,5145,8.23437263,5145,8.55217279,5197,4.029583952,4.053586437,31.383481,1.794066
(7#)25,5308,2.217466,5351,2.672862,5250,8.88898687,5250,8.55190387,5302,3.987333044,4.040030627,31.649151,1.801012
