Dec.,max |lambda|,2nd max |lambda|,min |lambda|,2nd min |lambda|,median |lambda|,trimmed < |lambda| >,Spread_raw^IQR (of |lambda|),% positive
0,1.067e+00,4.989e-01,1.870e-01,2.638e-01,4.011e-01,3.879e-01,2.351e-01,0.0
1,5.977e-01,5.329e-01,1.550e-01,1.658e-01,3.223e-01,3.235e-01,2.243e-01,0.0
2,1.891e-01,1.725e-01,1.639e-03,1.231e-02,6.535e-02,7.278e-02,5.436e-02,3.3
3,6.672e-02,5.461e-02,3.595e-05,1.207e-03,1.946e-02,2.047e-02,1.503e-02,5.3
4,2.727e-02,2.472e-02,2.769e-04,4.130e-04,6.141e-03,7.746e-03,6.708e-03,4.1
5,8.046e-03,7.494e-03,1.571e-05,6.587e-05,2.245e-03,2.392e-03,2.370e-03,7.1
