START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio,Status
(17#)163/2,41744774,2.631825,41861759,2.610695,8.061052e-03,0.008711,2.425669e+00,EXPECTED
(17#)82,41954984,2.633679,42117067,2.610775,8.734616e-03,0.008684,2.637494e+00,EXPECTED
(17#)165/2,42145777,2.633117,42372293,2.610854,8.490945e-03,0.008658,2.571379e+00,EXPECTED
(17#)83,42624509,2.632990,42627569,2.610932,8.412837e-03,0.008632,2.555375e+00,EXPECTED
(17#)167/2,42661672,2.632549,42882821,2.611009,8.215842e-03,0.008607,2.502614e+00,EXPECTED
(17#)84,43062872,2.633218,43138079,2.611085,8.440829e-03,0.008582,2.579003e+00,EXPECTED
(17#)169/2,43159756,2.631244,43393349,2.611159,7.662554e-03,0.008557,2.347201e+00,EXPECTED
(17#)85,43543622,2.631252,43648601,2.611233,7.637255e-03,0.008532,2.346343e+00,EXPECTED
(19#)9/2,43817623,2.631417,43903841,2.611306,7.672005e-03,0.008508,2.363775e+00,EXPECTED
(17#)86,43986944,2.634464,44159107,2.611377,8.802077e-03,0.008484,2.721240e+00,EXPECTED
(17#)173/2,44294533,2.631231,44414329,2.611448,7.546941e-03,0.008460,2.338416e+00,EXPECTED
(17#)87,44528149,2.634733,44669621,2.611518,8.850187e-03,0.008436,2.751897e+00,EXPECTED
(17#)175/2,44731231,2.634755,44924879,2.611587,8.832116e-03,0.008413,2.753833e+00,EXPECTED
(17#)88,45173824,2.632683,45180133,2.611655,8.019358e-03,0.008390,2.506317e+00,EXPECTED
(17#)177/2,45267808,2.635113,45435389,2.611722,8.916291e-03,0.008367,2.795626e+00,EXPECTED
(17#)89,45561898,2.634634,45690641,2.611788,8.709229e-03,0.008344,2.738015e+00,EXPECTED
(17#)179/2,45750142,2.633862,45945877,2.611853,8.391279e-03,0.008322,2.644677e+00,EXPECTED
(17#)90,46085467,2.634998,46201139,2.611917,8.797988e-03,0.008300,2.780843e+00,EXPECTED
(17#)181/2,46431778,2.632357,46456409,2.611981,7.770705e-03,0.008278,2.461464e+00,EXPECTED
(17#)91,46594183,2.635729,46711627,2.612044,9.026747e-03,0.008256,2.868823e+00,EXPECTED
(17#)183/2,46894108,2.633895,46966883,2.612106,8.306947e-03,0.008235,2.645902e+00,EXPECTED
(17#)92,47087281,2.633008,47222159,2.612167,7.946774e-03,0.008214,2.537253e+00,EXPECTED
(17#)185/2,47309188,2.633116,47477429,2.612227,7.964822e-03,0.008193,2.549616e+00,EXPECTED
(17#)93,47622787,2.634875,47732611,2.612286,8.610042e-03,0.008172,2.764195e+00,EXPECTED
(17#)187/2,47873767,2.635685,47987921,2.612345,8.894825e-03,0.008151,2.863452e+00,EXPECTED
(17#)94,48190642,2.635323,48243193,2.612403,8.735268e-03,0.008131,2.818841e+00,EXPECTED
(17#)189/2,48285199,2.635154,48498403,2.612460,8.649318e-03,0.008111,2.797929e+00,EXPECTED
(19#)5,48626887,2.632639,48753673,2.612516,7.673023e-03,0.008091,2.487084e+00,EXPECTED
(17#)191/2,48879484,2.633137,49008913,2.612572,7.840734e-03,0.008071,2.548011e+00,EXPECTED
(17#)96,49187434,2.632998,49264213,2.612627,7.766892e-03,0.008052,2.529930e+00,EXPECTED
(17#)193/2,49318109,2.635156,49519469,2.612681,8.565486e-03,0.008032,2.798182e+00,EXPECTED
(17#)97,49635736,2.634741,49774723,2.612735,8.387320e-03,0.008013,2.746287e+00,EXPECTED
(17#)195/2,49940141,2.633450,50029951,2.612788,7.876923e-03,0.007994,2.584689e+00,EXPECTED
(17#)98,50141197,2.634563,50285233,2.612840,8.279571e-03,0.007975,2.723887e+00,EXPECTED
(17#)197/2,50458396,2.635375,50540467,2.612891,8.568216e-03,0.007957,2.825688e+00,EXPECTED
(17#)99,50608574,2.633957,50795713,2.612942,8.010489e-03,0.007938,2.647392e+00,EXPECTED
(17#)199/2,50912011,2.636007,51050981,2.612992,8.769347e-03,0.007920,2.905934e+00,EXPECTED
(17#)100,51198841,2.634543,51306247,2.613042,8.194673e-03,0.007902,2.720957e+00,EXPECTED
(17#)201/2,51539167,2.635865,51561479,2.613091,8.677590e-03,0.007884,2.888635e+00,EXPECTED
(17#)101,51716248,2.634955,51816749,2.613139,8.313923e-03,0.007866,2.773455e+00,EXPECTED
(17#)203/2,52007056,2.633287,52072019,2.613187,7.662326e-03,0.007849,2.560836e+00,EXPECTED
(17#)102,52116109,2.633243,52327243,2.613234,7.627632e-03,0.007831,2.555102e+00,EXPECTED
(17#)205/2,52371376,2.633141,52582487,2.613280,7.571293e-03,0.007814,2.541720e+00,EXPECTED
(17#)103,52646206,2.633595,52837747,2.613326,7.726093e-03,0.007797,2.599590e+00,EXPECTED
(17#)207/2,52911227,2.635705,53093017,2.613371,8.509740e-03,0.007780,2.870694e+00,EXPECTED
(17#)104,53265791,2.635671,53348287,2.613416,8.479621e-03,0.007763,2.866804e+00,EXPECTED
(19#)11/2,53359531,2.635169,53603549,2.613460,8.272303e-03,0.007747,2.802246e+00,EXPECTED
(17#)105,53699671,2.633020,53858797,2.613503,7.440009e-03,0.007730,2.524838e+00,EXPECTED
(17#)211/2,54054124,2.635260,54114059,2.613546,8.273929e-03,0.007714,2.814882e+00,EXPECTED
(17#)106,54226726,2.635112,54369311,2.613589,8.201313e-03,0.007698,2.795921e+00,EXPECTED
(17#)213/2,54448969,2.634606,54624529,2.613631,7.993203e-03,0.007682,2.730409e+00,EXPECTED
(17#)107,54684703,2.633856,54879793,2.613672,7.692803e-03,0.007666,2.632925e+00,EXPECTED
(17#)215/2,55083529,2.633461,55135049,2.613713,7.527135e-03,0.007650,2.581438e+00,EXPECTED
(17#)108,55192084,2.635633,55390327,2.613753,8.336261e-03,0.007635,2.865750e+00,EXPECTED
(17#)217/2,55473001,2.636138,55645571,2.613793,8.512544e-03,0.007619,2.932800e+00,EXPECTED
(17#)109,55853137,2.636086,55900837,2.613832,8.477897e-03,0.007604,2.926618e+00,EXPECTED
(17#)219/2,56049046,2.635400,56156081,2.613871,8.202709e-03,0.007589,2.836869e+00,EXPECTED
(17#)110,56165927,2.635609,56411353,2.613909,8.267473e-03,0.007574,2.865065e+00,EXPECTED
(17#)221/2,56548759,2.635267,56666579,2.613947,8.123166e-03,0.007559,2.820479e+00,EXPECTED
(17#)111,56673544,2.633961,56921863,2.613984,7.613303e-03,0.007544,2.648065e+00,EXPECTED
(17#)223/2,56969719,2.635792,57177101,2.614021,8.294057e-03,0.007529,2.891619e+00,EXPECTED
(17#)112,57242986,2.635920,57432373,2.614058,8.328464e-03,0.007515,2.909115e+00,EXPECTED
(17#)225/2,57577804,2.636144,57687607,2.614094,8.399669e-03,0.007500,2.940000e+00,EXPECTED
(17#)113,57712034,2.637007,57942883,2.614129,8.713598e-03,0.007486,3.056105e+00,EXPECTED
(17#)227/2,57988096,2.635972,58198097,2.614164,8.307642e-03,0.007472,2.918630e+00,EXPECTED
(19#)6,58327037,2.635784,58453393,2.614198,8.223313e-03,0.007458,2.894342e+00,EXPECTED
(17#)229/2,58622908,2.634749,58708621,2.614233,7.817175e-03,0.007444,2.756045e+00,EXPECTED
(17#)115,58803007,2.634830,58963889,2.614266,7.835294e-03,0.007430,2.767699e+00,EXPECTED
(17#)231/2,59213989,2.635457,59219141,2.614299,8.060609e-03,0.007416,2.853020e+00,EXPECTED
