START,n_0,C_min,Npred_0,CpredBound,Lambda_min
(13#)55/2,831373,2.564720,840839,2.489461,2.978309e-02
(13#)28,850253,2.564273,855851,2.491471,2.880171e-02
(13#)57/2,860422,2.564422,870853,2.493418,2.807865e-02
(13#)29,883648,2.566164,885883,2.495304,2.800161e-02
(13#)59/2,891427,2.564719,900869,2.497133,2.670565e-02
(13#)30,909037,2.548728,915911,2.498908,1.974057e-02
(13#)61/2,915961,2.547074,930911,2.500627,1.840375e-02
(13#)31,944161,2.565326,945943,2.502298,2.487606e-02
(13#)63/2,957844,2.549019,960941,2.503921,1.785068e-02
(13#)32,968299,2.573348,975967,2.505498,2.672026e-02
(13#)65/2,990586,2.569172,990989,2.507031,2.448448e-02
(13#)33,1004449,2.563918,1006003,2.508524,2.184202e-02
(13#)67/2,1016921,2.561834,1021019,2.509974,2.045101e-02
