alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
0.0625,1641368,0.2554747,1551842,0.2775545
0.0625,1359181,0.2803343,1432724,0.3161631
0.0625,1326217,0.3034145,1204802,0.3785586
0.0625,1157762,0.370862,1015043,0.4377522
0.0625,989336,0.44704,849287,0.5459244
0.0625,788318,0.5578207,638167,0.7343975
0.0625,616079,0.7662234,460673,1.201067
0.0625,271241,0.8838749,435443,1.141624
0.0625,266374,0.8158568,249814,0.9498592
0.0625,235834,0.8454881,230512,0.931225
0.0625,215368,0.8478161,227299,0.9141903
0.0625,214237,0.8630919,213391,0.9184155
0.0625,188714,0.8547876,200489,0.9329616
0.0625,177076,0.855411,183761,0.9388799
0.0625,167023,0.793783,162607,0.9193594
0.0625,148997,0.7618264,147947,0.9693641
0.0625,138077,0.7831841,145228,1.006466
0.0625,119512,0.931778,118717,1.032688
0.0625,113824,0.9416589,106889,1.072669
0.0625,103784,0.9530247,93662,1.17805
0.0625,86347,1.092065,76403,1.301892
0.0625,73673,1.341793,62851,1.569154
0.0625,61634,1.665619,48641,2.757302
0.0625,47818,2.971894,44623,5.077594
0.125,9041174,0.05158607,7412401,0.06209464
0.125,6400063,0.05826236,4807337,0.08154912
0.125,4604597,0.06734331,4666373,0.07858317
0.125,4589141,0.06357601,4448579,0.08353926
0.125,4247636,0.07157178,4331746,0.08162911
0.125,4224706,0.06489099,4195859,0.08487669
0.125,3891857,0.06746434,3879938,0.08578148
0.125,3696377,0.07136661,3818869,0.08539323
0.125,3635836,0.07511756,3661352,0.08589521
0.125,3444632,0.0798714,3423842,0.09125764
0.125,3162514,0.07659586,3285467,0.09254903
0.125,3125134,0.08299231,3058826,0.1005323
0.125,2837162,0.08753964,2860996,0.1036736
0.125,2757019,0.08657067,2680241,0.1034017
0.125,2608336,0.09172617,2596519,0.1041819
0.125,2381438,0.09340812,2428486,0.1105249
0.125,2213452,0.1066187,2112763,0.1194496
0.125,1986437,0.120007,1928288,0.133186
0.125,1874506,0.1252574,1784528,0.1369243
0.125,1711459,0.1177383,1556288,0.1428981
0.125,1524023,0.1300968,1396429,0.1585307
0.125,1297771,0.1545145,1188001,0.1855984
0.125,1143167,0.1652097,1002208,0.2091771
0.125,958978,0.1966008,831643,0.2412302
0.125,788318,0.2343837,639112,0.2959505
0.125,601642,0.2938602,453451,0.4130933
0.125,442328,0.4199931,281581,0.7858916
0.125,266374,0.7708491,244418,0.9269198
0.125,241919,0.913619,234334,0.9834808
0.125,218558,0.9290001,228097,0.9921479
0.125,206966,0.8968475,212293,0.9475997
0.125,189094,0.8298114,199856,0.927782
0.125,180053,0.7985521,182674,0.867647
0.125,163412,0.7619667,167252,0.8348155
0.125,148997,0.7297032,154183,0.8078775
0.125,144842,0.7328202,140423,0.8013424
0.125,119563,0.6733429,129046,0.7753001
0.125,109981,0.6495105,113011,0.7514252
0.125,97568,0.6316845,96464,0.7332989
0.125,77269,0.6683364,83396,0.7557023
0.125,63202,0.6705666,66592,0.7859757
0.125,61058,0.7269131,51416,0.8698707
0.125,47638,0.8045828,35059,1.030271
0.125,33647,1.044584,21178,1.747196
0.125,20029,2.113366,16301,7.260545
0.25,8336738,0.05137207,9008243,0.05918166
0.25,4824811,0.04710359,4789636,0.05883756
0.25,4661002,0.05369046,4602932,0.05927079
0.25,4513351,0.0500064,4553713,0.06034124
0.25,4372499,0.05470169,4408331,0.06254962
0.25,4119251,0.05514072,4213546,0.06158995
0.25,3875128,0.05306171,3959743,0.06104507
0.25,3760034,0.04493388,3825359,0.06203128
0.25,3585139,0.05515458,3598363,0.06411802
0.25,3393994,0.05779684,3413104,0.06338237
0.25,3225718,0.05186868,3278911,0.06230025
0.25,3021439,0.04982137,3100661,0.06529239
0.25,2842724,0.05709297,2855462,0.0656808
0.25,2619418,0.05855057,2728328,0.06685982
0.25,2466883,0.06033718,2565863,0.06962945
0.25,2294377,0.05936617,2280974,0.07178652
0.25,2235424,0.05902155,2144251,0.07566502
0.25,2012053,0.06569505,1933793,0.07563255
0.25,1731848,0.06676482,1810736,0.08182041
0.25,1650437,0.07690498,1631794,0.08486269
0.25,1488233,0.07533217,1429936,0.08916886
0.25,1297876,0.07779485,1208962,0.09953095
0.25,1107844,0.08842808,1056899,0.1067227
0.25,923306,0.1046712,814789,0.1298709
0.25,784528,0.116028,668197,0.1413227
0.25,617167,0.1402265,464213,0.1933919
0.25,442328,0.1932517,275662,0.3119318
0.25,266374,0.302269,242584,0.3587056
0.25,241772,0.340223,234334,0.3900272
0.25,228097,0.3620679,215029,0.4105714
0.25,201904,0.3641824,205438,0.4287861
0.25,189094,0.4190702,193441,0.4653501
0.25,185021,0.4601125,173951,0.5061026
0.25,168227,0.4911077,159722,0.5734229
0.25,157286,0.5201498,145693,0.6075606
0.25,142099,0.599898,135094,0.6913302
0.25,129652,0.6854545,118409,0.8009415
0.25,108193,0.7127588,113882,0.8177896
0.25,92381,0.6720737,99817,0.7499053
0.25,76316,0.6245889,88373,0.6969606
0.25,62581,0.5908401,74846,0.6407897
0.25,58543,0.5243748,59027,0.6069524
0.25,35792,0.5445228,38239,0.5970522
0.25,28921,0.5908745,22772,0.7069589
0.25,20362,0.7243306,14611,0.9857383
0.25,13729,0.8151649,14029,1.031148
0.25,12379,0.9648296,12073,1.148811
0.25,10883,1.117936,10501,1.249129
0.25,10124,1.171165,9332,1.483708
0.25,9239,1.411548,8054,1.798571
0.25,7949,1.77608,6781,2.458584
0.25,6676,2.594365,6046,4.566413
0.5,6670333,0.05996756,8377064,0.06961476
0.5,4792159,0.0476088,6634582,0.05883438
0.5,4657141,0.05156752,4638149,0.05779397
0.5,4475881,0.05238217,4568336,0.05759241
0.5,4372499,0.05204823,4354381,0.05687028
0.5,4197376,0.04855749,4208627,0.05653533
0.5,3883478,0.0488692,4034477,0.05489831
0.5,3760034,0.04842124,3822034,0.05609268
0.5,3561149,0.05207008,3515401,0.0556146
0.5,3364727,0.04980367,3489916,0.05628324
0.5,3226558,0.04988275,3245252,0.05454828
0.5,3004042,0.0481584,3053924,0.05451044
0.5,2936938,0.0469796,2919424,0.0526617
0.5,2653489,0.04865004,2774917,0.05423018
0.5,2473948,0.0462449,2511253,0.05431495
0.5,2263843,0.04768754,2294377,0.05537012
0.5,2098952,0.04814477,2149759,0.05604133
0.5,1969936,0.0470712,1892416,0.05470653
0.5,1835741,0.04725322,1725814,0.0551792
0.5,1647964,0.04907329,1668971,0.05785801
0.5,1427329,0.05041358,1525204,0.05838409
0.5,1201553,0.05196576,1171721,0.06206837
0.5,1050706,0.05864573,1034134,0.06508649
0.5,957844,0.05965543,819212,0.07241688
0.5,770558,0.06346883,674719,0.08086236
0.5,621472,0.08473359,467009,0.1011216
0.5,448444,0.09907009,272794,0.1487038
0.5,259801,0.1538917,246518,0.182168
0.5,239857,0.1615246,237883,0.1902549
0.5,217697,0.1706654,215854,0.2050192
0.5,204928,0.1742694,212644,0.2007097
0.5,199021,0.1920456,187471,0.2143271
0.5,174214,0.2039943,177841,0.2265612
0.5,171694,0.2230821,159407,0.2562034
0.5,157901,0.2373123,148696,0.2707505
0.5,145144,0.2600256,134087,0.2844469
0.5,127189,0.2691987,126397,0.3190839
0.5,116728,0.284351,107684,0.351003
0.5,103214,0.3548684,90526,0.4164751
0.5,89459,0.377312,78427,0.4886073
0.5,71633,0.4749064,63421,0.594279
0.5,51826,0.5758052,57172,0.6483972
0.5,35792,0.4727529,47834,0.5678314
0.5,23201,0.4470476,32972,0.5046611
0.5,18637,0.4519875,14779,0.5692514
0.5,14243,0.498272,13943,0.5946817
0.5,12671,0.4943107,11932,0.580036
0.5,11272,0.4777548,10501,0.6350429
0.5,10462,0.5278464,9349,0.6487475
0.5,8777,0.5780443,8062,0.6777084
0.5,7219,0.6026965,6791,0.8002997
0.5,6353,0.7013331,5557,0.8708321
0.5,5416,0.7252395,4393,1.074267
0.5,4051,1.036255,2974,1.561875
0.5,2909,1.757487,2104,4.176017
1.0,9585649,0.0270587,6922309,0.03845848
1.0,6426964,0.04048393,4812503,0.05606748
1.0,4770068,0.05452748,4649209,0.05772645
1.0,4465177,0.05343572,4429561,0.05929166
1.0,4354381,0.05801386,4263202,0.06101256
1.0,4100794,0.05920201,4151207,0.0621259
1.0,3956566,0.05733003,4019188,0.0624851
1.0,3793627,0.05567115,3844504,0.06111919
1.0,3542251,0.05517435,3670291,0.05875065
1.0,3347524,0.05185921,3460357,0.05717903
1.0,3221641,0.05180554,3266206,0.05519912
1.0,2980189,0.05015164,3139069,0.05336615
1.0,2877871,0.04916034,2854261,0.05365551
1.0,2640893,0.04583071,2661104,0.05181646
1.0,2473444,0.04617271,2485981,0.05072526
1.0,2378122,0.0460387,2355079,0.04957058
1.0,2079739,0.04497985,2098952,0.04810022
1.0,1897624,0.04294746,1954412,0.04848054
1.0,1807084,0.04200675,1720339,0.04719548
1.0,1559146,0.04022525,1664302,0.04580684
1.0,1500799,0.04240927,1412239,0.04551389
1.0,1265969,0.03786147,1251961,0.04528441
1.0,1135261,0.04085634,1151383,0.04756606
1.0,954094,0.04066864,827227,0.04858424
1.0,691816,0.04178825,651143,0.05018972
1.0,612022,0.04610426,453949,0.05531668
1.0,421276,0.05602534,283903,0.07458989
1.0,253321,0.07343326,249811,0.09101682
1.0,239566,0.07361924,233528,0.09130612
1.0,226456,0.08615632,218368,0.09943088
1.0,207574,0.08589135,206086,0.1020232
1.0,192292,0.08610024,187987,0.1087183
1.0,176224,0.09963451,174016,0.1168606
1.0,172751,0.09601729,166186,0.1172801
1.0,156476,0.111072,154114,0.1231274
1.0,142684,0.1099294,136711,0.1378422
1.0,126754,0.1284459,118894,0.1467514
1.0,115114,0.1442042,109297,0.1615214
1.0,102859,0.1540902,92431,0.1779097
1.0,88012,0.1743714,77899,0.2069799
1.0,72064,0.1832604,64606,0.2338725
1.0,56752,0.2384803,51826,0.2923195
1.0,47638,0.278506,35792,0.3923471
1.0,21304,0.4129503,28384,0.4783744
1.0,16519,0.350391,18859,0.3990835
1.0,13954,0.3443908,13438,0.3938696
1.0,11839,0.3208122,13003,0.4140689
1.0,10639,0.3443243,10936,0.4024058
1.0,10084,0.3418599,10058,0.3967006
1.0,8311,0.3516768,8111,0.3882801
1.0,6826,0.34341,7804,0.4061458
1.0,6361,0.3600409,5557,0.4139748
1.0,4801,0.3410049,4376,0.471022
1.0,4021,0.3738286,3316,0.5328951
1.0,2734,0.4707115,1816,0.7921225
1.0,1546,0.8357405,1063,1.400804
1.0,1024,1.272002,877,1.797762
1.0,859,1.683958,694,3.264112
1.0,677,3.760281,661,4.458301
