DECADE,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg
(5#)45/2,677,2.010889,683,2.68800000,675,7.304469,675,7.15773218,682,3.849407,4.00473416
(5#)23,697,2.216917,701,2.68797500,693,7.172064,690,7.49893355,697,3.939480,4.11156809
(5#)47/2,706,1.706515,719,2.68740700,714,7.256555,705,7.31662958,712,3.962780,4.05169749
(5#)24,734,2.135493,733,2.68745200,720,6.733463,720,7.15644784,727,3.841887,3.99845428
(7#)7/2,743,2.355865,743,2.68703700,735,8.545496,735,8.58719170,742,4.196813,4.14547208
(5#)25,751,2.338294,761,2.68702400,750,7.245794,750,7.15630777,757,3.951471,4.03414473
(5#)51/2,766,2.072834,773,2.68684800,765,7.155636,765,7.63291811,772,3.867464,4.06877276
(5#)26,788,1.806384,787,2.68640500,780,7.049908,780,7.80528485,787,3.860158,4.05935529
(5#)53/2,802,1.784236,809,2.68634400,795,6.515906,795,7.29471835,802,3.869580,4.05983663
(5#)27,821,1.976976,823,2.68592800,810,6.644484,810,7.15472752,817,3.804628,4.04902295
(5#)55/2,839,2.379710,839,2.68572600,825,7.662005,825,7.94924953,832,3.989217,4.04439974
(7#)4,841,2.159749,853,2.68577500,840,8.204146,840,8.58407866,847,3.938706,4.08818560
(5#)57/2,859,1.914982,863,2.68543400,855,7.471700,855,7.57379415,862,3.918843,4.10148657
(5#)29,883,2.295458,883,2.68520000,870,7.793391,870,7.41823750,877,4.052501,4.05914853
(5#)59/2,886,2.287381,887,2.68515400,885,7.917102,885,7.27842450,892,3.949773,4.03325537
(5#)30,904,2.050129,911,2.68488600,900,6.786644,900,7.15208551,907,3.780001,4.06453694
(5#)61/2,919,1.825774,929,2.68489100,915,6.918699,915,7.27296264,922,3.763695,4.05357131
(5#)31,943,1.991920,941,2.68476200,930,6.631190,930,7.39862282,937,3.707657,4.02275343
(7#)9/2,958,2.164457,953,2.68463500,945,7.557932,945,8.58200080,952,3.745684,4.12436242
(5#)32,967,1.761041,971,2.68426000,960,7.073216,960,7.15088425,967,3.873249,4.04574787
(5#)65/2,982,1.933461,983,2.68414200,975,7.586652,975,7.80062493,982,3.779940,4.08755016
(5#)33,997,2.106150,997,2.68419000,990,7.497192,990,7.94534790,997,3.802746,4.02873027
(5#)67/2,1009,1.898450,1019,2.68380100,1005,6.853771,1005,7.26051298,1012,3.775322,4.03578870
(5#)34,1024,2.252124,1024,2.68114100,1020,7.339809,1020,7.62643108,1027,3.986142,4.09109309
(5#)69/2,1048,2.030676,1049,2.68370200,1035,7.084544,1035,7.48994347,1042,3.809638,4.01372642
(7#)5,1063,2.195023,1063,2.68340700,1050,8.664745,1050,8.57966186,1057,4.027402,4.10750186
(5#)71/2,1072,2.361462,1069,2.68352500,1071,6.913789,1065,7.25304850,1072,4.035682,4.07186612
(5#)36,1094,2.506504,1093,2.68331800,1092,7.708615,1080,7.14875727,1087,4.127243,4.07196083
(5#)73/2,1109,1.952088,1109,2.68318300,1095,6.984228,1095,7.24917329,1102,3.945217,4.01375731
(5#)37,1123,2.110511,1123,2.68290900,1110,7.441910,1110,7.35295362,1117,4.106924,4.09358223
(5#)75/2,1126,2.104611,1129,2.68302000,1125,6.850425,1125,7.14844049,1132,4.009979,4.02936955
(5#)38,1147,2.252003,1153,2.68282900,1140,7.127451,1140,7.56826738,1147,3.914328,3.98680114
(11#)/2,1244,2.122683,1259,2.68191500,1155,9.135596,1155,9.53007910,1206,3.934787,4.06623371
(7#)6,1319,1.723241,1361,2.68139600,1260,8.736587,1260,8.57531312,1311,3.861564,4.05603609
(7#)13/2,1402,1.647631,1459,2.68071200,1365,8.558090,1365,9.35356312,1416,3.893630,4.05871976
(7#)7,1489,1.865276,1571,2.68014000,1470,7.815395,1470,8.57264344,1521,3.844801,4.05708800
(7#)15/2,1676,2.104753,1669,2.67978700,1575,8.539645,1575,8.57093822,1626,3.994843,4.05730551
(7#)8,1774,2.019039,1783,2.67920500,1680,8.404363,1680,8.56975153,1731,3.840676,4.05426709
(7#)17/2,1849,2.204669,1889,2.67888300,1785,8.798305,1785,9.14018451,1836,4.002059,4.05995548
(7#)9,1966,1.989272,1993,2.67850800,1890,8.432140,1890,8.56789132,1941,4.008652,4.05048058
(7#)19/2,2029,1.715762,2048,2.67693700,1995,8.570591,1995,9.07056300,2046,3.923622,4.05421303
(7#)10,2104,2.003507,2203,2.67775600,2145,8.123796,2145,8.65214719,2151,3.871467,4.05471095
(7#)21/2,2287,1.989104,2309,2.67752100,2205,8.067147,2205,8.56514666,2256,3.834199,4.04939920
(11#),2347,2.156625,2411,2.67717700,2310,9.140582,2310,9.51595498,2361,3.941892,4.05889235
(7#)23/2,2447,2.190317,2503,2.67694300,2415,8.646399,2415,8.97116580,2466,3.949622,4.05291158
(7#)12,2623,2.363446,2621,2.67672000,2520,7.983995,2520,8.56269466,2571,3.967332,4.05497860
(7#)25/2,2633,2.168203,2729,2.67647400,2625,8.598050,2625,8.56221025,2676,3.944872,4.04661239
(7#)13,2809,2.065835,2833,2.67624900,2730,9.539146,2730,9.33990552,2782,4.016696,4.05612356
(7#)27/2,2909,2.274897,2939,2.67598000,2835,8.563346,2835,8.56078760,2887,4.011164,4.05248688
(7#)14,2974,2.064698,3041,2.67583300,2940,8.677392,2940,8.56022332,2992,3.961016,4.05172644
(7#)29/2,3076,1.845344,3137,2.67565400,3135,8.850708,3045,8.87685877,3097,3.958835,4.05216538
(7#)15,3221,2.107297,3253,2.67544800,3150,8.074648,3150,8.55930633,3202,3.902501,4.04974358
(7#)31/2,3334,2.210551,3359,2.67522300,3255,9.086519,3255,8.85376750,3307,3.906135,4.05116909
(7#)16,3386,2.340982,3463,2.67505600,3360,8.555133,3360,8.55816779,3412,3.934967,4.04328813
(11#)3/2,3559,2.029695,3559,2.67490800,3465,9.205098,3465,9.50870704,3517,3.925535,4.05807616
(7#)17,3571,2.249487,3673,2.67477900,3570,8.472487,3570,9.12788635,3622,3.909336,4.05344426
(7#)35/2,3769,1.943543,3779,2.67458700,3675,8.657968,3675,8.55682377,3727,3.952744,4.04498570
