START,n_1,C_max,Npred_1,CpredAlign,Lambda_max,Jitter,JitterRatio,Status
4,4,1.92181206,4,3.84362411,-6.931472e-01,2.178254,-0.882272,EXPECTED
5,5,2.59029039,5,5.18058079,-6.931472e-01,2.935933,-0.882272,EXPECTED
6,6,2.14026800,6,6.42080399,-1.098612e+00,2.503355,-1.709920,EXPECTED
8,8,2.16203856,8,5.40633584,-9.165200e-01,2.591698,-1.251804,EXPECTED
9,9,4.82779584,9,8.71403758,-5.905452e-01,2.893671,-1.343014,EXPECTED
10,10,2.12075924,10,6.45262919,-1.112714e+00,2.597257,-1.667863,EXPECTED
12,12,4.11650737,12,8.13588270,-6.812792e-01,2.569946,-1.563992,EXPECTED
13,13,2.19298840,13,5.82841377,-9.774797e-01,2.738176,-1.327681,EXPECTED
14,14,1.98989245,14,5.91972596,-1.090210e+00,2.529185,-1.553794,EXPECTED
(5#)/2,21,5.56147012,15,10.04312293,-5.910256e-01,2.483436,-1.804618,EXPECTED
(5#),30,6.16967660,30,9.53183205,-4.349905e-01,2.157557,-1.558316,EXPECTED
(5#)3/2,45,6.58667241,45,9.30194448,-3.451752e-01,1.990887,-1.363850,EXPECTED
(5#)2,60,6.70546296,60,9.08102287,-3.032643e-01,1.850930,-1.283441,EXPECTED
(5#)5/2,75,7.05323920,75,8.98015678,-2.415304e-01,1.724468,-1.117398,EXPECTED
(5#)3,90,5.39954322,90,8.88486849,-4.980353e-01,1.633982,-2.133025,EXPECTED
(7#)/2,105,8.33051805,105,10.26841259,-2.091468e-01,1.594035,-1.215716,EXPECTED
(5#)4,120,6.87602316,120,8.75105031,-2.411333e-01,1.519217,-1.234206,EXPECTED
(5#)9/2,135,6.46434286,135,8.71244729,-2.984514e-01,1.503360,-1.495387,EXPECTED
(5#)5,150,5.35604609,150,8.67291634,-4.819791e-01,1.471700,-2.253768,EXPECTED
(5#)11/2,165,7.63044269,165,9.44572335,-2.134162e-01,1.441408,-1.259380,EXPECTED
(5#)6,189,7.01512641,180,8.60957908,-2.048067e-01,1.419043,-1.123611,EXPECTED
(5#)13/2,195,7.45275910,195,9.24412648,-2.154041e-01,1.397320,-1.282002,EXPECTED
(7#),210,8.16901684,210,10.00844254,-2.030804e-01,1.381099,-1.331857,EXPECTED
(5#)15/2,225,6.28588791,231,8.55589912,-3.083139e-01,1.365220,-1.662744,EXPECTED
(5#)8,252,6.79435245,240,8.53529809,-2.281185e-01,1.353305,-1.286440,EXPECTED
(5#)17/2,255,7.25329173,255,9.00383111,-2.161948e-01,1.339736,-1.306630,EXPECTED
(5#)9,270,6.96496187,270,8.51391613,-2.008099e-01,1.332861,-1.162127,EXPECTED
(5#)19/2,294,6.15296742,285,8.92866973,-3.723329e-01,1.321459,-2.100483,EXPECTED
(5#)10,300,6.94040203,300,8.49383880,-2.019814e-01,1.315505,-1.180867,EXPECTED
(7#)3/2,315,8.43110623,315,9.92365941,-1.629938e-01,1.311798,-1.137792,EXPECTED
(5#)11,330,7.74497014,330,9.27995965,-1.808136e-01,1.307303,-1.174165,EXPECTED
(5#)23/2,345,7.94116543,345,8.82044914,-1.050127e-01,1.303064,-0.674782,EXPECTED
(5#)12,360,6.15932812,360,8.47130125,-3.187164e-01,1.298962,-1.779862,EXPECTED
(5#)25/2,375,6.01128592,375,8.46897304,-3.427706e-01,1.297074,-1.894793,EXPECTED
(5#)13,390,6.57136743,390,9.11834070,-3.275659e-01,1.294966,-1.966826,EXPECTED
(5#)27/2,405,6.06725959,405,8.46507288,-3.330416e-01,1.294003,-1.853020,EXPECTED
(7#)2,420,7.99188162,420,9.89458666,-2.135616e-01,1.293366,-1.471127,EXPECTED
(5#)29/2,435,7.48402071,435,8.72607069,-1.535450e-01,1.293027,-0.960575,EXPECTED
(5#)15,462,7.49643810,462,8.46022505,-1.209478e-01,1.283796,-0.750732,EXPECTED
(5#)31/2,465,7.47988224,465,8.68608492,-1.495053e-01,1.268772,-0.950685,EXPECTED
(5#)16,483,6.65597280,480,8.41303884,-2.342681e-01,1.240192,-1.416769,EXPECTED
(5#)33/2,495,7.79282126,495,9.18986117,-1.648979e-01,1.223915,-1.141452,EXPECTED
(5#)17,510,7.01146018,510,8.85013273,-2.328865e-01,1.204935,-1.525952,EXPECTED
(7#)5/2,525,7.78613819,525,9.78775020,-2.287866e-01,1.187511,-1.685552,EXPECTED
(5#)18,540,7.03712751,540,8.33340390,-1.690719e-01,1.171492,-1.106517,EXPECTED
(5#)37/2,555,6.91916673,555,8.52198576,-2.083540e-01,1.153182,-1.389910,EXPECTED
(5#)19,570,7.91213209,570,8.72085904,-9.732046e-02,1.137832,-0.710761,EXPECTED
(5#)39/2,585,7.50774530,585,8.93582182,-1.741329e-01,1.121004,-1.273926,EXPECTED
(5#)20,609,7.03221547,600,8.26656278,-1.617170e-01,1.106866,-1.115173,EXPECTED
(5#)41/2,615,7.25345459,615,8.43651809,-1.510918e-01,1.091336,-1.084051,EXPECTED
(7#)3,630,7.91377219,630,9.66981265,-2.004044e-01,1.078265,-1.628580,EXPECTED
(5#)43/2,645,6.23868815,645,8.39976827,-2.974342e-01,1.063881,-2.031318,EXPECTED
(5#)22,660,7.91893649,660,9.00486502,-1.285081e-01,1.051753,-1.032494,EXPECTED
(5#)45/2,675,7.30446862,675,8.19775998,-1.153746e-01,1.038385,-0.860270,EXPECTED
(5#)23,693,7.17206434,690,8.52557368,-1.728768e-01,1.027095,-1.317803,EXPECTED
