START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio,Status
(11#)203/2,234465,9.90414494,234465,11.36972999,-1.380012e-01,0.454601,-3.223893,EXPECTED
(11#)102,235620,10.00626051,235620,11.64454332,-1.516267e-01,0.452454,-3.620883,EXPECTED
(11#)205/2,236775,9.69631117,236775,11.25072253,-1.486868e-01,0.450820,-3.447965,EXPECTED
(11#)103,237930,9.61556689,237930,11.09624902,-1.432238e-01,0.449188,-3.296353,EXPECTED
(11#)207/2,239085,9.85121425,239085,11.44776735,-1.502000e-01,0.448908,-3.556526,EXPECTED
(13#)8,240240,10.37370351,240240,11.85205099,-1.332268e-01,0.447004,-3.307235,EXPECTED
(11#)209/2,241395,10.11574034,241395,11.54303228,-1.319893e-01,0.445062,-3.206951,EXPECTED
(11#)105,242550,9.50737707,242550,10.98100283,-1.440987e-01,0.444133,-3.317983,EXPECTED
(11#)211/2,244335,9.43652624,243705,11.02101894,-1.552163e-01,0.442476,-3.580969,EXPECTED
(11#)106,244860,9.57294212,244860,11.15607042,-1.530432e-01,0.440736,-3.592010,EXPECTED
(11#)213/2,246015,9.60290960,246015,11.10248290,-1.451026e-01,0.439123,-3.414928,EXPECTED
(11#)107,247170,9.44792372,247170,11.05031264,-1.566637e-01,0.437677,-3.661122,EXPECTED
(11#)215/2,248325,9.61491232,248325,11.18591392,-1.513400e-01,0.436417,-3.599772,EXPECTED
(11#)108,249480,9.52551372,249480,10.95002585,-1.393680e-01,0.435722,-3.269314,EXPECTED
(11#)217/2,250635,9.81181901,250635,11.27135506,-1.386769e-01,0.433178,-3.369368,EXPECTED
(11#)109,252525,9.68888102,252525,11.02848673,-1.295027e-01,0.431633,-3.103576,EXPECTED
(11#)219/2,252945,9.53831198,253890,11.06840506,-1.487781e-01,0.430249,-3.556297,EXPECTED
(11#)110,254100,9.44579392,254100,10.93021404,-1.459613e-01,0.428810,-3.461720,EXPECTED
(17#)/2,255255,10.98879350,255255,12.47396861,-1.267680e-01,0.412293,-3.602232,EXPECTED
(13#)9,270270,10.22605496,270270,11.72595325,-1.368657e-01,0.396949,-3.778567,EXPECTED
(13#)19/2,285285,10.84921557,285285,12.27909956,-1.238058e-01,0.386391,-3.700614,EXPECTED
(13#)10,300300,10.24062300,300300,11.62258694,-1.265879e-01,0.382080,-3.616949,EXPECTED
(13#)21/2,315315,10.31668283,315315,11.57753450,-1.153043e-01,0.369781,-3.409725,EXPECTED
(13#)11,330330,10.39343794,330330,11.53614438,-1.043105e-01,0.357565,-3.195801,EXPECTED
(13#)23/2,345345,10.82307543,345345,11.98950145,-1.023509e-01,0.347156,-3.359948,EXPECTED
(13#)12,373065,10.60647618,373065,11.79904776,-1.065541e-01,0.337307,-3.535567,EXPECTED
(13#)25/2,375375,10.25464963,375375,11.42987068,-1.084989e-01,0.328037,-3.582587,EXPECTED
(13#)13,390390,10.23137733,390390,11.39933515,-1.080958e-01,0.318937,-3.662033,EXPECTED
(13#)27/2,405405,10.26072189,405405,11.37082646,-1.027278e-01,0.310720,-3.572685,EXPECTED
(13#)14,420420,10.36643500,420420,11.34413378,-9.012758e-02,0.303561,-3.220765,EXPECTED
(13#)29/2,435435,10.80823080,435435,11.70132803,-7.939439e-02,0.296723,-3.009869,EXPECTED
(13#)15,451605,10.43630000,451605,11.54496543,-1.009593e-01,0.289893,-3.824395,EXPECTED
(13#)31/2,465465,10.58097936,465465,11.62920806,-9.446188e-02,0.283795,-3.693612,EXPECTED
(13#)16,480480,10.36292763,480480,11.25239181,-8.234592e-02,0.277198,-3.208768,EXPECTED
(13#)33/2,504735,10.40948314,504735,11.39433715,-9.039926e-02,0.272170,-3.618525,EXPECTED
(17#),510510,11.02689928,510510,11.90175337,-7.634805e-02,0.266678,-3.280563,EXPECTED
(13#)35/2,533715,10.41692508,533715,11.19597889,-7.212279e-02,0.261709,-2.976794,EXPECTED
(13#)18,540540,10.26910471,540540,11.17904233,-8.490096e-02,0.256996,-3.540668,EXPECTED
(13#)37/2,555555,10.60253259,555555,11.45775005,-7.757347e-02,0.252075,-3.392710,EXPECTED
(13#)19,570570,10.95264258,570570,11.75454620,-7.065932e-02,0.247944,-3.234213,EXPECTED
(13#)39/2,596505,10.29423475,585585,11.13291135,-7.832170e-02,0.243702,-3.441402,EXPECTED
(13#)20,608685,10.47216331,608685,11.23022579,-6.988825e-02,0.240117,-3.157055,EXPECTED
(13#)41/2,615615,10.61204631,615615,11.37008558,-6.899603e-02,0.236265,-3.208428,EXPECTED
(13#)21,636405,10.43557144,636405,11.15534401,-6.669837e-02,0.232671,-3.093521,EXPECTED
(13#)43/2,645645,10.62110639,645645,11.33205991,-6.479268e-02,0.228945,-3.105346,EXPECTED
(13#)22,660660,10.35016732,660660,11.06861073,-6.711055e-02,0.225570,-3.185013,EXPECTED
(13#)45/2,680295,10.36163204,680295,11.09574924,-6.845233e-02,0.222522,-3.299077,EXPECTED
(13#)23,690690,10.75535033,690690,11.53771144,-7.021759e-02,0.219704,-3.560978,EXPECTED
(13#)47/2,705705,10.42659488,705705,11.26520677,-7.735919e-02,0.216616,-3.871422,EXPECTED
(13#)24,726495,10.30832542,726495,11.08102646,-7.228246e-02,0.213778,-3.614502,EXPECTED
(13#)49/2,746130,10.67180211,746130,11.37374383,-6.370258e-02,0.210607,-3.332946,EXPECTED
(13#)25,750750,10.25109722,750750,11.00676701,-7.112552e-02,0.208316,-3.627517,EXPECTED
(17#)3/2,765765,10.99909949,765765,11.68551874,-6.053696e-02,0.205909,-3.333605,EXPECTED
(13#)26,780780,10.36864084,780780,10.98899669,-5.810852e-02,0.203485,-3.048656,EXPECTED
(13#)53/2,795795,10.54122315,795795,11.18284850,-5.908764e-02,0.200950,-3.192960,EXPECTED
(13#)27,810810,10.30416841,810810,10.97240415,-6.283489e-02,0.198840,-3.360671,EXPECTED
(13#)55/2,825825,10.34642760,825825,10.96451235,-5.802261e-02,0.196558,-3.144541,EXPECTED
(13#)28,844305,10.39372356,844305,10.97191699,-5.413689e-02,0.194245,-2.976619,EXPECTED
(13#)57/2,855855,10.95061370,855855,11.55630531,-5.383570e-02,0.191633,-3.160685,EXPECTED
(13#)29,870870,10.61823408,870870,11.32437338,-6.438462e-02,0.190361,-3.709475,EXPECTED
(13#)59/2,885885,10.48047317,885885,11.11632145,-5.890060e-02,0.188402,-3.374955,EXPECTED
(13#)30,903210,10.54756236,903210,11.17864233,-5.811025e-02,0.186308,-3.387294,EXPECTED
(13#)61/2,915915,10.51381724,915915,11.09688023,-5.397369e-02,0.184194,-3.165483,EXPECTED
(13#)31,930930,10.67473805,930930,11.27138643,-5.438732e-02,0.182810,-3.263762,EXPECTED
(13#)63/2,945945,10.24796411,945945,10.90948865,-6.255387e-02,0.181096,-3.652894,EXPECTED
(13#)32,960960,10.28708484,960960,10.90347666,-5.819249e-02,0.179407,-3.435718,EXPECTED
(13#)65/2,975975,10.32547689,975975,10.89763101,-5.393110e-02,0.177773,-3.218453,EXPECTED
(13#)33,990990,10.30541948,990990,10.89194288,-5.535341e-02,0.175867,-3.335040,EXPECTED
(13#)67/2,1009470,10.53313172,1009470,11.05851536,-4.867506e-02,0.174589,-3.009260,EXPECTED
