FIRST,LAST,Alpha,PreMertens,Mertens,DeltaMertens,n_5precent,NzeroStat,EtaStat,PreMertensAsymp,MertensAsymp,DeltaMertensAsymp,NzeroStatAsymp,EtaStatAsymp
4,111546435,0.00358204704377,25265521,25276486,0.043753,13720926,27332504,0.000846,31056043,31218262,0.039204,34342733,0.009978
4,111546435,0.00390625,23699191,23775286,0.043396,12431616,24333362,0.003985,24333362,24581576,0.004003,25276486,0.003451
4,111546435,0.00425979583072,23699191,23879929,0.042563,11262277,25139893,0.028715,23699191,23879929,0.038130,25139893,0.020296
4,111546435,0.00464534029298,22187332,22340671,0.017289,10202267,22340671,0.017289,22187332,22340671,0.009823,22340671,0.009823
4,111546435,0.00506577951036,20173091,20459074,0.042176,9241026,22187332,0.013895,20173091,20459074,0.033664,22187332,0.007018
4,111546435,0.00552427172802,17193173,17390482,0.103087,8369792,20173091,0.017955,17193173,17390482,0.093905,20173091,0.011178
4,111546435,0.00602426103675,14077352,14378131,0.063070,7580017,14577527,0.010423,14077352,14378131,0.054294,14577527,0.002427
4,111546435,0.00656950324417,14077352,14450707,0.055862,6864142,14638991,0.024813,14077352,14450707,0.047341,14638991,0.016288
4,111546435,0.00716409408754,13067672,13481324,0.066309,6215301,17173202,0.050072,13067672,13481324,0.057549,17173202,0.040435
4,111546435,0.0078125,9057157,9417181,0.021194,5627264,9159812,0.011142,9057157,9417181,0.011016,9159812,0.000574
4,111546435,0.00851959166145,12973039,13050508,0.090449,5094376,13009069,0.077090,12973039,13050508,0.082212,12980728,0.068697
4,111546435,0.00929068058596,7238339,7638497,0.016485,4611503,12973039,0.006079,12973039,13050508,0.079110,13050508,0.079110
4,111546435,0.0101315590207,6384029,6651937,0.030187,4173988,7216597,0.008751,7216597,7638497,0.029797,7384709,0.022958
4,111546435,0.011048543456,5719144,6068224,0.021493,3777603,5744512,0.015045,5719144,6068224,0.008295,5744512,0.001747
4,111546435,0.0120485220735,5506681,5771728,0.026958,3418511,6384029,0.026452,5506681,5771728,0.013308,5771728,0.013308
4,111546435,0.0131390064883,4540013,4553048,0.072624,3093309,5051327,0.008551,4540013,4553048,0.059045,5051327,0.000597
4,111546435,0.0143281881751,4347407,4362716,0.037246,2798680,4774582,0.011659,4347407,4362716,0.025051,4774582,0.002636
4,111546435,0.015625,4343501,4362716,0.065480,2531904,5042162,0.019217,4343501,4362716,0.053469,5042162,0.011096
4,111546435,0.0170391833229,3936271,3952873,0.013783,2290310,4290386,0.010622,4290386,4304087,0.082261,4343501,0.001172
4,111546435,0.0185813611719,3936271,3952873,0.057429,2071485,4328171,0.045007,3936271,3952873,0.047488,4328171,0.034289
4,111546435,0.0202631180414,2451667,2468068,0.065506,1873404,3008938,0.018217,2451667,2468068,0.048858,3008938,0.001896
4,111546435,0.0220970869121,2451667,2468068,0.093749,1694070,2737006,0.053774,2451667,2468068,0.077369,2737006,0.035570
4,111546435,0.024097044147,2324848,2330203,0.054640,1531724,2368547,0.037871,2324848,2330203,0.041095,2368547,0.024934
4,111546435,0.0262780129767,1875931,1882459,0.078942,1384770,2324848,0.007527,2324848,2330203,0.080536,2368547,0.034867
4,111546435,0.0286563763501,1726924,1742443,0.036204,1251764,1742443,0.036204,1726924,1742443,0.014797,1742443,0.014797
4,111546435,0.03125,1665278,1681271,0.085831,1131392,1726924,0.045435,1665278,1681271,0.067268,1726924,0.023359
4,111546435,0.0340783666458,1665278,1681271,0.127754,1022497,2006657,0.056839,1665278,1681271,0.109609,1726924,0.036076
4,111546435,0.0371627223438,1665278,1681271,0.135617,923937,2620586,0.072703,1665278,1681271,0.116277,2620586,0.054490
4,111546435,0.0405262360828,944362,951124,0.025422,834793,1385326,0.003184,1665278,1669433,0.138335,2620586,0.090579
4,111546435,0.0441941738242,1385326,1400299,0.089043,754150,1542473,0.081842,1385326,1400299,0.074026,1542473,0.066121
4,111546435,0.048194088294,733504,736279,0.071743,681184,1037518,0.036352,733504,736279,0.051936,1037518,0.019746
4,111546435,0.0525560259534,611264,627271,0.056101,615211,1037518,0.028871,611264,627271,0.037337,1037518,0.012919
4,111546435,0.0573127527003,594974,606104,0.087853,555549,648502,0.054999,594974,606104,0.066806,648502,0.037111
4,111546435,0.0625,594974,606104,0.106550,501616,638167,0.062160,594974,606104,0.086305,638167,0.042497
4,111546435,0.0681567332916,476416,480659,0.053695,452839,594974,0.015143,594974,601642,0.136134,708937,0.058636
4,111546435,0.0743254446877,424313,435443,0.096208,408743,476416,0.000840,476416,480659,0.017742,594974,0.004483
4,111546435,0.0810524721657,266374,281291,0.005420,368897,594974,0.020242,594974,605494,0.140700,767513,0.093228
4,111546435,0.0883883476483,284938,294824,0.109189,332872,594974,0.047356,284938,294824,0.092943,594974,0.027833
4,111546435,0.096388176588,284938,286733,0.097151,300328,306707,0.080601,284938,286733,0.080490,425941,0.059998
4,111546435,0.105112051907,266374,284938,0.080503,270921,286733,0.076978,266374,284938,0.063053,286733,0.061682
4,111546435,0.114625505401,266374,283982,0.104699,244353,286733,0.096563,266374,283982,0.087572,286733,0.078889
4,111546435,0.125,119563,120418,0.053110,220352,266374,0.003820,266374,281581,0.157500,340478,0.109532
4,111546435,0.136313466583,119563,120418,0.087315,198682,266374,0.056946,148997,150184,0.045989,266374,0.033364
4,111546435,0.148650889375,109981,111119,0.048076,179105,266374,0.094326,148997,150184,0.029170,266374,0.072604
4,111546435,0.162104944331,109981,111637,0.146522,161433,266374,0.124711,109981,111637,0.114318,163412,0.102885
