START,n_0,C_min,Npred_0,CpredAlign,Lambda_min
(7#)41/2,4393,2.306710,4409,1.736398,2.840094e-01
(7#)21,4486,2.143577,4513,1.744415,2.060565e-01
(7#)43/2,4603,2.102361,4603,1.751124,1.828033e-01
(11#)2,4651,2.085780,4723,1.759839,1.699208e-01
(7#)45/2,4801,1.856187,4817,1.766489,4.953061e-02
(7#)23,4909,2.178086,4933,1.774420,2.049726e-01
(7#)47/2,4987,2.151973,5039,1.781424,1.889721e-01
(7#)24,5086,2.176695,5119,1.786600,1.974934e-01
(7#)49/2,5242,2.126897,5237,1.794066,1.701798e-01
(7#)25,5308,2.217466,5351,1.801012,2.080162e-01
(7#)51/2,5416,1.965120,5449,1.806874,8.395498e-02
(7#)26,5557,2.301782,5563,1.813462,2.384459e-01
(7#)53/2,5596,2.182571,5669,1.819473,1.819565e-01
(7#)27,5728,2.248387,5749,1.823891,2.092410e-01
(11#)5/2,5857,2.159168,5879,1.830872,1.649305e-01
(7#)28,5906,2.349289,5981,1.836248,2.463886e-01
(7#)57/2,6038,2.309643,6089,1.841781,2.263598e-01
(7#)29,6131,2.233345,6173,1.845993,1.904831e-01
(7#)59/2,6218,2.356115,6299,1.852146,2.406690e-01
(7#)30,6353,2.124621,6397,1.856857,1.347082e-01
(7#)61/2,6421,2.298798,6491,1.861242,2.111425e-01
(7#)31,6568,2.399779,6607,1.866563,2.512781e-01
(7#)63/2,6719,2.265862,6719,1.871581,1.911719e-01
(7#)32,6791,2.430712,6823,1.876139,2.589681e-01
(7#)65/2,6863,2.365471,6917,1.880200,2.295992e-01
(11#)3,7024,2.323062,7027,1.884815,2.090565e-01
(7#)67/2,7108,2.390305,7129,1.889045,2.353495e-01
(7#)34,7219,2.055910,7243,1.893637,8.221940e-02
(7#)69/2,7246,2.136908,7349,1.897854,1.186359e-01
(7#)35,7351,2.199762,7451,1.901800,1.455481e-01
(7#)71/2,7522,2.372402,7559,1.905917,2.189394e-01
(7#)36,7561,2.321013,7649,1.909307,1.952635e-01
(7#)73/2,7727,2.199214,7759,1.913337,1.392513e-01
(7#)37,7846,2.336977,7873,1.917468,1.978529e-01
(7#)75/2,7951,2.232082,7963,1.920641,1.502757e-01
(7#)38,8062,2.328303,8081,1.924769,1.903339e-01
(11#)7/2,8116,2.236375,8179,1.928104,1.483191e-01
(7#)39,8224,2.292547,8192,1.928219,1.730667e-01
(7#)79/2,8311,2.234912,8389,1.935123,1.440311e-01
(7#)40,8429,2.249292,8501,1.938760,1.485667e-01
(7#)81/2,8599,2.329117,8609,1.942207,1.816641e-01
(7#)41,8614,2.287560,8713,1.945472,1.619812e-01
(7#)83/2,8777,2.179478,8819,1.948730,1.119074e-01
(7#)42,8839,2.279660,8923,1.951890,1.552283e-01
(7#)85/2,9014,2.281605,9029,1.955074,1.544511e-01
(7#)43,9091,2.412999,9133,1.958135,2.088778e-01
(7#)87/2,9173,2.323530,9239,1.961192,1.695351e-01
(11#)4,9283,2.301998,9343,1.964159,1.587131e-01
(7#)89/2,9349,2.396602,9439,1.966860,1.976137e-01
(7#)45,9511,2.294051,9551,1.969962,1.523048e-01
(7#)91/2,9649,2.163663,9649,1.972650,9.242456e-02
(7#)46,9748,2.284701,9749,1.975342,1.454938e-01
(7#)93/2,9817,2.375649,9859,1.978245,1.830604e-01
(7#)47,9941,2.284239,9973,1.981236,1.423122e-01
(7#)95/2,10078,2.360845,10079,1.983949,1.739302e-01
(7#)48,10174,2.343381,10181,1.986550,1.651952e-01
(7#)97/2,10273,2.292671,10289,1.989252,1.419589e-01
(7#)49,10369,2.243034,10391,1.991756,1.188130e-01
(11#)9/2,10462,2.194423,10499,1.994383,9.558462e-02
(7#)50,10501,2.449522,10601,1.996843,2.043252e-01
(7#)101/2,10687,2.319381,10709,1.999401,1.484526e-01
(7#)51,10786,2.430362,10799,2.001494,1.941461e-01
(7#)103/2,10883,2.318296,10909,2.004046,1.456645e-01
(7#)52,11023,2.452351,11003,2.006178,2.008158e-01
(7#)105/2,11054,2.258518,11119,2.008789,1.171769e-01
(7#)53,11197,2.391314,11213,2.010889,1.732663e-01
(7#)107/2,11272,2.131467,11329,2.013434,5.696895e-02
(7#)54,11353,2.334737,11443,2.015888,1.468394e-01
(7#)109/2,11461,2.347919,11549,2.018164,1.513413e-01
(11#)5,11593,2.296655,11633,2.019937,1.283873e-01
(7#)111/2,11749,2.392249,11743,2.022223,1.680363e-01
(7#)56,11839,2.348206,11863,2.024695,1.482326e-01
(7#)113/2,11932,2.392674,11969,2.026862,1.659228e-01
(7#)57,11971,2.386736,12073,2.028951,1.624077e-01
(7#)115/2,12101,2.395745,12163,2.030730,1.652988e-01
(7#)58,12281,2.223656,12281,2.033058,8.961144e-02
(7#)117/2,12326,2.217079,12379,2.034950,8.571909e-02
(7#)59,12422,2.346659,12491,2.037100,1.414654e-01
(7#)119/2,12574,2.295932,12589,2.038969,1.186945e-01
(7#)60,12671,2.225896,12703,2.041097,8.667235e-02
(11#)11/2,12757,2.354186,12809,2.043072,1.417405e-01
(7#)61,12878,2.336543,12911,2.044932,1.333080e-01
(7#)123/2,12982,2.377047,13009,2.046718,1.496213e-01
(7#)62,13049,2.340065,13121,2.048728,1.329597e-01
(7#)125/2,13142,2.381559,13229,2.050643,1.496018e-01
(7#)63,13241,2.313245,13331,2.052423,1.196303e-01
(7#)127/2,13339,2.408045,13421,2.053996,1.590279e-01
(7#)64,13451,2.365320,13537,2.055990,1.401559e-01
(7#)129/2,13646,2.418129,13649,2.057893,1.613113e-01
(7#)65,13729,2.380300,13751,2.059600,1.447150e-01
(7#)131/2,13807,2.343338,13859,2.061397,1.281925e-01
(11#)6,13943,2.508139,13963,2.063110,1.953266e-01
(7#)133/2,14051,2.389016,14057,2.064651,1.459202e-01
(7#)67,14096,2.408715,14173,2.066525,1.532251e-01
(7#)135/2,14243,2.286441,14251,2.067763,1.005290e-01
(7#)68,14332,2.428418,14369,2.069641,1.598646e-01
(7#)137/2,14411,2.316236,14489,2.071521,1.116602e-01
(7#)69,14528,2.225437,14593,2.073134,7.089177e-02
(7#)139/2,14699,2.430591,14699,2.074752,1.582927e-01
(7#)70,14779,2.470069,14797,2.076251,1.736821e-01
(7#)141/2,14831,2.313924,14897,2.077758,1.076553e-01
(7#)71,14951,2.398094,15013,2.079488,1.425524e-01
(13#)/2,15784,2.297078,16141,2.095418,9.188502e-02
(11#)7,17218,2.342733,16384,2.098481,1.101044e-01
(11#)15/2,18322,2.313856,18461,2.123853,8.568349e-02
(11#)8,18637,2.262025,19609,2.136178,5.724241e-02
(11#)17/2,20509,2.288028,20789,2.147858,6.321908e-02
(11#)9,20816,2.279925,21943,2.158430,5.476162e-02
(11#)19/2,22354,2.333078,23099,2.168288,7.325074e-02
(11#)10,23201,2.282149,24251,2.177461,4.695805e-02
(11#)21/2,24256,2.336632,25409,2.186104,6.658939e-02
(11#)11,25496,2.309603,26561,2.194178,5.126798e-02
(11#)23/2,27182,2.331847,27701,2.201709,5.742694e-02
(11#)12,27904,2.328254,28871,2.209004,5.257676e-02
(11#)25/2,29738,2.340355,30029,2.215844,5.466927e-02
(13#),30332,2.331433,31183,2.222301,4.794012e-02
