Dec,n_0,C_min,Npred_0,Cpred_min,Lambda_min
3570,3571,2.249487,3673,2.674779,-1.731646e-01
3675,3769,1.943543,3779,2.674587,-3.192824e-01
3780,3799,2.075010,3881,2.674486,-2.537912e-01
3885,3964,2.216472,3989,2.674342,-1.877866e-01
3990,4051,2.044491,4093,2.674208,-2.685044e-01
4095,4153,2.340594,4096,2.673517,-1.329901e-01
4200,4282,2.220909,4297,2.673959,-1.856436e-01
4305,4393,2.306710,4409,2.673829,-1.476893e-01
4410,4486,2.143577,4513,2.673712,-2.209918e-01
4515,4603,2.102361,4603,2.673583,-2.403585e-01
4620,4651,2.085780,4723,2.673457,-2.482295e-01
4725,4801,1.856187,4817,2.673391,-3.648233e-01
4830,4909,2.178086,4933,2.673275,-2.048578e-01
4935,4987,2.151973,5039,2.673145,-2.168706e-01
5040,5086,2.176695,5119,2.673070,-2.054200e-01
5145,5242,2.126897,5237,2.672990,-2.285336e-01
5250,5308,2.217466,5351,2.672862,-1.867847e-01
5355,5416,1.965120,5449,2.672803,-3.075744e-01
5460,5557,2.301782,5563,2.672682,-1.493989e-01
5565,5596,2.182571,5669,2.672620,-2.025557e-01
5670,5728,2.248387,5749,2.672555,-1.728219e-01
5775,5857,2.159168,5879,2.672429,-2.132648e-01
5880,5906,2.349289,5981,2.672375,-1.288549e-01
5985,6038,2.309643,6089,2.672295,-1.458447e-01
6090,6131,2.233345,6173,2.672233,-1.794140e-01
6195,6218,2.356115,6299,2.672121,-1.258585e-01
6300,6353,2.124621,6397,2.672075,-2.292619e-01
6405,6421,2.298798,6491,2.671989,-1.504368e-01
6510,6568,2.399779,6607,2.671912,-1.074177e-01
6615,6719,2.265862,6719,2.671839,-1.648117e-01
6720,6791,2.430712,6823,2.671772,-9.455770e-02
6825,6863,2.365471,6917,2.671733,-1.217502e-01
6930,7024,2.323062,7027,2.671646,-1.398086e-01
7035,7108,2.390305,7129,2.671604,-1.112581e-01
7140,7219,2.055910,7243,2.671518,-2.619283e-01
7245,7246,2.136908,7349,2.671475,-2.232708e-01
7350,7351,2.199762,7451,2.671399,-1.942531e-01
7455,7522,2.372402,7559,2.671338,-1.186765e-01
7560,7561,2.321013,7649,2.671307,-1.405641e-01
7665,7727,2.199214,7759,2.671230,-1.944390e-01
7770,7846,2.336977,7873,2.671187,-1.336647e-01
7875,7951,2.232082,7963,2.671123,-1.795642e-01
7980,8062,2.328303,8081,2.671080,-1.373432e-01
8085,8116,2.236375,8179,2.671014,-1.776019e-01
8190,8224,2.292547,8192,2.670682,-1.526704e-01
8295,8311,2.234912,8389,2.670927,-1.782237e-01
