START,n_geom,C_avg,Cpred_avg,Lambda_avg
(13#)263/2,3956445,4.024139,4.025661,-3.782735e-04
(13#)132,3971460,4.023653,4.025646,-4.951946e-04
(13#)265/2,3986475,4.023144,4.025648,-6.223116e-04
(13#)133,4001490,4.022604,4.025650,-7.568852e-04
(13#)267/2,4016505,4.023049,4.025661,-6.490213e-04
(13#)134,4031520,4.022068,4.025649,-8.897766e-04
(13#)269/2,4046535,4.021831,4.025611,-9.393383e-04
(13#)135,4061550,4.021517,4.025615,-1.018379e-03
(13#)271/2,4076565,4.021795,4.025594,-9.440740e-04
(17#)8,4091580,4.021709,4.025627,-9.738070e-04
(13#)273/2,4106595,4.022358,4.025603,-8.062565e-04
(13#)137,4121610,4.022142,4.025603,-8.602510e-04
(13#)275/2,4136625,4.021850,4.025572,-9.249855e-04
(13#)138,4151640,4.021580,4.025597,-9.982628e-04
(13#)277/2,4166655,4.021656,4.025591,-9.779589e-04
(13#)139,4181670,4.022006,4.025541,-8.785423e-04
(13#)279/2,4196685,4.023351,4.025584,-5.548414e-04
(13#)140,4211700,4.023509,4.025544,-5.055566e-04
(13#)281/2,4226715,4.023618,4.025544,-4.786908e-04
(13#)141,4241730,4.023123,4.025532,-5.987194e-04
(13#)283/2,4256745,4.022150,4.025533,-8.405906e-04
(13#)142,4271760,4.021856,4.025564,-9.214400e-04
(13#)285/2,4286775,4.021521,4.025520,-9.940581e-04
(13#)143,4301790,4.021182,4.025503,-1.074075e-03
(13#)287/2,4316805,4.020851,4.025523,-1.161054e-03
(13#)144,4331820,4.020752,4.025497,-1.179537e-03
(17#)17/2,4346836,4.021092,4.025488,-1.092705e-03
(13#)145,4361851,4.021014,4.025506,-1.116506e-03
(13#)291/2,4376866,4.021239,4.025461,-1.049431e-03
(13#)146,4391881,4.021745,4.025516,-9.373051e-04
(13#)293/2,4406896,4.022721,4.025480,-6.855932e-04
(13#)147,4421911,4.022041,4.025432,-8.428330e-04
(13#)295/2,4436926,4.022183,4.025459,-8.141536e-04
(13#)148,4451941,4.021914,4.025494,-8.897615e-04
(13#)297/2,4466956,4.021545,4.025439,-9.678429e-04
(13#)149,4481971,4.022335,4.025417,-7.658696e-04
(13#)299/2,4496986,4.022734,4.025466,-6.790056e-04
(13#)150,4512001,4.022845,4.025425,-6.412195e-04
(13#)301/2,4527016,4.021995,4.025435,-8.548693e-04
(13#)151,4542031,4.021579,4.025409,-9.519915e-04
(13#)303/2,4557046,4.021623,4.025401,-9.390895e-04
(13#)152,4572061,4.022721,4.025413,-6.689292e-04
(13#)305/2,4587076,4.023290,4.025399,-5.239194e-04
(17#)9,4602091,4.023233,4.025412,-5.414198e-04
(13#)307/2,4617106,4.023139,4.025402,-5.623457e-04
(13#)154,4632121,4.023987,4.025393,-3.493700e-04
(13#)309/2,4647136,4.024708,4.025362,-1.623541e-04
(13#)155,4662151,4.024510,4.025388,-2.182045e-04
(13#)311/2,4677166,4.024329,4.025372,-2.592499e-04
(13#)156,4692181,4.025347,4.025342,1.152696e-06
(13#)313/2,4707196,4.025943,4.025370,1.424309e-04
(13#)157,4722211,4.025480,4.025332,3.685914e-05
(13#)315/2,4737226,4.025829,4.025395,1.079366e-04
(13#)158,4752241,4.025604,4.025306,7.404702e-05
(13#)317/2,4767256,4.025124,4.025309,-4.589741e-05
(13#)159,4782271,4.024686,4.025369,-1.697678e-04
(13#)319/2,4797286,4.024504,4.025304,-1.987570e-04
(13#)160,4812301,4.024619,4.025339,-1.787918e-04
(13#)321/2,4827316,4.024711,4.025281,-1.416200e-04
(13#)161,4842331,4.024714,4.025285,-1.419158e-04
