START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio,Status
(5#)24,720,6.73346279,720,10.37990397,-4.327821e-01,0.999676,-3.647623,EXPECTED
(7#)7/2,735,8.54549570,735,11.78494420,-3.214185e-01,0.991015,-3.268819,EXPECTED
(5#)25,750,7.24579438,750,10.32286838,-3.539405e-01,0.982576,-3.131640,EXPECTED
(5#)51/2,765,7.15563604,765,10.77541885,-4.093672e-01,0.970317,-3.730516,EXPECTED
(5#)26,780,7.04990800,780,10.91854819,-4.374484e-01,0.958510,-4.036098,EXPECTED
(5#)53/2,795,6.51590604,795,10.38540774,-4.661554e-01,0.952137,-4.064018,EXPECTED
(5#)27,810,6.64448411,810,10.21794902,-4.303588e-01,0.943427,-3.787749,EXPECTED
(5#)55/2,825,7.66200530,825,10.99124531,-3.608253e-01,0.933766,-3.565390,EXPECTED
(7#)4,840,8.20414590,840,11.60021443,-3.463840e-01,0.924075,-3.675101,EXPECTED
(5#)57/2,855,7.47170017,855,10.56993175,-3.468908e-01,0.916439,-3.380729,EXPECTED
(5#)29,870,7.79339087,870,10.38998105,-2.875659e-01,0.905422,-2.867823,EXPECTED
(5#)59/2,885,7.91710221,885,10.23129118,-2.564255e-01,0.900064,-2.571138,EXPECTED
(5#)30,900,6.78664426,900,10.08189885,-3.957850e-01,0.889637,-3.704044,EXPECTED
(5#)61/2,915,6.91869875,915,10.18492643,-3.866811e-01,0.883558,-3.696676,EXPECTED
(5#)31,930,6.63119009,930,10.28876309,-4.392680e-01,0.874676,-4.181632,EXPECTED
(7#)9/2,945,7.55793189,945,11.45523535,-4.158493e-01,0.869860,-4.480380,EXPECTED
(5#)32,960,7.07321591,960,10.00342645,-3.466124e-01,0.860471,-3.405357,EXPECTED
(5#)65/2,975,7.58665247,975,10.63713089,-3.379603e-01,0.855894,-3.564084,EXPECTED
(5#)33,990,7.49719194,990,10.76220463,-3.615119e-01,0.849613,-3.842941,EXPECTED
(5#)67/2,1005,6.85377083,1005,10.06213640,-3.839805e-01,0.841746,-3.811560,EXPECTED
(5#)34,1020,7.33980895,1020,10.40936951,-3.493935e-01,0.834706,-3.677415,EXPECTED
(5#)69/2,1035,7.08454356,1035,10.25839181,-3.701806e-01,0.829128,-3.827935,EXPECTED
(7#)5,1050,8.66474534,1050,11.33031859,-2.682197e-01,0.824246,-3.233954,EXPECTED
(5#)71/2,1071,6.91378853,1065,9.98990459,-3.680573e-01,0.817091,-3.764717,EXPECTED
(5#)36,1092,7.70861537,1080,9.86865124,-2.470246e-01,0.810129,-2.666286,EXPECTED
(5#)73/2,1095,6.98422798,1095,9.95590752,-3.545116e-01,0.806342,-3.685384,EXPECTED
(5#)37,1110,7.44190976,1110,10.04349750,-2.997979e-01,0.798935,-3.256320,EXPECTED
(5#)75/2,1125,6.85042475,1125,9.82642156,-3.607642e-01,0.794594,-3.745305,EXPECTED
(5#)38,1140,7.12745061,1140,10.23077751,-3.614470e-01,0.789427,-3.931113,EXPECTED
(11#)/2,1155,9.13559580,1155,12.18058346,-2.876648e-01,0.782694,-3.890394,EXPECTED
(7#)6,1260,8.73658664,1260,11.13721428,-2.427726e-01,0.750602,-3.198270,EXPECTED
(7#)13/2,1365,8.55809036,1365,11.84126359,-3.247133e-01,0.721695,-4.549253,EXPECTED
(7#)7,1470,7.81539530,1470,10.99328277,-3.411889e-01,0.696055,-4.565569,EXPECTED
(7#)15/2,1575,8.53964513,1575,10.93444671,-2.471986e-01,0.672425,-3.561440,EXPECTED
(7#)8,1680,8.40436284,1680,10.88081375,-2.582501e-01,0.650231,-3.808571,EXPECTED
(7#)17/2,1785,8.79830470,1785,11.40601098,-2.595814e-01,0.633724,-4.114893,EXPECTED
(7#)9,1890,8.43214029,1890,10.79169505,-2.467262e-01,0.615556,-3.833209,EXPECTED
(7#)19/2,1995,8.57059128,1995,11.25778983,-2.727236e-01,0.601620,-4.466604,EXPECTED
(7#)10,2145,8.12379559,2145,10.79216883,-2.840233e-01,0.586470,-4.549889,EXPECTED
(7#)21/2,2205,8.06714663,2205,10.68802236,-2.813239e-01,0.574746,-4.560059,EXPECTED
(11#),2310,9.14058186,2310,11.61043891,-2.391806e-01,0.562985,-4.387074,EXPECTED
(7#)23/2,2415,8.64639902,2415,11.04064558,-2.444406e-01,0.551891,-4.338260,EXPECTED
(7#)12,2520,7.98399457,2520,10.60840967,-2.842082e-01,0.541786,-4.844007,EXPECTED
(7#)25/2,2625,8.59805030,2625,10.58692145,-2.080839e-01,0.531675,-3.740765,EXPECTED
(7#)13,2730,9.53914578,2730,11.34455371,-1.733338e-01,0.523417,-3.449273,EXPECTED
(7#)27/2,2835,8.56334577,2835,10.54766154,-2.084132e-01,0.515043,-3.852719,EXPECTED
(7#)14,2940,8.67739172,2940,10.53004823,-1.935119e-01,0.506480,-3.657907,EXPECTED
(7#)29/2,3135,8.85070812,3045,10.83155938,-2.019666e-01,0.499824,-3.963098,EXPECTED
(7#)15,3150,8.07464822,3150,10.49944912,-2.625935e-01,0.492382,-4.924634,EXPECTED
(7#)31/2,3255,9.08651900,3255,10.78099102,-1.709926e-01,0.486591,-3.482333,EXPECTED
(7#)16,3360,8.55513325,3360,10.47291970,-2.022614e-01,0.480518,-3.991081,EXPECTED
(11#)3/2,3465,9.20509845,3465,11.41239705,-2.149427e-01,0.474661,-4.650263,EXPECTED
(7#)17,3570,8.47248673,3570,11.02087193,-2.629669e-01,0.469216,-5.431156,EXPECTED
(7#)35/2,3675,8.65796828,3675,10.44032892,-1.871960e-01,0.463950,-3.841708,EXPECTED
(7#)18,3795,8.16344904,3780,10.43072969,-2.450895e-01,0.458491,-4.945093,EXPECTED
(7#)37/2,3885,8.65284260,3885,10.66678581,-2.092469e-01,0.454195,-4.434094,EXPECTED
(7#)19,3990,8.61525608,3990,10.91733465,-2.368173e-01,0.449420,-5.122332,EXPECTED
(7#)39/2,4095,9.26020575,4095,11.18436629,-1.887907e-01,0.445490,-4.319200,EXPECTED
(7#)20,4200,8.21978002,4290,10.48049789,-2.429727e-01,0.441471,-5.120875,EXPECTED
(7#)41/2,4305,8.45913368,4305,10.61270169,-2.268048e-01,0.437509,-4.922340,EXPECTED
(7#)21,4410,8.62279023,4410,10.38726232,-1.861716e-01,0.433493,-4.070359,EXPECTED
