Dec.,max |lambda|,2nd max |lambda|,min |lambda|,2nd min |lambda|,median |lambda|,trimmed < |lambda| >,Spread_raw^IQR (of |lambda|),% positive
0,5.226e-01,4.989e-01,1.870e-01,2.638e-01,2.921e-01,3.516e-01,2.351e-01,20.0
1,1.144e+00,1.031e+00,4.039e-01,5.880e-01,8.801e-01,8.111e-01,3.645e-01,0.0
2,9.385e-01,8.701e-01,3.031e-01,4.071e-01,4.538e-01,5.474e-01,2.704e-01,0.0
3,4.859e-01,4.444e-01,2.032e-01,2.104e-01,3.074e-01,3.127e-01,1.419e-01,0.0
4,2.244e-01,1.567e-01,8.991e-02,9.887e-02,1.271e-01,1.298e-01,3.727e-02,0.0
5,1.026e-01,7.696e-02,4.127e-02,4.316e-02,5.124e-02,5.565e-02,1.358e-02,0.0
6,4.027e-02,2.983e-02,1.619e-02,1.756e-02,2.265e-02,2.295e-02,7.572e-03,0.0
