FIRST,LAST,Alpha,PreMertens,Mertens,DeltaMertens,n_5precent,NzeroStat,EtaStat,PreMertensAsymp,MertensAsymp,DeltaMertensAsymp,NzeroStatAsymp,EtaStatAsymp
4,100000000,0.0009765625,99350348,0,0.000000,59742208,99752392,0.015614,99350348,0,0.000000,99752392,0.009778
4,100000000,0.00106494895768,98686388,0,0.000000,54188513,99205858,0.009604,98686388,0,0.000000,99205858,0.003351
4,100000000,0.00116133507324,98158948,0,0.000000,49147745,98686388,0.020052,98158948,0,0.000000,98686388,0.013442
4,100000000,0.00126644487759,99297428,0,0.000000,44572805,99752392,0.009722,99297428,0,0.000000,99752392,0.003921
4,100000000,0.001381067932,99297428,0,0.000000,40420894,99316478,0.057733,99297428,0,0.000000,99316478,0.051562
4,100000000,0.00150606525919,84700843,93011768,0.013970,36653127,93011768,0.013970,84700843,93011768,0.008265,93011768,0.008265
4,100000000,0.00164237581104,78296887,80607004,0.019601,33234172,80607004,0.019601,78296887,80607004,0.015122,80607004,0.015122
4,100000000,0.00179102352188,69815183,75636646,0.016557,30131933,75636646,0.016557,69815183,75636646,0.012878,75636646,0.012878
4,100000000,0.001953125,73484561,82308082,0.034408,27317248,74097862,0.005516,73484561,82308082,0.029650,74097862,0.002966
4,100000000,0.00212989791536,74097862,84132611,0.066008,24763629,74149787,0.058726,74097862,84132611,0.061741,74149787,0.056111
4,100000000,0.00232267014649,46229168,50182798,0.004486,22447010,74097862,0.002601,50182798,64757989,0.026047,74097862,0.000096
4,100000000,0.00253288975518,41926246,53485816,0.009294,20345931,61389073,0.007697,41926246,53485816,0.004025,61389073,0.002701
4,100000000,0.00276213586401,35480609,41540014,0.013825,18439716,39833536,0.013621,35480609,41540014,0.006781,39833536,0.006749
4,100000000,0.00301213051837,35480609,41525569,0.043140,16710764,38236591,0.035569,35480609,41525569,0.036041,38236591,0.030740
4,100000000,0.00328475162208,35480609,46147631,0.039678,15143002,39813646,0.033458,35480609,46147631,0.033458,39813646,0.026873
4,100000000,0.00358204704377,25265521,31056043,0.002525,13720926,27332504,0.000846,31056043,46147631,0.040487,34342733,0.009978
4,100000000,0.00390625,23699191,30662083,0.031954,12431616,24333362,0.003985,24333362,30662083,0.025399,25276486,0.003451
4,100000000,0.00425979583072,23699191,31080463,0.052567,11262277,25139893,0.028715,23699191,31080463,0.045957,25139893,0.020296
4,100000000,0.00464534029298,22187332,34221364,0.040089,10202267,22340671,0.017289,22187332,34221364,0.032666,22340671,0.009823
4,100000000,0.00506577951036,20173091,33349982,0.063455,9241026,22187332,0.013895,20173091,33349982,0.058224,22187332,0.007018
4,100000000,0.00552427172802,17193173,20173091,0.017955,8369792,20173091,0.017955,17193173,20173091,0.011178,20173091,0.011178
4,100000000,0.00602426103675,14077352,20173091,0.030201,7580017,14577527,0.010423,14077352,20173091,0.023489,14577527,0.002427
4,100000000,0.00656950324417,14077352,21085681,0.060073,6864142,14638991,0.024813,14077352,21085681,0.052887,14638991,0.016288
4,100000000,0.00716409408754,13067672,21085681,0.080417,6215301,17173202,0.050072,13067672,21085681,0.073309,17173202,0.040435
4,100000000,0.0078125,9057157,11141506,0.018453,5627264,9159812,0.011142,9057157,11141506,0.011019,9159812,0.000574
4,100000000,0.00851959166145,12973039,22153519,0.095889,5094376,13009069,0.077090,12973039,22153519,0.088598,12980728,0.068697
4,100000000,0.00929068058596,7238339,8391736,0.025681,4611503,12973039,0.006079,12973039,22153519,0.085234,13050508,0.079110
4,100000000,0.0101315590207,6384029,7216597,0.008751,4173988,7216597,0.008751,7216597,8391736,0.039394,7384709,0.022958
4,100000000,0.011048543456,5719144,6068224,0.021493,3777603,5744512,0.015045,5719144,6068224,0.008295,5744512,0.001747
4,100000000,0.0120485220735,5506681,6384029,0.026452,3418511,6384029,0.026452,5506681,6384029,0.018821,5771728,0.013308
4,100000000,0.0131390064883,4540013,5051327,0.008551,3093309,5051327,0.008551,4540013,5051327,0.000597,5051327,0.000597
4,100000000,0.0143281881751,4347407,5051327,0.023721,2798680,4774582,0.011659,4347407,5051327,0.015933,4774582,0.002636
4,100000000,0.015625,4343501,5042162,0.019217,2531904,5042162,0.019217,4343501,5042162,0.011096,5042162,0.011096
4,100000000,0.0170391833229,3936271,4290386,0.010622,2290310,4290386,0.010622,4290386,5042162,0.066532,4343501,0.001172
4,100000000,0.0185813611719,3936271,4328171,0.045007,2071485,4328171,0.045007,3936271,4328171,0.034289,4328171,0.034289
4,100000000,0.0202631180414,2451667,3008938,0.018217,1873404,3008938,0.018217,2451667,3008938,0.001896,3008938,0.001896
4,100000000,0.0220970869121,2451667,3529576,0.056232,1694070,2737006,0.053774,2451667,3529576,0.043326,2737006,0.035570
4,100000000,0.024097044147,2324848,3293681,0.089469,1531724,2368547,0.037871,2324848,3293681,0.075549,2368547,0.024934
4,100000000,0.0262780129767,1875931,2324848,0.007527,1384770,2324848,0.007527,2324848,3178982,0.102638,2368547,0.034867
4,100000000,0.0286563763501,1726924,2121734,0.065565,1251764,1742443,0.036204,1726924,2121734,0.053914,1742443,0.014797
4,100000000,0.03125,1665278,2181689,0.052224,1131392,1726924,0.045435,1665278,2181689,0.037500,1726924,0.023359
4,100000000,0.0340783666458,1665278,2006657,0.056839,1022497,2006657,0.056839,1665278,2006657,0.048918,1726924,0.036076
4,100000000,0.0371627223438,1665278,2620586,0.072703,923937,2620586,0.072703,1665278,2620586,0.054490,2620586,0.054490
4,100000000,0.0405262360828,944362,1385326,0.003184,834793,1385326,0.003184,1665278,2620586,0.090579,2620586,0.090579
4,100000000,0.0441941738242,1385326,2620586,0.130072,754150,1542473,0.081842,1385326,2620586,0.112858,1542473,0.066121
4,100000000,0.048194088294,733504,874813,0.044717,681184,1037518,0.036352,733504,874813,0.029388,1037518,0.019746
4,100000000,0.0525560259534,611264,732877,0.044217,615211,1037518,0.028871,611264,732877,0.026132,1037518,0.012919
4,100000000,0.0573127527003,594974,648502,0.054999,555549,648502,0.054999,594974,648502,0.037111,648502,0.037111
4,100000000,0.0625,594974,638167,0.062160,501616,638167,0.062160,594974,638167,0.042497,638167,0.042497
4,100000000,0.0681567332916,476416,594974,0.015143,452839,594974,0.015143,594974,626047,0.083907,708937,0.058636
4,100000000,0.0743254446877,424313,594974,0.026131,408743,476416,0.000840,476416,594974,0.004483,594974,0.004483
4,100000000,0.0810524721657,266374,360403,0.012987,368897,594974,0.020242,594974,699044,0.115896,767513,0.093228
4,100000000,0.0883883476483,284938,360403,0.068906,332872,594974,0.047356,284938,360403,0.046747,594974,0.027833
4,100000000,0.096388176588,284938,306707,0.080601,300328,306707,0.080601,284938,306707,0.063782,425941,0.059998
4,100000000,0.105112051907,266374,319268,0.104733,270921,286733,0.076978,266374,319268,0.087841,286733,0.061682
4,100000000,0.114625505401,266374,336068,0.110586,244353,286733,0.096563,266374,336068,0.090387,286733,0.078889
4,100000000,0.125,119563,266374,0.003820,220352,266374,0.003820,266374,340478,0.109532,340478,0.109532
4,100000000,0.136313466583,119563,266374,0.056946,198682,266374,0.056946,148997,266374,0.033364,266374,0.033364
4,100000000,0.148650889375,109981,266374,0.094326,179105,266374,0.094326,148997,266374,0.072604,266374,0.072604
4,100000000,0.162104944331,109981,266374,0.124711,161433,266374,0.124711,109981,266374,0.104992,163412,0.102885
4,100000000,0.176776695297,92381,109981,0.029983,145472,266374,0.092065,109981,266374,0.070628,266374,0.070628
4,100000000,0.192776353176,92381,106409,0.061909,131069,201904,0.158435,93809,106409,0.029424,201904,0.125738
4,100000000,0.210224103813,58543,62053,0.067747,118070,201904,0.148279,58543,62053,0.023824,201904,0.113764
4,100000000,0.229251010801,28921,36209,0.004211,106338,108193,0.109940,58543,60373,0.066321,108193,0.083093
4,100000000,0.25,25052,35792,0.008234,95756,108193,0.118388,58543,62581,0.121931,108193,0.088773
4,100000000,0.272626933166,20947,33349,0.036978,86206,201904,0.161273,33349,40597,0.048404,102859,0.126789
4,100000000,0.297301778751,12574,20186,0.008478,77595,79312,0.202401,35792,41183,0.030842,79312,0.150695
4,100000000,0.324209888663,23201,35792,0.017197,69829,82919,0.200254,35792,40597,0.065915,82919,0.154849
4,100000000,0.353553390593,23201,35792,0.049615,62826,64984,0.213057,28772,35792,0.018300,64984,0.169473
4,100000000,0.385552706352,6046,7307,0.086229,56512,79256,0.233419,28772,35059,0.104368,58789,0.185045
4,100000000,0.420448207627,4801,5416,0.071671,50822,65029,0.266569,11272,28772,0.000748,61561,0.228311
4,100000000,0.458502021602,4801,5242,0.057087,45693,53624,0.264122,8777,9649,0.019673,53624,0.219623
4,100000000,0.5,5416,6353,0.114910,41072,71633,0.269257,7219,8777,0.075290,51826,0.227618
4,100000000,0.545253866333,1966,2029,0.027049,36910,51826,0.249996,5416,6362,0.073441,51826,0.205274
4,100000000,0.594603557501,1669,2029,0.054179,33160,51826,0.309681,3799,4651,0.031905,51826,0.263492
4,100000000,0.648419777326,1109,2974,0.143732,29784,30908,0.318380,1402,2974,0.054383,30908,0.281990
