START,n_1,C_max,Npred_1,CpredAlign,Lambda_max,Jitter,JitterRatio,Status
(13#)10,300300,10.24062300,300300,10.34474275,-1.011599e-02,0.382080,-0.272508,EXPECTED
(13#)21/2,315315,10.31668283,315315,10.34359308,-2.605025e-03,0.369781,-0.072773,EXPECTED
(13#)11,330330,10.39343794,330330,10.34262576,4.900861e-03,0.357565,0.142106,OUTLIER
(13#)23/2,345345,10.82307543,345345,10.83322470,-9.373042e-04,0.347156,-0.029235,EXPECTED
(13#)12,373065,10.60647618,373065,10.70505576,-9.251356e-03,0.337307,-0.292255,EXPECTED
(13#)25/2,375375,10.25464963,375375,10.33993910,-8.282754e-03,0.328037,-0.260000,EXPECTED
(13#)13,390390,10.23137733,390390,10.33922892,-1.048609e-02,0.318937,-0.338160,EXPECTED
(13#)27/2,405405,10.26072189,405405,10.33852342,-7.553859e-03,0.310720,-0.250391,EXPECTED
(13#)14,420420,10.36643500,420420,10.33785399,2.760880e-03,0.303561,0.094152,OUTLIER
(13#)29/2,435435,10.80823080,435435,10.71945110,8.248004e-03,0.296723,0.299201,OUTLIER
(13#)15,451605,10.43630000,451605,10.58729653,-1.436473e-02,0.289893,-0.520870,EXPECTED
(13#)31/2,465465,10.58097936,465465,10.69186590,-1.042527e-02,0.283795,-0.390728,EXPECTED
(13#)16,480480,10.36292763,480480,10.33546736,2.653373e-03,0.277198,0.099064,OUTLIER
(13#)33/2,504735,10.40948314,504735,10.50894420,-9.509492e-03,0.272170,-0.365437,EXPECTED
(17#),510510,11.02689928,510510,11.02234361,4.132269e-04,0.266678,0.017083,OUTLIER
(13#)35/2,533715,10.41692508,533715,10.40661808,9.899373e-04,0.261709,0.039383,OUTLIER
(13#)18,540540,10.26910471,540540,10.33350372,-6.251560e-03,0.256996,-0.250584,EXPECTED
(13#)37/2,555555,10.60253259,555555,10.62789847,-2.389579e-03,0.252075,-0.100628,EXPECTED
(13#)19,570570,10.95264258,570570,10.93957262,1.194028e-03,0.247944,0.052713,OUTLIER
(13#)39/2,596505,10.29423475,585585,10.33222325,-3.683477e-03,0.243702,-0.155881,EXPECTED
(13#)20,608685,10.47216331,608685,10.45020012,2.099495e-03,0.240117,0.091469,OUTLIER
(13#)41/2,615615,10.61204631,615615,10.59605556,1.507985e-03,0.236265,0.067681,OUTLIER
(13#)21,636405,10.43557144,636405,10.39897272,3.513277e-03,0.232671,0.157298,OUTLIER
(13#)43/2,645645,10.62110639,645645,10.58240570,3.650408e-03,0.228945,0.169039,OUTLIER
(13#)22,660660,10.35016732,660660,10.33043181,1.908602e-03,0.225570,0.087492,OUTLIER
(13#)45/2,680295,10.36163204,680295,10.37255205,-1.053334e-03,0.222522,-0.049074,EXPECTED
(13#)23,690690,10.75535033,690690,10.82111769,-6.096231e-03,0.219704,-0.299345,EXPECTED
(13#)47/2,705705,10.42659488,705705,10.55874468,-1.259465e-02,0.216616,-0.610065,EXPECTED
(13#)24,726495,10.30832542,726495,10.38853799,-7.751220e-03,0.213778,-0.375214,EXPECTED
(13#)49/2,746130,10.67180211,746130,10.69364771,-2.044947e-03,0.210607,-0.103727,EXPECTED
(13#)25,750750,10.25109722,750750,10.32865448,-7.537275e-03,0.208316,-0.372306,EXPECTED
(17#)3/2,765765,10.99909949,765765,11.01612326,-1.546546e-03,0.205909,-0.082676,EXPECTED
(13#)26,780780,10.36864084,780780,10.32810788,3.916848e-03,0.203485,0.199194,OUTLIER
(13#)53/2,795795,10.54122315,795795,10.53015276,1.050752e-03,0.200950,0.055090,OUTLIER
(13#)27,810810,10.30416841,810810,10.32763178,-2.274487e-03,0.198840,-0.118001,EXPECTED
(13#)55/2,825825,10.34642760,825825,10.32733896,1.846654e-03,0.196558,0.097115,OUTLIER
(13#)28,844305,10.39372356,844305,10.34460418,4.737072e-03,0.194245,0.252873,OUTLIER
(13#)57/2,855855,10.95061370,855855,10.93375910,1.540332e-03,0.191633,0.087952,OUTLIER
(13#)29,870870,10.61823408,870870,10.70879317,-8.492476e-03,0.190361,-0.475723,EXPECTED
(13#)59/2,885885,10.48047317,885885,10.50740868,-2.566769e-03,0.188402,-0.142968,EXPECTED
(13#)30,903210,10.54756236,903210,10.57810016,-2.891064e-03,0.186308,-0.163910,EXPECTED
(13#)61/2,915915,10.51381724,915915,10.50091982,1.227464e-03,0.184194,0.070021,OUTLIER
(13#)31,930930,10.67473805,930930,10.68160294,-6.428901e-04,0.182810,-0.037552,EXPECTED
(13#)63/2,945945,10.24796411,945945,10.32569885,-7.556759e-03,0.181096,-0.429246,EXPECTED
(13#)32,960960,10.28708484,960960,10.32547378,-3.724815e-03,0.179407,-0.213977,EXPECTED
(13#)65/2,975975,10.32547689,975975,10.32530573,1.657661e-05,0.177773,0.000963,OUTLIER
(13#)33,990990,10.30541948,990990,10.32513712,-1.911499e-03,0.175867,-0.112117,EXPECTED
(13#)67/2,1009470,10.53313172,1009470,10.49904981,3.240932e-03,0.174589,0.195212,OUTLIER
