Dec.,max |lambda|,2nd max |lambda|,min |lambda|,2nd min |lambda|,median |lambda|,trimmed < |lambda| >,Spread_raw^IQR (of |lambda|),% positive
0,5.226e-01,4.989e-01,1.870e-01,2.638e-01,2.921e-01,3.516e-01,2.351e-01,20.0
1,5.977e-01,5.329e-01,1.550e-01,1.669e-01,3.223e-01,3.229e-01,2.212e-01,0.0
2,1.891e-01,1.722e-01,1.602e-03,1.231e-02,6.535e-02,7.279e-02,5.419e-02,3.3
3,6.672e-02,5.460e-02,3.188e-05,1.207e-03,1.944e-02,2.047e-02,1.505e-02,5.3
4,2.727e-02,2.472e-02,2.751e-04,4.132e-04,6.141e-03,7.746e-03,6.708e-03,4.1
5,8.046e-03,7.494e-03,1.574e-05,6.579e-05,2.245e-03,2.392e-03,2.370e-03,7.1
6,2.152e-03,1.974e-03,1.150e-06,2.290e-06,6.693e-04,7.026e-04,6.523e-04,7.6
7,6.303e-04,6.164e-04,1.070e-06,1.240e-06,1.484e-04,1.701e-04,1.615e-04,6.8
