Dec.,max |lambda|,2nd max |lambda|,min |lambda|,2nd min |lambda|,median |lambda|,trimmed < |lambda| >,Spread_raw^IQR (of |lambda|),% positive
0,5.226e-01,4.989e-01,1.870e-01,2.638e-01,2.921e-01,3.516e-01,2.351e-01,20.0
1,6.129e-01,3.863e-01,3.197e-02,1.326e-01,2.848e-01,2.728e-01,1.951e-01,0.0
2,1.292e-01,1.203e-01,3.020e-02,3.038e-02,6.713e-02,7.107e-02,2.858e-02,0.0
3,3.175e-02,2.820e-02,6.765e-03,1.395e-02,1.821e-02,2.055e-02,9.856e-03,0.0
4,9.478e-03,7.204e-03,2.379e-03,2.909e-03,5.667e-03,5.567e-03,2.048e-03,0.0
5,3.130e-03,2.240e-03,8.525e-04,1.032e-03,1.706e-03,1.629e-03,6.476e-04,0.0
6,9.767e-04,7.099e-04,1.880e-04,3.205e-04,4.887e-04,5.014e-04,2.290e-04,0.0
7,3.105e-04,2.163e-04,3.539e-05,1.280e-04,1.531e-04,1.617e-04,7.360e-05,0.0
