FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg,n_v,Calign_min(n_v),n_u,Calign_max(n_u),n_a,CboundMin(n_a),n_b,CboundMax(n_b),jitter
150,164,(5#)5,151,7.920,150,21.524,163,2.715599,150,7.20511157,157,12.345489,4.039212573,157,0.000000,150,9.30913095,164,0.000000,150,13.19038273,3.053212
165,179,(5#)11/2,167,8.418,165,25.165,179,2.712819,165,8.00082618,172,13.293065,4.116963984,172,0.000000,165,9.97023718,179,0.000000,165,13.54621404,2.968546
180,194,(5#)6,181,8.843,180,24.008,193,2.712054,180,7.19355883,187,13.801267,4.055034199,191,0.000000,180,8.45133094,194,0.000000,180,12.75869052,2.870378
195,209,(5#)13/2,197,9.319,195,27.366,199,2.709905,195,7.84428932,202,14.651558,4.104891966,206,0.000000,195,9.32081832,209,0.000000,195,13.22652218,2.811903
210,224,(7#),211,9.727,210,31.692,223,2.707019,210,8.62979456,217,15.317239,4.099784471,212,0.001027,210,10.01915580,224,0.000000,210,15.75884391,2.880515
225,239,(5#)15/2,227,10.184,231,27.896,239,2.705377,225,7.18883418,232,15.947818,4.092730736,227,0.000000,231,9.14407968,239,0.000000,225,12.30522802,2.672545
240,254,(5#)8,241,10.578,240,28.700,251,2.704265,240,7.18404410,247,16.454531,4.054908912,241,0.153961,240,8.84935233,254,0.000000,240,12.15817809,2.608840
255,269,(5#)17/2,256,10.992,255,31.686,256,2.693275,255,7.66085308,262,17.063923,4.051945883,256,0.122748,255,9.37237594,269,0.000000,255,12.53455398,2.564762
270,284,(5#)9,271,11.401,270,30.938,283,2.701699,270,7.18281338,277,17.781422,4.072185605,277,0.211780,270,8.88542965,284,0.000000,270,11.93968854,2.511701
285,299,(5#)19/2,293,11.990,285,33.792,293,2.701790,285,7.60337193,292,18.576560,4.112268372,296,0.406384,285,8.52478106,299,0.000000,285,12.27700293,2.475251
300,314,(5#)10,302,12.310,300,33.093,313,2.700437,300,7.17743292,307,18.771502,4.020100799,311,0.299359,300,8.35242564,314,0.000000,300,11.75175712,2.429812
315,329,(7#)3/2,317,12.620,315,40.854,317,2.700184,315,8.61115415,322,19.761609,4.104510014,326,0.314076,315,9.77749506,329,0.000000,315,14.47071029,2.563808
330,344,(5#)11,331,12.982,330,39.124,337,2.698997,330,7.97401946,337,20.319603,4.093320742,331,0.370193,330,9.36967051,344,0.000000,330,12.13123089,2.359837
345,359,(5#)23/2,347,13.391,345,37.863,359,2.697202,345,7.51690411,352,20.831538,4.078914881,347,0.340106,345,9.07771313,359,0.000000,345,11.87465005,2.332769
360,374,(5#)12,362,13.846,360,37.264,373,2.697135,360,7.17246315,367,21.286769,4.053181221,367,0.404197,360,8.72323239,374,0.000000,360,11.45648046,2.308019
375,389,(5#)25/2,379,14.194,375,38.175,379,2.696274,375,7.17131417,382,21.751192,4.034619349,382,0.421429,375,8.65200004,389,0.000000,375,11.40240347,2.275859
390,404,(5#)13,397,14.639,390,42.862,401,2.695884,390,7.82387510,397,22.686480,4.100355109,401,0.465702,390,8.61285882,404,0.000000,390,11.95642815,2.246644
405,419,(5#)27/2,409,14.932,405,40.184,419,2.694640,405,7.17078622,412,22.902197,4.038821333,416,0.891480,405,8.12140191,419,0.000000,405,11.29085342,2.226052
420,434,(7#)2,421,15.223,420,49.513,433,2.694622,420,8.60223889,427,23.936188,4.120178197,422,0.505618,420,9.59205038,434,0.000000,420,13.68755379,2.375785
435,449,(5#)29/2,439,15.657,435,43.700,439,2.693917,435,7.43306573,442,24.061888,4.047667906,436,0.516258,435,8.76859111,449,0.000000,435,11.45501252,2.182142
450,464,(5#)15,454,16.085,462,43.981,463,2.693116,450,7.16810384,457,25.002054,4.110324866,457,0.528698,450,8.53727034,464,0.000000,450,11.13935840,2.159287
465,479,(5#)31/2,467,16.322,465,45.597,479,2.692619,465,7.41434850,472,25.005905,4.023960004,466,0.579721,465,8.83182473,479,0.000000,465,11.34896065,2.143191
480,494,(5#)16,482,16.744,480,45.117,491,2.692264,480,7.16531086,487,25.832158,4.068711841,487,0.594921,480,8.58380356,494,0.000000,480,11.05454289,2.123378
495,509,(5#)33/2,499,17.070,495,51.076,499,2.692035,495,7.96058969,502,26.339888,4.065199066,506,1.156139,495,8.60490606,509,0.000000,495,11.53976771,2.108454
510,524,(5#)17,512,17.371,510,50.141,512,2.686429,510,7.64264747,517,26.643253,4.029710347,521,0.624953,510,8.55478298,524,0.000000,510,11.45707536,2.090167
525,539,(7#)5/2,526,17.760,525,57.416,538,2.696448,525,8.59706998,532,27.876010,4.135844334,536,0.653512,525,9.50834120,538,0.000000,525,13.17945558,2.076108
540,554,(5#)18,541,18.035,540,48.856,541,2.691301,540,7.16260023,547,27.878538,4.056302241,542,0.660779,546,8.36734972,554,0.000000,540,10.91162299,2.060868
555,569,(5#)37/2,557,18.397,555,51.104,557,2.690900,555,7.36656045,562,28.477094,4.068752720,556,0.646329,555,8.73424322,569,0.000000,555,11.08883671,2.049345
570,584,(5#)19,571,18.712,570,53.675,577,2.690424,570,7.58365556,577,28.738631,4.031847798,577,0.661663,570,8.81258072,584,0.000000,570,11.27225245,2.034463
585,599,(5#)39/2,587,19.070,585,56.194,599,2.689596,585,7.81275465,592,29.732476,4.099204601,592,0.924340,585,9.12706693,599,0.000000,585,11.44061702,2.024086
600,614,(5#)20,601,19.381,600,52.494,601,2.689887,600,7.16027293,607,29.857033,4.044980684,611,0.992241,600,7.76620929,614,0.000000,600,10.79406158,2.010595
615,629,(5#)41/2,617,19.735,615,54.669,619,2.689185,615,7.34327566,622,30.572532,4.073582934,626,0.830944,627,8.18085588,629,0.000000,615,10.95493209,2.001252
630,644,(7#)3,631,20.043,630,65.143,643,2.688718,630,8.59207809,637,31.020163,4.065267061,632,0.733417,630,9.41305910,643,0.000000,630,12.79770731,1.991297
645,659,(5#)43/2,647,20.392,645,56.428,659,2.688423,645,7.33412050,652,31.336089,4.041705932,647,0.894484,645,8.51678785,659,0.000000,645,10.89752303,1.980483
660,674,(5#)22,661,20.696,660,62.271,661,2.688684,660,7.95360276,667,32.493574,4.124831282,662,0.782687,660,9.18208199,674,0.000000,660,11.19901303,1.969307
675,689,(5#)45/2,677,21.042,675,56.835,677,2.688393,675,7.15773218,682,32.033945,4.004487421,676,0.983366,675,8.44746155,689,0.000000,675,10.67686959,1.962256
690,704,(5#)23,691,21.343,690,60.548,701,2.687975,690,7.49893355,697,33.392993,4.111263752,701,0.964544,690,8.80035957,704,0.000000,690,10.99438602,1.961464
705,719,(5#)47/2,706,21.725,705,59.880,719,2.687407,705,7.31662958,712,33.398314,4.051920760,716,0.837726,705,7.84335110,719,0.000000,705,10.79505555,1.944446
720,734,(5#)24,727,22.110,720,59.518,733,2.687452,720,7.15644784,727,33.446359,3.998774912,731,1.010875,720,7.93887409,734,0.000000,720,10.61302491,1.935113
735,749,(7#)7/2,739,22.364,735,72.351,739,2.687098,735,8.58719170,742,35.161255,4.145238905,746,0.966411,735,9.28746217,749,0.000000,735,12.51441016,2.133209
750,764,(5#)25,751,22.616,750,61.234,761,2.687024,750,7.15630777,757,34.709504,4.033867907,751,0.798453,750,8.25841320,764,0.000000,759,10.71031100,1.920230
765,779,(5#)51/2,766,22.991,765,66.135,773,2.686848,765,7.63291811,772,35.488638,4.068979782,766,0.784556,765,8.90104064,779,0.000000,765,11.03792293,1.914472
780,794,(5#)26,787,23.369,780,68.643,787,2.686405,780,7.80528485,787,35.891391,4.059648712,787,0.776549,780,8.97714374,794,0.000000,780,11.15377461,1.906633
795,809,(5#)53/2,797,23.576,795,64.932,797,2.686508,795,7.29471835,802,36.364520,4.059630304,802,0.930229,795,8.53597914,809,0.000000,795,10.66886177,1.901396
810,824,(5#)27,811,23.866,810,64.608,823,2.685928,810,7.15472752,817,36.748379,4.048771525,821,0.796043,819,7.75884875,824,0.000000,810,10.51149436,1.894202
825,839,(5#)55/2,827,24.195,825,72.624,839,2.685726,825,7.94924953,832,37.174902,4.044591596,827,1.072826,825,8.63457155,839,0.000000,825,10.98646104,1.889440
840,854,(7#)4,842,24.561,840,79.520,853,2.685775,840,8.58407866,847,38.060241,4.088456198,842,0.801991,840,9.31026260,853,0.000000,840,12.28368876,1.884215
855,869,(5#)57/2,857,24.809,855,70.956,859,2.685482,855,7.57379415,862,38.651483,4.101293412,857,0.961537,855,8.67426162,869,0.000000,858,10.90634646,1.889245
870,884,(5#)29,877,25.216,870,70.438,883,2.685200,870,7.41823750,877,38.728451,4.058916009,877,0.811399,870,8.60715387,884,0.000000,870,10.71998956,1.873150
885,899,(5#)59/2,887,25.418,885,69.869,887,2.685154,885,7.27842450,892,38.942654,4.033426486,886,0.823368,885,8.51345726,899,0.000000,897,10.76300947,1.868503
900,914,(5#)30,907,25.821,900,69.554,911,2.684886,900,7.15208551,907,39.714072,4.064786978,907,0.831295,900,8.25159172,914,0.000000,900,10.42919363,1.862926
915,929,(5#)61/2,919,26.062,915,71.482,919,2.684799,915,7.27296264,922,40.060780,4.053397612,926,0.893409,924,7.79815879,929,0.000000,915,10.54020776,1.859357
930,944,(5#)31,934,26.419,930,73.638,941,2.684762,930,7.39862282,937,40.214797,4.022543427,941,0.831648,930,8.10272153,944,0.000000,930,10.65278491,1.854233
945,959,(7#)9/2,947,26.621,945,86.298,953,2.684635,945,8.58200080,952,41.695961,4.124528939,947,0.931638,945,9.22515750,958,0.000000,945,12.10232808,1.850438
960,974,(5#)32,967,27.019,960,72.791,971,2.684260,960,7.15088425,967,41.367129,4.045980643,961,0.963707,960,8.18788907,974,0.000000,969,10.76261964,1.846293
975,989,(5#)65/2,977,27.217,975,80.200,977,2.684389,975,7.80062493,982,42.245629,4.087387381,982,0.886103,975,9.02246130,989,0.000000,975,10.98341376,1.843370
990,1004,(5#)33,991,27.493,990,82.663,997,2.684190,990,7.94534790,997,42.090982,4.028534520,997,0.842782,990,9.06714773,1004,0.000000,990,10.83618292,1.839049
1005,1019,(5#)67/2,1006,27.843,1005,76.273,1019,2.683801,1005,7.26051298,1012,42.613477,4.035938687,1016,1.140895,1005,8.46625381,1019,0.000000,1014,10.58592964,1.836413
1020,1034,(5#)34,1021,28.082,1020,81.046,1024,2.681141,1020,7.62643108,1027,43.656814,4.091310305,1031,0.853691,1020,8.05897156,1034,0.000000,1023,10.81984858,1.843887
1035,1049,(5#)69/2,1039,28.433,1035,80.349,1039,2.683619,1035,7.48994347,1042,43.266672,4.013576344,1046,0.944136,1035,8.13178050,1049,0.000000,1035,10.67678815,1.830079
1050,1064,(7#)5,1051,28.667,1050,93.077,1063,2.683407,1050,8.57966186,1057,44.735995,4.107318004,1061,0.868913,1050,9.24432655,1063,0.000000,1050,11.94611832,1.827324
1065,1079,(5#)71/2,1069,29.016,1065,79.410,1069,2.683525,1065,7.25304850,1072,44.798178,4.072007053,1072,1.160701,1065,8.16752340,1079,0.000000,1065,10.42303360,1.825061
1080,1094,(5#)36,1082,29.321,1080,79.127,1093,2.683318,1080,7.14875727,1087,45.253942,4.072164836,1082,0.895408,1080,8.31646577,1094,0.000000,1089,10.67633875,1.821003
1095,1109,(5#)73/2,1097,29.556,1095,80.959,1097,2.683284,1095,7.24917329,1102,45.035632,4.013617643,1096,0.883886,1095,8.45992068,1109,0.000000,1104,10.45676652,1.819110
1110,1124,(5#)37,1114,29.937,1110,82.996,1123,2.682909,1110,7.35295362,1117,46.381768,4.093406572,1117,0.879879,1110,8.45672088,1124,0.000000,1122,11.10125160,1.816078
1125,1139,(5#)75/2,1126,30.166,1125,81.393,1129,2.683020,1125,7.14844049,1132,46.090246,4.029500575,1136,0.952705,1131,7.63730324,1139,0.000000,1131,10.92092378,1.814433
1140,1154,(5#)38,1142,30.472,1140,87.072,1153,2.682829,1140,7.56826738,1147,46.038217,3.986986642,1151,0.870875,1140,8.21517075,1154,0.000000,1140,10.69941809,1.811637
1155,1259,(11#)/2,1163,30.818,1155,110.577,1259,2.681915,1155,9.53007910,1206,48.692788,4.066096303,1172,0.888189,1155,10.10947624,1259,0.000000,1155,12.77629092,1.799985
1260,1364,(7#)6,1262,32.732,1260,106.006,1361,2.681396,1260,8.57531312,1311,51.585515,4.056123221,1361,0.889702,1260,9.19162504,1364,0.000000,1260,11.70444178,1.804692
1365,1469,(7#)13/2,1367,34.620,1365,122.410,1459,2.680712,1365,9.35356312,1416,54.573425,4.058655761,1381,0.896015,1365,9.91920101,1469,0.000000,1365,12.08053024,1.789072
1470,1574,(7#)7,1471,36.509,1470,118.464,1571,2.680140,1470,8.57264344,1521,57.460685,4.057023369,1502,0.896381,1470,9.15551061,1574,0.000000,1470,11.52375738,1.786976
1575,1679,(7#)15/2,1579,38.439,1575,124.454,1669,2.679787,1575,8.57093822,1626,60.328962,4.057375302,1592,0.906925,1575,9.11618157,1679,0.000000,1575,11.44989844,1.788933
1680,1784,(7#)8,1684,40.384,1680,130.519,1783,2.679205,1680,8.56975153,1731,63.105253,4.054329069,1712,0.913802,1680,9.12615834,1784,0.000000,1680,11.38241717,1.792594
1785,1889,(7#)17/2,1787,42.076,1785,145.440,1889,2.678883,1785,9.14018451,1836,65.979481,4.059906922,1801,0.887891,1785,9.66829842,1889,0.000000,1785,11.88498791,1.798631
1890,1994,(7#)9,1894,43.958,1890,142.254,1993,2.678508,1890,8.56789132,1941,68.573209,4.050431210,1942,0.882130,1890,9.01675725,1994,0.000000,1890,11.26997659,1.805978
1995,2099,(7#)19/2,1997,45.656,1995,156.634,2048,2.676937,1995,9.07056300,2046,71.352116,4.054266154,1997,0.872370,1995,9.58588025,2099,0.000000,1995,11.72518992,1.815142
2100,2204,(7#)10,2102,47.460,2145,157.626,2203,2.677756,2145,8.65214719,2151,74.049331,4.054758954,2186,0.865237,2145,9.70724298,2204,0.000000,2100,11.17772487,1.825373
2205,2309,(7#)21/2,2207,49.155,2205,159.260,2309,2.677521,2205,8.56514666,2256,76.604802,4.049360901,2306,0.846146,2205,9.07033583,2309,0.000000,2205,11.13876454,1.837023
2310,2414,(11#),2311,50.861,2310,183.228,2411,2.677177,2310,9.51595498,2361,79.420774,4.058853150,2362,0.836850,2310,9.95599609,2414,0.000000,2310,11.87427563,1.849632
2415,2519,(7#)23/2,2417,52.584,2415,178.460,2503,2.676943,2415,8.97116580,2466,81.912920,4.052954097,2426,0.827222,2415,9.46750266,2519,0.000000,2415,11.47642306,1.840188
2520,2624,(7#)12,2521,54.258,2520,175.887,2621,2.676720,2520,8.56269466,2571,84.541430,4.055017224,2536,0.884012,2520,9.00564504,2624,0.000000,2520,11.03751550,1.775215
2625,2729,(7#)25/2,2633,56.045,2625,181.241,2729,2.676474,2625,8.56221025,2676,86.921032,4.046580476,2636,0.910591,2625,9.02974950,2729,0.000000,2625,11.00998490,1.732243
2730,2834,(7#)13,2731,57.595,2730,203.656,2833,2.676249,2730,9.33990552,2782,89.667305,4.056090943,2746,0.960422,2730,9.77077560,2834,0.000000,2730,11.42088869,1.691968
2835,2939,(7#)27/2,2837,59.258,2835,191.943,2939,2.675980,2835,8.56078760,2887,92.108846,4.052522119,2866,1.000851,2835,9.00829651,2939,0.000000,2835,10.95967322,1.652993
2940,3044,(7#)14,2942,60.935,2940,197.299,3041,2.675833,2940,8.56022332,2992,94.593284,4.051758738,2956,1.038211,2940,8.98042982,3044,0.000000,2940,10.93699570,1.616363
3045,3149,(7#)29/2,3046,62.543,3045,209.985,3137,2.675654,3045,8.87685877,3097,97.083643,4.052138177,3076,1.074175,3045,9.22007597,3149,0.000000,3045,11.23392044,1.582700
3150,3254,(7#)15,3158,64.261,3150,207.764,3253,2.675448,3150,8.55930633,3202,99.489705,4.049715610,3152,1.110062,3150,8.96877825,3254,0.000000,3150,10.89736228,1.550012
3255,3359,(7#)31/2,3257,65.729,3255,220.211,3359,2.675223,3255,8.85376750,3307,101.972703,4.051199233,3307,1.144699,3315,9.27922425,3359,0.000000,3315,11.29749975,1.519859
3360,3464,(7#)16,3361,67.303,3360,218.077,3463,2.675056,3360,8.55816779,3412,104.200136,4.043316018,3371,1.183671,3360,8.95756376,3464,0.000000,3360,10.86285842,1.490480
3465,3569,(11#)3/2,3467,68.898,3465,247.916,3559,2.674908,3465,9.50870704,3517,106.999234,4.058052790,3517,1.201444,3465,9.84627809,3563,0.000000,3465,11.51848753,1.757796
3570,3674,(7#)17,3571,70.453,3570,243.483,3673,2.674779,3570,9.12788635,3622,109.283587,4.053419962,3581,1.217226,3570,9.51751491,3668,0.000000,3570,11.39139767,1.725822
3675,3779,(7#)35/2,3677,72.028,3675,233.243,3779,2.674587,3675,8.55682377,3727,111.439790,4.045011843,3691,1.263405,3705,8.97038033,3766,0.000000,3705,11.32832358,1.697720
3780,3884,(7#)18,3793,73.742,3780,238.323,3881,2.674486,3780,8.55641678,3832,113.930711,4.049350102,3812,1.280484,3780,8.93269783,3878,0.000000,3795,10.89561042,1.667074
3885,3989,(7#)37/2,3889,75.151,3885,250.201,3989,2.674342,3885,8.80059383,3937,116.198338,4.046217292,3902,1.301004,3885,9.13936624,3983,0.000000,3927,11.17651428,1.640021
3990,4094,(7#)19,3994,76.724,3990,262.878,4093,2.674208,3990,9.05902910,4042,118.892048,4.058063096,4001,1.311835,3990,9.41748631,4088,0.000000,3990,11.28705471,1.613451
4095,4199,(7#)39/2,4096,78.168,4095,276.154,4096,2.673517,4095,9.33300293,4147,120.992939,4.050031679,4111,1.341344,4095,9.66886325,4193,0.000000,4095,11.17632746,1.588671
4200,4304,(7#)20,4201,79.686,4290,264.951,4297,2.673959,4290,8.64111668,4252,123.322906,4.050209625,4231,1.361824,4290,8.92690843,4298,0.000000,4275,10.84600158,1.564279
4305,4409,(7#)41/2,4306,81.234,4305,269.678,4409,2.673829,4305,8.77400021,4357,125.545495,4.047390507,4372,1.410118,4305,9.10838297,4396,0.000000,4389,11.21277973,1.542695
4410,4514,(7#)21,4414,82.780,4410,267.856,4513,2.673712,4410,8.55431361,4462,127.841240,4.047303348,4441,1.396543,4410,8.83742963,4501,0.000000,4485,11.40317501,1.520741
4515,4619,(7#)43/2,4517,84.209,4515,279.277,4603,2.673583,4515,8.76250498,4567,130.060355,4.045239621,4517,1.411593,4515,9.09348483,4529,0.000000,4590,10.97476853,1.514955
4620,4724,(11#)2,4621,85.684,4620,308.334,4723,2.673457,4620,9.50395507,4672,132.535764,4.051351101,4637,1.429308,4620,9.77868998,4627,0.040337,4620,11.32672781,1.495167
4725,4829,(7#)45/2,4729,87.208,4725,282.235,4817,2.673391,4725,8.55334142,4777,134.729367,4.049041518,4792,1.459950,4725,8.88034241,4739,0.088014,4785,10.92751902,1.473404
4830,4934,(7#)23,4831,88.642,4830,300.734,4933,2.673275,4830,8.96032980,4882,136.951661,4.047990403,4846,1.463933,4830,9.25162174,4915,0.109236,4845,11.48160434,1.601006
4935,5039,(7#)47/2,4937,90.125,4935,298.234,5039,2.673145,4935,8.74270751,4987,139.312394,4.051274269,4946,1.481669,4935,9.06199845,5030,0.081766,4935,10.90548611,1.578307
5040,5144,(7#)24,5042,91.624,5040,296.539,5119,2.673070,5040,8.55236744,5092,141.266905,4.043092611,5077,1.497108,5040,8.84432586,5120,0.050045,5070,11.17274862,1.561355
5145,5249,(7#)49/2,5147,93.045,5145,301.192,5237,2.672990,5145,8.55217279,5197,143.864871,4.053571147,5156,1.509018,5145,8.86355788,5245,0.018916,5175,10.99437940,1.538876
5250,5354,(7#)25,5261,94.620,5250,305.941,5351,2.672862,5250,8.55190387,5302,145.599521,4.040014905,5266,1.534216,5250,8.83622502,5345,0.000000,5265,11.22244360,1.521337
5355,5459,(7#)51/2,5366,96.100,5355,331.254,5449,2.672803,5355,9.12165173,5407,148.310666,4.053812576,5387,1.542851,5355,9.34364408,5455,0.000000,5355,11.25263950,1.502676
5460,5564,(7#)26,5462,97.416,5460,343.923,5563,2.672682,5460,9.32868501,5512,150.251179,4.046616840,5506,1.555720,5460,9.61365201,5560,0.000000,5520,11.09144352,1.485226
5565,5669,(7#)53/2,5569,98.842,5565,326.115,5669,2.672620,5565,8.71878830,5617,152.579790,4.050185810,5596,1.567497,5610,9.04463301,5660,0.000000,5655,11.61436486,1.469331
5670,5774,(7#)27,5674,100.306,5670,324.519,5749,2.672555,5670,8.55087561,5722,154.500474,4.043183971,5716,1.579011,5670,8.83722951,5770,0.000000,5700,11.22345716,1.452388
5775,5879,(11#)5/2,5779,101.695,5775,365.623,5879,2.672429,5775,9.50061339,5827,156.921208,4.049529602,5827,1.596508,5775,9.73445843,5875,0.000000,5865,11.68669155,1.436921
5880,5984,(7#)28,5881,103.073,5880,333.702,5981,2.672375,5880,8.55032099,5932,159.038983,4.048103927,5981,1.617918,5880,8.83561865,5975,0.000000,5925,10.96445556,1.422427
5985,6089,(7#)57/2,5987,104.500,5985,358.112,6089,2.672295,5985,9.05311257,6037,161.033410,4.043884225,6002,1.610026,5985,9.30527191,6085,0.000000,6045,11.62380876,1.406953
6090,6194,(7#)29,6091,105.895,6090,355.524,6173,2.672233,6090,8.86660386,6142,163.377421,4.048588551,6101,1.625857,6090,9.14705496,6190,0.000000,6120,11.26570165,1.392432
6195,6299,(7#)59/2,6197,107.313,6195,353.399,6299,2.672121,6195,8.69963656,6247,165.426837,4.046154087,6211,1.630286,6195,8.95499835,6295,0.000000,6270,11.33380329,1.378691
6300,6404,(7#)30,6301,108.699,6300,351.884,6397,2.672075,6300,8.54943114,6352,167.712250,4.049599941,6311,1.642539,6300,8.82497339,6385,0.000000,6375,11.16729955,1.367064
6405,6509,(7#)61/2,6406,110.129,6405,362.379,6469,2.672025,6405,8.69418887,6457,169.532789,4.042110990,6442,1.655232,6435,9.17014142,6415,0.008144,6450,10.84155039,1.363250
6510,6614,(7#)31,6514,111.559,6510,373.333,6607,2.671912,6510,8.84387731,6562,172.039903,4.051085816,6542,1.668935,6510,9.03875029,6515,0.044444,6555,11.40776076,1.350753
6615,6719,(7#)63/2,6619,112.911,6615,365.310,6719,2.671839,6615,8.54880788,6667,173.845303,4.043685497,6652,1.673071,6630,8.81330028,6635,0.086768,6630,11.60748973,1.336180
6720,6824,(7#)32,6722,114.300,6720,369.831,6823,2.671772,6720,8.54861281,6772,175.979339,4.044179549,6772,1.702832,6720,8.75584252,6730,0.122501,6765,11.16573290,1.324796
6825,6929,(7#)65/2,6827,115.644,6825,408.251,6917,2.671733,6825,9.32561359,6877,178.166536,4.046031080,6871,1.691869,6825,9.57861199,6835,0.154477,6825,10.99399684,1.312863
6930,7034,(11#)3,6934,117.077,6930,420.804,7027,2.671646,6930,9.49810045,6982,180.491215,4.050991422,6947,1.700169,6930,9.70255291,6940,0.196874,6930,11.13275224,1.300928
7035,7139,(7#)67/2,7039,118.413,7035,388.986,7129,2.671604,7035,8.67954514,7087,182.481697,4.048563044,7136,1.742832,7035,8.93527352,7045,0.222047,7095,11.21995776,1.289598
7140,7244,(7#)34,7142,119.786,7140,413.397,7243,2.671518,7140,9.11771327,7192,184.350120,4.043676857,7156,1.718126,7140,9.34137546,7145,0.253014,7140,11.22226326,1.278930
7245,7349,(7#)69/2,7247,121.115,7245,410.571,7349,2.671475,7245,8.95476755,7297,186.598705,4.047296377,7256,1.732739,7245,9.20692479,7255,0.286208,7245,11.07594015,1.267486
7350,7454,(7#)35,7351,122.460,7350,396.351,7451,2.671399,7350,8.54755750,7402,188.585328,4.045293402,7352,1.768798,7410,8.83927750,7355,0.315669,7410,11.34190753,1.257335
7455,7559,(7#)71/2,7457,123.827,7455,406.477,7559,2.671338,7455,8.67119566,7507,190.574278,4.043564318,7466,1.742943,7455,8.92002380,7465,0.347319,7455,10.79373037,1.246438
7560,7664,(7#)36,7561,125.165,7560,405.088,7649,2.671307,7560,8.54715332,7612,192.890795,4.048802879,7576,1.747163,7560,8.77876647,7570,0.379507,7590,11.50439537,1.236156
7665,7769,(7#)73/2,7666,126.545,7665,415.156,7759,2.671230,7665,8.66741947,7717,194.755877,4.044696417,7717,1.755798,7665,8.83948369,7690,0.412275,7755,11.33809551,1.224850
