Dec.,max |lambda|,2nd max |lambda|,min |lambda|,2nd min |lambda|,median |lambda|,trimmed < |lambda| >,Spread_raw^IQR (of |lambda|),% positive
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,2.921e-01,,2.921e-01,,2.921e-01,,0.000e+00,100.0
5,4.989e-01,,4.989e-01,,4.989e-01,,0.000e+00,0.0
6,5.226e-01,,5.226e-01,,5.226e-01,,0.000e+00,0.0
7,,,,,,,,
