START,n_0,C_min,Npred_0,CpredBound,Lambda_min
(13#)27,819212,2.562766,825821,2.487387,2.985438e-02
(13#)55/2,831373,2.564720,840839,2.489461,2.978309e-02
(13#)28,850253,2.564273,855851,2.491471,2.880171e-02
(13#)57/2,860422,2.564422,870853,2.493418,2.807865e-02
(13#)29,883648,2.566164,885883,2.495304,2.800161e-02
(13#)59/2,891427,2.564719,900869,2.497133,2.670565e-02
(13#)30,909037,2.548728,915911,2.498908,1.974057e-02
(13#)61/2,915961,2.547074,930911,2.500627,1.840375e-02
(13#)31,944161,2.565326,945943,2.502298,2.487606e-02
(13#)63/2,957844,2.549019,960941,2.503921,1.785068e-02
(13#)32,968299,2.573348,975967,2.505498,2.672026e-02
(13#)65/2,990586,2.569172,990989,2.507031,2.448448e-02
(13#)33,1004449,2.563918,1006003,2.508524,2.184202e-02
(13#)67/2,1016921,2.561834,1021019,2.509974,2.045101e-02
(17#)2,1034134,2.571303,1036027,2.511389,2.357679e-02
(13#)69/2,1050706,2.556321,1051027,2.512762,1.718657e-02
(13#)35,1053142,2.560025,1066063,2.514102,1.810134e-02
(13#)71/2,1067611,2.564956,1081079,2.515409,1.950591e-02
(13#)36,1093418,2.575284,1096079,2.516684,2.301766e-02
(13#)73/2,1101119,2.571810,1111091,2.517924,2.117518e-02
(13#)37,1116337,2.566773,1126093,2.519139,1.873229e-02
(13#)75/2,1138519,2.571708,1141139,2.520321,2.018400e-02
(13#)38,1154584,2.576126,1156151,2.521475,2.144267e-02
(13#)77/2,1166306,2.582036,1171133,2.522600,2.328812e-02
(13#)39,1171721,2.577143,1186181,2.523703,2.095415e-02
(13#)79/2,1190542,2.575724,1201183,2.524780,1.997673e-02
(13#)40,1201553,2.553525,1216213,2.525830,1.090504e-02
(13#)81/2,1227416,2.574592,1231229,2.526860,1.871365e-02
(13#)41,1239109,2.571541,1246243,2.527864,1.713065e-02
(13#)83/2,1246537,2.571671,1261259,2.528848,1.679202e-02
(13#)42,1271308,2.567174,1276271,2.529811,1.466109e-02
(17#)5/2,1287808,2.580738,1291271,2.530753,1.955852e-02
(13#)43,1305097,2.580555,1306289,2.531677,1.912256e-02
(13#)87/2,1308529,2.570502,1321319,2.532580,1.486266e-02
(13#)44,1327552,2.567012,1336333,2.533466,1.315425e-02
(13#)89/2,1347289,2.580835,1351327,2.534332,1.818290e-02
(13#)45,1352977,2.568573,1366349,2.535182,1.308506e-02
(13#)91/2,1367291,2.578175,1381349,2.536014,1.648823e-02
(13#)46,1392068,2.581279,1396393,2.536831,1.736935e-02
(13#)93/2,1403569,2.576241,1411387,2.537632,1.510000e-02
(13#)47,1421554,2.574203,1426393,2.538417,1.399931e-02
(13#)95/2,1427329,2.563568,1441439,2.539187,9.556087e-03
(13#)48,1446013,2.577389,1456451,2.539944,1.463484e-02
(13#)97/2,1460213,2.583438,1471447,2.540687,1.668655e-02
(13#)49,1485139,2.569529,1486451,2.541414,1.100199e-02
(13#)99/2,1498438,2.572049,1501499,2.542128,1.170133e-02
(13#)50,1508933,2.579741,1516513,2.542830,1.441137e-02
(13#)101/2,1525204,2.588498,1531499,2.543520,1.752884e-02
(17#)3,1538384,2.572062,1546537,2.544198,1.089244e-02
(13#)103/2,1552613,2.581629,1561559,2.544862,1.434417e-02
(13#)52,1568978,2.579733,1576571,2.545517,1.335213e-02
(13#)105/2,1588283,2.576881,1591589,2.546159,1.199380e-02
(13#)53,1600058,2.588112,1606603,2.546792,1.609412e-02
(13#)107/2,1611293,2.582728,1621619,2.547413,1.376787e-02
(13#)54,1625321,2.576631,1636627,2.548023,1.116497e-02
(13#)109/2,1647964,2.569523,1651621,2.548623,8.167065e-03
(13#)55,1658869,2.582682,1666657,2.549215,1.304293e-02
(13#)111/2,1668971,2.593334,1681679,2.549797,1.693056e-02
(13#)56,1693639,2.579746,1696693,2.550368,1.145328e-02
(13#)113/2,1708321,2.575121,1711687,2.550930,9.438525e-03
(13#)57,1725814,2.588012,1726693,2.551485,1.421447e-02
(13#)115/2,1740821,2.579711,1741723,2.552029,1.078865e-02
(13#)58,1746859,2.570141,1756747,2.552566,6.861633e-03
(13#)117/2,1770016,2.583728,1771751,2.553095,1.192697e-02
(13#)59,1777753,2.573578,1786781,2.553615,7.787146e-03
(17#)7/2,1791778,2.589083,1801781,2.554127,1.359328e-02
(13#)60,1802266,2.584393,1816813,2.554632,1.158248e-02
(13#)121/2,1831436,2.577516,1831811,2.555130,8.723041e-03
(13#)61,1835741,2.571404,1846843,2.555619,6.157589e-03
(13#)123/2,1858867,2.583732,1861859,2.556102,1.075142e-02
(13#)62,1872751,2.587271,1876859,2.556577,1.193440e-02
(13#)125/2,1877164,2.577582,1891889,2.557048,7.998282e-03
(13#)63,1892416,2.592349,1906889,2.557509,1.353068e-02
(13#)127/2,1908661,2.585161,1921919,2.557964,1.057616e-02
(13#)64,1931242,2.580351,1936889,2.558413,8.538292e-03
(13#)129/2,1939141,2.593342,1951949,2.558856,1.338711e-02
(13#)65,1953379,2.593798,1966963,2.559293,1.339216e-02
(13#)131/2,1969936,2.574568,1981963,2.559723,5.782704e-03
(13#)66,1988632,2.587112,1996979,2.560149,1.047674e-02
(13#)133/2,1997902,2.586030,2012009,2.560568,9.894772e-03
(13#)67,2021137,2.583325,2027023,2.560981,8.686941e-03
(13#)135/2,2033041,2.591447,2042039,2.561389,1.166672e-02
(17#)4,2053553,2.579809,2057053,2.561792,7.008352e-03
(13#)137/2,2071096,2.585053,2072053,2.562189,8.884039e-03
(13#)69,2076304,2.586796,2087081,2.562581,9.405091e-03
(13#)139/2,2098952,2.580068,2102099,2.562969,6.649403e-03
(13#)70,2106019,2.587094,2117099,2.563350,9.220241e-03
(13#)141/2,2118514,2.592353,2132129,2.563727,1.110390e-02
(13#)71,2136091,2.592237,2147137,2.564099,1.091406e-02
(13#)143/2,2149759,2.601746,2162137,2.564467,1.443210e-02
(13#)72,2166772,2.597074,2177167,2.564830,1.249323e-02
(13#)145/2,2191216,2.591899,2192161,2.565190,1.035826e-02
(13#)73,2198473,2.595378,2207203,2.565543,1.156202e-02
(13#)147/2,2210389,2.596815,2222219,2.565892,1.197952e-02
(13#)74,2222702,2.600920,2237219,2.566238,1.342422e-02
(13#)149/2,2246323,2.596339,2252233,2.566579,1.152849e-02
(13#)75,2263843,2.582011,2267263,2.566916,5.863374e-03
(13#)151/2,2279476,2.588150,2282257,2.567249,8.108437e-03
(13#)76,2294377,2.602427,2297291,2.567578,1.348143e-02
(17#)9/2,2309311,2.594955,2312293,2.567904,1.047917e-02
(13#)77,2316212,2.583454,2327323,2.568225,5.912264e-03
(13#)155/2,2338396,2.592073,2342309,2.568543,9.119130e-03
(13#)78,2352563,2.595422,2357353,2.568857,1.028807e-02
(13#)157/2,2368486,2.590531,2372369,2.569168,8.280763e-03
(13#)79,2375998,2.595066,2387383,2.569475,9.910352e-03
(13#)159/2,2391856,2.585609,2402383,2.569778,6.141556e-03
(13#)80,2409742,2.596264,2417399,2.570078,1.013724e-02
(13#)161/2,2425117,2.592377,2432429,2.570375,8.523413e-03
(13#)81,2434183,2.589718,2447437,2.570669,7.382813e-03
(13#)163/2,2459998,2.595797,2462443,2.570959,9.614618e-03
(13#)82,2473948,2.581392,2477471,2.571246,3.938182e-03
(13#)165/2,2484971,2.595580,2492461,2.571530,9.308946e-03
(13#)83,2495473,2.597962,2507489,2.571810,1.011736e-02
(13#)167/2,2511253,2.602871,2522503,2.572089,1.189666e-02
(13#)84,2525273,2.595884,2537527,2.572363,9.102182e-03
(13#)169/2,2548498,2.597963,2552531,2.572635,9.797011e-03
(17#)5,2555363,2.595337,2567557,2.572904,8.681151e-03
(13#)171/2,2578036,2.596895,2582551,2.573170,9.177899e-03
(13#)86,2594246,2.593958,2597591,2.573433,7.944089e-03
(13#)173/2,2612419,2.590050,2612549,2.573694,6.334960e-03
(13#)87,2622619,2.592665,2627617,2.573952,7.243843e-03
(13#)175/2,2640928,2.597647,2642639,2.574207,9.064510e-03
(13#)88,2653489,2.589649,2657651,2.574460,5.882542e-03
(13#)177/2,2662903,2.599814,2672639,2.574709,9.703386e-03
(13#)89,2683354,2.590833,2687677,2.574957,6.146611e-03
(13#)179/2,2695961,2.593039,2702681,2.575202,6.902569e-03
(13#)90,2717602,2.598752,2717713,2.575444,9.009383e-03
(13#)181/2,2719121,2.594914,2732701,2.575685,7.437857e-03
(13#)91,2739127,2.593271,2747713,2.575922,6.712485e-03
(13#)183/2,2759311,2.597895,2762759,2.576158,8.402360e-03
(13#)92,2774917,2.605239,2777771,2.576391,1.113484e-02
(13#)185/2,2781718,2.593394,2792773,2.576622,6.488204e-03
(13#)93,2798351,2.597376,2807789,2.576850,7.933982e-03
(17#)11/2,2812492,2.599243,2822819,2.577077,8.564438e-03
(13#)94,2825503,2.600128,2837803,2.577301,8.817947e-03
(13#)189/2,2849842,2.600123,2852849,2.577523,8.729891e-03
(13#)95,2863901,2.601423,2867861,2.577743,9.144393e-03
(13#)191/2,2873672,2.596843,2882863,2.577961,7.297700e-03
(13#)96,2895122,2.601897,2897893,2.578177,9.158234e-03
(13#)193/2,2904764,2.591674,2912893,2.578390,5.138826e-03
(13#)97,2919424,2.602268,2927917,2.578603,9.135593e-03
(13#)195/2,2936938,2.587620,2942909,2.578812,3.409707e-03
(13#)98,2949664,2.600223,2957947,2.579020,8.187729e-03
(13#)197/2,2970467,2.599407,2972969,2.579226,7.793988e-03
(13#)99,2980234,2.595608,2987983,2.579430,6.252342e-03
(13#)199/2,2997242,2.598877,3002981,2.579633,7.432288e-03
(13#)100,3004042,2.591117,3018013,2.579834,4.364001e-03
(13#)201/2,3021439,2.592341,3033011,2.580032,4.759527e-03
(13#)101,3040787,2.595932,3048043,2.580229,6.067450e-03
(13#)203/2,3053924,2.607868,3063059,2.580424,1.057930e-02
(17#)6,3066709,2.591466,3078073,2.580618,4.194834e-03
(13#)205/2,3092806,2.597068,3093071,2.580810,6.279813e-03
(13#)103,3107012,2.604617,3108103,2.581000,9.108719e-03
(13#)207/2,3115766,2.600286,3123091,2.581188,7.371681e-03
(13#)104,3127703,2.602558,3138131,2.581375,8.172605e-03
(13#)209/2,3144191,2.605823,3153149,2.581560,9.354689e-03
(13#)105,3159916,2.603373,3168119,2.581744,8.342772e-03
(13#)211/2,3177964,2.601562,3183179,2.581926,7.576402e-03
(13#)106,3192643,2.602437,3198191,2.582106,7.842969e-03
(13#)213/2,3201973,2.598668,3213163,2.582285,6.324340e-03
(13#)107,3226558,2.596537,3228223,2.582463,5.435039e-03
(13#)215/2,3235957,2.604722,3243239,2.582638,8.514594e-03
(13#)108,3245252,2.608783,3258247,2.582813,1.000471e-02
(13#)217/2,3260314,2.604682,3273269,2.582986,8.364501e-03
(13#)109,3275093,2.605763,3288269,2.583158,8.712849e-03
(13#)219/2,3290396,2.600457,3303281,2.583328,6.608709e-03
(13#)110,3317926,2.603487,3318307,2.583497,7.707793e-03
(17#)13/2,3326234,2.605172,3333313,2.583664,8.290153e-03
(13#)111,3341761,2.604131,3348307,2.583830,7.826236e-03
(13#)223/2,3354079,2.597185,3363343,2.583995,5.091515e-03
(13#)112,3364727,2.596771,3378373,2.584158,4.869021e-03
(13#)225/2,3380669,2.605672,3393373,2.584320,8.228190e-03
(13#)113,3395806,2.609983,3408389,2.584481,9.818994e-03
(13#)227/2,3411274,2.603699,3423419,2.584640,7.346893e-03
(13#)114,3434458,2.611137,3438419,2.584799,1.013801e-02
(13#)229/2,3439621,2.611954,3453409,2.584956,1.039011e-02
(13#)115,3464267,2.603425,3468463,2.585111,7.059439e-03
(13#)231/2,3479059,2.604518,3483463,2.585266,7.419225e-03
(13#)116,3489916,2.613878,3498493,2.585419,1.094736e-02
(13#)233/2,3502439,2.610699,3513491,2.585571,9.671628e-03
(13#)117,3515401,2.612171,3528521,2.585722,1.017690e-02
(13#)235/2,3539002,2.606307,3543523,2.585872,7.871495e-03
(13#)118,3553097,2.606045,3558553,2.586021,7.713345e-03
(13#)237/2,3561149,2.602978,3573529,2.586169,6.478544e-03
(17#)7,3576721,2.610207,3588527,2.586315,9.195446e-03
(13#)239/2,3591949,2.611007,3603583,2.586460,9.445825e-03
(13#)120,3616831,2.603235,3618583,2.586605,6.408697e-03
(13#)241/2,3633412,2.606239,3633583,2.586748,7.506698e-03
(13#)121,3644584,2.609578,3648643,2.586890,8.732140e-03
(13#)243/2,3658834,2.606500,3663659,2.587031,7.497439e-03
(13#)122,3675767,2.603042,3678671,2.587171,6.115760e-03
(13#)245/2,3682709,2.606978,3693689,2.587310,7.572970e-03
(13#)123,3704819,2.596930,3708697,2.587447,3.658303e-03
(13#)247/2,3722221,2.602626,3723719,2.587584,5.796313e-03
(13#)124,3735406,2.608630,3738733,2.587720,8.048000e-03
(13#)249/2,3753443,2.600434,3753721,2.587855,4.849007e-03
(13#)125,3760034,2.593551,3768731,2.587989,2.146853e-03
(13#)251/2,3783313,2.604192,3783739,2.588122,6.189938e-03
(13#)126,3797879,2.598422,3798793,2.588254,3.920821e-03
(13#)253/2,3801443,2.606210,3813773,2.588386,6.862543e-03
(13#)127,3822034,2.613491,3828821,2.588516,9.602137e-03
(17#)15/2,3834151,2.598408,3843823,2.588645,3.764377e-03
(13#)128,3853924,2.606403,3858851,2.588773,6.787092e-03
(13#)257/2,3858931,2.597507,3873847,2.588901,3.318678e-03
(13#)129,3883478,2.594628,3888851,2.589027,2.161024e-03
(13#)259/2,3891541,2.606291,3903899,2.589153,6.597343e-03
(13#)130,3912628,2.602100,3918913,2.589278,4.939739e-03
(13#)261/2,3927556,2.600320,3933929,2.589402,4.207553e-03
(13#)131,3936293,2.599760,3948911,2.589525,3.944672e-03
(13#)263/2,3961283,2.606488,3963959,2.589647,6.482148e-03
(13#)132,3974746,2.609044,3978971,2.589768,7.415574e-03
(13#)265/2,3992123,2.608902,3993959,2.589889,7.314426e-03
(13#)133,3996758,2.606043,4009003,2.590009,6.171628e-03
(13#)267/2,4015034,2.596429,4024003,2.590127,2.430130e-03
(13#)134,4034477,2.610102,4039019,2.590246,7.636449e-03
(13#)269/2,4047991,2.608708,4054033,2.590363,7.057059e-03
(13#)135,4060838,2.605187,4069063,2.590480,5.661271e-03
(13#)271/2,4069376,2.607269,4084079,2.590595,6.415734e-03
(17#)8,4087942,2.607185,4099093,2.590710,6.339126e-03
(13#)273/2,4099112,2.611193,4114087,2.590825,7.830847e-03
(13#)137,4115572,2.602570,4129109,2.590938,4.479446e-03
(13#)275/2,4131313,2.600695,4144121,2.591051,3.715132e-03
(13#)138,4154263,2.606322,4159153,2.591163,5.833222e-03
(13#)277/2,4161457,2.607097,4174151,2.591274,6.087695e-03
(13#)139,4186967,2.607727,4189183,2.591385,6.286479e-03
(13#)279/2,4197376,2.593242,4204169,2.591494,6.742870e-04
(13#)140,4208627,2.613973,4219211,2.591604,8.594297e-03
(13#)281/2,4222718,2.607053,4234229,2.591712,5.901803e-03
(13#)141,4242659,2.608260,4249241,2.591820,6.323001e-03
(13#)283/2,4254164,2.607386,4264259,2.591927,5.946572e-03
(13#)142,4270639,2.603665,4279267,2.592033,4.477558e-03
(13#)285/2,4280083,2.607170,4294259,2.592139,5.781938e-03
(13#)143,4298422,2.609440,4309297,2.592244,6.611729e-03
(13#)287/2,4323628,2.609173,4324303,2.592348,6.469284e-03
(13#)144,4333132,2.610882,4339333,2.592452,7.083949e-03
(17#)17/2,4342687,2.606964,4354349,2.592555,5.542450e-03
(13#)145,4354381,2.614402,4369349,2.592658,8.351786e-03
(13#)291/2,4372499,2.601775,4384379,2.592759,3.471345e-03
(13#)146,4392541,2.607219,4399363,2.592861,5.522237e-03
(13#)293/2,4400353,2.604258,4414379,2.592961,4.347332e-03
(13#)147,4416868,2.603212,4429417,2.593061,3.907036e-03
(13#)295/2,4441462,2.609455,4444409,2.593160,6.264178e-03
(13#)148,4447771,2.609820,4459451,2.593259,6.365868e-03
(13#)297/2,4469884,2.605726,4474469,2.593357,4.758156e-03
(13#)149,4475881,2.602272,4489483,2.593454,3.394332e-03
(13#)299/2,4499059,2.612312,4504457,2.593551,7.207674e-03
(13#)150,4512502,2.605336,4519499,2.593648,4.496271e-03
(13#)301/2,4520101,2.610048,4534501,2.593743,6.266606e-03
(13#)151,4540321,2.610081,4549537,2.593839,6.242238e-03
(13#)303/2,4562161,2.604160,4564559,2.593933,3.934910e-03
(13#)152,4568336,2.615511,4579567,2.594027,8.247995e-03
(13#)305/2,4593406,2.608216,4594589,2.594121,5.418732e-03
(17#)9,4602932,2.612112,4609597,2.594214,6.875509e-03
(13#)307/2,4621748,2.615499,4624603,2.594306,8.135858e-03
(13#)154,4638149,2.615785,4639633,2.594398,8.209739e-03
(13#)309/2,4642907,2.600257,4654649,2.594489,2.220706e-03
(13#)155,4657141,2.599418,4669627,2.594580,1.862920e-03
(13#)311/2,4674077,2.610601,4684661,2.594670,6.121122e-03
(13#)156,4687861,2.607950,4699691,2.594760,5.070445e-03
(13#)313/2,4710718,2.609368,4714691,2.594849,5.579720e-03
(13#)157,4729297,2.607043,4729693,2.594938,4.654005e-03
(13#)315/2,4734448,2.611760,4744711,2.595026,6.427788e-03
(13#)158,4749676,2.609849,4759753,2.595113,5.662304e-03
(13#)317/2,4765841,2.612665,4774769,2.595201,6.706803e-03
(13#)159,4785362,2.612487,4789783,2.595287,6.605533e-03
(13#)319/2,4792159,2.588525,4804799,2.595373,-2.642029e-03
(13#)160,4818013,2.609266,4819813,2.595459,5.305576e-03
(13#)321/2,4824811,2.601355,4834829,2.595544,2.236335e-03
(13#)161,4837909,2.605804,4849843,2.595629,3.912388e-03
(19#)/2,4918721,2.600756,5105063,2.595713,1.940934e-03
(17#)10,5167067,2.597599,5360353,2.597077,2.009750e-04
(17#)21/2,5572393,2.607352,5615609,2.598322,3.469295e-03
(17#)11,5638274,2.605302,5870857,2.599464,2.243329e-03
(17#)23/2,5878723,2.605254,6126091,2.600516,1.820288e-03
(17#)12,6175451,2.603294,6381371,2.601487,6.943616e-04
(17#)25/2,6634582,2.604438,6636611,2.602388,7.874279e-04
(17#)13,6670333,2.604986,6891883,2.603225,6.762399e-04
(17#)27/2,6924206,2.610703,7147139,2.604006,2.568505e-03
(17#)14,7376626,2.610535,7402363,2.604735,2.224239e-03
(17#)29/2,7515967,2.611962,7657613,2.605418,2.508540e-03
(17#)15,7808617,2.611891,7912889,2.606060,2.234978e-03
(17#)31/2,8143934,2.607556,8168117,2.606663,3.425249e-04
(17#)16,8377064,2.615094,8423407,2.607232,3.010921e-03
(17#)33/2,8527412,2.609130,8678669,2.607769,5.217659e-04
(17#)17,8870593,2.615707,8933917,2.608277,2.844574e-03
(17#)35/2,9121549,2.613892,9189157,2.608757,1.966436e-03
(17#)18,9307022,2.615493,9444403,2.609213,2.403964e-03
(17#)37/2,9601418,2.616651,9699667,2.609647,2.680293e-03
