START,n_0,C_min,Npred_0,CpredBound,Lambda_min
(7#)29/2,3076,1.845344,3137,1.655377,1.086369e-01
(7#)15,3221,2.107297,3253,1.657728,2.399581e-01
(7#)31/2,3334,2.210551,3359,1.659301,2.868454e-01
(7#)16,3386,2.340982,3463,1.660688,3.433385e-01
(11#)3/2,3559,2.029695,3559,1.661745,2.000173e-01
(7#)17,3571,2.249487,3673,1.662461,3.024032e-01
(7#)35/2,3769,1.943543,3779,1.662884,1.559592e-01
(7#)18,3799,2.075010,3881,1.662908,2.213981e-01
(7#)37/2,3964,2.216472,3989,1.662535,2.875732e-01
(7#)19,4051,2.044491,4093,1.661945,2.071603e-01
(7#)39/2,4153,2.340594,4096,1.661312,3.427971e-01
(7#)20,4282,2.220909,4297,1.660180,2.909905e-01
(7#)41/2,4393,2.306710,4409,1.658894,3.296712e-01
(7#)21,4486,2.143577,4513,1.657515,2.571564e-01
(7#)43/2,4603,2.102361,4603,1.656184,2.385448e-01
(11#)2,4651,2.085780,4723,1.654222,2.318121e-01
(7#)45/2,4801,1.856187,4817,1.652542,1.162097e-01
(7#)23,4909,2.178086,4933,1.650306,2.774858e-01
(7#)47/2,4987,2.151973,5039,1.648111,2.667553e-01
(7#)24,5086,2.176695,5119,1.646364,2.792385e-01
(7#)49/2,5242,2.126897,5237,1.643649,2.577453e-01
(7#)25,5308,2.217466,5351,1.640878,3.011336e-01
(7#)51/2,5416,1.965120,5449,1.638385,1.818423e-01
(7#)26,5557,2.301782,5563,1.636862,3.409026e-01
(7#)53/2,5596,2.182571,5669,1.643435,2.837150e-01
(7#)27,5728,2.248387,5749,1.656265,3.056480e-01
(11#)5/2,5857,2.159168,5879,1.667437,2.584352e-01
(7#)28,5906,2.349289,5981,1.678567,3.361723e-01
(7#)57/2,6038,2.309643,6089,1.689791,3.124881e-01
(7#)29,6131,2.233345,6173,1.700478,2.725911e-01
(7#)59/2,6218,2.356115,6299,1.711056,3.199034e-01
(7#)30,6353,2.124621,6397,1.721139,2.106072e-01
(7#)61/2,6421,2.298798,6469,1.731590,2.833463e-01
(7#)31,6568,2.399779,6607,1.741474,3.206448e-01
(7#)63/2,6719,2.265862,6719,1.750285,2.581766e-01
(7#)32,6791,2.430712,6823,1.759744,3.230159e-01
(7#)65/2,6863,2.365471,6917,1.768090,2.910773e-01
