FIRST,LAST,Alpha,PreMertens,Mertens,DeltaMertens,n_5precent,NzeroStat,EtaStat,MertensAsymp,DeltaMertensAsymp,NzeroStatAsymp,EtaStatAsymp
4,9699690,0.148650889375,109981,111119,0.048076,179105,9596066,0.382203,150184,0.029170,9011089,0.380765
4,9699690,0.162104944331,109981,111637,0.146522,161433,9183709,0.389319,111637,0.114318,9008243,0.388265
4,9699690,0.176776695297,92381,92489,0.131961,145472,9246206,0.393056,111119,0.113716,9008243,0.390839
4,9699690,0.192776353176,92381,92843,0.146649,131069,9310328,0.397933,95516,0.177484,9008243,0.395209
4,9699690,0.210224103813,58543,59027,0.084778,118070,9244841,0.403453,59027,0.037570,9244841,0.394959
4,9699690,0.229251010801,28921,30749,0.112918,106338,9246206,0.411082,59027,0.107882,9144431,0.407833
4,9699690,0.25,25052,25633,0.059169,95756,9696983,0.419178,59027,0.168394,9221371,0.413984
4,9699690,0.272626933166,20947,22772,0.074661,86206,9283481,0.425203,34396,0.085585,9058162,0.422300
4,9699690,0.297301778751,12574,12671,0.169945,77595,9310328,0.434751,36436,0.054878,9310328,0.425855
4,9699690,0.324209888663,23201,24256,0.168985,69829,9144431,0.436331,36436,0.137955,9058162,0.431422
4,9699690,0.353553390593,23201,24256,0.231317,62826,9310328,0.449336,30014,0.068165,9058162,0.443100
4,9699690,0.385552706352,6046,6184,0.129128,56512,9448729,0.456713,30014,0.110481,8970593,0.450675
4,9699690,0.420448207627,4801,4909,0.154197,50822,9216586,0.460739,11351,0.219942,9216586,0.451752
4,9699690,0.458502021602,4801,4933,0.219921,45693,9601418,0.463490,8881,0.204141,9601418,0.453853
4,9699690,0.5,5416,5557,0.306962,41072,9121549,0.479707,7246,0.034658,8958839,0.475384
4,9699690,0.545253866333,1966,2029,0.027049,36910,9101272,0.487662,5557,0.263971,9037486,0.481355
4,9699690,0.594603557501,1669,1733,0.083101,33160,9271291,0.493799,3964,0.074105,9101272,0.489573
4,9699690,0.648419777326,1109,1114,0.393096,29784,9271291,0.503858,1567,0.072563,9271291,0.495079
4,9699690,0.707106781187,841,859,0.061293,26745,9271291,0.519488,1114,0.334123,8936419,0.518242
4,9699690,0.771105412704,556,571,0.231394,24008,9695438,0.538922,1468,0.218116,8963534,0.530718
4,9699690,0.840896415254,556,577,0.378010,21545,9084238,0.555448,577,0.161320,9084238,0.546646
4,9699690,0.917004043205,199,214,0.394117,19330,9585649,0.580300,733,0.460297,8963534,0.574771
4,9699690,1,199,214,0.394117,17571,9585649,0.629369,724,0.405829,9585649,0.620516
