START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
5e0,5,2.590290,5,1.330161,6.664699e-01,2.935933,4.292090e-01,EXPECTED
6e0,6,3.210402,6,1.765214,5.981242e-01,3.648593,3.960946e-01,EXPECTED
8e0,8,2.162039,8,0.222940,2.271904e+00,2.591698,7.481964e-01,EXPECTED
9e0,9,4.827796,9,2.926697,5.005156e-01,2.893671,6.569852e-01,EXPECTED
2e1,28,1.586227,29,0.462764,1.231896e+00,2.414401,4.653175e-01,EXPECTED
3e1,37,1.448748,32,0.577067,9.204966e-01,2.157557,4.040130e-01,EXPECTED
5e1,59,1.146642,59,0.855001,2.934903e-01,1.924980,1.515034e-01,EXPECTED
6e1,64,1.081019,64,0.910218,1.719753e-01,1.805168,9.461779e-02,EXPECTED
7e1,79,0.979081,79,0.977125,1.999790e-03,1.775072,1.101927e-03,EXPECTED
8e1,89,1.831623,89,1.041361,5.646739e-01,1.701861,4.643517e-01,EXPECTED
9e1,97,0.871999,97,1.104617,-2.364657e-01,1.633982,-1.423626e-01,OUTLIER
1e2,199,1.132084,128,1.119307,1.135044e-02,1.617265,7.900375e-03,EXPECTED
2e2,223,1.053604,256,1.327292,-2.309241e-01,1.381099,-1.981668e-01,OUTLIER
3e2,379,1.492247,397,1.384572,7.489197e-02,1.315505,8.185070e-02,EXPECTED
4e2,433,1.364958,499,1.401020,-2.607688e-02,1.293027,-2.788960e-02,OUTLIER
5e2,569,1.983900,512,1.473297,2.975619e-01,1.218626,4.189989e-01,EXPECTED
6e2,661,1.788981,691,1.583021,1.223111e-01,1.106866,1.860749e-01,EXPECTED
7e2,706,1.706515,797,1.668722,2.239522e-02,1.019253,3.707912e-02,EXPECTED
8e2,802,1.784236,887,1.741688,2.413555e-02,0.944657,4.504069e-02,EXPECTED
9e2,967,1.761041,997,1.795293,-1.926313e-02,0.889637,-3.850110e-02,OUTLIER
1e3,1402,1.647631,1999,1.842329,-1.116920e-01,0.841746,-2.313026e-01,OUTLIER
2e3,2029,1.715762,2999,2.077605,-1.913585e-01,0.600786,-6.022827e-01,OUTLIER
3e3,3076,1.845344,3989,2.172804,-1.633528e-01,0.503105,-6.508780e-01,OUTLIER
4e3,4801,1.856187,4999,2.224906,-1.811903e-01,0.449420,-8.204330e-01,OUTLIER
5e3,5416,1.965120,5987,2.257622,-1.387587e-01,0.415557,-7.038794e-01,OUTLIER
6e3,6353,2.124621,6997,2.279834,-7.050920e-02,0.392499,-3.954481e-01,OUTLIER
7e3,7219,2.055910,7993,2.295465,-1.102169e-01,0.376216,-6.367486e-01,OUTLIER
8e3,8777,2.179478,8999,2.307019,-5.687082e-02,0.364097,-3.502940e-01,OUTLIER
9e3,9649,2.163663,9973,2.315452,-6.780230e-02,0.355193,-4.273423e-01,OUTLIER
1e4,11272,2.131467,19997,2.321818,-8.554002e-02,0.348400,-5.463576e-01,OUTLIER
2e4,20816,2.279925,29989,2.329140,-2.135655e-02,0.338363,-1.454503e-01,OUTLIER
3e4,35792,2.297694,39989,2.392655,-4.049762e-02,0.273931,-3.466603e-01,OUTLIER
4e4,40597,2.307754,49999,2.440000,-5.572328e-02,0.225792,-5.856983e-01,OUTLIER
5e4,51826,2.346624,59999,2.470280,-5.135381e-02,0.194928,-6.343676e-01,OUTLIER
6e4,67904,2.413565,69997,2.491431,-3.175234e-02,0.173322,-4.492563e-01,OUTLIER
7e4,71633,2.358847,79999,2.507148,-6.097291e-02,0.157233,-9.431926e-01,OUTLIER
8e4,89459,2.383150,89989,2.519374,-5.558732e-02,0.144694,-9.414627e-01,OUTLIER
9e4,92357,2.434532,99991,2.529120,-3.811688e-02,0.134680,-7.023166e-01,OUTLIER
1e5,116728,2.402456,199999,2.537131,-5.454237e-02,0.126432,-1.065197e+00,OUTLIER
2e5,204928,2.464243,299993,2.576031,-4.436518e-02,0.086101,-1.298336e+00,OUTLIER
3e5,366794,2.499164,399989,2.590371,-3.584483e-02,0.071005,-1.284515e+00,OUTLIER
4e5,463549,2.513127,499979,2.597792,-3.313406e-02,0.063080,-1.342185e+00,OUTLIER
5e5,548461,2.531963,599999,2.602233,-2.737503e-02,0.058265,-1.206041e+00,OUTLIER
6e5,686398,2.527108,699967,2.605098,-3.039473e-02,0.055104,-1.415324e+00,OUTLIER
7e5,770558,2.532269,799999,2.607022,-2.909283e-02,0.052937,-1.412113e+00,OUTLIER
8e5,804191,2.552045,899981,2.608335,-2.181709e-02,0.051419,-1.094732e+00,OUTLIER
9e5,915961,2.547074,999983,2.609225,-2.410799e-02,0.050351,-1.234355e+00,OUTLIER
1e6,1201553,2.553525,1999993,2.608243,-2.120206e-02,0.050210,-1.089783e+00,OUTLIER
2e6,2053553,2.579809,2999999,2.604094,-9.369457e-03,0.053985,-4.498472e-01,OUTLIER
3e6,3004042,2.591117,3999971,2.608571,-6.713505e-03,0.049360,-3.536062e-01,OUTLIER
4e6,4792159,2.588525,4999999,2.617852,-1.126592e-02,0.039728,-7.381947e-01,OUTLIER
5e6,5167067,2.597599,5999993,2.623648,-9.978159e-03,0.033670,-7.736561e-01,OUTLIER
6e6,6175451,2.603294,6999997,2.627633,-9.305875e-03,0.029476,-8.257226e-01,OUTLIER
7e6,7376626,2.610535,7999993,2.630551,-7.638149e-03,0.026385,-7.586128e-01,OUTLIER
8e6,8143934,2.607556,8999993,2.632786,-9.629217e-03,0.024004,-1.051075e+00,OUTLIER
9e6,9121549,2.613892,9999991,2.634555,-7.873989e-03,0.022108,-9.346390e-01,OUTLIER
1e7,10030684,2.609830,19999999,2.635992,-9.974497e-03,0.020559,-1.272533e+00,OUTLIER
2e7,24496594,2.621733,29999999,2.642750,-7.984492e-03,0.013101,-1.604229e+00,OUTLIER
3e7,30099763,2.626030,39999983,2.645126,-7.245501e-03,0.010343,-1.846273e+00,OUTLIER
4e7,41344276,2.629465,49999991,2.646327,-6.392237e-03,0.008884,-1.898019e+00,OUTLIER
5e7,53699671,2.633020,59999999,2.647038,-5.309803e-03,0.007978,-1.757082e+00,OUTLIER
6e7,66759878,2.632266,69999989,2.647498,-5.769971e-03,0.007362,-2.069003e+00,OUTLIER
7e7,78822322,2.634340,79999987,2.647812,-5.100962e-03,0.006920,-1.946821e+00,OUTLIER
8e7,82476448,2.635786,89999999,2.648033,-4.635670e-03,0.006589,-1.858704e+00,OUTLIER
9e7,96281998,2.635636,99999989,2.648191,-4.752246e-03,0.006335,-1.981847e+00,OUTLIER
