Dec.,max |lambda|,2nd max |lambda|,min |lambda|,2nd min |lambda|,median |lambda|,trimmed < |lambda| >,Spread_raw^IQR (of |lambda|),% positive
0,1.067e+00,4.989e-01,1.870e-01,2.638e-01,4.011e-01,3.879e-01,2.351e-01,0.0
1,6.020e-01,3.008e-01,6.062e-03,2.827e-02,1.738e-01,1.743e-01,2.130e-01,0.0
2,1.252e-01,8.537e-02,8.198e-03,3.496e-02,6.642e-02,6.480e-02,3.501e-02,0.0
3,3.889e-02,3.720e-02,2.004e-03,4.782e-03,1.291e-02,1.499e-02,1.649e-02,44.4
4,1.570e-02,1.132e-02,2.782e-03,3.166e-03,6.895e-03,7.029e-03,4.725e-03,33.3
5,7.070e-03,5.174e-03,9.167e-04,1.240e-03,1.677e-03,2.235e-03,1.291e-03,44.4
6,3.258e-03,2.997e-03,4.374e-04,5.687e-04,1.054e-03,1.348e-03,1.333e-03,66.7
7,3.860e-03,2.135e-03,3.185e-04,6.205e-04,1.045e-03,1.295e-03,1.054e-03,0.0
