START,n_0,C_min,Npred_0,CpredBound,Lambda_min,Jitter,JitterRatio
(13#)249/2,3753443,2.600434,3753721,2.463708,5.401082e-02,38.433629,2.913533e+01
(13#)125,3760034,2.593551,3768731,2.464155,5.117903e-02,38.788908,2.741560e+01
(13#)251/2,3783313,2.604192,3783739,2.464630,5.508076e-02,38.788908,2.967168e+01
(13#)126,3797879,2.598422,3798793,2.465101,5.267156e-02,38.788908,2.844266e+01
(13#)253/2,3801443,2.606210,3813773,2.465568,5.547485e-02,38.788908,3.010720e+01
(13#)127,3822034,2.613491,3828821,2.466055,5.806717e-02,38.788908,3.166966e+01
(17#)15/2,3834151,2.598408,3843823,2.466519,5.209110e-02,38.788908,2.842645e+01
(13#)128,3853924,2.606403,3858851,2.466927,5.499786e-02,39.180052,2.986258e+01
(13#)257/2,3858931,2.597507,3873847,2.467393,5.139001e-02,39.180052,2.795208e+01
(13#)129,3883478,2.594628,3888851,2.467843,5.009866e-02,39.180052,2.732848e+01
(13#)259/2,3891541,2.606291,3903899,2.468288,5.440334e-02,39.180052,2.984643e+01
(13#)130,3912628,2.602100,3918913,2.468757,5.260403e-02,39.180052,2.893487e+01
(13#)261/2,3927556,2.600320,3933929,2.469198,5.174111e-02,39.180052,2.854756e+01
(13#)131,3936293,2.599760,3948911,2.469634,5.134917e-02,39.180052,2.842437e+01
(13#)263/2,3961283,2.606488,3963959,2.470081,5.375278e-02,39.180052,2.989495e+01
(13#)132,3974746,2.609044,3978971,2.470514,5.455764e-02,39.180052,3.046004e+01
(13#)265/2,3992123,2.608902,3993959,2.470949,5.432716e-02,39.180052,3.043237e+01
(13#)133,3996758,2.606043,4009003,2.471387,5.305345e-02,39.180052,2.980220e+01
(13#)267/2,4015034,2.596429,4024003,2.471806,4.918798e-02,39.180052,2.767129e+01
(13#)134,4034477,2.610102,4039019,2.472238,5.426549e-02,39.180052,3.071051e+01
(13#)269/2,4047991,2.608708,4054033,2.472664,5.355897e-02,39.180052,3.040290e+01
(13#)135,4060838,2.605187,4069063,2.473077,5.204133e-02,39.180052,2.961879e+01
(13#)271/2,4069376,2.607269,4084079,2.473497,5.267037e-02,39.180052,3.008751e+01
(17#)8,4087942,2.607185,4099093,2.473914,5.246958e-02,39.180052,3.007053e+01
(13#)273/2,4099112,2.611193,4114087,2.474315,5.384361e-02,39.542230,3.069872e+01
(13#)137,4115572,2.602570,4129109,2.474689,5.038469e-02,39.542230,2.877184e+01
(13#)275/2,4131313,2.600695,4144121,2.475098,4.949873e-02,39.542230,2.834720e+01
(13#)138,4154263,2.606322,4159153,2.475505,5.149562e-02,39.542230,2.961837e+01
(13#)277/2,4161457,2.607097,4174151,2.475910,5.162934e-02,39.542230,2.979517e+01
(13#)139,4186967,2.607727,4189183,2.476252,5.173283e-02,39.940971,2.965495e+01
(13#)279/2,4197376,2.593242,4194304,2.476665,4.599593e-02,39.940971,2.632255e+01
(13#)140,4208627,2.613973,4219211,2.477047,5.380416e-02,39.940971,3.107671e+01
(13#)281/2,4222718,2.607053,4234229,2.477440,5.099470e-02,39.940971,2.950792e+01
(13#)141,4242659,2.608260,4249241,2.477830,5.130016e-02,39.940971,2.978537e+01
(13#)283/2,4254164,2.607386,4264259,2.478218,5.080843e-02,39.940971,2.958775e+01
(13#)142,4270639,2.603665,4279267,2.478589,4.923062e-02,39.940971,2.873803e+01
(13#)285/2,4280083,2.607170,4294259,2.478985,5.041614e-02,39.940971,2.954201e+01
(13#)143,4298422,2.609440,4309297,2.479352,5.113840e-02,39.940971,3.007181e+01
(13#)287/2,4323628,2.609173,4324303,2.479742,5.087879e-02,39.940971,3.001046e+01
(13#)144,4333132,2.610882,4339333,2.480117,5.138236e-02,39.940971,3.041134e+01
(17#)17/2,4342687,2.606964,4354349,2.480475,4.973625e-02,39.940971,2.950535e+01
(13#)145,4354381,2.614402,4369349,2.480859,5.243052e-02,39.940971,3.124404e+01
(13#)291/2,4372499,2.601775,4384379,2.481212,4.744675e-02,39.940971,2.829153e+01
(13#)146,4392541,2.607219,4399363,2.481591,4.938425e-02,39.940971,2.956765e+01
(13#)293/2,4400353,2.604258,4414379,2.481953,4.810205e-02,39.940971,2.887094e+01
(13#)147,4416868,2.603212,4429417,2.482299,4.756092e-02,39.940971,2.862685e+01
(13#)295/2,4441462,2.609455,4444409,2.482670,4.980679e-02,39.940971,3.010538e+01
(13#)148,4447771,2.609820,4459451,2.483012,4.980891e-02,39.940971,3.019942e+01
(13#)297/2,4469884,2.605726,4474469,2.483379,4.809120e-02,39.940971,2.922232e+01
(13#)149,4475881,2.602272,4489483,2.483728,4.662425e-02,39.940971,2.839656e+01
(13#)299/2,4499059,2.612312,4504457,2.484037,5.035059e-02,40.310184,3.053440e+01
(13#)150,4512502,2.605336,4519499,2.484384,4.753691e-02,40.310184,2.887482e+01
(13#)301/2,4520101,2.610048,4534501,2.484696,4.921829e-02,40.716669,2.971197e+01
(13#)151,4540321,2.610081,4549537,2.485026,4.909813e-02,40.716669,2.972702e+01
(13#)303/2,4562161,2.604160,4564559,2.485370,4.668862e-02,40.716669,2.831881e+01
(13#)152,4568336,2.615511,4579567,2.485717,5.089834e-02,40.716669,3.103055e+01
(13#)305/2,4593406,2.608216,4594589,2.486043,4.797417e-02,40.716669,2.929185e+01
(17#)9,4602932,2.612112,4609597,2.486384,4.932964e-02,40.716669,3.022980e+01
(13#)307/2,4621748,2.615499,4624603,2.486715,5.049234e-02,40.716669,3.105223e+01
(13#)154,4638149,2.615785,4639633,2.487057,5.046416e-02,40.716669,3.112644e+01
(13#)309/2,4642907,2.600257,4654649,2.487372,4.438355e-02,40.716669,2.737241e+01
(13#)155,4657141,2.599418,4669627,2.487707,4.392617e-02,40.716669,2.716354e+01
(13#)311/2,4674077,2.610601,4684661,2.488037,4.808642e-02,40.716669,2.988598e+01
(13#)156,4687861,2.607950,4699691,2.488363,4.693941e-02,40.716669,2.924143e+01
(13#)313/2,4710718,2.609368,4714691,2.488680,4.735560e-02,40.716669,2.959256e+01
(13#)157,4729297,2.607043,4729693,2.488997,4.633681e-02,40.716669,2.902484e+01
(13#)315/2,4734448,2.611760,4744711,2.489325,4.801273e-02,40.716669,3.018713e+01
(13#)158,4749676,2.609849,4759753,2.489637,4.715545e-02,40.716669,2.972076e+01
(13#)317/2,4765841,2.612665,4774769,2.489947,4.810935e-02,40.716669,3.042358e+01
(13#)159,4785362,2.612487,4789783,2.490256,4.791712e-02,40.716669,3.038572e+01
(13#)319/2,4792159,2.588525,4804799,2.490574,3.857501e-02,40.716669,2.441629e+01
(13#)160,4818013,2.609266,4819813,2.490881,4.643249e-02,40.716669,2.959010e+01
(13#)321/2,4824811,2.601355,4834829,2.491194,4.327035e-02,40.716669,2.760915e+01
(13#)161,4837909,2.605804,4849843,2.491495,4.485833e-02,40.716669,2.872613e+01
(19#)/2,4918721,2.600756,5105063,2.491794,4.279924e-02,40.716669,2.863230e+01
(17#)10,5167067,2.597599,5360353,2.496646,3.963933e-02,41.507431,2.715185e+01
(17#)21/2,5572393,2.607352,5615609,2.501075,4.161451e-02,42.313550,2.919883e+01
(17#)11,5638274,2.605302,5870857,2.505207,3.917723e-02,42.313550,2.858659e+01
(17#)23/2,5878723,2.605254,6126091,2.508939,3.767022e-02,43.135326,2.800295e+01
(17#)12,6175451,2.603294,6381371,2.512420,3.553113e-02,43.574320,2.710294e+01
(17#)25/2,6634582,2.604438,6636611,2.515656,3.468331e-02,43.973061,2.715230e+01
(17#)13,6670333,2.604986,6891883,2.518653,3.370307e-02,44.420581,2.701270e+01
(17#)27/2,6924206,2.610703,7147139,2.521458,3.478223e-02,44.827066,2.856337e+01
(17#)14,7376626,2.610535,7402363,2.524077,3.367973e-02,45.283277,2.824506e+01
(17#)29/2,7515967,2.611962,7657613,2.526535,3.325286e-02,45.697656,2.848654e+01
(17#)15,7808617,2.611891,7912889,2.528833,3.231655e-02,46.162728,2.821468e+01
(17#)31/2,8143934,2.607556,8168117,2.531002,2.979811e-02,46.585155,2.649465e+01
(17#)16,8377064,2.615094,8388608,2.533046,3.187751e-02,47.059258,2.877241e+01
(17#)33/2,8527412,2.609130,8678669,2.535010,2.881925e-02,47.059258,2.677668e+01
(17#)17,8870593,2.615707,8933917,2.536804,3.062940e-02,47.973200,2.867976e+01
(17#)35/2,9121549,2.613892,9189157,2.538568,2.924016e-02,47.973200,2.806221e+01
(17#)18,9307022,2.615493,9444403,2.540212,2.920507e-02,48.412195,2.846647e+01
(17#)37/2,9601418,2.616651,9699667,2.541770,2.903457e-02,48.904892,2.869218e+01
