START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio
(7#)40,8429,2.249292,8501,1.360825,5.025244e-01,0.174754,5.084101e+00
(7#)81/2,8599,2.329117,8609,1.376207,5.261581e-01,0.173111,5.504618e+00
(7#)41,8614,2.287560,8713,1.390613,4.977411e-01,0.171463,5.231140e+00
(7#)83/2,8777,2.179478,8819,1.408298,4.367035e-01,0.169889,4.539317e+00
(7#)42,8839,2.279660,8923,1.428606,4.673272e-01,0.168308,5.056527e+00
(7#)85/2,9014,2.281605,9029,1.440415,4.599479e-01,0.166798,5.043166e+00
(7#)43,9091,2.412999,9133,1.456912,5.045512e-01,0.165281,5.784615e+00
(7#)87/2,9173,2.323530,9239,1.474814,4.545557e-01,0.163830,5.180468e+00
(11#)4,9283,2.301998,9343,1.493959,4.323478e-01,0.162373,4.976437e+00
(7#)89/2,9349,2.396602,9439,1.504341,4.656970e-01,0.160978,5.542751e+00
(7#)45,9511,2.294051,9551,1.520703,4.111465e-01,0.159577,4.846237e+00
(7#)91/2,9649,2.163663,9649,1.534419,3.436508e-01,0.158235,3.976642e+00
(7#)46,9748,2.284701,9749,1.545611,3.908159e-01,0.156886,4.711000e+00
(7#)93/2,9817,2.375649,9829,1.564544,4.176763e-01,0.155594,5.212958e+00
(7#)47,9941,2.284239,9973,1.577120,3.704325e-01,0.154295,4.582903e+00
(7#)95/2,10078,2.360845,10079,1.586747,3.973336e-01,0.160253,4.830474e+00
(7#)48,10174,2.343381,10181,1.601328,3.807615e-01,0.158942,4.668703e+00
(7#)97/2,10273,2.292671,10289,1.617028,3.491276e-01,0.157685,4.284764e+00
(7#)49,10369,2.243034,10391,1.630548,3.189133e-01,0.156420,3.915650e+00
(11#)9/2,10462,2.194423,10499,1.638689,2.920226e-01,0.155207,3.580599e+00
(7#)50,10501,2.449522,10601,1.655582,3.917403e-01,0.154012,5.155053e+00
(7#)101/2,10687,2.319381,10709,1.664756,3.316218e-01,0.152815,4.283774e+00
(7#)51,10786,2.430362,10799,1.677424,3.707809e-01,0.151635,4.965463e+00
(7#)103/2,10883,2.318296,10909,1.692055,3.148887e-01,0.150504,4.160959e+00
(7#)52,11023,2.452351,11003,1.703501,3.643616e-01,0.149364,5.013591e+00
(7#)105/2,11054,2.258518,11087,1.710790,2.777536e-01,0.148269,3.694150e+00
(7#)53,11197,2.391314,11213,1.729421,3.240563e-01,0.147166,4.497595e+00
(7#)107/2,11272,2.131467,11329,1.734458,2.061155e-01,0.146105,2.717286e+00
(7#)54,11353,2.334737,11443,1.745820,2.906749e-01,0.145040,4.060376e+00
(7#)109/2,11461,2.347919,11549,1.756083,2.904436e-01,0.144015,4.109544e+00
(11#)5,11593,2.296655,11633,1.767081,2.621247e-01,0.142981,3.703807e+00
(7#)111/2,11749,2.392249,11743,1.775782,2.979930e-01,0.141986,4.341745e+00
(7#)56,11839,2.348206,11863,1.790032,2.714181e-01,0.140987,3.959046e+00
(7#)113/2,11932,2.392674,11969,1.794082,2.879181e-01,0.140024,4.274924e+00
(7#)57,11971,2.386736,12073,1.798895,2.827542e-01,0.139053,4.227460e+00
(7#)115/2,12101,2.395745,12163,1.800851,2.854349e-01,0.138120,4.307081e+00
(7#)58,12281,2.223656,12281,1.805669,2.082215e-01,0.137178,3.047041e+00
(7#)117/2,12326,2.217079,12347,1.807780,2.040910e-01,0.136270,3.003588e+00
(7#)59,12422,2.346659,12491,1.811488,2.588440e-01,0.135358,3.953745e+00
(7#)119/2,12574,2.295932,12589,1.814560,2.352958e-01,0.134479,3.579533e+00
(7#)60,12671,2.225896,12703,1.817443,2.027290e-01,0.133592,3.057466e+00
(11#)11/2,12757,2.354186,12809,1.821609,2.564748e-01,0.132738,4.012242e+00
(7#)61,12878,2.336543,12911,1.823684,2.478139e-01,0.131894,3.888418e+00
(7#)123/2,12982,2.377047,13009,1.827665,2.628198e-01,0.131046,4.192284e+00
(7#)62,13049,2.340065,13121,1.829287,2.462524e-01,0.130242,3.921761e+00
(7#)125/2,13142,2.381559,13229,1.833891,2.613154e-01,0.129402,4.232299e+00
(7#)63,13241,2.313245,13331,1.834485,2.318875e-01,0.128587,3.723238e+00
(7#)127/2,13339,2.408045,13421,1.839207,2.694807e-01,0.127803,4.450897e+00
(7#)64,13451,2.365320,13537,1.839882,2.512119e-01,0.127010,4.136981e+00
(7#)129/2,13646,2.418129,13649,1.844500,2.707859e-01,0.126247,4.543704e+00
(7#)65,13729,2.380300,13751,1.845924,2.542466e-01,0.125507,4.257739e+00
(7#)131/2,13807,2.343338,13859,1.849039,2.369104e-01,0.124733,3.962857e+00
(11#)6,13943,2.508139,13963,1.852025,3.032614e-01,0.123982,5.292010e+00
(7#)133/2,14051,2.389016,14029,1.853681,2.537082e-01,0.123257,4.343242e+00
(7#)67,14096,2.408715,14173,1.857995,2.595955e-01,0.122543,4.494096e+00
(7#)135/2,14243,2.286441,14251,1.858175,2.074016e-01,0.128224,3.339983e+00
(7#)68,14332,2.428418,14369,1.862823,2.651469e-01,0.127474,4.436944e+00
(7#)137/2,14411,2.316236,14489,1.863117,2.176926e-01,0.120424,3.762697e+00
(7#)69,14528,2.225437,14593,1.867428,1.753912e-01,0.119730,2.990136e+00
(7#)139/2,14699,2.430591,14699,1.868849,2.628117e-01,0.132740,4.231897e+00
(7#)70,14779,2.470069,14797,1.871420,2.775486e-01,0.170548,3.510150e+00
(7#)141/2,14831,2.313924,14869,1.874063,2.108360e-01,0.123915,3.549699e+00
(7#)71,14951,2.398094,15013,1.875437,2.458326e-01,0.168656,3.098953e+00
(13#)/2,15784,2.297078,16141,1.879281,2.007486e-01,0.159039,2.627010e+00
(11#)7,17218,2.342733,17321,1.901059,2.089071e-01,0.150546,2.933814e+00
(11#)15/2,18322,2.313856,18461,1.922058,1.855189e-01,0.143015,2.739559e+00
(11#)8,18637,2.262025,19609,1.938554,1.543181e-01,0.179411,1.802961e+00
(11#)17/2,20509,2.288028,20789,1.955035,1.572822e-01,0.171404,1.942738e+00
(11#)9,20816,2.279925,21943,1.969411,1.464080e-01,0.164134,1.891832e+00
(11#)19/2,22354,2.333078,23099,1.981744,1.632112e-01,0.157529,2.230281e+00
(11#)10,23201,2.282149,24251,1.992813,1.355703e-01,0.151473,1.910149e+00
(11#)21/2,24256,2.336632,25409,2.003591,1.537695e-01,0.145922,2.282322e+00
(11#)11,25496,2.309603,26561,2.013812,1.370462e-01,0.140791,2.100923e+00
(11#)23/2,27182,2.331847,27701,2.021026,1.430554e-01,0.136054,2.284541e+00
(11#)12,27904,2.328254,28871,2.029932,1.371163e-01,0.163712,1.822237e+00
(11#)25/2,29738,2.340355,30029,2.036114,1.392595e-01,0.160887,1.891023e+00
(13#),30332,2.331433,31183,2.043836,1.316547e-01,0.158321,1.816544e+00
(11#)27/2,31294,2.341935,32327,2.049351,1.334544e-01,0.153022,1.912039e+00
(11#)14,32972,2.389670,32768,2.054414,1.511646e-01,0.117475,2.853850e+00
(11#)29/2,34274,2.354215,34649,2.059410,1.337878e-01,0.116187,2.537332e+00
(11#)15,35792,2.297694,35803,2.064499,1.070184e-01,0.141064,1.653115e+00
(11#)31/2,36436,2.373766,36947,2.069166,1.373321e-01,0.109087,2.792267e+00
(11#)16,37201,2.393769,38113,2.073298,1.437285e-01,0.105885,3.026595e+00
(11#)33/2,38188,2.401751,39251,2.076884,1.453294e-01,0.102878,3.157789e+00
(11#)17,39992,2.425829,40423,2.080288,1.536670e-01,0.070979,4.868215e+00
(11#)35/2,40597,2.307754,41579,2.082792,1.025655e-01,0.100059,2.248294e+00
(11#)18,41851,2.392174,42727,2.085561,1.371647e-01,0.067717,4.527859e+00
(11#)37/2,43531,2.348344,43889,2.088442,1.172921e-01,0.095713,2.715431e+00
(11#)19,44533,2.418503,45013,2.091057,1.454791e-01,0.092525,3.539000e+00
(13#)3/2,45259,2.407217,46199,2.093582,1.395948e-01,0.111383,2.815825e+00
(11#)20,46369,2.380141,47353,2.095074,1.275709e-01,0.109133,2.612106e+00
(11#)41/2,47834,2.378831,48497,2.097210,1.260013e-01,0.106281,2.649777e+00
(11#)21,48931,2.430664,49663,2.099212,1.466024e-01,0.104245,3.179548e+00
(11#)43/2,50461,2.416903,50789,2.100470,1.403258e-01,0.102297,3.093277e+00
(11#)22,51826,2.346624,51973,2.102195,1.099957e-01,0.100423,2.433994e+00
(11#)45/2,52876,2.469593,53129,2.103180,1.606029e-01,0.098627,3.715139e+00
(11#)23,53624,2.388364,54277,2.104626,1.264708e-01,0.096897,2.928243e+00
(11#)47/2,54421,2.447211,55439,2.105463,1.504136e-01,0.057455,5.948099e+00
(11#)24,56176,2.444148,56591,2.106626,1.486090e-01,0.056269,5.998365e+00
(11#)49/2,57172,2.426083,57737,2.107448,1.408003e-01,0.055487,5.742516e+00
(11#)25,58789,2.355012,58901,2.108420,1.106070e-01,0.054361,4.536193e+00
(11#)51/2,59074,2.411060,60041,2.108854,1.339218e-01,0.053643,5.633652e+00
(13#)2,61058,2.418361,61211,2.109606,1.365888e-01,0.052576,5.872546e+00
(11#)53/2,61444,2.421746,62351,2.110002,1.377999e-01,0.051883,6.008596e+00
(11#)27,63421,2.436905,63521,2.110345,1.438774e-01,0.051207,6.377253e+00
(11#)55/2,64198,2.443219,64679,2.110797,1.462508e-01,0.050214,6.620106e+00
(11#)28,65336,2.468498,65536,2.111001,1.564476e-01,0.051893,6.889118e+00
(11#)57/2,66602,2.429966,66977,2.111251,1.405966e-01,0.051233,6.220893e+00
(11#)29,67904,2.413565,68141,2.111312,1.337954e-01,0.050272,6.012353e+00
(11#)59/2,69239,2.447118,69263,2.111439,1.475413e-01,0.049645,6.761587e+00
(11#)30,69911,2.449157,70451,2.111328,1.484268e-01,0.049032,6.889970e+00
(11#)61/2,70544,2.431070,71597,2.111239,1.410565e-01,0.048430,6.603985e+00
(11#)31,71633,2.358847,72763,2.111113,1.109576e-01,0.047839,5.178495e+00
(11#)63/2,73016,2.438849,73907,2.110942,1.443919e-01,0.047263,6.937922e+00
(11#)32,74716,2.474061,75041,2.110671,1.588550e-01,0.046695,7.782204e+00
(13#)5/2,75968,2.467098,76213,2.110405,1.561627e-01,0.045849,7.779733e+00
(11#)33,77144,2.383605,77383,2.109917,1.219654e-01,0.045320,6.039011e+00
(11#)67/2,78427,2.494035,78539,2.109490,1.674557e-01,0.044792,8.585127e+00
(11#)34,79312,2.406904,79693,2.109085,1.320871e-01,0.044267,6.727788e+00
(11#)69/2,79784,2.452666,80849,2.108571,1.511651e-01,0.043758,7.863591e+00
(11#)35,81749,2.460417,82003,2.108055,1.545651e-01,0.043255,8.146157e+00
(11#)71/2,82252,2.460452,83137,2.107574,1.548075e-01,0.042756,8.253298e+00
(11#)36,84046,2.459958,84313,2.106973,1.548920e-01,0.044564,7.920855e+00
(11#)73/2,84562,2.471941,85469,2.106326,1.600585e-01,0.044062,8.297740e+00
(11#)37,86248,2.426071,86599,2.105536,1.417030e-01,0.043569,7.356951e+00
(11#)75/2,87316,2.472748,87767,2.104808,1.611058e-01,0.043084,8.540061e+00
(11#)38,88498,2.433762,88919,2.104009,1.455936e-01,0.042610,7.738864e+00
(11#)77/2,89459,2.383150,90089,2.103180,1.249727e-01,0.042144,6.643176e+00
(13#)3,90526,2.492321,91243,2.102442,1.701149e-01,0.041676,9.355000e+00
(11#)79/2,92357,2.434532,92399,2.101879,1.469228e-01,0.041457,8.024049e+00
(11#)40,92656,2.473194,93553,2.101059,1.630689e-01,0.041002,9.076021e+00
(11#)81/2,94228,2.450231,94709,2.100011,1.542397e-01,0.040569,8.632700e+00
(11#)41,95467,2.446013,95857,2.099001,1.529978e-01,0.040137,8.645689e+00
(11#)83/2,96361,2.470995,97007,2.098002,1.636354e-01,0.039711,9.392687e+00
(11#)42,97684,2.508166,98143,2.096897,1.790932e-01,0.039293,1.046672e+01
(11#)85/2,98764,2.453349,99317,2.095800,1.575187e-01,0.038882,9.195746e+00
(11#)43,99581,2.468655,100483,2.095204,1.640225e-01,0.038679,9.655136e+00
(11#)87/2,101467,2.483060,101627,2.094097,1.703692e-01,0.038277,1.016179e+01
(11#)44,102352,2.491281,102793,2.092838,1.742760e-01,0.037881,1.051828e+01
