START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio,Status
(13#)19/2,285285,10.84921557,285285,11.84642456,-8.793332e-02,0.347652,-2.868411,EXPECTED
(13#)10,300300,10.24062300,300300,11.09614363,-8.023517e-02,0.348927,-2.451861,EXPECTED
(13#)21/2,315315,10.31668283,315315,11.06904732,-7.039041e-02,0.336519,-2.235727,EXPECTED
(13#)11,330330,10.39343794,330330,11.04415154,-6.072638e-02,0.325157,-2.001229,EXPECTED
(13#)23/2,345345,10.82307543,345345,11.48679360,-5.951752e-02,0.314669,-2.109258,EXPECTED
(13#)12,373065,10.60647618,373065,11.27955561,-6.152707e-02,0.304967,-2.207057,EXPECTED
(13#)25/2,375375,10.25464963,375375,10.98021424,-6.836372e-02,0.295958,-2.451580,EXPECTED
(13#)13,390390,10.23137733,390390,10.96183979,-6.896092e-02,0.287587,-2.539970,EXPECTED
(13#)27/2,405405,10.26072189,405405,10.94468280,-6.453055e-02,0.279766,-2.444761,EXPECTED
(13#)14,420420,10.36643500,420420,10.92861678,-5.281156e-02,0.272449,-2.063439,EXPECTED
(13#)29/2,435435,10.80823080,435435,11.29546968,-4.409378e-02,0.265584,-1.834594,EXPECTED
(13#)15,451605,10.43630000,451605,11.01942988,-5.436995e-02,0.259132,-2.250320,EXPECTED
(13#)31/2,465465,10.58097936,465465,11.24183991,-6.058453e-02,0.253052,-2.611560,EXPECTED
(13#)16,480480,10.36292763,480480,10.87338563,-4.808333e-02,0.247310,-2.064041,EXPECTED
(13#)33/2,504735,10.40948314,504735,10.87727956,-4.395894e-02,0.241887,-1.933946,EXPECTED
(17#),510510,11.02689928,510510,11.65820051,-5.567216e-02,0.236752,-2.666509,EXPECTED
(13#)35/2,533715,10.41692508,533715,10.83941148,-3.975681e-02,0.231881,-1.821997,EXPECTED
(13#)18,540540,10.26910471,540540,10.82920917,-5.310719e-02,0.227251,-2.464695,EXPECTED
(13#)37/2,555555,10.60253259,555555,11.11432361,-4.714180e-02,0.222846,-2.296613,EXPECTED
(13#)19,570570,10.95264258,570570,11.47099768,-4.624115e-02,0.218648,-2.370729,EXPECTED
(13#)39/2,596505,10.29423475,585585,10.80141593,-4.809322e-02,0.214646,-2.362873,EXPECTED
(13#)20,608685,10.47216331,608685,10.82813280,-3.342701e-02,0.210822,-1.688484,EXPECTED
(13#)41/2,615615,10.61204631,615615,11.04947536,-4.039315e-02,0.207166,-2.111491,EXPECTED
(13#)21,636405,10.43557144,636405,10.77717767,-3.221042e-02,0.203660,-1.677336,EXPECTED
(13#)43/2,645645,10.62110639,645645,11.02142555,-3.699797e-02,0.200313,-1.998468,EXPECTED
(13#)22,660660,10.35016732,660660,10.76265978,-3.908003e-02,0.197097,-2.092840,EXPECTED
(13#)45/2,680295,10.36163204,680295,10.75583284,-3.733844e-02,0.194002,-2.031942,EXPECTED
(13#)23,690690,10.75535033,690690,11.21811876,-4.212688e-02,0.191036,-2.422415,EXPECTED
(13#)47/2,705705,10.42659488,705705,10.97223010,-5.100780e-02,0.188186,-2.899446,EXPECTED
(13#)24,726495,10.30832542,726495,10.73687423,-4.073214e-02,0.185436,-2.311034,EXPECTED
(13#)49/2,746130,10.67180211,746130,11.04592375,-3.445652e-02,0.182793,-2.046696,EXPECTED
(13#)25,750750,10.25109722,750750,10.72536427,-4.522668e-02,0.180239,-2.631323,EXPECTED
(17#)3/2,765765,10.99909949,765765,11.48634445,-4.334549e-02,0.177781,-2.740703,EXPECTED
(13#)26,780780,10.36864084,780780,10.71464305,-3.282537e-02,0.175404,-1.972602,EXPECTED
(13#)53/2,795795,10.54122315,795795,10.91184023,-3.455487e-02,0.173108,-2.140959,EXPECTED
(13#)27,810810,10.30416841,810810,10.70463072,-3.812791e-02,0.170888,-2.343420,EXPECTED
(13#)55/2,825825,10.34642760,825825,10.69986780,-3.359009e-02,0.168741,-2.094572,EXPECTED
(13#)28,844305,10.39372356,844305,10.69525512,-2.859808e-02,0.166663,-1.809229,EXPECTED
(13#)57/2,855855,10.95061370,855855,11.32964677,-3.402740e-02,0.164650,-2.302053,EXPECTED
(13#)29,870870,10.61823408,870870,11.06826141,-4.150896e-02,0.162699,-2.766012,EXPECTED
(13#)59/2,885885,10.48047317,885885,10.86323913,-3.587070e-02,0.160808,-2.380267,EXPECTED
(13#)30,903210,10.54756236,903210,10.85112369,-2.837386e-02,0.158973,-1.909515,EXPECTED
(13#)61/2,915915,10.51381724,915915,10.84906762,-3.138882e-02,0.157193,-2.132731,EXPECTED
(13#)31,930930,10.67473805,930930,11.02607289,-3.238271e-02,0.155464,-2.259911,EXPECTED
(13#)63/2,945945,10.24796411,945945,10.66664513,-4.004253e-02,0.153784,-2.722527,EXPECTED
(13#)32,960960,10.28708484,960960,10.66301334,-3.589185e-02,0.152152,-2.470743,EXPECTED
(13#)65/2,975975,10.32547689,975975,10.65948178,-3.183548e-02,0.150564,-2.218358,EXPECTED
(13#)33,990990,10.30541948,990990,10.65604520,-3.345744e-02,0.149018,-2.352909,EXPECTED
(13#)67/2,1009470,10.53313172,1009470,10.81139664,-2.607513e-02,0.147517,-1.886324,EXPECTED
(17#)2,1021020,11.02138234,1021020,11.39376848,-3.322935e-02,0.146052,-2.549682,EXPECTED
(13#)69/2,1036035,10.76237958,1036035,11.11649206,-3.237310e-02,0.144628,-2.448437,EXPECTED
(13#)35,1051050,10.28826788,1051050,10.64317457,-3.391460e-02,0.143240,-2.477707,EXPECTED
