START,n_0,C_min,Npred_0,CpredAlign,Lambda_min
(7#)14,2974,2.064698,3041,1.674553,2.094377e-01
(7#)29/2,3076,1.845344,3137,1.676874,9.573436e-02
(7#)15,3221,2.107297,3253,1.679113,2.271404e-01
(7#)31/2,3334,2.210551,3359,1.680648,2.740624e-01
(7#)16,3386,2.340982,3463,1.681958,3.306119e-01
(11#)3/2,3559,2.029695,3559,1.682909,1.873617e-01
(7#)17,3571,2.249487,3673,1.683547,2.897993e-01
(7#)35/2,3769,1.943543,3779,1.683916,1.433906e-01
(7#)18,3799,2.075010,3881,1.683783,2.089229e-01
(7#)37/2,3964,2.216472,3989,1.683327,2.751446e-01
(7#)19,4051,2.044491,4093,1.682656,1.947754e-01
(7#)39/2,4153,2.340594,4096,1.681957,3.304467e-01
(7#)20,4282,2.220909,4297,1.680731,2.786878e-01
(7#)41/2,4393,2.306710,4409,1.679358,3.174107e-01
(7#)21,4486,2.143577,4513,1.677897,2.449347e-01
(7#)43/2,4603,2.102361,4603,1.676476,2.263670e-01
(11#)2,4651,2.085780,4723,1.674420,2.196760e-01
(7#)45/2,4801,1.856187,4817,1.672686,1.040937e-01
(7#)23,4909,2.178086,4933,1.670358,2.654085e-01
(7#)47/2,4987,2.151973,5039,1.668063,2.547220e-01
(7#)24,5086,2.176695,5119,1.666253,2.672303e-01
(7#)49/2,5242,2.126897,5237,1.663463,2.457625e-01
(7#)25,5308,2.217466,5351,1.660586,2.891946e-01
(7#)51/2,5416,1.965120,5449,1.658031,1.699226e-01
(7#)26,5557,2.301782,5563,1.656447,3.290087e-01
(7#)53/2,5596,2.182571,5669,1.663086,2.718286e-01
(7#)27,5728,2.248387,5749,1.676021,2.937905e-01
(11#)5/2,5857,2.159168,5879,1.687263,2.466153e-01
(7#)28,5906,2.349289,5981,1.698495,3.243702e-01
(7#)57/2,6038,2.309643,6089,1.709790,3.007224e-01
(7#)29,6131,2.233345,6173,1.720560,2.608506e-01
(7#)59/2,6218,2.356115,6299,1.731232,3.081808e-01
(7#)30,6353,2.124621,6397,1.741390,1.989098e-01
(7#)61/2,6421,2.298798,6491,1.751921,2.716735e-01
(7#)31,6568,2.399779,6607,1.761877,3.089969e-01
(7#)63/2,6719,2.265862,6719,1.770735,2.465605e-01
(7#)32,6791,2.430712,6823,1.780278,3.114147e-01
(7#)65/2,6863,2.365471,6917,1.788667,2.795065e-01
(11#)3,7024,2.323062,7027,1.798057,2.561795e-01
(7#)67/2,7108,2.390305,7129,1.806006,2.803032e-01
(7#)34,7219,2.055910,7243,1.814620,1.248425e-01
(7#)69/2,7246,2.136908,7349,1.822171,1.593313e-01
(7#)35,7351,2.199762,7451,1.829959,1.840556e-01
(7#)71/2,7522,2.372402,7559,1.837718,2.553784e-01
(7#)36,7561,2.321013,7649,1.845136,2.294507e-01
(7#)73/2,7727,2.199214,7759,1.852657,1.714792e-01
(7#)37,7846,2.336977,7873,1.860514,2.280054e-01
(7#)75/2,7951,2.232082,7963,1.866642,1.787937e-01
(7#)38,8062,2.328303,8081,1.874170,2.169738e-01
(11#)7/2,8116,2.236375,8179,1.880122,1.735196e-01
(7#)39,8224,2.292547,8192,1.886416,1.949847e-01
(7#)79/2,8311,2.234912,8389,1.893038,1.660189e-01
(7#)40,8429,2.249292,8501,1.899692,1.689237e-01
(7#)81/2,8599,2.329117,8609,1.905740,2.006188e-01
(7#)41,8614,2.287560,8713,1.911985,1.793438e-01
(7#)83/2,8777,2.179478,8819,1.917336,1.281487e-01
(7#)42,8839,2.279660,8923,1.922922,1.701804e-01
(7#)85/2,9014,2.281605,9029,1.928705,1.680303e-01
(7#)43,9091,2.412999,9133,1.934577,2.209817e-01
(7#)87/2,9173,2.323530,9239,1.939512,1.806512e-01
(11#)4,9283,2.301998,9343,1.944759,1.686394e-01
(7#)89/2,9349,2.396602,9439,1.950100,2.061712e-01
(7#)45,9511,2.294051,9551,1.955529,1.596585e-01
(7#)91/2,9649,2.163663,9649,1.960874,9.841233e-02
(7#)46,9748,2.284701,9749,1.964954,1.507663e-01
(7#)93/2,9817,2.375649,9859,1.969805,1.873361e-01
(7#)47,9941,2.284239,9973,1.974486,1.457248e-01
(7#)95/2,10078,2.360845,10079,1.979912,1.759672e-01
(7#)48,10174,2.343381,10181,1.984115,1.664218e-01
(7#)97/2,10273,2.292671,10289,1.988467,1.423535e-01
(7#)49,10369,2.243034,10391,1.992984,1.181964e-01
(11#)9/2,10462,2.194423,10499,1.997004,9.427108e-02
(7#)50,10501,2.449522,10601,2.001138,2.021769e-01
(7#)101/2,10687,2.319381,10709,2.005343,1.454852e-01
(7#)51,10786,2.430362,10799,2.009408,1.902001e-01
(7#)103/2,10883,2.318296,10909,2.014014,1.407027e-01
(7#)52,11023,2.452351,11003,2.018020,1.949303e-01
(7#)105/2,11054,2.258518,11119,2.021352,1.109423e-01
(7#)53,11197,2.391314,11213,2.025155,1.661968e-01
(7#)107/2,11272,2.131467,11329,2.029040,4.924770e-02
(7#)54,11353,2.334737,11443,2.033002,1.383857e-01
(7#)109/2,11461,2.347919,11549,2.036344,1.423734e-01
(11#)5,11593,2.296655,11633,2.039911,1.185475e-01
(7#)111/2,11749,2.392249,11743,2.043498,1.575709e-01
(7#)56,11839,2.348206,11863,2.047269,1.371449e-01
(7#)113/2,11932,2.392674,11969,2.050417,1.543684e-01
(7#)57,11971,2.386736,12073,2.053770,1.502496e-01
(7#)115/2,12101,2.395745,12163,2.057700,1.521054e-01
(7#)58,12281,2.223656,12281,2.060699,7.610744e-02
(7#)117/2,12326,2.217079,12379,2.063726,7.167748e-02
(7#)59,12422,2.346659,12491,2.066816,1.269834e-01
(7#)119/2,12574,2.295932,12589,2.069996,1.035922e-01
(7#)60,12671,2.225896,12703,2.073064,7.113183e-02
(11#)11/2,12757,2.354186,12809,2.076320,1.255979e-01
(7#)61,12878,2.336543,12911,2.079412,1.165873e-01
(7#)123/2,12982,2.377047,13009,2.082124,1.324704e-01
(7#)62,13049,2.340065,13121,2.085354,1.152401e-01
(7#)125/2,13142,2.381559,13229,2.087928,1.315831e-01
(7#)63,13241,2.313245,13331,2.091024,1.009974e-01
(7#)127/2,13339,2.408045,13421,2.093589,1.399354e-01
(7#)64,13451,2.365320,13537,2.096332,1.207242e-01
(7#)129/2,13646,2.418129,13649,2.099246,1.414159e-01
(7#)65,13729,2.380300,13751,2.102075,1.243016e-01
(7#)131/2,13807,2.343338,13859,2.104447,1.075237e-01
(11#)6,13943,2.508139,13963,2.107346,1.741117e-01
(7#)133/2,14051,2.389016,14057,2.109657,1.243562e-01
(7#)67,14096,2.408715,14173,2.112191,1.313676e-01
(7#)135/2,14243,2.286441,14251,2.114747,7.806128e-02
(7#)68,14332,2.428418,14369,2.117217,1.371375e-01
