FIRST,LAST,START,minAt,G(minAt),maxAt,G(maxAt),n_0,C_min(n_0),n_1,C_max(n_1),n_geom,<COUNT>,C_avg
735,749,(7#)7/2,743,20,735,72,743,2.355865,735,8.54549570,742,35.600000,4.196812727
750,764,(5#)25,751,20,750,62,751,2.338294,750,7.24579438,757,34.000000,3.951470508
765,779,(5#)51/2,766,18,765,62,766,2.072834,765,7.15563604,772,33.733333,3.867464214
780,794,(5#)26,788,16,780,62,788,1.806384,780,7.04990800,787,34.133333,3.860158173
795,809,(5#)53/2,802,16,795,58,802,1.784236,795,6.51590604,802,34.666667,3.869580025
810,824,(5#)27,821,18,810,60,821,1.976976,810,6.64448411,817,34.533333,3.804628348
825,839,(5#)55/2,839,22,825,70,839,2.379710,825,7.66200530,832,36.666667,3.989216972
840,854,(7#)4,841,20,840,76,841,2.159749,840,8.20414590,847,36.666667,3.938706151
855,869,(5#)57/2,859,18,855,70,859,1.914982,855,7.47170017,862,36.933333,3.918842651
870,884,(5#)29,883,22,870,74,883,2.295458,870,7.79339087,877,38.666667,4.052500582
885,899,(5#)59/2,886,22,885,76,886,2.287381,885,7.91710221,892,38.133333,3.949772972
900,914,(5#)30,904,20,900,66,904,2.050129,900,6.78664426,907,36.933333,3.780000887
915,929,(5#)61/2,919,18,915,68,919,1.825774,915,6.91869875,922,37.200000,3.763694936
930,944,(5#)31,943,20,930,66,943,1.991920,930,6.63119009,937,37.066667,3.707657468
945,959,(7#)9/2,958,22,945,76,958,2.164457,945,7.55793189,952,37.866667,3.745684025
960,974,(5#)32,967,18,960,72,967,1.761041,960,7.07321591,967,39.600000,3.873249109
975,989,(5#)65/2,982,20,975,78,982,1.933461,975,7.58665247,982,39.066667,3.779939666
990,1004,(5#)33,997,22,990,78,997,2.106150,990,7.49719194,997,39.733333,3.802745832
1005,1019,(5#)67/2,1009,20,1005,72,1009,1.898450,1005,6.85377083,1012,39.866667,3.775321640
1020,1034,(5#)34,1024,24,1020,78,1024,2.252124,1020,7.33980895,1027,42.533333,3.986142026
1035,1049,(5#)69/2,1048,22,1035,76,1048,2.030676,1035,7.08454356,1042,41.066667,3.809637589
1050,1064,(7#)5,1063,24,1050,94,1063,2.195023,1050,8.66474534,1057,43.866667,4.027402448
1065,1079,(5#)71/2,1072,26,1071,76,1072,2.361462,1071,6.91378853,1072,44.400000,4.035681771
1080,1094,(5#)36,1094,28,1092,86,1094,2.506504,1092,7.70861537,1087,45.866667,4.127242638
