START,n_1,C_max,Npred_1,CpredAlign,Lambda_max,Jitter,JitterRatio
(7#)79/2,8295,8.678196,8295,10.063716,-1.481228e-01,1.455471,-9.519394e-01
(7#)40,8400,8.398189,8400,9.942264,-1.687787e-01,1.459627,-1.057856e+00
(7#)81/2,8505,8.549372,8580,9.932327,-1.499370e-01,1.464054,-9.446066e-01
(7#)41,8610,8.810293,8610,10.141414,-1.407067e-01,1.467522,-9.070533e-01
(7#)83/2,8715,8.501738,8715,10.018166,-1.641294e-01,1.472496,-1.029835e+00
(7#)42,8820,8.721193,8820,9.903041,-1.270859e-01,1.476498,-8.004401e-01
(7#)85/2,8925,9.643464,8925,10.463643,-8.162625e-02,1.480971,-5.538114e-01
(7#)43,9030,8.342063,9030,10.093065,-1.905380e-01,1.486165,-1.178201e+00
(7#)87/2,9135,8.486567,9135,10.192243,-1.831424e-01,1.490554,-1.144323e+00
(11#)4,9240,9.637497,9240,10.841119,-1.176848e-01,1.495230,-8.049748e-01
(7#)89/2,9345,8.480367,9345,9.956640,-1.604860e-01,1.499493,-9.845149e-01
(7#)45,9450,8.618555,9450,9.849874,-1.335412e-01,1.504739,-8.182942e-01
(7#)91/2,9555,9.354148,9555,10.619970,-1.269163e-01,1.509104,-8.387901e-01
(7#)46,9660,8.924952,9660,10.240284,-1.374784e-01,1.513760,-8.689173e-01
(7#)93/2,9765,8.574123,9765,10.120204,-1.657851e-01,1.518716,-1.018018e+00
(7#)47,9870,8.741772,9870,10.007509,-1.352228e-01,1.524656,-8.301786e-01
(7#)95/2,9975,9.248575,9975,10.312586,-1.088957e-01,1.528990,-6.958917e-01
(7#)48,10080,8.329116,10080,9.802347,-1.628646e-01,1.533850,-9.604794e-01
(7#)97/2,10185,8.329507,10185,9.884991,-1.712133e-01,1.539250,-1.010547e+00
(7#)49,10290,8.593845,10290,9.787670,-1.300772e-01,1.545204,-7.726001e-01
(11#)9/2,10395,9.448356,10395,10.754469,-1.294806e-01,1.549713,-8.428094e-01
