START,n_1,C_max,Npred_1,CpredAlign,Lambda_max,Jitter,JitterRatio
(11#)165/2,190575,9.428381,190575,10.018281,-6.068716e-02,0.317420,-1.858422e+00
(11#)83,191730,9.476543,191730,10.135662,-6.724051e-02,0.317663,-2.074900e+00
(11#)167/2,193830,9.497729,192885,10.076697,-5.917284e-02,0.317907,-1.821188e+00
(11#)84,194040,9.452465,194040,10.019864,-5.829402e-02,0.318157,-1.783395e+00
(13#)13/2,195195,10.211602,195195,10.883926,-6.376247e-02,0.318411,-2.111496e+00
(11#)85,196350,10.043303,196350,10.652118,-5.885268e-02,0.318670,-1.910487e+00
(11#)171/2,197505,9.976166,197505,10.578306,-5.860646e-02,0.318930,-1.888001e+00
(11#)86,198660,9.526064,198660,10.252936,-7.353252e-02,0.319198,-2.277183e+00
(11#)173/2,199815,9.474086,199815,10.077996,-6.179412e-02,0.319465,-1.890378e+00
(11#)87,200970,9.769778,200970,10.373787,-5.998836e-02,0.319737,-1.889080e+00
(11#)175/2,202125,9.475020,202125,10.023804,-5.630381e-02,0.320014,-1.714875e+00
(11#)88,203490,9.433536,203490,10.133776,-7.160297e-02,0.320295,-2.186234e+00
(11#)177/2,204435,9.636996,204435,10.191043,-5.589971e-02,0.320579,-1.728268e+00
(11#)89,205590,9.513021,205590,10.134386,-6.327266e-02,0.320867,-1.936518e+00
(11#)179/2,207480,9.830574,207480,10.356659,-5.213237e-02,0.321158,-1.638088e+00
(11#)90,208845,9.960760,208845,10.430196,-4.605171e-02,0.321453,-1.460357e+00
(11#)181/2,209055,9.375229,209055,10.080312,-7.251323e-02,0.321752,-2.191387e+00
(13#)7,210210,10.112352,210210,10.891699,-7.424326e-02,0.322053,-2.419933e+00
(11#)183/2,211575,9.679683,211365,10.189120,-5.129129e-02,0.322358,-1.580344e+00
(11#)92,212520,9.909827,212520,10.480045,-5.594605e-02,0.322666,-1.767207e+00
(11#)185/2,213675,9.763521,213675,10.300405,-5.353013e-02,0.322977,-1.662298e+00
(11#)93,214830,9.694257,214830,10.357007,-6.612967e-02,0.323292,-2.050005e+00
(11#)187/2,215985,10.120296,215985,10.662418,-5.218227e-02,0.323614,-1.675211e+00
(11#)94,217140,9.669040,217140,10.242280,-5.759520e-02,0.323932,-1.769630e+00
(11#)189/2,218295,9.584691,218295,10.032621,-4.567470e-02,0.324260,-1.381390e+00
(11#)95,219450,9.972499,219450,10.590050,-6.008363e-02,0.324584,-1.902591e+00
(11#)191/2,220605,9.681749,220605,10.084054,-4.071279e-02,0.324917,-1.238177e+00
(11#)96,221760,9.464542,221760,10.034661,-5.849285e-02,0.325249,-1.752871e+00
(11#)193/2,222915,9.518735,223860,10.084905,-5.777776e-02,0.325587,-1.738920e+00
(11#)97,224070,9.642852,224070,10.135677,-4.984466e-02,0.325926,-1.512076e+00
(13#)15/2,225225,10.386511,225225,10.900510,-4.830159e-02,0.326269,-1.575383e+00
(11#)98,226380,9.517374,226380,10.037458,-5.320490e-02,0.326615,-1.592345e+00
(11#)197/2,227535,9.543793,227535,10.086706,-5.532730e-02,0.326964,-1.660466e+00
(11#)99,229425,9.326458,228690,10.038890,-7.361120e-02,0.327316,-2.176587e+00
(11#)199/2,229845,9.513749,229845,10.087656,-5.857452e-02,0.327671,-1.751474e+00
(11#)100,232050,10.035155,232050,10.440341,-3.958281e-02,0.328028,-1.235217e+00
(11#)201/2,232155,9.673694,232155,10.186678,-5.167058e-02,0.328393,-1.562105e+00
(11#)101,233415,9.988605,233415,10.367988,-3.727799e-02,0.328753,-1.154005e+00
(11#)203/2,234465,9.904145,234465,10.393085,-4.818733e-02,0.329118,-1.485607e+00
(11#)102,235620,10.006261,235620,10.674403,-6.463768e-02,0.329486,-2.027833e+00
(11#)205/2,236775,9.696311,236775,10.286730,-5.910919e-02,0.329859,-1.789913e+00
(11#)103,237930,9.615567,237930,10.138523,-5.295899e-02,0.330233,-1.583597e+00
(11#)207/2,239085,9.851214,239085,10.496254,-6.342371e-02,0.330609,-1.951065e+00
(13#)8,240240,10.373704,240240,10.910239,-5.042761e-02,0.330988,-1.621012e+00
(11#)209/2,241395,10.115740,241395,10.603838,-4.712335e-02,0.331378,-1.472933e+00
(11#)105,242550,9.507377,242550,10.047902,-5.529583e-02,0.331755,-1.629289e+00
(11#)211/2,244335,9.436526,243705,10.093967,-6.734999e-02,0.332142,-1.979397e+00
(11#)106,244860,9.572942,244860,10.235039,-6.687644e-02,0.332532,-1.991077e+00
(11#)213/2,246015,9.602910,246015,10.187421,-5.908759e-02,0.332924,-1.755690e+00
(11#)107,247170,9.447924,247170,10.141193,-7.081064e-02,0.333323,-2.079872e+00
(11#)215/2,248325,9.614912,248325,10.282688,-6.714644e-02,0.333722,-2.000994e+00
(11#)108,249480,9.525514,249480,10.052667,-5.386412e-02,0.334122,-1.577727e+00
(11#)217/2,250635,9.811819,250635,10.379815,-5.627537e-02,0.334521,-1.697938e+00
(11#)109,252525,9.688881,252525,10.142741,-4.577934e-02,0.334923,-1.355117e+00
(11#)219/2,252945,9.538312,253890,10.188405,-6.593378e-02,0.335332,-1.938655e+00
(11#)110,254100,9.445794,254100,10.055936,-6.259355e-02,0.335741,-1.817300e+00
(17#)/2,255255,10.988793,255255,11.609224,-5.492397e-02,0.336153,-1.845679e+00
(13#)9,270270,10.226055,270270,10.932103,-6.676482e-02,0.341718,-2.066172e+00
(13#)19/2,285285,10.849216,285285,11.551363,-6.271066e-02,0.347652,-2.019685e+00
(13#)10,300300,10.240623,300300,10.947381,-6.673779e-02,0.348927,-2.025518e+00
(13#)21/2,315315,10.316683,315315,10.924966,-5.728835e-02,0.336519,-1.807575e+00
(13#)11,330330,10.393438,330330,10.904374,-4.798935e-02,0.325157,-1.571352e+00
(13#)23/2,345345,10.823075,345345,11.376907,-4.990513e-02,0.314669,-1.760045e+00
(13#)12,373065,10.606476,373065,11.214415,-5.573523e-02,0.304967,-1.993458e+00
(13#)25/2,375375,10.254650,375375,10.851497,-5.657182e-02,0.295958,-2.016662e+00
(13#)13,390390,10.231377,390390,10.836304,-5.744277e-02,0.287587,-2.103456e+00
(13#)27/2,405405,10.260722,405405,10.822118,-5.326881e-02,0.279766,-2.006663e+00
(13#)14,420420,10.366435,420420,10.808835,-4.179067e-02,0.272449,-1.623790e+00
(13#)29/2,435435,10.808231,435435,11.178610,-3.369418e-02,0.265584,-1.394584e+00
(13#)15,451605,10.436300,451605,11.031311,-5.544757e-02,0.259132,-2.296170e+00
(13#)31/2,465465,10.580979,465465,11.129468,-5.053838e-02,0.253052,-2.167494e+00
(13#)16,480480,10.362928,480480,10.763178,-3.789608e-02,0.247310,-1.618416e+00
(13#)33/2,504735,10.409483,504735,10.917224,-4.762449e-02,0.241887,-2.099083e+00
(17#),510510,11.026899,510510,11.432086,-3.608629e-02,0.236752,-1.711439e+00
(13#)35/2,533715,10.416925,533715,10.748420,-3.132687e-02,0.231881,-1.429591e+00
(13#)18,540540,10.269105,540540,10.726665,-4.359285e-02,0.227251,-2.013458e+00
(13#)37/2,555555,10.602533,555555,11.013464,-3.802563e-02,0.222846,-1.844015e+00
(13#)19,570570,10.952643,570570,11.317980,-3.281185e-02,0.218648,-1.670893e+00
(13#)39/2,596505,10.294235,585585,10.703695,-3.900500e-02,0.214646,-1.907607e+00
(13#)20,608685,10.472163,608685,10.808272,-3.159114e-02,0.210822,-1.594277e+00
(13#)41/2,615615,10.612046,615615,10.954620,-3.177148e-02,0.207166,-1.653619e+00
(13#)21,636405,10.435571,636405,10.745179,-2.923689e-02,0.203660,-1.520218e+00
(13#)43/2,645645,10.621106,645645,10.929198,-2.859473e-02,0.200313,-1.538051e+00
(13#)22,660660,10.350167,660660,10.671667,-3.058960e-02,0.197097,-1.631175e+00
(13#)45/2,680295,10.361632,680295,10.702699,-3.238620e-02,0.194002,-1.758059e+00
(13#)23,690690,10.755350,690690,11.151911,-3.620754e-02,0.191036,-2.075843e+00
(13#)47/2,705705,10.426595,705705,10.884658,-4.299453e-02,0.188186,-2.434098e+00
(13#)24,726495,10.308325,726495,10.704127,-3.767751e-02,0.185436,-2.134438e+00
(13#)49/2,746130,10.671802,746130,11.003117,-3.057365e-02,0.182793,-1.812514e+00
(13#)25,750750,10.251097,750750,10.640847,-3.731534e-02,0.180239,-2.162405e+00
(17#)3/2,765765,10.999099,765765,11.324281,-2.913578e-02,0.177781,-1.829113e+00
(13#)26,780780,10.368641,780780,10.631986,-2.508106e-02,0.175404,-1.501363e+00
(13#)53/2,795795,10.541223,795795,10.830067,-2.703266e-02,0.173108,-1.668576e+00
(13#)27,810810,10.304168,810810,10.623712,-3.053997e-02,0.170888,-1.869901e+00
(13#)55/2,825825,10.346428,825825,10.619776,-2.607662e-02,0.168741,-1.619929e+00
(13#)28,844305,10.393724,844305,10.628665,-2.235248e-02,0.166663,-1.409680e+00
(13#)57/2,855855,10.950614,855855,11.219113,-2.422334e-02,0.164650,-1.630728e+00
(13#)29,870870,10.618234,870870,10.990769,-3.448302e-02,0.162699,-2.289719e+00
(13#)59/2,885885,10.480473,885885,10.786202,-2.875390e-02,0.160808,-1.901204e+00
(13#)30,903210,10.547562,903210,10.849244,-2.820062e-02,0.158973,-1.897691e+00
(13#)61/2,915915,10.513817,915915,10.773424,-2.439204e-02,0.157193,-1.651516e+00
(13#)31,930930,10.674738,930930,10.951117,-2.556144e-02,0.155464,-1.777768e+00
(13#)63/2,945945,10.247964,945945,10.592315,-3.304968e-02,0.153784,-2.239185e+00
(13#)32,960960,10.287085,960960,10.589313,-2.895608e-02,0.152152,-1.986357e+00
(13#)65/2,975975,10.325477,975975,10.586393,-2.495517e-02,0.150564,-1.732925e+00
(13#)33,990990,10.305419,990990,10.583552,-2.663118e-02,0.149018,-1.866436e+00
(13#)67/2,1009470,10.533132,1009470,10.750279,-2.040602e-02,0.147517,-1.472015e+00
