FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg,n_alignMax,c_alignMax,n_alignMin,c_alignMin,n_cBound,c_cBound,jitter
30000,39999,3e4,30011,372.821,39270,1774.049,39989,2.665794,30030,10.34278742,34641,645.276816,4.038745115,39994,49.753340,30011,2.336800,30011,1.508385,13.943683
40000,49999,4e4,40009,470.418,49665,2061.641,49999,2.665207,45045,10.33859678,44721,791.085618,4.037459524,49999,52.836525,40031,2.386041,40022,1.665680,17.967592
50000,59999,5e4,50012,564.070,58905,2467.244,59999,2.664751,58905,10.10632240,54772,931.552820,4.036622289,59999,55.762856,50051,2.417474,50627,1.774006,21.554797
60000,69999,6e4,60013,654.572,69615,2777.274,69997,2.664381,60060,10.33582324,64807,1067.959287,4.036293983,69998,58.729372,60013,2.439326,60029,1.852107,21.768039
70000,79999,7e4,70001,742.586,78540,3123.135,79999,2.664067,75075,10.33378523,74833,1200.879012,4.035593587,79999,61.470177,70001,2.455535,70001,1.914178,22.190667
80000,89999,8e4,80018,828.878,87780,3397.192,89989,2.663800,87780,10.02851528,84852,1331.016135,4.035111955,89996,64.205636,80021,2.468234,80107,1.963881,22.190667
90000,99999,9e4,90001,913.148,98175,3753.075,99991,2.663563,90090,10.33218950,94868,1458.857267,4.034994133,99998,66.923929,90001,2.478127,90001,2.001175,22.623679
100000,199999,1e5,100003,996.139,195195,6791.222,199999,2.662132,105105,10.33087844,141421,2124.522190,4.033439140,199999,93.249745,100003,2.486154,100003,2.033306,22.623679
200000,299999,2e5,200003,1772.409,285285,9881.467,299993,2.661377,255255,11.01228466,244949,3259.649531,4.031895599,299998,120.336829,200227,2.523042,200206,2.181022,24.433172
300000,399999,3e5,300002,2490.410,390390,12153.648,399989,2.660873,345345,10.81343727,346410,4326.954244,4.031003982,399998,149.293743,300163,2.533571,300317,2.228507,25.391425
400000,499999,4e5,400006,3174.104,495495,14867.711,499979,2.660498,435435,10.70261344,447213,5350.479136,4.030322573,499999,180.667354,499973,2.536051,400703,2.246773,26.387260
500000,599999,5e5,500009,3833.830,570570,17742.145,599999,2.660202,510510,11.00731275,547722,6342.140937,4.029812180,599999,214.147803,599143,2.533693,599143,2.250165,27.693557
600000,699999,6e5,600004,4475.358,690690,20648.093,699967,2.659959,690690,10.80879355,648074,7309.014578,4.029446477,699997,250.694657,699053,2.530066,699053,2.243604,28.513446
700000,799999,7e5,700001,5102.276,765765,22953.594,799999,2.659754,765765,11.00465781,748331,8255.508963,4.029086664,799999,290.452063,799361,2.525509,799361,2.233822,29.067208
800000,899999,8e5,800011,5717.225,855855,25050.780,899981,2.659576,855855,10.92304735,848528,9184.973859,4.028784503,899999,329.264714,889351,2.520794,889351,2.222942,29.338614
900000,999999,9e5,900001,6321.773,990990,26813.855,999983,2.659420,930930,10.67143888,948683,10099.932400,4.028573351,999998,332.829416,900169,2.522038,900607,2.224943,29.631725
1000000,1999999,1e6,1000003,6917.476,1996995,51800.143,1999993,2.658453,1021020,11.00287541,1414213,14905.089941,4.027602918,1999996,363.020137,1000003,2.532367,1000423,2.241097,30.207206
2000000,2999999,2e6,2000003,12544.590,2984520,71656.392,2999999,2.657932,2042040,10.99889284,2449489,23174.650439,4.026542296,2999999,387.977303,2000003,2.582036,2000003,2.366457,33.902541
3000000,3999999,3e6,3000014,17807.718,3993990,94336.295,3999971,2.657580,3063060,10.99674671,3464101,31018.128072,4.025902846,3999997,410.349466,3000017,2.600400,3000017,2.434853,36.983173
4000000,4999999,4e6,4000006,22853.402,4849845,119115.017,4999999,2.657318,4849845,11.64119356,4472136,38583.980376,4.025440489,4999999,431.128210,4000037,2.610166,4000006,2.471550,39.180052
5000000,5999999,5e6,5000011,27746.218,5870865,139178.222,5999993,2.657109,5870865,11.51705495,5477225,45945.937337,4.025085551,5999999,450.796526,5000011,2.616287,5000011,2.494673,41.507431
6000000,6999999,6e6,6000011,32522.090,6891885,152786.196,6999997,2.656936,6561555,11.43183220,6480740,53147.911564,4.024802110,6999998,469.753552,6000011,2.620500,6000011,2.510750,43.135326
7000000,7999999,7e6,7000003,37203.849,7912905,178317.080,7999993,2.656790,7402395,11.39961102,7483314,60218.772975,4.024559921,7999997,488.087482,7000003,2.623594,7000003,2.522608,44.827066
8000000,8999999,8e6,8000009,41807.323,8843835,195079.599,8999993,2.656663,8273265,11.31527384,8485281,67179.085535,4.024351492,8999999,505.924885,8000009,2.625961,8000009,2.531725,46.585155
9000000,9999999,9e6,9000011,46343.874,9699690,218080.471,9999991,2.656551,9699690,11.63782117,9486833,74044.211248,4.024175344,9999998,523.339661,9000011,2.627835,9000011,2.539002,47.973200
10000000,19999999,1e7,10000019,50822.224,19399380,400766.957,19999999,2.655851,14549535,11.63598835,14142135,110316.989180,4.023491475,19999999,688.530762,10000103,2.629354,10000103,2.544915,49.854679
20000000,29999999,2e7,20000003,93435.262,29099070,573037.189,29999999,2.655470,24249225,11.63381159,24494897,173178.245743,4.022719481,29999999,849.769031,20000003,2.636392,20000003,2.573208,61.681823
30000000,39999999,3e7,30000001,133629.222,38798760,739026.350,39999983,2.655211,33948915,11.63245216,34641016,233196.546564,4.022246030,39999998,1014.560067,30000001,2.638677,30000001,2.583144,71.204684
40000000,49999999,4e7,40000003,172363.956,48498450,900567.329,49999991,2.655016,43648605,11.63147281,44721359,291347.104054,4.021906163,49999997,1186.310918,40000349,2.639665,40000349,2.587936,80.033478
50000000,59999999,5e7,50000012,210065.095,58198140,1058690.865,59999999,2.654860,53348295,11.63071187,54772255,348117.571239,4.021642767,59999999,1366.195310,50008631,2.640102,50000017,2.590509,88.112955
60000000,69999999,6e7,60000002,246971.892,67897830,1214054.495,69999989,2.654731,63047985,11.63009216,64807407,403800.112263,4.021429148,69999998,1555.707159,69987023,2.640225,60002113,2.591906,95.159954
70000000,79999999,7e7,70000022,283237.298,77597520,1367112.432,79999987,2.654622,72747675,11.62957093,74833147,458588.492680,4.021248908,79999999,1755.831890,79993411,2.640084,70041667,2.592585,101.876128
80000000,89999999,8e7,80000006,318966.587,87297210,1518196.264,89999999,2.654526,82447365,11.62912216,84852813,512620.483047,4.021093842,89999999,1966.852897,89985323,2.639862,89985323,2.592660,112.236990
90000000,99999999,9e7,90000034,354237.088,99804705,1692401.736,99999989,2.654442,92147055,11.62872880,94868329,565998.757361,4.020958599,99999997,2190.094048,99992681,2.639578,99960019,2.592289,114.659726
