FIRST,LAST,Alpha,PreMertens,Mertens,DeltaMertens,n_5precent,NzeroStat,EtaStat,MertensAsymp,DeltaMertensAsymp,NzeroStatAsymp,EtaStatAsymp
4,100000000,0.114625505401,266374,336068,0.110586,244353,91338344,0.415939,336068,0.090387,91338344,0.410501
4,100000000,0.125,119563,266374,0.003820,220352,91338344,0.417686,340478,0.109532,91338344,0.412050
4,100000000,0.136313466583,119563,266374,0.056946,198682,91338344,0.421921,266374,0.033364,91338344,0.415755
4,100000000,0.148650889375,109981,266374,0.094326,179105,91338344,0.426775,266374,0.072604,91338344,0.421245
4,100000000,0.162104944331,109981,266374,0.124711,161433,91338344,0.434719,266374,0.104992,89921978,0.433632
4,100000000,0.176776695297,92381,109981,0.029983,145472,92645677,0.437283,266374,0.070628,89921978,0.434368
4,100000000,0.192776353176,92381,106409,0.061909,131069,91338344,0.441411,106409,0.029424,89923076,0.439981
4,100000000,0.210224103813,58543,62053,0.067747,118070,92108453,0.443361,62053,0.023824,90141281,0.442096
4,100000000,0.229251010801,28921,36209,0.004211,106338,98399011,0.447988,60373,0.066321,98399011,0.442667
4,100000000,0.25,25052,35792,0.008234,95756,91689881,0.451234,62581,0.121931,89858018,0.447912
4,100000000,0.272626933166,20947,33349,0.036978,86206,99404419,0.456099,40597,0.048404,90595664,0.451126
4,100000000,0.297301778751,12574,20186,0.008478,77595,96761486,0.457910,41183,0.030842,89915116,0.456967
4,100000000,0.324209888663,23201,35792,0.017197,69829,96761486,0.463682,40597,0.065915,89879269,0.463379
4,100000000,0.353553390593,23201,35792,0.049615,62826,92445274,0.466779,35792,0.018300,89879269,0.466292
4,100000000,0.385552706352,6046,7307,0.086229,56512,99003746,0.472358,35059,0.104368,89883994,0.471908
4,100000000,0.420448207627,4801,5416,0.071671,50822,92445274,0.478184,28772,0.000748,89993809,0.475792
4,100000000,0.458502021602,4801,5242,0.057087,45693,92977351,0.483481,9649,0.019673,89880332,0.483072
4,100000000,0.5,5416,6353,0.114910,41072,92977351,0.488997,8777,0.075290,90408334,0.486601
4,100000000,0.545253866333,1966,2029,0.027049,36910,90811001,0.497466,6362,0.073441,89880332,0.496059
4,100000000,0.594603557501,1669,2029,0.054179,33160,90101311,0.505363,4651,0.031905,89994391,0.504544
4,100000000,0.648419777326,1109,2974,0.143732,29784,90101311,0.513197,2974,0.054383,90101311,0.508780
4,100000000,0.707106781187,841,967,0.041961,26745,90101311,0.525128,2437,0.060745,89860711,0.523920
4,100000000,0.771105412704,556,694,0.025816,24008,92127289,0.538024,2011,0.120466,89860711,0.536313
4,100000000,0.840896415254,556,694,0.308243,21545,91746388,0.553921,694,0.191993,89855291,0.552399
4,100000000,0.917004043205,199,229,0.249680,19330,91746388,0.575324,859,0.082730,91125604,0.572326
4,100000000,1,199,229,0.249680,17571,92031256,0.618025,859,0.120131,90024433,0.616598
