Dec.,max |lambda|,2nd max |lambda|,min |lambda|,2nd min |lambda|,median |lambda|,trimmed < |lambda| >,Spread_raw^IQR (of |lambda|),% positive
0,1.020e+00,4.847e-01,1.838e-01,2.806e-01,3.178e-01,3.610e-01,2.041e-01,0.0
1,5.911e-01,3.889e-01,3.027e-02,1.300e-01,2.864e-01,2.732e-01,1.997e-01,0.0
2,1.300e-01,1.206e-01,3.029e-02,3.046e-02,6.713e-02,7.116e-02,2.848e-02,0.0
3,3.180e-02,2.823e-02,6.772e-03,1.395e-02,1.821e-02,2.057e-02,9.870e-03,0.0
4,9.519e-03,7.216e-03,2.380e-03,2.910e-03,5.668e-03,5.572e-03,2.053e-03,0.0
5,3.158e-03,2.249e-03,8.532e-04,1.032e-03,1.707e-03,1.632e-03,6.485e-04,0.0
6,9.959e-04,7.160e-04,1.884e-04,3.211e-04,4.916e-04,5.033e-04,2.292e-04,0.0
7,,,,,,,,
