FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg
72492420,72747674,17PR142,72492421,293744.426,72492420,1232943.941,72747673,2.654699,72492420,11.14267674,72619935,445654.645890,4.021287765
72747675,73002929,19PR15D2,72747676,294663.969,72747675,1290848.682,73002877,2.654697,72747675,11.62957093,72875190,447047.455089,4.021285018
73002930,73258184,17PR143,73002967,295583.274,73213140,1227785.986,73258169,2.654694,73213140,10.99884491,73130446,448439.273634,4.021277940
73258185,73513439,17PR287D2,73258189,296502.013,73258185,1258194.429,73513421,2.654691,73258185,11.26508700,73385701,449831.231426,4.021276650
73513440,73768694,17PR144,73513448,297420.586,73603530,1252647.818,73768691,2.654688,73603530,11.16860227,73640956,451222.146453,4.021270542
73768695,74023949,17PR289D2,73768696,298338.755,73888815,1262095.052,74023903,2.654685,73888815,11.21417496,73896212,452612.678656,4.021265511
74023950,74279204,17PR145,74023954,299256.607,74023950,1283993.233,74279201,2.654682,74023950,11.39021789,74151467,454002.848019,4.021261704
74279205,74534459,17PR291D2,74279207,300174.128,74459385,1281217.573,74534459,2.654679,74459385,11.30644575,74406723,455392.577494,4.021258408
74534460,74789714,17PR146,74534468,301091.375,74534460,1263272.816,74789713,2.654677,74534460,11.13809679,74661978,456781.620995,4.021253437
74789715,75044969,17PR293D2,74789747,302008.328,74939865,1271792.030,75044969,2.654674,74939865,11.15922490,74917233,458170.266202,4.021249316
75044970,75300224,17PR147,75044971,302924.776,75044970,1253312.997,75300223,2.654671,75044970,10.98337780,75172489,459558.269987,4.021243893
75300225,75555479,17PR295D2,75300233,303841.036,75300225,1279158.242,75555479,2.654668,75300225,11.17605690,75427744,460946.133972,4.021241536
75555480,75810734,17PR148,75555484,304756.952,75555480,1296918.804,75810697,2.654666,75555480,11.29716490,75682999,462333.183963,4.021236338
75810735,76065989,17PR297D2,75810754,305672.590,75810735,1264681.414,76065989,2.654663,75810735,10.98334331,75938255,463720.111883,4.021234306
76065990,76321244,17PR149,76066021,306587.898,76065990,1277097.294,76321207,2.654660,76065990,11.05804845,76193510,465105.782631,4.021225589
76321245,76576499,17PR299D2,76321253,307502.770,76321245,1332837.264,76576477,2.654657,76321245,11.50633581,76448765,466492.189306,4.021227404
76576500,76831754,17PR150,76576502,308417.395,76666590,1290407.674,76831739,2.654655,76666590,11.09537977,76704021,467876.749565,4.021217449
76831755,77087009,17PR301D2,76831787,309331.816,76831755,1311035.983,77086979,2.654652,76831755,11.25118324,76959276,469261.899770,4.021216695
77087010,77342264,17PR151,77087012,310245.732,77224455,1307245.498,77342257,2.654649,77224455,11.16787361,77214532,470646.135987,4.021212188
77342265,77597519,17PR303D2,77342267,311159.410,77342265,1300386.589,77597441,2.654646,77342265,11.09421767,77469787,472029.778418,4.021206679
77597520,77852774,19PR8,77597549,312072.888,77597520,1367112.432,77852771,2.654644,77597520,11.62933871,77725042,473413.358068,4.021204669
77852775,78108029,17PR305D2,77852777,312985.862,77852775,1316887.564,78108001,2.654641,77852775,11.16941005,77980298,474796.014818,4.021198828
78108030,78363284,17PR153,78108059,313898.719,78168090,1299604.275,78363281,2.654638,78108030,10.98324214,78235553,476178.369710,4.021194423
78363285,78618539,17PR307D2,78363287,314811.074,78363285,1306761.488,78618521,2.654636,78363285,11.01924170,78490808,477560.707402,4.021193815
78618540,78873794,17PR154,78618541,315723.215,78738660,1360252.129,78873787,2.654633,78738660,11.42162060,78746064,478941.781007,4.021186493
78873795,79129049,17PR309D2,78873797,316635.057,78873795,1323008.191,79129049,2.654630,78873795,11.09195380,79001319,480322.630155,4.021181210
79129050,79384304,17PR155,79129054,317546.605,79129050,1359112.647,79384289,2.654628,79129050,11.36192922,79256574,481703.778923,4.021182298
79384305,79639559,17PR311D2,79384307,318457.818,79594515,1356177.835,79639537,2.654625,79594515,11.27836529,79511830,483083.438301,4.021174798
79639560,79894814,17PR156,79639561,319368.741,79639560,1321347.824,79894807,2.654623,79639560,10.98317652,79767085,484463.125921,4.021171374
79894815,80150069,17PR313D2,79894819,320279.375,80120040,1353039.445,80150047,2.654620,80120040,11.18654802,80022340,485842.402685,4.021168335
80150070,80405324,17PR157,80150071,321189.687,80150070,1337455.194,80405279,2.654617,80150070,11.05401404,80277596,487220.917147,4.021162769
80405325,80660579,17PR315D2,80405327,322099.714,80450370,1352918.690,80660579,2.654615,80450370,11.14465917,80532851,488599.241957,4.021159394
80660580,80915834,17PR158,80660581,323009.436,80660580,1353766.725,80915819,2.654612,80660580,11.12577166,80788106,489977.203750,4.021156754
80915835,81171089,17PR317D2,80915836,323918.879,81020940,1351159.015,81171061,2.654610,81020940,11.06036554,81043362,491354.322724,4.021150904
81171090,81426344,17PR159,81171098,324828.027,81171090,1370286.460,81426337,2.654607,81171090,11.19846745,81298617,492731.407902,4.021148461
81426345,81681599,17PR319D2,81426347,325736.833,81426345,1397609.603,81681563,2.654605,81426345,11.38988329,81553872,494107.846590,4.021144395
81681600,81936854,17PR160,81681616,326645.489,81876795,1378840.359,81936851,2.654602,81876795,11.18187200,81809127,495483.785542,4.021139899
81936855,82192109,17PR321D2,81936874,327553.692,81936855,1368118.491,82192109,2.654600,81936855,11.08768147,82064383,496859.354320,4.021136013
82192110,82447364,17PR161,82192111,328461.576,82192110,1423681.058,82447357,2.654597,82192110,11.50607358,82319638,498234.490039,4.021132210
82447365,82702619,19PR17D2,82447369,329369.252,82447365,1442883.829,82702597,2.654594,82447365,11.62912216,82574893,499609.411093,4.021130232
82702620,82957874,17PR162,82702652,330276.742,82732650,1407122.880,82957873,2.654592,82732650,11.30607903,82830149,500983.442512,4.021124636
82957875,83213129,17PR325D2,82957877,331183.706,83017935,1375358.529,83213071,2.654590,83017935,11.01703984,83085404,502357.358209,4.021121637
83213130,83468384,17PR163,83213153,332090.578,83303220,1384421.904,83468347,2.654587,83303220,11.05582065,83340659,503730.684456,4.021117416
83468385,83723639,17PR327D2,83468389,332997.022,83468385,1390609.069,83723639,2.654585,83468385,11.08566350,83595915,505103.643821,4.021113745
83723640,83978894,17PR164,83723642,333903.248,83723640,1416905.095,83978893,2.654582,83723640,11.26462381,83851170,506476.137129,4.021109818
83978895,84234149,17PR329D2,83978897,334809.181,83978895,1416013.569,84234149,2.654580,83978895,11.22706462,84106425,507848.258005,4.021106368
84234150,84489404,17PR165,84234158,335714.867,84444360,1421307.652,84489347,2.654577,84444360,11.21371433,84361680,509219.781599,4.021101604
84489405,84744659,17PR331D2,84489406,336620.215,84489405,1396956.776,84744659,2.654575,84489405,11.01636060,84616936,510591.152510,4.021099024
84744660,84999914,17PR166,84744661,337525.299,84744660,1413708.640,84999913,2.654572,84744660,11.11855976,84872191,511961.884552,4.021094781
84999915,85255169,17PR333D2,84999931,338430.162,84999915,1440217.866,85255169,2.654570,84999915,11.29675628,85127446,513332.437055,4.021092475
85255170,85510424,17PR167,85255171,339334.639,85300215,1460681.040,85510423,2.654567,85300215,11.42134058,85382702,514702.134615,4.021086802
85510425,85765679,17PR335D2,85510427,340238.894,85645560,1432244.319,85765679,2.654565,85645560,11.15876728,85637957,516071.865444,4.021084700
85765680,86020934,17PR168,85765681,341142.864,85870785,1436795.079,86020871,2.654563,85870785,11.16807309,85893212,517440.835019,4.021079954
86020935,86276189,17PR337D2,86020936,342046.593,86020935,1419398.827,86276167,2.654560,86020935,11.01570235,86148467,518809.598928,4.021076880
86276190,86531444,17PR169,86276198,342950.014,86441355,1425130.521,86531429,2.654558,86441355,11.01226726,86403723,520177.797765,4.021072675
86531445,86786699,17PR339D2,86531446,343853.134,86531445,1435465.518,86786681,2.654555,86531445,11.08184277,86658978,521545.809232,4.021070248
86786700,87041954,17PR170,86786702,344756.008,87011925,1443220.807,87041951,2.654553,87011925,11.08690451,86914233,522913.063514,4.021065195
87041955,87297209,17PR341D2,87041957,345658.597,87041955,1479433.196,87297169,2.654551,87041955,11.36159801,87169489,524280.175041,4.021062237
87297210,87552464,19PR9,87297214,346560.937,87297210,1518196.264,87552457,2.654548,87297210,11.62891937,87424744,525646.971775,4.021060029
87552465,87807719,17PR343D2,87552469,347462.983,87552465,1437584.144,87807719,2.654546,87552465,10.98285856,87679999,527012.907415,4.021054389
87807720,88062974,17PR172,87807724,348364.781,87807720,1476469.200,88062899,2.654544,87807720,11.25072320,87935254,528378.909608,4.021052393
88062975,88318229,17PR345D2,88062977,349266.271,88062975,1513856.719,88318211,2.654541,88062975,11.50583148,88190510,529744.280364,4.021048701
88318230,88573484,17PR173,88318267,350167.639,88438350,1489512.974,88573477,2.654539,88438350,11.27800230,88445765,531109.214585,4.021044795
88573485,88828739,17PR347D2,88573487,351068.491,88573485,1456711.661,88828721,2.654537,88573485,11.01465413,88701020,532473.507011,4.021039118
88828740,89083994,17PR174,88828759,351969.261,88828740,1510162.471,89083993,2.654534,88828740,11.38958102,88956275,533838.240279,4.021039822
89083995,89339249,17PR349D2,89083997,352869.644,89099010,1469076.172,89339221,2.654532,89099010,11.04976845,89211531,535201.748724,4.021034335
89339250,89594504,17PR175,89339252,353769.838,89444355,1480162.305,89594503,2.654530,89444355,11.09485652,89466786,536565.061967,4.021030416
89594505,89849759,17PR351D2,89594507,354669.735,89594505,1467401.203,89849731,2.654527,89594505,10.98278169,89722041,537927.977793,4.021026529
89849760,90105014,17PR176,89849761,355569.382,89849760,1471123.408,90105013,2.654525,89849760,10.98277221,89977296,539290.540144,4.021022991
90105015,90360269,17PR353D2,90105023,356468.794,90135045,1502602.239,90360241,2.654523,90135045,11.18614614,90232552,540652.782573,4.021020038
90360270,90615524,17PR177,90360271,357367.895,90360270,1504504.258,90615509,2.654521,90360270,11.17543325,90487807,542014.761998,4.021018078
90615525,90870779,17PR355D2,90615548,358266.853,90615525,1503765.820,90870761,2.654518,90615525,11.14191418,90743062,543375.964139,4.021013288
90870780,91126034,17PR178,90870799,359165.427,91005915,1531732.959,91126003,2.654516,91005915,11.30575115,90998318,544737.142140,4.021011242
91126035,91381289,17PR357D2,91126039,360063.720,91126035,1489718.106,91381271,2.654514,91126035,10.98272531,91253573,546097.420452,4.021005462
91381290,91636544,17PR179,91381306,360961.857,91381290,1501871.322,91636541,2.654512,91381290,11.04476525,91508828,547457.801432,4.021003331
91636545,91891799,17PR359D2,91636547,361859.629,91861770,1560316.178,91891799,2.654509,91861770,11.42108362,91764083,548817.528621,4.020999267
91891800,92147054,17PR180,91891804,362757.225,91891800,1500862.092,92147051,2.654507,91891800,10.98269751,92019338,550176.868052,4.020995223
92147055,92402309,19PR19D2,92147059,363654.526,92147055,1593079.000,92402281,2.654505,92147055,11.62872880,92274594,551536.127065,4.020993427
92402310,92657564,17PR181,92402314,364551.596,92402310,1516712.286,92657519,2.654503,92402310,11.04403487,92529849,552894.836158,4.020990437
92657565,92912819,17PR363D2,92657567,365448.388,92657565,1511996.517,92912789,2.654501,92657565,10.98266997,92785104,554253.112554,4.020987106
92912820,93168074,17PR182,92912822,366344.950,92912820,1515705.912,93168073,2.654498,92912820,10.98266085,93040359,555610.816310,4.020982417
93168075,93423329,17PR365D2,93168076,367241.255,93168075,1540814.430,93423329,2.654496,93168075,11.13733700,93295615,556968.443543,4.020979952
93423330,93678584,17PR183,93423349,368137.352,93573480,1552909.084,93678581,2.654494,93573480,11.18141814,93550870,558325.389514,4.020975331
93678585,93933839,17PR367D2,93678593,369033.112,93858765,1551935.141,93933809,2.654492,93858765,11.14413651,93806125,559682.271793,4.020972997
93933840,94189094,17PR184,93933878,369928.773,93933840,1603415.530,94189091,2.654490,93933840,11.50560677,94061380,561038.732843,4.020970361
94189095,94444349,17PR369D2,94189103,370823.958,94189095,1573576.588,94444331,2.654487,94189095,11.26422119,94316636,562394.709725,4.020966967
94444350,94699604,17PR185,94444351,371718.983,94444350,1581881.498,94699573,2.654485,94444350,11.29639546,94571891,563750.233797,4.020963037
94699605,94954859,17PR371D2,94699607,372613.789,94699605,1571870.742,94954859,2.654483,94699605,11.19794282,94827146,565105.624661,4.020960841
94954860,95210114,17PR186,94954862,373508.351,94954860,1598631.290,95210113,2.654481,94954860,11.36129882,95082401,566460.217851,4.020955643
95210115,95465369,17PR373D2,95210117,374402.651,95210115,1553218.971,95465369,2.654479,95210115,11.01218262,95337657,567815.122689,4.020955308
95465370,95720624,17PR187,95465374,375296.729,95570475,1566573.108,95720551,2.654477,95570475,11.06953354,95592912,569168.873920,4.020949444
95720625,95975879,17PR375D2,95720633,376190.553,95720625,1556440.780,95975861,2.654475,95720625,10.98256231,95848167,570522.669941,4.020946530
95975880,96231134,17PR188,95975881,377084.101,95975880,1594807.573,96231133,2.654473,95975880,11.22661026,96103422,571875.997513,4.020942928
96231135,96486389,17PR377D2,96231167,377977.540,96231135,1621753.640,96486371,2.654470,96231135,11.38930566,96358677,573229.230136,4.020941252
96486390,96741644,17PR189,96486398,378870.551,96711615,1573285.676,96741613,2.654468,96711615,10.99998859,96613933,574581.689473,4.020936735
96741645,96996899,17PR379D2,96741647,379763.368,96741645,1575390.640,96996877,2.654466,96741645,11.01165865,96869188,575933.908368,4.020933111
96996900,97252154,19PR10,96996916,380656.037,96996900,1667558.110,97252153,2.654464,96996900,11.62854909,97124443,577286.049119,4.020931494
97252155,97507409,17PR381D2,97252159,381548.343,97282185,1621481.077,97507391,2.654462,97282185,11.27767775,97379698,578637.603418,4.020928329
97507410,97762664,17PR191,97507418,382440.489,97507410,1590671.040,97762663,2.654460,97507410,11.04060974,97634954,579988.906219,4.020925942
97762665,98017919,17PR383D2,97762681,383332.394,97762665,1590151.833,98017901,2.654458,97762665,11.01131809,97890209,581339.282354,4.020919654
98017920,98273174,17PR192,98017943,384224.065,98138040,1618241.916,98273143,2.654456,98138040,11.16762226,98145464,582690.039959,4.020918511
98273175,98528429,17PR385D2,98273179,385115.408,98423325,1659222.644,98528401,2.654454,98423325,11.42084638,98400719,584040.213255,4.020915816
98528430,98783684,17PR193,98528438,386006.602,98528430,1605414.968,98783677,2.654452,98528430,11.03996677,98655974,585389.886778,4.020912156
98783685,99038939,17PR387D2,98783687,386897.510,98783685,1639781.980,99038939,2.654450,98783685,11.25032327,98911230,586739.232103,4.020908707
99038940,99294194,17PR194,99038942,387788.219,99279180,1655183.178,99294187,2.654448,99279180,11.30545495,99166485,588088.280629,4.020905675
99294195,99549449,17PR389D2,99294226,388678.786,99294195,1612264.225,99549449,2.654446,99294195,11.01081986,99421740,589436.992922,4.020902779
99549450,99804704,17PR195,99549452,389568.925,99549450,1611792.144,99804697,2.654443,99549450,10.98243302,99676995,590785.215750,4.020898969
99804705,100059959,17PR391D2,99804706,390458.912,99804705,1692401.736,100059937,2.654441,99804705,11.50539719,99932251,592133.468638,4.020897771
100059960,100315214,17PR196,100059964,391348.696,100150050,1650463.167,100315157,2.654439,100150050,11.18579125,100187506,593481.088128,4.020894665
100315215,100570469,17PR393D2,100315217,392238.208,100315215,1635416.138,100570441,2.654437,100315215,11.06754276,100442761,594828.134944,4.020890070
100570470,100825724,17PR197,100570471,393127.507,100570470,1634856.512,100825667,2.654435,100570470,11.03871946,100698016,596175.244027,4.020888270
100825725,101080979,17PR395D2,100825757,394016.687,100825725,1651365.164,101080961,2.654433,100825725,11.12501960,100953271,597521.614187,4.020883848
101080980,101336234,17PR198,101081011,394905.525,101276175,1648194.027,101336233,2.654431,101276175,11.05961827,101208527,598867.838772,4.020880801
101336235,101591489,17PR397D2,101336236,395794.050,101561460,1647447.386,101591467,2.654429,101561460,11.02692049,101463782,600213.769809,4.020878119
101591490,101846744,17PR199,101591494,396682.436,101591490,1649554.488,101846741,2.654427,101591490,11.03811435,101719037,601559.066251,4.020873514
101846745,102101999,19PR21D2,101846774,397570.680,101846745,1741656.731,102101971,2.654425,101846745,11.62837913,101974292,602904.879134,4.020874666
102102000,102357254,17PR200,102102002,398458.515,102222120,1667140.004,102357239,2.654423,102222120,11.09441075,102229547,604249.352755,4.020869182
102357255,102612509,17PR401D2,102357259,399346.216,102357255,1656385.437,102612481,2.654421,102357255,11.00986633,102484803,605593.914028,4.020866578
102612510,102867764,17PR201,102612518,400233.714,102612510,1681391.947,102867757,2.654419,102612510,11.15129249,102740058,606937.722147,4.020861258
102867765,103123019,17PR403D2,102867766,401120.941,102867765,1716814.329,103122997,2.654418,102867765,11.36102624,102995313,608282.024917,4.020861478
103123020,103378274,17PR202,103123022,402007.971,103123020,1680057.737,103378271,2.654416,103123020,11.09324974,103250568,609625.296454,4.020857131
103378275,103633529,17PR405D2,103378279,402894.772,103378275,1666926.175,103633477,2.654414,103378275,10.98230914,103505823,610968.628931,4.020855429
103633530,103888784,17PR203,103633534,403781.359,103633530,1732468.163,103888783,2.654412,103633530,11.38905296,103761079,612311.017082,4.020849750
103888785,104144039,17PR407D2,103888786,404667.704,103888785,1722097.513,104144009,2.654410,103888785,11.29607282,104016334,613653.831002,4.020849089
104144040,104399294,17PR204,104144071,405553.935,104144040,1677927.754,104399293,2.654408,104144040,10.98228499,104271589,614995.948300,4.020846066
104399295,104654549,17PR409D2,104399299,406439.753,104414310,1697738.078,104654549,2.654406,104414310,11.08629607,104526844,616337.501176,4.020841558
104654550,104909804,17PR205,104654551,407325.434,104654550,1728469.272,104909803,2.654404,104654550,11.26386563,104782099,617679.278442,4.020840700
104909805,105165059,17PR411D2,104909807,408210.909,104984880,1757456.318,105165059,2.654402,104984880,11.42062614,105037354,619020.451176,4.020838075
105165060,105420314,17PR206,105165061,409096.157,105270165,1724753.829,105420311,2.654400,105270165,11.18102357,105292610,620360.826361,4.020832445
105420315,105675569,17PR413D2,105420317,409981.193,105555450,1733859.703,105675569,2.654398,105555450,11.21296032,105547865,621701.658413,4.020831932
105675570,105930824,17PR207,105675572,410866.022,105675570,1780854.111,105930787,2.654396,105675570,11.50520093,105803120,623041.674606,4.020828282
105930825,106186079,17PR415D2,105930854,411750.704,106126020,1752224.948,106186037,2.654394,106126020,11.27738453,106058375,624381.397540,4.020824879
106186080,106441334,17PR208,106186082,412634.990,106186080,1707225.109,106441273,2.654392,106186080,10.98222151,106313630,625720.942584,4.020822453
106441335,106696589,17PR417D2,106441336,413519.172,106441335,1723371.401,106696589,2.654391,106441335,11.06237582,106568886,627059.917281,4.020818478
106696590,106951844,19PR11,106696591,414403.087,106696590,1815395.754,106951841,2.654389,106696590,11.62821797,106824141,628399.138185,4.020818181
106951845,107207099,17PR419D2,106951847,415286.821,107056950,1747234.222,107207099,2.654387,107056950,11.15801817,107079396,629737.296291,4.020813174
107207100,107462354,17PR210,107207119,416170.396,107267160,1748046.171,107462339,2.654385,107267160,11.14369123,107334651,631075.573748,4.020811017
107462355,107717609,17PR421D2,107462359,417053.646,107552445,1777584.487,107717609,2.654383,107552445,11.30518509,107589906,632413.252235,4.020807117
107717610,107972864,17PR211,107717618,417936.756,107717610,1737433.905,107972863,2.654381,107717610,11.03472109,107845161,633751.209938,4.020807050
107972865,108228119,17PR423D2,107972866,418819.606,107972865,1771320.136,108228083,2.654379,107972865,11.22621523,108100417,635087.990222,4.020801564
108228120,108483374,17PR212,108228143,419702.337,108228120,1770513.433,108483373,2.654378,108228120,11.19749584,108355672,636425.034998,4.020799801
108483375,108738629,17PR425D2,108483377,420584.715,108693585,1744147.548,108738611,2.654376,108693585,10.98860549,108610927,637761.535365,4.020796629
108738630,108993884,17PR213,108738659,421467.047,108738630,1769038.255,108993883,2.654374,108738630,11.14130557,108866182,639097.739774,4.020793616
108993885,109249139,17PR427D2,108993887,422348.983,108993885,1777032.757,109249139,2.654372,108993885,11.16827433,109121437,640433.708588,4.020791134
109249140,109504394,17PR214,109249141,423230.798,109249140,1767740.773,109504363,2.654370,109249140,11.08672052,109376693,641769.555835,4.020789886
109504395,109759649,17PR429D2,109504396,424112.422,109504395,1754711.500,109759627,2.654368,109504395,10.98212122,109631948,643104.417906,4.020784464
109759650,110014904,17PR215,109759651,424993.806,109759650,1801244.981,110014873,2.654366,109759650,11.24997008,109887203,644439.835283,4.020784498
110014905,110270159,17PR431D2,110014907,425875.000,110165055,1796817.603,110270117,2.654365,110165055,11.18547391,110142458,645774.103252,4.020779334
110270160,110525414,17PR216,110270161,426755.980,110405295,1797376.055,110525407,2.654363,110405295,11.16723031,110397713,647108.766965,4.020778602
110525415,110780669,17PR433D2,110525446,427636.866,110690580,1777135.542,110780641,2.654361,110690580,11.01608646,110652968,648442.252896,4.020772512
110780670,111035924,17PR217,110780671,428517.324,110780670,1834072.043,111035923,2.654359,110780670,11.36077609,110908224,649776.479124,4.020772961
111035925,111291179,17PR435D2,111035929,429397.697,111035925,1842377.890,111291161,2.654357,111035925,11.38881962,111163479,651109.576523,4.020768359
111291180,111546434,17PR218,111291182,430277.854,111291180,1796857.806,111546433,2.654356,111291180,11.08470477,111418734,652442.619532,4.020765356
