FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg,n_v,Calign_min(n_v),n_u,Calign_max(n_u),n_a,CboundMin(n_a),n_b,CboundMax(n_b),jitter
30000,39999,3e4,30011,372.821,39270,1774.049,39989,2.665794,30030,10.34278742,34641,645.276816,4.038745115,30026,2.212073,30030,10.46554006,39989,1.408776,30030,11.96624561,0.656433
40000,49999,4e4,40009,470.418,49665,2061.641,49999,2.665207,45045,10.33859678,44721,791.085618,4.037459524,40037,2.260776,45045,10.42862632,49999,1.336015,45045,11.76044642,0.619391
50000,59999,5e4,50012,564.070,58905,2467.244,59999,2.664751,58905,10.10632240,54772,931.552820,4.036622289,50332,2.290608,58905,10.18036030,57601,1.268558,58905,11.43772751,0.602183
60000,69999,6e4,60013,654.572,69615,2777.274,69997,2.664381,60060,10.33582324,64807,1067.959287,4.036293983,60056,2.309670,60060,10.40801071,60013,1.308504,60060,11.66192228,0.596562
70000,79999,7e4,70001,742.586,78540,3123.135,79999,2.664067,75075,10.33378523,74833,1200.879012,4.035593587,70067,2.323018,75075,10.39475855,70001,1.447726,75075,11.61091393,0.597480
80000,89999,8e4,80018,828.878,87780,3397.192,89989,2.663800,87780,10.02851528,84852,1331.016135,4.035111955,80077,2.332802,87780,10.08366346,80021,1.556081,87780,11.28444601,0.603045
90000,99999,9e4,90001,913.148,98175,3753.075,99991,2.663563,90090,10.33218950,94868,1458.857267,4.034994133,90437,2.339474,90090,10.38532549,90001,1.642529,90090,11.58566811,0.612370
100000,199999,1e5,100003,996.139,195195,6791.222,199999,2.662132,105105,10.33087844,141421,2124.522190,4.033439140,199832,2.342782,105105,10.37820278,100003,1.713680,195195,11.67007232,0.510386
200000,299999,2e5,200003,1772.409,285285,9881.467,299993,2.661377,255255,11.01228466,244949,3259.649531,4.031895599,296137,2.309336,255255,11.03679184,200003,2.061879,255255,12.47396861,0.386391
300000,399999,3e5,300002,2490.410,390390,12153.648,399989,2.660873,345345,10.81343727,346410,4326.954244,4.031003982,300022,2.313042,345345,10.83322470,300007,2.193975,345345,11.98950145,0.382899
400000,499999,4e5,400006,3174.104,495495,14867.711,499979,2.660498,435435,10.70261344,447213,5350.479136,4.030322573,400837,2.378886,435435,10.71945110,400009,2.265254,435435,11.70132803,0.313822
500000,599999,5e5,500009,3833.830,570570,17742.145,599999,2.660202,510510,11.00731275,547722,6342.140937,4.029812180,500341,2.420300,510510,11.02234361,500009,2.310327,510510,11.90175337,0.270584
600000,699999,6e5,600004,4475.358,690690,20648.093,699967,2.659959,690690,10.80879355,648074,7309.014578,4.029446477,600232,2.449398,690690,10.82111769,600011,2.341551,690690,11.53771144,0.240301
700000,799999,7e5,700001,5102.276,765765,22953.594,799999,2.659754,765765,11.00465781,748331,8255.508963,4.029086664,700136,2.471213,765765,11.01612326,700001,2.364498,765765,11.68551874,0.217861
800000,899999,8e5,800011,5717.225,855855,25050.780,899981,2.659576,855855,10.92304735,848528,9184.973859,4.028784503,800522,2.487643,855855,10.93375910,800011,2.382080,855855,11.55630531,0.200430
900000,999999,9e5,900001,6321.773,990990,26813.855,999983,2.659420,930930,10.67143888,948683,10099.932400,4.028573351,900622,2.500641,930930,10.68160294,900001,2.395963,930930,11.27138643,0.186556
