Dec.,max |lambda|,2nd max |lambda|,min |lambda|,2nd min |lambda|,median |lambda|,trimmed < |lambda| >,Spread_raw^IQR (of |lambda|),% positive
0,1.067e+00,4.989e-01,1.870e-01,2.638e-01,4.011e-01,3.879e-01,2.351e-01,0.0
1,5.659e-01,2.979e-01,5.902e-03,2.494e-02,1.738e-01,1.640e-01,2.148e-01,11.1
2,1.233e-01,8.302e-02,4.867e-03,2.113e-02,5.487e-02,5.701e-02,4.200e-02,0.0
3,4.227e-02,3.245e-02,1.312e-03,2.434e-03,1.498e-02,1.450e-02,1.350e-02,55.6
4,1.436e-02,6.887e-03,5.656e-04,3.543e-03,5.068e-03,5.517e-03,2.304e-03,33.3
5,9.820e-03,7.092e-03,3.091e-04,5.053e-04,2.135e-03,2.840e-03,4.066e-03,66.7
6,4.600e-03,3.686e-03,1.754e-04,6.255e-04,1.893e-03,1.965e-03,2.768e-03,66.7
7,,,,,,,,
