FIRST,LAST,Alpha,PreMertens,Mertens,DeltaMertens,n_5precent,NzeroStat,EtaStat,PreMertensAsymp,MertensAsymp,DeltaMertensAsymp,NzeroStatAsymp,EtaStatAsymp
4,1000000,0.176776695297,92381,109981,0.029983,145472,266374,0.092065,109981,266374,0.070628,266374,0.070628
4,1000000,0.192776353176,92381,106409,0.061909,131069,201904,0.158435,93809,106409,0.029424,201904,0.125738
4,1000000,0.210224103813,58543,62053,0.067747,118070,201904,0.148279,58543,62053,0.023824,201904,0.113764
4,1000000,0.229251010801,28921,36209,0.004211,106338,108193,0.109940,58543,60373,0.066321,108193,0.083093
4,1000000,0.25,25052,35792,0.008234,95756,108193,0.118388,58543,62581,0.121931,108193,0.088773
4,1000000,0.272626933166,20947,33349,0.036978,86206,201904,0.161273,33349,40597,0.048404,102859,0.126789
4,1000000,0.297301778751,12574,20186,0.008478,77595,79312,0.202401,35792,41183,0.030842,79312,0.150695
4,1000000,0.324209888663,23201,35792,0.017197,69829,82919,0.200254,35792,40597,0.065915,82919,0.154849
4,1000000,0.353553390593,23201,35792,0.049615,62826,64984,0.213057,28772,35792,0.018300,64984,0.169473
4,1000000,0.385552706352,6046,7307,0.086229,56512,79256,0.233419,28772,35059,0.104368,58789,0.185045
4,1000000,0.420448207627,4801,5416,0.071671,50822,65029,0.266569,11272,28772,0.000748,61561,0.228311
4,1000000,0.458502021602,4801,5242,0.057087,45693,53624,0.264122,8777,9649,0.019673,53624,0.219623
4,1000000,0.5,5416,6353,0.114910,41072,71633,0.269257,7219,8777,0.075290,51826,0.227618
4,1000000,0.545253866333,1966,2029,0.027049,36910,51826,0.249996,5416,6362,0.073441,51826,0.205274
4,1000000,0.594603557501,1669,2029,0.054179,33160,51826,0.309681,3799,4651,0.031905,51826,0.263492
4,1000000,0.648419777326,1109,2974,0.143732,29784,30908,0.318380,1402,2974,0.054383,30908,0.281990
4,1000000,0.707106781187,841,967,0.041961,26745,29177,0.317629,1109,2437,0.060745,29177,0.277568
4,1000000,0.771105412704,556,694,0.025816,24008,29177,0.383976,1319,2011,0.120466,29177,0.341932
4,1000000,0.840896415254,556,694,0.308243,21545,29177,0.415774,556,694,0.191993,29177,0.372172
4,1000000,0.917004043205,199,229,0.249680,19330,35059,0.466658,706,859,0.082730,35059,0.424012
4,1000000,1,199,229,0.249680,17571,47638,0.544827,706,859,0.120131,26704,0.499652
