alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
0.0625,2579427,0.1199611,2485938,0.14102242
0.0625,2407509,0.12807599,2338791,0.14658689
0.0625,2215629,0.13696405,2150109,0.16273156
0.0625,2066214,0.15228328,1912521,0.18975041
0.0625,1736163,0.15061431,1841268,0.17659811
0.0625,1641783,0.1480348,1597728,0.16688729
0.0625,1492062,0.14252312,1516944,0.16922773
0.0625,1301586,0.12621934,1243242,0.15287314
0.0625,1129854,0.12051841,1145442,0.14980884
0.0625,988416,0.11144325,821613,0.13890444
0.0625,677157,0.10050052,759063,0.13670094
0.0625,592449,0.08876316,476268,0.13757154
0.0625,388344,0.11787501,323928,0.15904709
0.0625,258999,0.14578655,253506,0.21364599
0.0625,228855,0.15094291,230451,0.20696381
0.0625,227337,0.14575427,216486,0.23125189
0.0625,203691,0.18502854,208560,0.22962688
0.0625,199716,0.14941417,195111,0.23435629
0.0625,186579,0.16279403,178629,0.26890531
0.0625,166374,0.18425696,162294,0.23472957
0.0625,156354,0.17770206,154527,0.2588316
0.0625,137982,0.20894369,135111,0.29993565
0.0625,127908,0.2366437,122928,0.32639778
0.0625,111969,0.2703915,104451,0.3228391
0.0625,101541,0.28816458,91566,0.38810049
0.0625,83421,0.29553097,77121,0.44850618
0.0625,72633,0.41887731,62634,0.49399904
0.0625,60996,0.41950053,48906,0.66091174
0.0625,45903,0.59112314,44517,0.69622311
0.125,9195204,0.01748042,7056465,0.02752697
0.125,6062586,0.02590067,4792554,0.04040979
0.125,4658679,0.03473728,4636359,0.04146829
0.125,4512456,0.03843173,4437483,0.04627372
0.125,4278144,0.03449036,4293129,0.04685661
0.125,4161456,0.04166035,4082247,0.04852167
0.125,3895671,0.03266961,4050966,0.04757984
0.125,3831321,0.03378758,3696849,0.04788105
0.125,3533127,0.04494884,3595959,0.05015325
0.125,3382899,0.04618992,3502122,0.05354389
0.125,3172734,0.04825433,3301545,0.05476778
0.125,3030063,0.05065784,3050004,0.06052485
0.125,2835807,0.04299678,2844228,0.06449056
0.125,2776722,0.05377647,2632851,0.06529714
0.125,2485431,0.05766344,2514213,0.07092166
0.125,2407509,0.0604547,2336178,0.07191938
0.125,2117622,0.06357438,2089908,0.07701507
0.125,1983774,0.0777905,1893348,0.08956162
0.125,1868763,0.08453421,1728051,0.09643539
0.125,1536171,0.08932638,1571622,0.1019475
0.125,1470729,0.0922082,1366086,0.11546143
0.125,1341171,0.10465227,1227417,0.12802286
0.125,1170546,0.13090046,1002507,0.15222501
0.125,835263,0.13559984,879087,0.15415329
0.125,685542,0.11543541,763347,0.14534972
0.125,592449,0.0998997,628947,0.1268602
0.125,381303,0.09341115,311586,0.12259256
0.125,264333,0.11158056,253341,0.14831955
0.125,241098,0.11010475,230736,0.1467256
0.125,227175,0.12311669,220209,0.14000909
0.125,209976,0.11826899,205251,0.15018219
0.125,198921,0.12066087,187473,0.16150298
0.125,184431,0.11964468,181944,0.1447604
0.125,161787,0.1184607,167505,0.15218494
0.125,157902,0.1150932,146577,0.15243601
0.125,132483,0.14176552,138246,0.17429805
0.125,120714,0.14292946,123369,0.18551017
0.125,104715,0.13475631,112914,0.18624726
0.125,98109,0.12326029,90669,0.20693455
0.125,83421,0.18671303,79764,0.22514249
0.125,69333,0.16389408,62634,0.24297292
0.125,50061,0.22974175,54780,0.29329024
0.125,45747,0.28226021,37329,0.35518402
0.125,33972,0.36952603,20904,0.58037395
0.125,19371,0.65968488,17043,0.72291814
0.25,9269889,0.01070957,6914877,0.01557108
0.25,6442683,0.01548728,4803537,0.02472348
0.25,4596111,0.01711883,4768959,0.02327347
0.25,4547721,0.01835609,4416954,0.02355357
0.25,4394031,0.02072977,4250856,0.02585602
0.25,4101981,0.02102846,4213071,0.02681966
0.25,3938586,0.02180292,3951069,0.02682422
0.25,3768726,0.0204966,3745569,0.02692782
0.25,3554742,0.02033189,3657339,0.0279139
0.25,3475251,0.02227215,3364023,0.02972556
0.25,3194976,0.0224003,3244566,0.03061693
0.25,3047937,0.02665536,2981460,0.03184418
0.25,2835807,0.02560555,2848119,0.03204893
0.25,2776722,0.02916281,2643603,0.03613232
0.25,2486757,0.02965236,2443818,0.03575796
0.25,2371881,0.03284579,2279433,0.04012564
0.25,2197023,0.03249457,2117622,0.04047525
0.25,1976988,0.03566332,1926258,0.04265603
0.25,1887678,0.04081772,1808739,0.04662016
0.25,1548651,0.04246922,1536171,0.05154129
0.25,1470729,0.0460372,1382511,0.057766
0.25,1345986,0.05384593,1182801,0.06305645
0.25,1151721,0.06244963,991458,0.07489348
0.25,980073,0.07023195,819366,0.08346436
0.25,809343,0.0868397,658506,0.10720565
0.25,611949,0.09783999,492609,0.13878301
0.25,276573,0.10606355,411213,0.13265446
0.25,249054,0.10040008,247416,0.12433413
0.25,240057,0.09828769,235773,0.1265352
0.25,228261,0.11064489,225753,0.13220901
0.25,211002,0.0974551,201057,0.12708374
0.25,189816,0.09523169,199719,0.12196915
0.25,179751,0.10533142,181146,0.12301188
0.25,161370,0.09748115,162267,0.12449489
0.25,145860,0.10496934,156636,0.13195687
0.25,142593,0.08383422,138969,0.11673478
0.25,128238,0.0947971,122736,0.13182086
0.25,106458,0.09432157,106005,0.13089608
0.25,92706,0.08483493,90951,0.13017727
0.25,88611,0.10815712,82533,0.13979525
0.25,69333,0.10485673,74349,0.14879596
0.25,55161,0.12453961,49248,0.16247821
0.25,45006,0.11723733,35178,0.19942837
0.25,33852,0.17617045,27324,0.25192341
0.25,19683,0.28082733,14988,0.45304064
0.25,13926,0.32232828,13056,0.48986864
0.25,12441,0.37980169,12672,0.52656057
0.25,11682,0.44792574,10998,0.58424394
0.25,9867,0.50871206,9984,0.65154712
0.25,8976,0.59601208,8019,0.76273061
0.25,7293,0.68669689,6732,0.90837052
0.25,6708,0.83837424,6552,0.97973166
0.5,8754771,0.00858993,6787944,0.01089378
0.5,6442683,0.00982929,4826874,0.01555473
0.5,4607265,0.01308468,4773243,0.01604256
0.5,4430457,0.01134001,4582149,0.01505999
0.5,4329942,0.01197387,4397781,0.01482342
0.5,4148079,0.01157731,4233243,0.01632334
0.5,3997383,0.01054245,3878394,0.0158318
0.5,3831594,0.01276886,3703569,0.01607887
