n,ratio,c_pred,baseline,c_meas,lambda,status
1127,-2.87709292,-1.39709032,-4.75823715,4.01955866,,EXPECTED
1144,-4.65934929,-0.69063677,-3.93110425,3.21791797,,EXPECTED
1258,-4.42642683,-0.79918900,-3.73169751,3.53755163,,EXPECTED
1364,-6.38769613,-0.49592313,-3.56788834,3.16780627,,EXPECTED
1430,-14.15135732,-0.31891228,-4.63784721,4.51304163,,EXPECTED
1573,-52.19627511,-0.06334624,-3.30196246,3.30643779,,EXPECTED
1672,-50.51731215,-0.05409165,-3.19702001,2.73256492,,EXPECTED
1729,-46.74005983,-0.06606452,-3.76894441,3.08785975,,EXPECTED
1804,-115.25130899,-0.02477201,-3.06893860,2.85500614,,EXPECTED
1963,-1391.89821034,-0.00201928,-2.93528678,2.81063198,,EXPECTED
2071,-1643.06466878,-0.00164528,-2.85571435,2.70329884,,EXPECTED
2117,-167.80864859,-0.01513095,-2.82355985,2.53910419,,EXPECTED
2272,-206.65779853,-0.01388188,-2.72274836,2.86879973,,EXPECTED
2344,-4921.40391501,-0.00054680,-2.67969443,2.69102175,,EXPECTED
2457,2.24387552,2.94277635,-4.04742094,6.60322381,0.80820451,EXPECTED
2574,2.62510736,2.46881039,-4.00296917,6.48089233,0.96512179,EXPECTED
2652,2.46620736,2.28127432,-3.93137390,5.62609553,0.90268149,EXPECTED
2805,2.52516991,3.37727678,-5.05912374,8.52819770,0.92630835,EXPECTED
2871,2.23829517,2.41065171,-3.74063957,5.39575008,0.80571449,EXPECTED
3036,2.20213501,2.60077447,-3.61263882,5.72725650,0.78942735,EXPECTED
3069,2.19506164,2.54655763,-3.58887841,5.58985098,0.78621013,EXPECTED
3201,2.06458670,2.49501386,-3.49791343,5.15117244,0.72493006,EXPECTED
3315,2.07241786,3.71553122,-4.56514681,7.70013324,0.72871597,EXPECTED
3399,2.04233522,2.61811824,-3.37068284,5.34707509,0.71409387,EXPECTED
3564,2.00363306,2.65604340,-3.27354278,5.32173636,0.69496206,EXPECTED
3666,1.90766523,2.73203071,-3.21881696,5.21180001,0.64588010,EXPECTED
3744,2.02926637,2.64400100,-3.17732643,5.36538231,0.70767433,EXPECTED
3861,1.88632284,3.35024057,-3.11777138,6.31963530,0.63462935,EXPECTED
3942,1.95190529,2.33220458,-3.07886292,4.55224247,0.66880597,EXPECTED
4059,1.89339292,3.05634791,-3.02420358,5.78686748,0.63837041,EXPECTED
4191,1.85355299,3.00879635,-2.96686931,5.57696347,0.61710433,EXPECTED
4290,1.70325913,4.72146323,-3.90107384,8.04187534,0.53254355,EXPECTED
4356,1.81022721,3.02991125,-2.89807490,5.48482778,0.59345237,EXPECTED
4488,1.72093102,3.47581761,-2.84707544,5.98164233,0.54286543,EXPECTED
4611,1.70680307,2.84032366,-2.80054579,4.84787314,0.53462207,EXPECTED
4653,1.65478091,3.27348588,-2.78564742,5.41690195,0.50366862,EXPECTED
4794,1.78214136,3.08057082,-2.73596027,5.49001269,0.57781566,EXPECTED
4884,1.72966857,3.39039472,-2.70601855,5.86425920,0.54792981,EXPECTED
4992,1.71177624,3.14757139,-2.67148053,5.38793791,0.53753157,EXPECTED
5130,1.61829057,4.02654119,-3.50378074,6.51611366,0.48137039,EXPECTED
5148,1.69131829,3.84277250,-2.62261107,6.49935142,0.52550828,EXPECTED
5316,1.59008940,2.77265675,-2.57320420,4.40877211,0.46379024,EXPECTED
5382,1.63903395,3.54089784,-2.55472399,5.80365179,0.49410702,EXPECTED
5511,1.55311201,3.44267126,-2.51937918,5.34685407,0.44026067,EXPECTED
5643,1.49149176,3.79037685,-2.48413691,5.65331583,0.39977680,EXPECTED
5694,1.57085933,3.42868720,-2.47133676,5.38598528,0.45162281,EXPECTED
5808,1.57186103,3.48270171,-2.44295945,5.47432309,0.45226029,EXPECTED
5916,1.54939611,3.48281829,-2.41639322,5.39626509,0.43786525,EXPECTED
6045,1.52536606,4.84271517,-3.18165388,7.38691339,0.42223442,EXPECTED
6138,1.42187713,3.76475321,-2.36485237,5.35301647,0.35197792,EXPECTED
6204,1.51930921,3.70651219,-2.35035436,5.63133810,0.41825576,EXPECTED
6324,1.54384846,3.55988285,-2.32435230,5.49591967,0.43427830,EXPECTED
6501,1.50925132,3.66772204,-2.28757124,5.53551433,0.41161371,EXPECTED
6567,1.53429872,3.68048856,-2.27441160,5.64696890,0.42807342,EXPECTED
6708,1.50979378,3.71232643,-2.24649605,5.60484736,0.41197307,EXPECTED
6732,1.51891201,4.07769279,-2.24188170,6.19365655,0.41799430,EXPECTED
6858,1.50944067,3.15671906,-2.21796705,4.76488014,0.41173917,EXPECTED
6963,1.47665837,3.75397739,-2.19878920,5.54334212,0.38978168,EXPECTED
7062,1.43053673,3.79941903,-2.18128967,5.43520846,0.35804971,EXPECTED
7215,1.51438483,5.10448920,-2.87238536,7.73016102,0.41500930,EXPECTED
7293,1.41440094,4.75192015,-2.14151123,6.72112031,0.34670607,EXPECTED
