n,ratio,c_pred,baseline,c_meas,lambda,status
4,0.42228476,9.10197203,6.23183504,3.84362411,-0.86207540,EXPECTED
5,0.27566379,9.39655656,5.13046327,2.59029039,-1.28857331,EXPECTED
6,0.22090011,14.53327495,9.11946764,3.21040200,-1.51004468,EXPECTED
7,0.00000000,9.36742496,5.97438848,0.00000000,,EXPECTED
8,0.24963060,8.66095151,5.84631371,2.16203856,-1.38777304,EXPECTED
9,0.30759837,12.55610253,6.73573546,3.86223667,-1.17896034,EXPECTED
10,0.20578313,10.30579715,6.45042512,2.12075924,-1.58093241,EXPECTED
11,0.19595924,9.78077835,6.48254266,1.91663391,-1.62984859,EXPECTED
12,0.41646287,12.70858145,6.81375109,5.29265234,-0.87595796,EXPECTED
13,0.16444809,10.00158367,6.71695733,1.64474130,-1.80516034,EXPECTED
14,0.30870251,10.02709134,6.43999875,3.09538826,-1.17537722,EXPECTED
27,0.43153910,12.58581269,6.60782629,5.43127032,-0.84039715,EXPECTED
42,0.42201320,14.04396961,6.94863982,5.92674056,-0.86271869,EXPECTED
57,0.45802283,12.41347936,6.17229696,5.68565689,-0.78083626,EXPECTED
63,0.50905573,12.96938645,5.86940676,6.60214052,-0.67519777,EXPECTED
84,0.50151982,12.30280451,5.31093588,6.17010036,-0.69011214,EXPECTED
99,0.48753596,11.47972861,5.01684870,5.59678050,-0.71839123,EXPECTED
105,0.52655912,15.89258216,6.56779863,8.36838405,-0.64139167,EXPECTED
132,0.55153036,11.00358324,4.60769443,6.06881027,-0.59505839,EXPECTED
147,0.53512016,11.35118544,4.44810803,6.07424815,-0.62526396,EXPECTED
162,0.60568694,10.05514078,4.31340617,6.09026740,-0.50139203,EXPECTED
177,0.57606732,10.05607922,4.21707786,5.79297861,-0.55153075,EXPECTED
189,0.56827590,11.01636426,4.14121721,6.26033433,-0.56514824,EXPECTED
207,0.55429409,10.02505560,4.02613849,5.55682903,-0.59005989,EXPECTED
210,0.58290432,14.49209710,5.35789916,8.44750605,-0.53973222,EXPECTED
228,0.61872990,9.97747155,3.93464540,6.17335999,-0.48008645,EXPECTED
252,0.62449718,10.67346626,3.83910336,6.66554956,-0.47080847,EXPECTED
255,0.58685673,13.20278372,5.09719099,7.74814248,-0.53297456,EXPECTED
273,0.63765874,11.20529984,3.76297753,7.14515737,-0.44995203,EXPECTED
294,0.59682658,10.51816662,3.69732023,6.27752142,-0.51612869,EXPECTED
312,0.58852774,9.83937964,3.65132718,5.79074786,-0.53013122,EXPECTED
315,0.59327386,13.94469505,4.86399507,8.27302299,-0.52209917,EXPECTED
333,0.63834884,9.43687975,3.60029651,6.02402128,-0.44887037,EXPECTED
357,0.63935075,10.80714401,3.55326849,6.90955558,-0.44730208,EXPECTED
366,0.63473687,9.29742867,3.54029836,5.90142076,-0.45454475,EXPECTED
378,0.60353875,10.30978401,3.52011291,6.22235417,-0.50494503,EXPECTED
399,0.64238497,10.66701300,3.48540154,6.85232886,-0.44256751,EXPECTED
414,0.60062303,9.38105041,3.46245199,5.63447494,-0.50978778,EXPECTED
420,0.65121477,13.64928847,4.60639024,8.88861819,-0.42891579,EXPECTED
444,0.62569756,9.23463256,3.42666921,5.77808706,-0.46888816,EXPECTED
462,0.65701335,10.92785462,3.40799211,7.17974635,-0.42005094,EXPECTED
468,0.60391061,9.55696327,3.40218806,5.77155151,-0.50432909,EXPECTED
483,0.70022318,10.47879574,3.38665756,7.33749570,-0.35635616,EXPECTED
495,0.61901022,12.85668391,4.50220662,7.95841871,-0.47963350,EXPECTED
513,0.63929387,9.32768128,3.36293961,5.96312950,-0.44739103,EXPECTED
528,0.62766221,9.61145379,3.35422087,6.03274636,-0.46575313,EXPECTED
552,0.63274030,9.23235326,3.33649839,5.84168200,-0.45769520,EXPECTED
567,0.63656060,10.08311280,3.32994052,6.41851232,-0.45167566,EXPECTED
582,0.64421223,9.00653348,3.32132707,5.80211905,-0.43972705,EXPECTED
597,0.68973515,8.96787988,3.31357206,6.18546202,-0.37144759,EXPECTED
