START,n_0,C_min,Npred_0,CpredBound,Lambda_min,Jitter,JitterRatio
7PR25/2,2633,2.168203,2729,0.019495,4.711496e+00,7.638733,6.131843e+00
7PR13,2809,2.065835,2833,0.020050,4.635061e+00,8.008543,5.726484e+00
7PR27/2,2909,2.274897,2939,0.051100,3.795906e+00,8.008543,6.398404e+00
7PR14,2974,2.064698,3041,0.080223,3.247929e+00,8.008543,5.857821e+00
7PR29/2,3076,1.845344,3137,0.101761,2.897794e+00,8.008543,5.268313e+00
7PR15,3221,2.107297,3253,0.118976,2.874240e+00,8.008543,6.174139e+00
7PR31/2,3334,2.210551,3359,0.129636,2.836267e+00,8.008543,6.619621e+00
7PR16,3386,2.340982,3463,0.144378,2.785891e+00,8.008543,7.150184e+00
11PR3/2,3559,2.029695,3559,0.164746,2.511236e+00,8.008543,6.197243e+00
7PR17,3571,2.249487,3673,0.186182,2.491733e+00,8.008543,7.021749e+00
7PR35/2,3769,1.943543,3779,0.197824,2.284890e+00,8.008543,6.070255e+00
7PR18,3799,2.075010,3881,0.202186,2.328533e+00,8.008543,6.644961e+00
7PR37/2,3964,2.216472,3989,0.220040,2.309863e+00,8.008543,7.232530e+00
7PR19,4051,2.044491,4093,0.229241,2.188130e+00,8.008543,6.705911e+00
7PR39/2,4153,2.340594,4096,0.221861,2.356109e+00,8.378353,7.485729e+00
7PR20,4282,2.220909,4297,0.232830,2.255363e+00,8.378353,7.284649e+00
7PR41/2,4393,2.306710,4409,0.228011,2.314184e+00,8.783970,7.408695e+00
7PR21,4486,2.143577,4513,0.230682,2.229191e+00,8.783970,6.939953e+00
7PR43/2,4603,2.102361,4603,0.240451,2.168300e+00,8.783970,6.857470e+00
11PR2,4651,2.085780,4723,0.247525,2.131387e+00,8.783970,6.904650e+00
7PR45/2,4801,1.856187,4817,0.252726,1.993974e+00,8.783970,6.114093e+00
7PR23,4909,2.178086,4933,0.254494,2.146925e+00,8.783970,7.469424e+00
7PR47/2,4987,2.151973,5039,0.256713,2.126182e+00,8.783970,7.480099e+00
7PR24,5086,2.176695,5119,0.257405,2.134912e+00,8.783970,7.666842e+00
7PR49/2,5242,2.126897,5237,0.265485,2.080861e+00,8.783970,7.566608e+00
7PR25,5308,2.217466,5351,0.273855,2.091522e+00,8.783970,8.032282e+00
7PR51/2,5416,1.965120,5449,0.275793,1.963658e+00,8.783970,7.079310e+00
7PR26,5557,2.301782,5563,0.272754,2.132869e+00,8.783970,8.639121e+00
7PR53/2,5596,2.182571,5669,0.272758,2.079674e+00,8.783970,8.250319e+00
7PR27,5728,2.248387,5749,0.282305,2.074980e+00,8.783970,8.585394e+00
11PR5/2,5857,2.159168,5879,0.273701,2.065442e+00,8.783970,8.376218e+00
7PR28,5906,2.349289,5981,0.281840,2.120528e+00,8.783970,9.307101e+00
