START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio,Status
17PR93,47477430,11.36742640,47477430,11.40653942,-3.434892e-03,0.043295,-0.903407,EXPECTED
17PR187/2,47732685,10.99506537,47732685,11.02766456,-2.960506e-03,0.043385,-0.751393,EXPECTED
17PR94,47987940,11.21758366,47987940,11.27169264,-4.811990e-03,0.043464,-1.244915,EXPECTED
17PR189/2,48333285,10.99593602,48243195,11.02750214,-2.866595e-03,0.043556,-0.724725,EXPECTED
19PR5,48498450,11.62919404,48498450,11.67359638,-3.810908e-03,0.043630,-1.017702,EXPECTED
17PR191/2,48753705,11.03728191,48753705,11.08546434,-4.355924e-03,0.043731,-1.101791,EXPECTED
17PR96,49069020,11.18356074,49069020,11.21235768,-2.571625e-03,0.043810,-0.657314,EXPECTED
17PR193/2,49264215,11.04188968,49264215,11.08470011,-3.869596e-03,0.043904,-0.975092,EXPECTED
17PR97,49639590,11.31102169,49639590,11.35008684,-3.447774e-03,0.043991,-0.888026,EXPECTED
17PR195/2,49774725,10.97930384,49774725,11.02703574,-4.338020e-03,0.044083,-1.082773,EXPECTED
17PR98,50075025,11.18369869,50075025,11.23029453,-4.157752e-03,0.044100,-1.056595,EXPECTED
17PR197/2,50495445,11.10615618,50495445,11.13728227,-2.798678e-03,0.043975,-0.707813,EXPECTED
17PR99,50780730,11.03307269,50780730,11.07123620,-3.453041e-03,0.043797,-0.871373,EXPECTED
17PR199/2,50795745,11.03669931,50795745,11.08250131,-4.141385e-03,0.043612,-1.050216,EXPECTED
17PR100,51111060,11.09182513,51111060,11.13866609,-4.214125e-03,0.043446,-1.078142,EXPECTED
17PR201/2,51482970,11.16160650,51482970,11.20946515,-4.278626e-03,0.043266,-1.106149,EXPECTED
17PR101,51561510,11.08706964,51561510,11.13748486,-4.536901e-03,0.043101,-1.169700,EXPECTED
17PR203/2,51816765,11.38061896,51816765,11.43329848,-4.618200e-03,0.042930,-1.227103,EXPECTED
17PR102,52207155,11.09185214,52207155,11.13032362,-3.462444e-03,0.042743,-0.900065,EXPECTED
17PR205/2,52492440,11.41789580,52492440,11.46466787,-4.088015e-03,0.042572,-1.098658,EXPECTED
17PR103,52777725,11.21644699,52777725,11.25690026,-3.600115e-03,0.042430,-0.953412,EXPECTED
17PR207/2,52837785,11.51217694,52837785,11.54926466,-3.216430e-03,0.042264,-0.877525,EXPECTED
17PR104,53093040,10.97974143,53093040,11.02612270,-4.215362e-03,0.042103,-1.101614,EXPECTED
19PR11/2,53348295,11.63736923,53348295,11.67221175,-2.989547e-03,0.041940,-0.830771,EXPECTED
17PR105,53633580,11.14517895,53633580,11.18744976,-3.785570e-03,0.041781,-1.011723,EXPECTED
17PR211/2,54094425,11.06962560,54094425,11.09594276,-2.374599e-03,0.041607,-0.632518,EXPECTED
