START,n_geom,C_avg,Cpred_avg,Lambda_avg
(13PR)317/2,4767256,3.980599,3.999997,-4.861151e-03
(13PR)159,4782271,3.980654,4.000062,-4.863595e-03
(13PR)319/2,4797286,3.987119,4.000003,-3.226176e-03
(13PR)160,4812301,3.986816,4.000042,-3.312130e-03
(13PR)321/2,4827316,4.025470,3.999991,6.349432e-03
(13PR)161,4842331,4.021549,4.000000,5.372704e-03
(19PR)/2,4975835,4.021385,4.000023,5.326099e-03
(17PR)10,5231170,4.001723,4.000022,4.251395e-04
(17PR)21/2,5486498,3.970353,4.000023,-7.445097e-03
(17PR)11,5741819,3.985653,4.000019,-3.598159e-03
(17PR)23/2,5997134,4.004345,4.000025,1.079405e-03
(17PR)12,6252445,4.000629,4.000021,1.521134e-04
(17PR)25/2,6507751,3.988141,4.000023,-2.975009e-03
(17PR)13,6763053,4.020360,4.000022,5.071768e-03
(17PR)27/2,7018352,4.021502,4.000021,5.355865e-03
(17PR)14,7273647,3.986984,4.000020,-3.264455e-03
(17PR)29/2,7528940,3.987392,4.000023,-3.162725e-03
(17PR)15,7784231,3.997960,4.000020,-5.151118e-04
(17PR)31/2,8039519,3.985973,4.000024,-3.518992e-03
(17PR)16,8294805,3.996521,4.000021,-8.751714e-04
(17PR)33/2,8550090,4.026810,4.000022,6.674735e-03
(17PR)17,8805372,3.995527,4.000021,-1.124296e-03
(17PR)35/2,9060653,3.984999,4.000021,-3.762627e-03
(17PR)18,9315933,4.000554,4.000021,1.331384e-04
(17PR)37/2,9571211,4.002633,4.000020,6.529295e-04
