START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound_min,n_b,Cbound_max
5PR12,361,2.491896,373,2.931717,360,7.69916015,360,7.79126373,367,4.105645269,4.403838093,367,2.083042,360,8.64883486,362,0.210681,360,10.52598756
5PR25/2,389,2.364384,383,2.924670,375,7.06606795,375,7.79738806,382,3.981550138,4.378352950,379,2.089439,375,8.63532260,379,0.249148,375,10.48015890
5PR13,404,2.490536,401,2.925989,390,7.86627777,390,8.48557781,397,4.117981269,4.449407715,397,2.112375,390,9.30709648,394,0.304876,390,11.12538615
5PR27/2,419,2.617346,409,2.926526,405,7.07547171,405,7.78404798,412,4.028145469,4.385297068,409,2.124900,405,8.58833415,409,0.338815,405,10.37838516
7PR2,433,2.371783,421,2.927277,420,8.77125227,420,9.34245623,427,4.108456501,4.475446469,421,2.138519,420,10.13226212,421,0.373471,420,11.89902078
5PR29/2,439,2.172389,439,2.921500,435,7.65537202,435,8.05990363,442,4.097855005,4.389300553,439,2.149328,435,8.83601746,439,0.410967,435,10.58080236
5PR15,451,2.484088,461,2.922771,450,7.82003745,462,7.77558921,457,4.183341622,4.459258381,457,2.167366,450,8.53496787,454,0.455105,450,10.25620675
5PR31/2,466,2.603518,467,2.923088,465,6.95384765,465,8.04602590,472,3.990494615,4.367626196,467,2.175441,465,8.79544465,467,0.476591,465,10.49716748
5PR16,491,2.170204,491,2.924248,483,7.09774091,480,7.77871510,487,4.010873873,4.417595731,487,2.193426,480,8.51516597,482,0.516562,480,10.19588407
5PR33/2,496,2.158537,503,2.918777,495,7.96480076,495,8.64742134,502,4.027448928,4.409242729,499,2.196318,495,9.37159636,499,0.538185,495,11.03249056
5PR17,514,2.425229,512,2.912920,510,7.64347374,510,8.28530718,517,3.995164027,4.370081308,512,2.200695,510,8.99904778,512,0.558725,510,10.64345376
7PR5/2,526,2.224923,526,2.924867,525,8.27573308,525,9.32545484,532,4.169212490,4.486942637,526,2.222965,525,10.02807895,526,0.597569,525,11.65463101
5PR18,548,2.471090,541,2.920429,540,7.65131467,540,7.77181901,547,4.208121765,4.401780981,541,2.227972,540,8.46496666,541,0.617400,540,10.07664206
5PR37/2,556,2.138928,569,2.916107,555,7.49631626,555,7.99729789,562,4.098396974,4.413683769,563,2.237028,555,8.68032269,557,0.645897,555,10.27583322
5PR19,571,2.250802,571,2.916184,570,8.11352032,570,8.21792838,577,4.190533285,4.370366267,571,2.242442,570,8.89230159,571,0.661423,570,10.47432324
5PR39/2,593,2.479793,587,2.916771,585,8.10475159,585,8.47041617,592,4.132719525,4.444848989,587,2.252865,585,9.13552552,587,0.687454,585,10.70284303
5PR20,601,2.459414,601,2.917245,600,7.24260337,600,7.76496582,607,4.108871615,4.386964219,601,2.260651,600,8.42213963,601,0.706532,600,9.97717310
5PR41/2,619,2.264139,619,2.917806,615,7.25206503,615,7.96699965,622,4.072022608,4.419632622,617,2.270196,615,8.61565793,617,0.730338,615,10.15726028
7PR3,631,2.515024,631,2.913339,630,8.95295440,630,9.30631534,637,4.210623976,4.404340226,631,2.272524,630,9.94766422,631,0.742990,630,11.47803618
5PR43/2,653,2.451200,647,2.913836,645,7.69677235,645,7.94722419,652,4.055972603,4.380051973,647,2.281370,645,8.58071403,647,0.764913,645,10.09877199
5PR22,661,2.293985,661,2.914241,660,8.10561117,660,8.62032474,667,4.285715941,4.470929735,661,2.288788,660,9.24626999,661,0.783273,660,10.75255184
5PR45/2,677,2.655002,677,2.914671,675,7.58358759,675,7.76078651,682,4.217255710,4.341893529,677,2.296168,675,8.38023853,677,0.801214,675,9.87666610
5PR23,694,2.475723,701,2.915257,690,7.59033246,690,8.13051025,697,4.132401920,4.457575535,691,2.303027,690,8.74296154,691,0.818157,690,10.22853870
5PR47/2,706,1.932420,709,2.911114,705,7.09309659,705,7.92392705,712,3.995539549,4.388672250,709,2.306459,705,8.53034372,709,0.832678,705,10.00683828
5PR24,724,2.401837,733,2.911697,720,6.98170105,720,7.75186384,727,3.933625456,4.331746027,727,2.314617,720,8.35176395,727,0.852689,720,9.81823251
7PR7/2,736,2.497206,739,2.911834,735,8.37419073,735,9.30488381,742,4.191760701,4.491690707,739,2.319853,735,9.89850172,739,0.865511,735,11.35534544
5PR25,757,2.448382,751,2.912095,750,7.51996491,750,7.75416005,757,4.065922223,4.371751838,751,2.324301,750,8.34235153,751,0.876121,750,9.79113819
5PR51/2,772,2.412496,769,2.912461,765,7.89453670,765,8.27326679,772,4.215587237,4.410680300,769,2.331675,765,8.85558530,769,0.894138,765,10.29544410
5PR26,787,2.261955,787,2.908880,780,8.03025702,780,8.44986319,787,4.121050313,4.395142974,787,2.334232,780,9.02710252,787,0.905759,780,10.45948850
5PR53/2,802,2.347371,797,2.909084,795,7.67951383,795,7.89959653,802,4.203430049,4.396246248,797,2.338070,795,8.47133151,797,0.915066,795,9.89541763
5PR27,811,2.444106,811,2.909356,819,7.04724497,810,7.74772523,817,4.115664111,4.385139111,811,2.343295,810,8.31413579,811,0.927722,810,9.73023030
5PR55/2,829,2.750946,829,2.909683,825,8.16796570,825,8.61061125,832,4.368391814,4.381391216,827,2.348526,825,9.17240954,827,0.940127,825,10.58181860
7PR4,841,2.494510,853,2.910080,840,8.96560046,840,9.29942269,847,4.280146436,4.429351767,842,2.356913,840,9.85621320,842,0.955929,840,11.25817023
5PR57/2,859,2.120215,863,2.906651,855,8.39877845,855,8.20716359,862,4.241486655,4.441861763,863,2.356738,855,8.75910154,857,0.965008,855,10.15387257
5PR29,877,2.529782,881,2.906954,870,7.85673315,870,8.02835078,877,4.232058374,4.393470325,877,2.361314,870,8.57607925,877,0.975714,870,9.96484401
5PR59/2,892,2.389002,887,2.907051,885,7.42824574,885,7.87912788,892,4.105817932,4.366587337,887,2.364501,885,8.42227805,887,0.983332,885,9.80432431
5PR30,907,2.469201,911,2.907414,900,7.55030353,900,7.74322880,907,4.151809318,4.400923332,907,2.370216,900,8.28193563,907,0.996744,900,9.65749479
5PR61/2,916,2.557395,919,2.907527,915,7.67852346,915,7.87603939,922,4.200328020,4.389463301,919,2.373812,915,8.41088696,919,1.005310,915,9.78103038
5PR31,944,2.604008,941,2.907819,930,7.69006004,930,8.01172202,937,4.135817741,4.356517695,937,2.379046,930,8.54236559,937,1.017748,930,9.90642999
7PR9/2,958,2.578016,953,2.904699,945,8.84654649,945,9.29532538,952,4.138984978,4.463813113,953,2.379849,945,9.82188313,947,1.019940,945,11.18007122
5PR32,971,2.653928,971,2.904945,960,7.72185143,960,7.73728718,967,4.213222398,4.377922790,967,2.383708,960,8.26029234,967,1.033017,960,9.61358178
5PR65/2,982,2.428988,977,2.905023,975,8.03881353,975,8.44222384,982,4.143735139,4.423531985,977,2.386402,975,8.96135345,977,1.039352,975,10.30912520
5PR33,997,2.403811,991,2.905198,990,7.95489597,990,8.59843498,997,3.994460799,4.360257125,991,2.389689,990,9.11419258,991,1.046863,990,10.45736946
5PR67/2,1009,2.382122,1009,2.905410,1005,7.66567297,1005,7.85899583,1012,4.035234299,4.368823397,1009,2.394299,1005,8.37107170,1009,1.057664,1005,9.70906156
5PR34,1024,2.159339,1024,2.902467,1020,7.67856937,1020,8.25574874,1027,4.271230346,4.429040230,1024,2.394917,1020,8.76423906,1024,1.063261,1020,10.09720705
5PR69/2,1039,2.526535,1039,2.902721,1035,7.50435300,1035,8.10121412,1042,4.060863227,4.341088603,1039,2.398272,1035,8.60658203,1039,1.070754,1035,9.93537610
7PR5,1063,2.578666,1051,2.902859,1050,8.77253133,1050,9.27943204,1057,4.202740331,4.442870958,1051,2.401130,1050,9.78138635,1051,1.077374,1050,11.10545200
5PR71/2,1069,2.567684,1069,2.903056,1065,7.34349949,1065,7.84618108,1072,4.195535395,4.405192660,1069,2.405303,1065,8.34480735,1069,1.087016,1065,9.66429155
5PR36,1087,2.443828,1091,2.903278,1092,7.49331967,1080,7.73393932,1087,4.217496988,4.405617268,1087,2.409004,1080,8.22931981,1087,1.095352,1080,9.54436388
5PR73/2,1109,2.406940,1097,2.903335,1095,7.38425924,1095,7.84404528,1102,4.118857426,4.342916547,1097,2.411202,1095,8.33659644,1097,1.100403,1095,9.64796153
5PR37,1114,2.490995,1123,2.903569,1110,7.95597260,1110,7.95591169,1117,4.187504750,4.429580710,1117,2.415485,1110,8.44536464,1117,1.110219,1110,9.75254151
5PR75/2,1126,2.196286,1129,2.900841,1125,7.32589070,1125,7.73600861,1132,4.081382454,4.357669202,1129,2.414887,1125,8.22243701,1129,1.112241,1125,9.52555228
5PR38,1142,2.537361,1151,2.901050,1140,7.71296752,1140,8.18305323,1147,4.035641122,4.310959473,1151,2.419387,1140,8.66684343,1142,1.120641,1140,9.96660212
11PR/2,1213,2.425805,1249,2.899254,1155,9.61331065,1155,10.30603330,1206,4.187446932,4.397039311,1163,2.421774,1155,10.78693138,1163,1.127849,1155,12.08285464
7PR6,1336,2.178634,1361,2.897594,1260,9.18183967,1260,9.26982539,1311,4.146275080,4.384685983,1262,2.438853,1260,9.73274391,1262,1.166232,1260,11.00577583
7PR13/2,1468,2.256079,1451,2.895851,1365,9.44616333,1365,10.10790524,1416,4.248286910,4.385870611,1367,2.450541,1365,10.55527854,1367,1.196580,1365,11.80957794
7PR7,1546,2.243897,1559,2.894260,1470,8.71443559,1470,9.26014772,1521,4.209736439,4.382453231,1471,2.462285,1470,9.69393914,1471,1.223499,1470,10.93286443
7PR15/2,1609,2.388505,1663,2.892702,1575,9.56246572,1575,9.25596140,1626,4.163557670,4.381313268,1579,2.472966,1575,9.67778036,1579,1.247115,1575,10.90408878
7PR8,1753,2.371121,1783,2.891247,1680,8.84090265,1680,9.25083078,1731,4.174837258,4.376917224,1693,2.482896,1680,9.66201508,1693,1.268115,1680,10.87800282
7PR17/2,1816,2.501503,1801,2.891298,1785,9.35921028,1785,9.86327665,1836,4.224823726,4.381594450,1787,2.489760,1785,10.26495186,1787,1.282309,1785,11.47255515
7PR9,1951,2.491569,1931,2.889892,1890,8.90008028,1890,9.24747672,1941,4.219150158,4.370028397,1901,2.497576,1890,9.64046494,1901,1.297373,1890,10.84110478
7PR19/2,2029,2.361029,2048,2.886964,1995,9.44330873,1995,9.78712978,2046,4.229833710,4.372672473,2017,2.504626,1995,10.17239927,1997,1.309635,1995,11.36775023
7PR10,2147,2.432338,2179,2.887173,2100,9.20181578,2145,9.32776326,2151,4.258897464,4.372562144,2111,2.511056,2145,9.70322922,2111,1.320161,2145,10.89314690
7PR21/2,2287,2.426640,2293,2.885866,2205,9.14352047,2205,9.23486553,2256,4.202611446,4.365662307,2207,2.515562,2205,9.60663135,2207,1.327468,2205,10.79477846
11PR,2344,2.486771,2311,2.885885,2310,9.84589883,2310,10.25608984,2361,4.226859817,4.374955955,2311,2.520014,2310,10.62201629,2311,1.333897,2310,11.80815080
7PR23/2,2446,2.459575,2437,2.884631,2415,9.36655355,2415,9.66631488,2466,4.192403030,4.367171153,2417,2.524150,2415,10.02688097,2417,1.339205,2415,11.21184507
7PR12,2539,2.390593,2609,2.883442,2520,8.76649904,2520,9.22700010,2571,4.237801831,4.368533899,2521,2.529180,2520,9.58254864,2521,1.344760,2520,10.76697163
7PR25/2,2719,2.364339,2711,2.882254,2625,9.22561253,2625,9.22351804,2676,4.186676563,4.358781864,2633,2.532796,2625,9.57444020,2633,1.348074,2625,10.75902127
7PR13,2734,2.260108,2731,2.882261,2730,9.71064210,2730,10.05770759,2782,4.204806273,4.368107635,2731,2.535583,2730,10.40442569,2731,1.350104,2730,11.58989557
7PR27/2,2866,2.498550,2857,2.881122,2835,8.97612902,2835,9.22002879,2887,4.209331765,4.363129066,2857,2.539110,2835,9.56278145,2857,1.351870,2835,10.74960094
7PR14,2974,2.384523,3037,2.880022,2940,9.08898439,2940,9.21620541,2992,4.256175436,4.361611507,2953,2.542437,2940,9.55534105,3011,1.352883,2940,10.74411261
7PR29/2,3076,2.409724,3109,2.880013,3045,9.28134671,3045,9.55426531,3097,4.230763696,4.361491704,3049,2.544439,3045,9.88997539,3049,1.353235,3045,11.08108475
7PR15,3169,2.398188,3253,2.878936,3150,8.78944822,3150,9.21283573,3202,4.239215839,4.357730290,3169,2.546940,3150,9.54535579,3253,1.352223,3150,10.73924033
7PR31/2,3316,2.559556,3359,2.877904,3255,9.68651574,3255,9.52733902,3307,4.243604078,4.359006633,3257,2.549392,3255,9.85693700,3359,1.350429,3255,11.05405916
7PR16,3463,2.515341,3463,2.877865,3360,9.21162172,3360,9.20631895,3412,4.212999862,4.349661547,3361,2.551112,3360,9.53313588,3463,1.349118,3360,10.73380249
11PR3/2,3559,2.463021,3529,2.876886,3465,10.17469127,3465,10.22945257,3517,4.265661048,4.364447479,3491,2.553264,3465,10.55366943,3559,1.346519,3465,11.75822681
