START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
11PR88,204046,2.692561,204431,2.554539,5.262101e-02,0.250146,5.517658e-01,EXPECTED
11PR177/2,204928,2.696021,205589,2.554845,5.378543e-02,0.249651,5.654934e-01,EXPECTED
11PR89,206086,2.718302,206699,2.555929,6.159166e-02,0.248398,6.536808e-01,EXPECTED
11PR179/2,207574,2.675878,207877,2.556836,4.550699e-02,0.247586,4.808107e-01,EXPECTED
11PR90,208928,2.701678,209039,2.560057,5.384354e-02,0.245806,5.761495e-01,EXPECTED
11PR181/2,209929,2.682270,210209,2.566085,4.428206e-02,0.245556,4.731507e-01,EXPECTED
13PR7,210334,2.696571,211349,2.559690,5.209481e-02,0.244437,5.599848e-01,EXPECTED
11PR183/2,211873,2.695799,212507,2.560809,5.137141e-02,0.243065,5.553658e-01,EXPECTED
11PR92,212833,2.721061,213659,2.562068,6.020713e-02,0.242008,6.569741e-01,EXPECTED
11PR185/2,214702,2.684285,214817,2.562448,4.645135e-02,0.241427,5.046536e-01,EXPECTED
11PR93,215032,2.692089,215983,2.563792,4.883006e-02,0.240743,5.329210e-01,EXPECTED
11PR187/2,216991,2.706587,217121,2.564036,5.410585e-02,0.239649,5.948324e-01,EXPECTED
11PR94,217577,2.714400,218287,2.564890,5.665534e-02,0.238733,6.262645e-01,EXPECTED
11PR189/2,218368,2.722809,219437,2.565837,5.937933e-02,0.237732,6.602897e-01,EXPECTED
11PR95,220309,2.712319,220589,2.566921,5.509686e-02,0.236452,6.149155e-01,EXPECTED
11PR191/2,221528,2.714884,221747,2.568890,5.527533e-02,0.235624,6.196058e-01,EXPECTED
11PR96,222634,2.717216,222913,2.568455,5.630328e-02,0.234814,6.335270e-01,EXPECTED
11PR193/2,223954,2.710568,224069,2.568742,5.374192e-02,0.234598,6.045491e-01,EXPECTED
11PR97,225223,2.704512,225223,2.569937,5.104010e-02,0.233629,5.760201e-01,EXPECTED
13PR15/2,225943,2.709420,226379,2.571015,5.243383e-02,0.232403,5.955388e-01,EXPECTED
11PR98,226456,2.693497,227533,2.572375,4.601075e-02,0.231619,5.229364e-01,EXPECTED
11PR197/2,227764,2.700612,228677,2.572545,4.858273e-02,0.230474,5.556679e-01,EXPECTED
11PR99,229234,2.690065,229841,2.572771,4.458183e-02,0.230267,5.093826e-01,EXPECTED
11PR199/2,230189,2.704611,230999,2.573535,4.967765e-02,0.229242,5.717800e-01,EXPECTED
11PR100,231271,2.703240,232153,2.574422,4.882601e-02,0.228532,5.636760e-01,EXPECTED
11PR201/2,232489,2.699251,233297,2.575008,4.712169e-02,0.227571,5.459527e-01,EXPECTED
11PR101,233528,2.712781,234463,2.575826,5.180405e-02,0.226682,6.041724e-01,EXPECTED
11PR203/2,234712,2.693448,235607,2.576564,4.436543e-02,0.225884,5.174514e-01,EXPECTED
11PR102,236086,2.708888,236773,2.578107,4.948281e-02,0.224808,5.817453e-01,EXPECTED
11PR205/2,237602,2.712472,237929,2.578301,5.072974e-02,0.224376,5.979739e-01,EXPECTED
11PR103,238892,2.687289,239081,2.579322,4.100631e-02,0.223649,4.827520e-01,EXPECTED
11PR207/2,239566,2.669376,240209,2.579214,3.436004e-02,0.223031,4.042577e-01,EXPECTED
13PR8,241036,2.687643,241393,2.580473,4.069189e-02,0.222077,4.825804e-01,EXPECTED
11PR209/2,241954,2.717299,242533,2.580581,5.162380e-02,0.221469,6.173234e-01,EXPECTED
11PR105,242779,2.704457,243703,2.581513,4.652549e-02,0.220639,5.572179e-01,EXPECTED
11PR211/2,243994,2.700730,244859,2.582505,4.476225e-02,0.219809,5.378533e-01,EXPECTED
11PR106,245486,2.696998,246011,2.582835,4.325167e-02,0.219351,5.204581e-01,EXPECTED
11PR213/2,246724,2.705664,247141,2.583386,4.624641e-02,0.218483,5.596683e-01,EXPECTED
11PR107,247868,2.717640,248323,2.584312,5.030453e-02,0.217404,6.132730e-01,EXPECTED
11PR215/2,249061,2.717889,249463,2.585494,4.993888e-02,0.216773,6.107541e-01,EXPECTED
11PR108,249811,2.723430,250619,2.585902,5.181773e-02,0.216425,6.354534e-01,EXPECTED
11PR217/2,251194,2.723166,251789,2.586428,5.151740e-02,0.215150,6.355473e-01,EXPECTED
11PR109,252664,2.704928,252937,2.586879,4.462316e-02,0.214977,5.491239e-01,EXPECTED
11PR219/2,253321,2.678193,254083,2.587861,3.431065e-02,0.213684,4.227364e-01,EXPECTED
11PR110,254788,2.720112,255253,2.587944,4.980932e-02,0.213387,6.193817e-01,EXPECTED
17PR/2,259801,2.693910,270269,2.589114,3.967794e-02,0.212371,4.934572e-01,EXPECTED
13PR9,283903,2.691665,285283,2.596574,3.596708e-02,0.204044,4.660318e-01,EXPECTED
13PR19/2,299479,2.682900,300299,2.603785,2.993214e-02,0.196755,4.020991e-01,EXPECTED
13PR10,303904,2.684643,315313,2.609518,2.838223e-02,0.189564,3.963042e-01,EXPECTED
13PR21/2,316189,2.695075,330329,2.615023,3.015314e-02,0.183407,4.364719e-01,EXPECTED
13PR11,333934,2.687372,345329,2.620546,2.518107e-02,0.177293,3.769241e-01,EXPECTED
13PR23/2,352771,2.687174,360337,2.625158,2.334900e-02,0.172084,3.603821e-01,EXPECTED
13PR12,367261,2.692325,375373,2.629729,2.352433e-02,0.166997,3.748331e-01,EXPECTED
13PR25/2,383524,2.697450,390389,2.633583,2.396161e-02,0.162518,3.929842e-01,EXPECTED
13PR13,394369,2.696179,405401,2.637607,2.196352e-02,0.157965,3.707910e-01,EXPECTED
13PR27/2,409246,2.696437,420419,2.641645,2.052944e-02,0.153854,3.561298e-01,EXPECTED
13PR14,421276,2.696549,435427,2.644506,1.948853e-02,0.150274,3.463207e-01,EXPECTED
13PR29/2,448306,2.710361,450431,2.647310,2.353781e-02,0.146853,4.293477e-01,EXPECTED
13PR15,453949,2.701259,465463,2.650326,1.903531e-02,0.143438,3.550872e-01,EXPECTED
13PR31/2,477329,2.692752,480463,2.653652,1.462691e-02,0.139613,2.800599e-01,EXPECTED
13PR16,480967,2.701860,495491,2.656001,1.711882e-02,0.136830,3.351531e-01,EXPECTED
13PR33/2,495658,2.704691,510481,2.658270,1.731214e-02,0.134575,3.449452e-01,EXPECTED
17PR,521068,2.702278,525517,2.660366,1.563141e-02,0.131829,3.179270e-01,EXPECTED
13PR35/2,535342,2.694373,540539,2.662397,1.193868e-02,0.129345,2.472148e-01,EXPECTED
