START,n_0,C_min,Npred_0,Cpred_min,Lambda_min
7PR59/2,6208,1.572694,6299,2.641095,-5.184035e-01
7PR101/2,10697,1.030851,10709,2.640920,-9.407427e-01
7PR53,11201,0.993514,11213,2.640908,-9.776299e-01
7PR56,11797,0.955455,11863,2.640895,-1.016685e+00
7PR113/2,11959,0.947934,11969,2.640893,-1.024588e+00
7PR58,12234,0.927594,12281,2.640887,-1.046276e+00
7PR59,12422,0.916212,12479,2.640884,-1.058621e+00
7PR119/2,12539,0.913327,12589,2.640882,-1.061774e+00
7PR61,12878,0.891080,12911,2.640877,-1.086432e+00
7PR62,13057,0.880540,13109,2.640874,-1.098330e+00
7PR125/2,13189,0.873843,13229,2.640872,-1.105964e+00
7PR137/2,14464,0.812082,14489,2.640855,-1.179257e+00
7PR69,14524,0.812784,14593,2.640853,-1.178392e+00
7PR139/2,14671,1.607645,14699,2.640852,-4.963312e-01
7PR70,14797,0.798284,14797,2.640851,-1.196392e+00
11PR9,21089,0.602626,21943,2.640791,-1.477537e+00
11PR10,23987,0.543918,24251,2.640780,-1.580031e+00
11PR23/2,27557,0.486188,27701,2.640766,-1.692229e+00
11PR12,28742,0.469457,28871,2.640762,-1.727246e+00
11PR25/2,29473,0.460476,30029,2.640758,-1.746561e+00
11PR27/2,31897,0.431897,32327,2.640752,-1.810632e+00
11PR14,33382,0.832924,32768,2.640670,-1.153846e+00
11PR29/2,34303,0.815372,34649,2.640746,-1.175172e+00
11PR15,35197,0.399250,35803,2.640743,-1.889228e+00
11PR31/2,35909,0.392206,36947,2.640741,-1.907028e+00
11PR16,37811,0.376607,38113,2.640739,-1.947612e+00
11PR33/2,38296,0.744936,39251,2.640737,-1.265515e+00
11PR17,40072,0.358872,40423,2.640735,-1.995847e+00
11PR35/2,40649,0.709480,41579,2.640733,-1.314280e+00
11PR18,42719,1.022669,42727,2.640731,-9.486399e-01
11PR37/2,43718,0.668698,43889,2.640729,-1.373478e+00
11PR19,44959,0.654013,45013,2.640728,-1.395683e+00
13PR3/2,45427,0.648808,46199,2.640726,-1.403672e+00
11PR20,46738,0.633492,47353,2.640725,-1.427561e+00
11PR41/2,47456,0.938788,48497,2.640723,-1.034218e+00
11PR21,49451,1.210661,49663,2.640722,-7.798859e-01
11PR43/2,50279,0.895705,50789,2.640721,-1.081196e+00
11PR22,51647,1.168933,51973,2.640720,-8.149602e-01
11PR45/2,52748,0.860885,53129,2.640719,-1.120846e+00
11PR23,53831,0.564426,54277,2.640718,-1.542997e+00
11PR47/2,54902,0.833841,55439,2.640716,-1.152763e+00
11PR24,55948,1.093936,56591,2.640715,-8.812675e-01
11PR49/2,56807,1.080910,57737,2.640714,-8.932461e-01
11PR25,58711,1.314818,58901,2.640713,-6.973507e-01
11PR51/2,59737,0.777811,60041,2.640713,-1.222321e+00
13PR2,61169,1.017560,61211,2.640712,-9.536410e-01
11PR53/2,61934,0.755400,62351,2.640711,-1.251556e+00
11PR27,62687,0.997035,63521,2.640710,-9.740172e-01
11PR55/2,63892,0.736071,64679,2.640709,-1.277476e+00
11PR28,64811,0.970351,65536,2.640668,-1.001129e+00
11PR57/2,66889,0.945069,66977,2.640708,-1.027544e+00
11PR29,67768,1.169565,68141,2.640707,-8.144148e-01
11PR59/2,69208,0.919209,69263,2.640706,-1.055288e+00
11PR30,69623,1.143896,70451,2.640706,-8.366063e-01
11PR61/2,70592,0.904079,71597,2.640705,-1.071884e+00
11PR31,72712,1.323713,72763,2.640704,-6.906049e-01
11PR63/2,72959,1.100855,73907,2.640704,-8.749584e-01
11PR32,74843,1.508492,75041,2.640703,-5.599347e-01
13PR5/2,75814,1.066288,76213,2.640703,-9.068617e-01
11PR33,77311,1.259536,77383,2.640702,-7.403014e-01
11PR67/2,78506,1.243398,78539,2.640702,-7.531968e-01
11PR34,79616,1.228462,79693,2.640701,-7.652814e-01
11PR69/2,79841,1.226120,80849,2.640701,-7.671897e-01
11PR35,81974,1.000079,82003,2.640700,-9.709650e-01
11PR71/2,82526,1.193130,83137,2.640700,-7.944639e-01
11PR36,83548,0.984221,84313,2.640699,-9.869485e-01
11PR73/2,84904,0.971388,85469,2.640699,-1.000073e+00
11PR37,85597,0.578866,86599,2.640698,-1.517728e+00
11PR75/2,87623,1.135333,87767,2.640698,-8.441173e-01
11PR38,87784,1.134043,88919,2.640697,-8.452538e-01
11PR77/2,89399,1.117304,90089,2.640697,-8.601243e-01
13PR3,90274,1.292785,91243,2.640697,-7.142441e-01
11PR79/2,91589,1.277044,92399,2.640696,-7.264945e-01
11PR40,93497,1.256200,93553,2.640696,-7.429512e-01
11PR81/2,94313,1.603292,94709,2.640696,-4.989835e-01
11PR41,95813,1.054625,95857,2.640695,-9.178569e-01
11PR83/2,96532,1.223013,97007,2.640695,-7.697247e-01
11PR42,97841,0.691337,98143,2.640694,-1.340170e+00
11PR85/2,98737,1.029221,99317,2.640694,-9.422396e-01
11PR43,99524,1.022027,100483,2.640694,-9.492539e-01
11PR87/2,101249,1.175517,101627,2.640693,-8.093333e-01
11PR44,101746,1.004000,102793,2.640693,-9.670494e-01
11PR89/2,103219,1.322858,103919,2.640693,-6.912468e-01
11PR45,104957,1.304833,105097,2.640693,-7.049663e-01
13PR7/2,105883,1.294965,106243,2.640692,-7.125573e-01
11PR46,107336,1.120188,107377,2.640692,-8.575445e-01
11PR93/2,107846,1.275180,108557,2.640692,-7.279537e-01
