START,n_0,C_min,Npred_0,CpredAlign,Lambda_min
5PR15/2,236,1.517972,239,0.021709,4.247416e+00
5PR8,241,1.504150,251,0.066178,3.123640e+00
5PR17/2,262,2.366905,256,0.073329,3.474385e+00
5PR9,283,1.808288,283,0.172140,2.351830e+00
5PR19/2,292,2.207228,293,0.202833,2.387110e+00
5PR10,313,1.693274,313,0.258699,1.878752e+00
7PR3/2,316,2.096745,317,0.269307,2.052290e+00
5PR11,337,1.613017,337,0.319805,1.618151e+00
5PR23/2,349,1.970222,359,0.370338,1.671485e+00
5PR12,362,1.917761,373,0.401396,1.563965e+00
5PR25/2,379,1.492247,389,0.434382,1.234113e+00
5PR13,391,1.826947,401,0.457964,1.383611e+00
5PR27/2,412,2.111809,419,0.491123,1.458606e+00
7PR2,433,1.364958,433,0.516530,9.717459e-01
5PR29/2,439,2.366648,449,0.543705,1.470824e+00
5PR15,463,1.956971,463,0.565994,1.240570e+00
5PR31/2,466,1.944258,479,0.590916,1.190962e+00
5PR16,481,1.907067,491,0.608895,1.141676e+00
5PR33/2,496,1.863948,509,0.635203,1.076507e+00
5PR17,524,2.394277,512,0.633750,1.329182e+00
7PR5/2,526,2.089567,538,0.679521,1.123324e+00
5PR18,548,2.031998,547,0.685692,1.086347e+00
5PR37/2,569,1.983900,569,0.713417,1.022754e+00
5PR19,577,2.245675,577,0.723017,1.133328e+00
5PR39/2,599,2.188595,599,0.748199,1.073347e+00
5PR20,601,1.910627,613,0.764131,9.164470e-01
5PR41/2,617,1.876316,619,0.770351,8.902189e-01
7PR3,631,2.111378,643,0.795712,9.758594e-01
5PR43/2,649,2.329513,659,0.811932,1.053998e+00
5PR22,661,1.788981,673,0.825991,7.728178e-01
5PR45/2,677,2.010889,683,0.835304,8.785364e-01
5PR23,697,2.216917,701,0.852406,9.558097e-01
5PR47/2,706,1.706515,719,0.868389,6.755690e-01
5PR24,734,2.135493,733,0.880929,8.854754e-01
7PR7/2,743,2.355865,743,0.889246,9.742888e-01
5PR25,751,2.338294,761,0.904563,9.497247e-01
5PR51/2,766,2.072834,773,0.914341,8.184684e-01
5PR26,788,1.806384,787,0.925254,6.690146e-01
5PR53/2,802,1.784236,809,0.942503,6.382064e-01
5PR27,821,1.976976,823,0.952779,7.299404e-01
5PR55/2,839,2.379710,839,0.964504,9.031202e-01
7PR4,841,2.159749,853,0.974742,7.955742e-01
5PR57/2,859,1.914982,863,0.981544,6.683369e-01
5PR29,883,2.295458,883,0.995269,8.356745e-01
5PR59/2,886,2.287381,887,0.997964,8.294452e-01
5PR30,904,2.050129,911,1.013805,7.041926e-01
5PR61/2,919,1.825774,929,1.025524,5.768007e-01
5PR31,943,1.991920,941,1.033037,6.565960e-01
7PR9/2,958,2.164457,953,1.040423,7.325418e-01
5PR32,967,1.761041,971,1.051085,5.160824e-01
5PR65/2,982,1.933461,983,1.058174,6.027671e-01
5PR33,997,2.106150,997,1.066483,6.804955e-01
5PR67/2,1009,1.898450,1019,1.078767,5.652187e-01
5PR34,1024,2.252124,1024,1.078937,7.358976e-01
5PR69/2,1048,2.030676,1049,1.095373,6.172734e-01
7PR5,1063,2.195023,1063,1.102657,6.884695e-01
5PR71/2,1072,2.361462,1069,1.105983,7.585466e-01
5PR36,1094,2.506504,1093,1.118369,8.070177e-01
5PR73/2,1109,1.952088,1109,1.126426,5.498500e-01
5PR37,1123,2.110511,1123,1.133191,6.218923e-01
5PR75/2,1126,2.104611,1129,1.136283,6.163679e-01
5PR38,1147,2.252003,1153,1.147809,6.739655e-01
11PR/2,1244,2.122683,1259,1.194993,5.745407e-01
7PR6,1319,1.723241,1361,1.235902,3.324061e-01
7PR13/2,1402,1.647631,1459,1.271284,2.593108e-01
7PR7,1489,1.865276,1571,1.308156,3.547905e-01
7PR15/2,1676,2.104753,1669,1.337747,4.532112e-01
7PR8,1774,2.019039,1783,1.369165,3.884206e-01
7PR17/2,1849,2.204669,1889,1.396229,4.568026e-01
7PR9,1966,1.989272,1993,1.420790,3.365557e-01
7PR19/2,2029,1.715762,2048,1.431712,1.809866e-01
7PR10,2104,2.003507,2203,1.465443,3.127418e-01
7PR21/2,2287,1.989104,2309,1.485976,2.916123e-01
11PR,2347,2.156625,2411,1.504442,3.601222e-01
7PR23/2,2447,2.190317,2503,1.520280,3.651520e-01
7PR12,2623,2.363446,2621,1.539544,4.286343e-01
7PR25/2,2633,2.168203,2729,1.556128,3.316983e-01
7PR13,2809,2.065835,2833,1.571283,2.736421e-01
7PR27/2,2909,2.274897,2939,1.585927,3.607654e-01
7PR14,2974,2.064698,3041,1.599463,2.553159e-01
7PR29/2,3076,1.845344,3137,1.611609,1.354324e-01
7PR15,3221,2.107297,3253,1.625635,2.595073e-01
7PR31/2,3334,2.210551,3359,1.637830,2.998694e-01
7PR16,3386,2.340982,3463,1.649346,3.501915e-01
11PR3/2,3559,2.029695,3559,1.659570,2.013268e-01
7PR17,3571,2.249487,3673,1.671279,2.971130e-01
7PR35/2,3769,1.943543,3779,1.681658,1.447325e-01
7PR18,3799,2.075010,3881,1.691358,2.044343e-01
7PR37/2,3964,2.216472,3989,1.701220,2.645712e-01
7PR19,4051,2.044491,4093,1.710382,1.784323e-01
7PR39/2,4153,2.340594,4096,1.709954,3.139382e-01
7PR20,4282,2.220909,4297,1.727473,2.512568e-01
7PR41/2,4393,2.306710,4409,1.736398,2.840094e-01
7PR21,4486,2.143577,4513,1.744415,2.060565e-01
7PR43/2,4603,2.102361,4603,1.751124,1.828033e-01
11PR2,4651,2.085780,4723,1.759839,1.699208e-01
7PR45/2,4801,1.856187,4817,1.766489,4.953061e-02
7PR23,4909,2.178086,4933,1.774420,2.049726e-01
7PR47/2,4987,2.151973,5039,1.781424,1.889721e-01
7PR24,5086,2.176695,5119,1.786600,1.974934e-01
7PR49/2,5242,2.126897,5237,1.794066,1.701798e-01
7PR25,5308,2.217466,5351,1.801012,2.080162e-01
7PR51/2,5416,1.965120,5449,1.806874,8.395498e-02
7PR26,5557,2.301782,5563,1.813462,2.384459e-01
7PR53/2,5596,2.182571,5669,1.819473,1.819565e-01
7PR27,5728,2.248387,5749,1.823891,2.092410e-01
11PR5/2,5857,2.159168,5879,1.830872,1.649305e-01
7PR28,5906,2.349289,5981,1.836248,2.463886e-01
7PR57/2,6038,2.309643,6089,1.841781,2.263598e-01
7PR29,6131,2.233345,6173,1.845993,1.904831e-01
7PR59/2,6218,2.356115,6299,1.852146,2.406690e-01
7PR30,6353,2.124621,6397,1.856857,1.347082e-01
7PR61/2,6421,2.298798,6491,1.861242,2.111425e-01
7PR31,6568,2.399779,6607,1.866563,2.512781e-01
7PR63/2,6719,2.265862,6719,1.871581,1.911719e-01
7PR32,6791,2.430712,6823,1.876139,2.589681e-01
7PR65/2,6863,2.365471,6917,1.880200,2.295992e-01
